,vws500-250_cluster1,vws500-250_cluster2,vws500-250_cluster3,vws500-250_cluster4,vws500-250_cluster5
1965-01-01,26.3693803481126,31.105606889157503,11.969515583705968,5.49576298840922,45.149845947707995
1965-02-01,26.487679560361485,36.93101809788916,10.409437684058862,7.490917671305955,36.30915398534946
1965-03-01,28.998075849550975,29.6673190396509,9.742805710163129,7.479594038337107,38.52767234768274
1965-04-01,15.295281443871948,27.487021320368,6.507474878078438,9.556073615962216,26.29495214259749
1965-05-01,8.64966255776737,25.394547544383123,5.19936254669996,9.141950127599628,19.87816234777105
1965-06-01,9.824010405240776,25.50658974050919,10.074977227061332,5.161907435484628,19.348680829854253
1965-07-01,9.840000762261452,16.51463348159958,19.08065908569477,4.852580441402747,11.281822901486969
1965-08-01,7.113398752969141,13.367555420999333,5.768515553108965,2.8423351342627794,7.321085382730933
1965-09-01,5.4828512826117555,27.59707596095839,12.813339087686366,3.580156014977624,11.631468343618197
1965-10-01,11.334990490198306,26.62309723372965,3.7349167534097125,4.464312023229482,15.681794237035287
1965-11-01,18.854219213410783,31.50065145010411,3.8626887326384294,7.457130225481616,26.698771238135315
1965-12-01,20.517852129974415,40.00519703071172,4.944681442947781,9.868969404334976,33.79456901736511
1966-01-01,25.86981237710615,36.94990361397723,8.532713997011765,8.60296728456926,44.1643370413899
1966-02-01,29.361383357925636,30.600639064521225,7.459883063022049,9.762139100333892,32.72385169260751
1966-03-01,21.705681999706638,30.9277565624084,7.170116297126789,9.548280896270104,28.793806105967167
1966-04-01,17.359729169680815,27.482641508413305,4.335494308210158,9.851083515700223,28.072864469004994
1966-05-01,10.234966992287099,25.386866448041005,6.396652569165584,8.517498591789225,16.461484481141937
1966-06-01,10.541490071747203,22.33250982371857,5.2566553462123995,6.334959650935843,19.019480902583
1966-07-01,9.206105446031613,14.3227802720026,6.902040850045641,5.660578665124773,6.847067423453042
1966-08-01,7.58974879612326,10.05807301584178,7.831761313058789,4.4602546791653825,5.399479526887713
1966-09-01,4.439675433021684,21.861321686783274,11.213734557309948,4.231250718758463,6.305290679248714
1966-10-01,10.777234577417323,28.47559627001685,3.19875347283141,4.039087350563135,23.91022679427244
1966-11-01,12.106440267353642,39.99790489872544,2.8868506221023726,5.748059655700613,30.853395701233108
1966-12-01,18.206165920757652,42.66276345286909,4.560467981654121,7.891328487129553,40.15665327715503
1967-01-01,17.029090556274255,47.09876522664511,11.570990242233405,7.6459730903740075,44.280290906979026
1967-02-01,26.551731771504212,33.52888952395797,10.566347850335717,6.969870954620254,42.6685621208275
1967-03-01,27.378717479019315,28.766566553165834,12.453132186348348,8.627674536393448,30.289642171824347
1967-04-01,15.79782376221854,29.73503002546357,4.491091020752275,10.539506888257483,24.02842825258548
1967-05-01,9.008695629572857,23.374965626267702,5.120601364132213,8.693611489770067,19.26222805225138
1967-06-01,8.571821690138606,23.666604621169732,9.692760613616075,4.4153846126688725,19.265960034234144
1967-07-01,9.174724621296525,13.93948381059514,13.275188384319886,4.149871366394873,8.132723422147121
1967-08-01,7.49916102636892,10.41856641248042,18.903053771117765,3.9468250308396504,7.869604483681836
1967-09-01,6.084121998210803,21.82182363474587,14.772907048490099,5.896693238655359,10.362298346528553
1967-10-01,4.928139055712089,34.65144667774337,6.250161349009691,4.288881912338524,19.498426809237685
1967-11-01,17.46342812296181,37.06074239962178,4.257601851162576,7.032746715956278,31.03710885898176
1967-12-01,26.44718328285569,27.755394305471743,6.10784796816514,7.805176030494135,43.57953883732975
1968-01-01,25.19627857943502,39.21503240710157,12.581181622366305,6.937601748237082,46.64525925548899
1968-02-01,29.541127805498657,34.61243030366582,17.691420142130514,5.692257228866432,52.73342136914299
1968-03-01,25.70549107403041,24.420720392258243,5.3755870604475495,12.928775998335123,23.60788484450732
1968-04-01,22.623806544934823,19.42448379623714,6.4406711192585915,9.556929018899387,20.193457323617057
1968-05-01,8.12631729904396,27.90716732262359,5.181735520138535,8.833541566405765,24.664723401349036
1968-06-01,9.728706213251348,21.982098113466083,6.015615212546025,3.5111494524155407,26.4485851954818
1968-07-01,9.47183515853586,13.964589164904202,6.692678565140897,6.42199297136496,10.016713287150678
1968-08-01,7.30586602258062,16.458777773024526,15.531367502369518,3.3818779538677806,7.660614234772478
1968-09-01,5.842334721535505,26.140456616049487,10.991319302536734,3.8282656328314877,12.088511838450154
1968-10-01,7.205157570998562,29.801176592403504,4.561734778296948,3.4758964583802636,20.040469020698776
1968-11-01,19.578047360579273,28.844877622309475,8.703621185803609,4.128781917986161,39.571996699093724
1968-12-01,25.444692141430945,36.056460641000875,6.39935724940464,8.469797867427378,29.93041315024702
1969-01-01,28.13601677232005,34.96518180911504,9.395752555838945,11.003957767152247,37.466305033352214
1969-02-01,24.290843761125217,37.10356487233493,11.27942271538303,9.42386652474498,34.017231162316925
1969-03-01,29.737704429639425,25.696532034964832,8.798066458282557,12.570658757313986,28.124817636847872
1969-04-01,18.860578301407227,20.700437370598564,8.006658815979836,11.640530827995711,16.97463777858111
1969-05-01,9.035851329713884,22.806785525977464,4.768716122482275,7.786181194958896,19.40929201068066
1969-06-01,9.375525872149932,25.446863488854632,7.90141844146774,7.127684754274307,12.904277233029681
1969-07-01,9.353263886206888,15.49004258149494,12.336199568607144,6.599281074078605,7.633330254299796
1969-08-01,8.371991686072022,14.090743290117649,5.43812900092015,4.748204470162479,7.498739835168418
1969-09-01,4.31539400665743,22.473506413028908,14.420775059440055,3.957824587566568,14.519756672059403
1969-10-01,11.170156373999147,25.509273890745654,2.958931226634716,3.565877815978924,24.35397467783716
