,vws_u850-200_cluster1,vws_u850-200_cluster2,vws_u850-200_cluster3,vws_u850-200_cluster4,vws_u850-200_cluster5,vws_u850-200_cluster6,vws_u850-200_cluster7,vws_u850-200_cluster8,vws_u850-200_cluster9,vws_u850-200_cluster10
1965-01-01,46.435458448630214,43.8435257174816,27.295375424823586,29.72385498694054,44.81884160898265,25.79626531629207,69.5104633424917,30.29768737162517,37.44087622283444,20.539540534729607
1965-02-01,42.09288514305978,65.58116247771571,19.67866949130893,25.697982107612884,55.27481777070113,41.20244014477636,66.43860424863092,48.57134450376046,5.113158268966665,37.13784207728062
1965-03-01,38.442979896124655,70.13209080989981,15.04828135342739,20.75968050395446,53.8496074830871,37.459408001298875,77.26461400743395,43.415133460236135,6.774552625565823,27.410170432939168
1965-04-01,29.63670539009347,49.95796261324722,15.933778933483513,22.288546848884085,53.59648007966257,34.556453206340876,47.3818123910787,54.540365315113014,8.757681376015967,26.61092018905572
1965-05-01,22.530466362908342,47.784235104735096,5.615317028957237,20.418495782486577,40.38174535108225,31.143016038620228,28.482632569032056,48.16988979280875,-3.883291910352863,25.03019133811242
1965-06-01,3.197322944498197,29.75638845417786,-4.006893447961787,17.941339550508786,29.83153582906129,13.643424901334745,17.736761929165077,32.52745658526583,-5.675914999803932,8.097920890224684
1965-07-01,4.3934949409234445,10.262784161285019,2.6577000281542698,9.662773886597767,45.03328711132405,11.744960419580806,3.573736238358994,41.111208032095654,-1.8692427929006463,-3.8823286369305356
1965-08-01,-4.3666139656812355,6.879221778059915,-7.670802132340699,18.090880808629592,34.214816305044565,0.7707906248168117,8.26415605759139,19.24790561724581,-13.966621135529895,-0.8597947064206148
1965-09-01,1.025924071361629,21.989908898149732,-7.160973037882998,9.748604204537198,31.252547290024722,4.783269730759412,20.576264961135966,27.775155174722205,-16.897721205493387,-0.7774239165256026
1965-10-01,16.16198895138885,38.134212141500846,1.1428158555370065,17.02009145517642,29.739013917145503,19.844306499151948,21.69413037175612,30.651911206664277,-13.303277324081135,9.264865393022886
1965-11-01,16.43506093432746,49.220227753756916,8.72702169487107,25.998953118688426,53.84601807843711,28.432752728360015,55.239232636180645,37.297324869494346,-5.238431298893828,6.14875842560579
1965-12-01,21.899120289335944,65.29437456442966,12.342166798915827,24.53815180179161,58.468521384821685,35.531679381613706,47.10412250797403,55.569472569705404,12.856748958483625,25.380524867534508
1966-01-01,34.766876041918024,76.29859163596916,19.87447977772423,31.434820995560877,55.63515520798199,41.08915868954398,80.12541765413755,40.242945505013076,21.45055134536661,20.432120419450893
