,mgv50_cluster1,mgv50_cluster2,mgv50_cluster3,mgv50_cluster4,mgv50_cluster5,mgv50_cluster6,mgv50_cluster7
1965-01-01,0.2830165,-0.32510844,-0.05003934,0.12921914,-0.34689027,-0.16042018,-0.062843464
1965-02-01,0.21884847,-0.36131334,-0.055926286,-0.030465102,-0.15659364,-0.19191551,-0.14452533
1965-03-01,0.14643857,-0.26476687,-0.0813875,0.0019132614,0.0853612,-0.47964153,-0.14997077
1965-04-01,0.085214004,-0.0519526,-0.08830468,-0.073145725,-0.11950569,-0.070055045,-0.045182563
1965-05-01,0.07152679,0.004856753,-0.06122459,-0.03252554,-0.008094597,-0.0017661095,-0.08948207
1965-06-01,0.07064374,0.06711157,-0.0019132614,0.034291647,-0.034291647,0.031348158,-0.03105383
1965-07-01,-0.01295135,-0.0075058937,-0.0038265348,-0.012215471,-0.035027526,0.016483545,-0.003532195
1965-08-01,-0.011038089,0.005739832,0.015894841,-0.023842264,0.002943492,0.013540054,0.005886984
1965-09-01,0.08742164,0.13540053,-0.0025019646,-0.091101006,0.03252556,-0.06490395,-0.009272004
1965-10-01,-0.31097966,-0.21355017,-0.009419179,0.16468823,-0.14408378,-0.06240196,-0.062843464
1965-11-01,-0.086980104,0.15026513,-0.011038089,-0.36455116,-0.023547912,-0.35719246,-0.037823845
1965-12-01,-0.01913271,-0.10346365,-0.030612301,-0.24578138,-0.26005727,0.05357151,-0.054748893
1966-01-01,0.29584375,-0.33837575,-0.013454055,0.0052080154,-0.25215435,-0.23971295,-0.033852052
1966-02-01,0.0014466286,-0.47031197,-0.018083358,-0.057288073,-0.04774008,-0.2862957,0.014322018
1966-03-01,-0.19472165,-0.123979524,0.02039802,-0.018662024,-0.008969331,0.16173759,0.0037613392
1966-04-01,0.08839147,0.031103373,0.005063343,-0.009403324,-0.118192814,-0.13714418,0.025606012
1966-05-01,-0.05989208,-0.19486627,-0.001012659,0.020687366,-0.048174094,0.021700049,0.034864713
1966-06-01,0.065534115,0.063942745,-0.004774022,0.042098068,-0.02387004,-0.0020253658,-0.0098373415
1966-07-01,0.019385386,0.018372703,-0.0052080154,-0.04065142,-0.032260705,-0.0072333575,-0.035154056
1966-08-01,0.015334701,0.016492033,-0.017504692,-0.022423362,-0.01417737,-0.0076673506,-0.03732405
1966-09-01,0.092008136,-0.12991086,-0.025461365,0.049331427,0.027342033,-0.06567874,-0.04441271
1966-10-01,-0.098228835,-0.062062122,-0.002025318,0.107487485,0.14336486,-0.04238739,-0.08940415
1966-11-01,-0.072912075,-0.046872042,0.03732405,-0.13251491,-0.1916836,-0.16622218,-0.14394355
1966-12-01,0.14032686,-0.24535498,-0.07638409,0.054539442,-0.20860963,0.0185174,-0.08998277
1967-01-01,0.25012523,-0.4521238,-0.30491298,0.074105,-0.19084121,-0.23214015,-0.19184037
1967-02-01,0.24512939,-0.2719404,-0.18501271,0.14138237,-0.3330562,-0.2679437,-0.03280604
1967-03-01,0.063613735,-0.016486287,-0.04596176,-0.17502102,-0.13089108,-0.14021666,-0.042631187
1967-04-01,0.07893433,0.03597007,-0.142215,-0.19050816,-0.026644504,0.051290654,-0.1373857
1967-05-01,-0.041298974,-0.10491271,0.012489605,0.027144074,-0.03930063,-0.013322258,-0.020649482
1967-06-01,0.03014158,0.017485451,-0.030308127,0.06328068,-0.021149063,-0.05978359,0.0044962643
1967-07-01,-0.051623702,-0.013155723,-0.018484617,-0.028476309,-0.006661117,0.019983362,-0.009159064
1967-08-01,-0.033305623,-0.02481268,-0.011323905,0.016486287,-0.006161547,0.022481298,-0.037302293
1967-09-01,0.10274784,-0.07443806,-0.02880938,0.10924244,0.017485451,-0.014654458,-0.039633684
1967-10-01,-0.04945885,-0.2599504,-0.047293972,0.17951728,0.13455471,-0.13905096,-0.056952618
1967-11-01,0.26144913,-0.337719,-0.07926737,-0.014321422,-0.19350564,-0.03097422,-0.069941804
1967-12-01,0.111906886,-0.48026705,-0.07593682,-0.10674453,-0.05512079,-0.3397173,-0.10324743
1968-01-01,0.012316108,-0.12797435,-0.017553996,-0.105890274,-0.033267666,0.040345885,-0.03468331
