,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5,r600_cluster6,r600_cluster7
1971-03-01,38.337242,36.76674,35.044098,35.498848,50.627357,71.24838,22.47673
1971-04-01,38.20876,33.044205,21.470867,41.25847,50.010315,75.457794,21.868141
1971-05-01,18.49047,55.374355,29.702036,35.049168,61.125523,57.173073,19.479431
1971-06-01,17.19384,69.26709,23.514713,50.962082,49.812527,68.477615,25.294836
1971-07-01,22.723549,65.88942,37.958565,60.57779,68.72274,68.8191,14.889652
1971-08-01,13.547375,69.57477,36.232536,42.09697,42.059776,60.549053,13.018242
1971-09-01,21.244339,78.45341,25.744516,23.343971,30.856665,68.548615,8.075146
1971-10-01,25.480795,67.08631,6.7413216,20.194523,38.17495,58.341225,14.634384
1971-11-01,40.421658,58.260082,30.865118,41.860294,11.9853325,71.58142,21.274769
1971-12-01,35.972195,36.765053,46.583622,44.894787,21.856308,71.10807,24.731892
1972-01-01,49.256935,43.69842,43.688667,44.04461,18.47707,67.71217,17.8367
1972-02-01,15.241104,24.627192,34.491116,46.547565,43.22546,58.735664,34.561005
1972-03-01,21.368473,38.443836,21.020657,36.964817,54.181583,33.827995,27.507215
1972-04-01,33.82637,47.249695,40.980927,74.288124,49.029392,72.68071,26.733576
1972-05-01,23.834045,57.051857,40.035004,62.353573,56.499256,79.80601,13.986374
1972-06-01,32.080803,73.7404,13.840099,61.129726,45.07992,73.40234,17.288979
1972-07-01,29.722496,65.7992,31.037361,76.58467,68.02423,84.29345,18.072369
1972-08-01,24.259874,69.34398,40.857403,78.29286,49.484474,66.44607,28.202843
1972-09-01,31.685854,73.56812,38.607994,71.53325,38.793274,72.73922,21.971457
1972-10-01,28.373499,67.143326,24.640194,66.927155,46.02097,70.25414,19.933334
1972-11-01,17.141075,61.534424,20.664719,65.539154,50.67257,72.649826,22.413536
1972-12-01,11.338768,33.14862,15.232975,62.84929,42.802883,73.38121,21.509872
1973-01-01,13.142307,14.927422,12.889404,76.67059,60.997086,53.206318,27.529945
1973-02-01,8.571964,12.983013,24.309519,65.35558,61.73938,41.08825,32.683285
1973-03-01,16.553234,24.089458,23.921951,66.85987,61.230286,61.154743,24.050045
1973-04-01,12.124123,49.508,21.96112,46.397602,62.887302,53.280216,21.650738
1973-05-01,22.749393,59.75063,26.651348,58.38593,53.493706,74.851,26.038794
1973-06-01,13.746651,75.944725,21.45531,42.39383,59.48459,59.15614,21.833027
1973-07-01,14.25082,69.3183,39.30314,36.242012,36.281425,64.85799,11.097725
1973-08-01,30.205149,74.811584,29.676348,30.00808,37.785713,64.330826,13.65633
1973-09-01,18.231602,72.80641,21.466808,14.672874,43.51055,66.533066,14.474163
1973-10-01,34.008568,79.874596,16.40379,14.863373,45.37285,59.497726,16.430065
1973-11-01,59.81468,55.377354,37.176445,35.21397,8.379822,62.213985,26.915749
1973-12-01,32.62252,38.38513,22.015316,41.927433,16.246136,44.43513,23.951511
1974-01-01,30.889574,43.60441,33.808006,21.945896,21.141098,24.193382,28.1992
1974-02-01,25.171701,23.872786,51.47557,30.664825,51.5896,53.017414,21.896317
1974-03-01,32.378536,40.55708,28.69662,36.17613,44.81739,52.875294,29.298155
1974-04-01,25.475773,48.65134,30.431814,35.277134,56.082924,62.24203,17.475708
1974-05-01,27.764576,57.289295,38.78718,46.091515,63.23522,69.39764,20.922958
1974-06-01,33.91046,76.5235,28.70158,56.031693,58.082527,73.40675,15.347206
1974-07-01,32.442986,65.54551,34.19966,50.90048,55.968895,61.865246,15.719032
1974-08-01,36.744614,69.22411,48.0779,37.375893,28.66357,75.40636,14.993557
1974-09-01,24.571821,75.132034,28.336363,47.107845,34.30047,70.855194,10.457268
1974-10-01,21.66,65.433136,27.627413,23.074596,32.662777,68.82089,15.053047
1974-11-01,26.45905,48.547226,28.761072,33.072613,21.501354,73.68604,22.623447
1974-12-01,15.793396,29.284935,35.128403,38.970615,22.220222,70.228874,25.257635
