,vws_v850-250_cluster1,vws_v850-250_cluster2,vws_v850-250_cluster3,vws_v850-250_cluster4,vws_v850-250_cluster5,vws_v850-250_cluster6,vws_v850-250_cluster7
1965-01-01,-8.56388715545057,6.371739570188162,-9.804934929168454,-2.8603676267904397,9.296163251240717,3.593668389402115,-7.169657633292768
1965-02-01,-3.155750305753793,9.242722638065803,-20.740513484766648,-5.442450321896291,5.9458590757387535,1.0717394311301938,0.19226689964077245
1965-03-01,11.566593503749711,2.043405699920744,-21.590916401890603,-0.9473770613788044,4.262365387029433,1.6656776733305194,-11.8515020581623
1965-04-01,0.5430387578999186,-1.2191316372080379,-5.784069000696569,-3.6637575898280232,6.612566159020789,4.8499546085707435,2.6969163380952184
1965-05-01,3.608207172166884,-4.970628291208037,-6.75116244832687,-5.781540199363918,3.1256947343086257,4.223780862823469,3.433013438621956
1965-06-01,7.00631695417217,-7.877025813586952,-11.265321080447825,-9.727778716972463,-2.1770984732213896,1.8067961949198141,4.776183984352576
1965-07-01,4.970774112156608,-6.268462964357931,-5.706553015427421,-9.05608573044174,-0.7887313784445787,-0.7994570074856321,8.341069915268356
1965-08-01,3.972302528214351,-5.045159136804531,-3.857944421916455,-11.441700659543162,-1.975979206995663,-1.7431208207844118,6.957847053305875
1965-09-01,7.625193328406303,-4.4077278389349015,-8.473623402265932,-8.301831613191924,-1.3508306903125926,-0.5481408068385303,3.386991369911433
1965-10-01,0.8585690940676817,3.006242770763293,-5.55563788685352,-5.692539070194475,0.823107021146913,-0.15173269113283053,0.9281742078980161
1965-11-01,7.640238674316872,-1.4888700972218887,2.52227589670345,-3.9878965373189144,3.237047661105134,1.2231719547425322,-0.6010963739425031
1965-12-01,6.788922908788169,-2.3462635764328104,-6.733909728872898,-5.132848013811308,4.757386888918302,2.334947253966786,5.930903262662182
1966-01-01,3.705578689146198,6.027203889087555,-18.967166338637355,-4.479490374565219,5.497670953691808,4.208914447298155,-5.4034244962728994
1966-02-01,-7.326313717224181,7.912590150263321,-1.7109183060795725,-5.836477310938716,5.081776723143215,1.6608730526160977,3.05360713252753
1966-03-01,-2.060948225148488,2.7894513844953166,-6.53642234722951,-4.447005900500141,5.164810034645024,2.788298627332661,0.8788321935628728
1966-04-01,3.9531879873894216,-0.367177142853957,-8.377233884664495,-7.877331069054837,3.8374754414524883,4.141795865880148,0.4259336022007953
1966-05-01,8.157080147238586,-5.338756766082638,-2.4610062046512606,-7.3542619847028545,-0.3166657311544114,1.8718745910925843,0.7007473840176479
1966-06-01,7.073970825944355,-5.940593140640644,-4.709816265226716,-10.108262875658513,-0.8877873297953739,0.8727663590294215,2.107364980661821
1966-07-01,6.703885926153448,-5.652129395064264,-6.263124316431148,-9.80116986401405,-0.7942147495699586,-1.4870068771440403,7.964759152997744
1966-08-01,5.973387730504054,-5.341836953895616,-1.7096889639262578,-9.993489806572716,-1.7684179416307426,-2.527937285293206,3.61098103098804
1966-09-01,6.563213333641091,-2.9501632259457313,-8.745910585263443,-9.962026643793882,-1.8954781996661447,-2.222488614601389,2.807014888162544
1966-10-01,5.808873530796761,-1.3120370458929815,-4.310307536783549,-4.8990070255139475,1.1299014971257029,-0.3119276140051575,-1.203371440941959
1966-11-01,5.950441039362399,3.2237671023298518,-2.176177048184584,-3.68283581756432,5.663686687406098,0.2706446783098942,-1.9345442327796736
1966-12-01,1.5252104098613994,6.312678561669257,-14.220372447916095,-3.2492286034193634,7.147699179666636,4.424683664256742,-6.114406313126636
1967-01-01,-3.3676506517600706,8.692946648289299,-18.46911025665208,-4.5394897667165806,7.257291656222779,0.0779868635590776,-8.094553058984465
1967-02-01,9.306845305346098,6.3936010600963105,-17.916441215179088,-3.5191283445373625,8.633983270155566,2.4663172386257495,-15.885280243551048
1967-03-01,5.4122755394233915,-2.720620354929996,-7.499412249794047,1.027815199538864,4.637449438940532,0.31800114468655666,-3.149591009685477
1967-04-01,10.5543781892871,-4.028887617769762,-6.525562766650048,-7.056214853969246,4.435193703293355,4.103992871283011,3.1980013006210672
1967-05-01,9.589242104555588,-3.659489559678145,-5.722631701973899,-7.210152945034829,3.046180042313697,0.478017265973385,-3.3401514316939487
1967-06-01,7.160691533812176,-7.715961059397261,-9.229972008847897,-8.860811361558236,-1.026643245167277,0.673725130332685,2.543784726406965
1967-07-01,4.277348115197596,-5.796181726772365,-4.58709840826171,-9.62969317288015,-0.7683999565839843,-3.9323286253712744,5.128435125285468
1967-08-01,5.329899225260409,-3.9727155007962507,-4.605454173873952,-7.585199788744277,-0.7272636780216853,-4.969497868839629,3.9912961321223714
