,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7
1975-02-01,-0.06888819,0.07567572,1.1135001,-1.1419482,0.7017776,0.26032156,0.07130452
1975-03-01,-0.15954685,0.64017344,1.0210366,-0.92028755,0.6068436,0.24934202,-0.034221712
1975-04-01,-0.18191315,1.0372368,0.76176745,-1.1428541,0.60757965,0.1856015,-0.0010518776
1975-05-01,0.052031323,0.9582264,0.7874882,-1.0157535,0.31686962,0.049543828,0.45402852
1975-06-01,0.15363388,0.7488413,0.82725316,-1.433678,0.17576662,-0.023885766,0.6205924
1975-07-01,0.2339978,1.1085242,0.87569946,-1.5314168,0.21029773,-0.27666813,0.55413216
1975-08-01,0.26558614,1.0187421,0.6486953,-1.514172,0.22477202,-0.33961794,0.74324584
1975-09-01,0.33262178,0.28110164,0.4511956,-0.896903,0.1595083,-0.18204251,0.6864774
1975-10-01,0.2312723,1.1737832,0.8110018,-1.2525988,0.2908605,-0.15544319,0.6447492
1975-11-01,0.06002645,0.5387636,0.89642894,-1.2777147,0.4559575,0.0702939,0.43393847
1975-12-01,-0.06789732,0.029189972,0.9998341,-0.99800485,0.6548017,0.19843517,0.4706567
1976-01-01,-0.04702295,0.6104379,1.0456812,-1.1659958,0.71286565,0.123006724,0.38893574
1976-02-01,-0.08556417,0.7909253,0.8278562,-1.0454755,0.6529689,0.36138532,0.33965075
1976-03-01,-0.058763757,0.98756295,0.91072625,-1.1125925,0.59496975,0.1764905,0.28556964
1976-04-01,-0.1141704,1.0273497,0.94392437,-0.7015336,0.4228437,0.14630426,0.123841055
1976-05-01,-0.013986565,0.98222035,0.982541,-1.2181137,0.36127552,0.015306965,0.20691428
1976-06-01,0.18761946,0.64592737,0.59468615,-1.1244857,0.14663687,-0.052065752,0.44944555
1976-07-01,0.08211594,1.3556428,1.0291002,-1.7482891,0.4118622,-0.28828385,0.57028234
1976-08-01,0.14131553,0.952678,0.6766919,-1.4322686,0.2961324,-0.36919224,0.5398491
1976-09-01,0.22310665,0.94018894,0.7813473,-1.2632159,0.16396019,-0.3409561,0.5720469
1976-10-01,0.16877729,0.7668788,0.59850883,-0.81461674,0.24367411,-0.13699836,0.27051356
