,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7
1970-01-01,15.902435,25.48465,12.19458,19.45639,24.858582,22.611542,26.782257
1970-02-01,15.282043,24.772308,11.481201,18.654175,24.885437,21.797455,26.552399
1970-03-01,15.020691,24.711365,11.537506,18.111786,25.3266,22.077423,26.814789
1970-04-01,15.503143,25.303345,11.9817505,18.925354,26.00534,22.279907,27.11493
1970-05-01,17.023376,25.914948,13.38681,20.203339,25.98056,22.97882,27.465149
1970-06-01,19.096863,26.395874,15.598206,21.289673,25.21347,23.92929,27.754425
1970-07-01,21.009186,26.596802,17.977478,22.972626,23.330078,24.669006,27.495117
1970-08-01,22.904938,27.355652,19.717255,24.340485,22.86673,25.785828,27.297272
1970-09-01,22.529419,27.465668,20.32782,24.90509,22.814545,25.9971,27.275055
1970-10-01,21.064972,27.549347,18.45633,23.87143,23.173035,26.04358,27.32257
1970-11-01,19.109253,26.390198,15.422577,21.679138,22.534058,24.641113,26.8768
1970-12-01,16.897339,25.674225,12.874878,20.43631,22.332611,23.41687,26.58957
1971-01-01,15.317596,25.223022,12.252991,19.117493,22.940613,22.23349,26.060577
1971-02-01,15.842865,24.938385,12.1008,19.451538,23.113556,22.616455,25.838196
1971-03-01,15.536987,24.712585,11.49942,19.216309,23.704529,22.021027,26.130737
1971-04-01,15.623962,25.194366,12.11908,19.439178,25.471558,22.565552,26.941101
1971-05-01,16.203583,25.733948,12.9279785,20.22287,25.413239,23.570618,27.229675
1971-06-01,18.528992,26.393127,15.075958,21.999786,24.903809,24.40274,27.308258
1971-07-01,21.01941,26.869965,18.100067,23.165436,24.963593,25.140503,27.608185
1971-08-01,21.91626,27.136292,19.037445,24.075623,24.181885,25.809052,27.231659
1971-09-01,21.73639,27.241058,18.362457,24.225342,23.16397,26.155945,27.349762
1971-10-01,20.30243,27.202026,17.04657,23.312195,23.379395,25.605957,27.131348
1971-11-01,18.924286,26.25821,15.677338,21.948883,23.444122,24.567291,26.90802
1971-12-01,17.702301,25.597565,14.418762,20.766418,22.954926,23.610168,26.47763
1972-01-01,15.882843,24.658081,13.184601,19.118134,23.148285,22.305603,26.442383
1972-02-01,15.340515,24.313263,12.252014,18.587769,24.695374,21.748932,26.657135
1972-03-01,15.475861,24.326172,12.232422,18.88379,25.499298,22.211884,26.715942
1972-04-01,15.865143,25.188446,12.272583,19.26831,26.912018,22.204224,27.446228
1972-05-01,16.47873,25.756134,13.0841675,20.335266,27.525604,23.2836,27.87854
1972-06-01,18.186523,26.108582,15.141571,21.33142,27.779572,23.959381,28.242493
1972-07-01,20.039215,26.330017,18.062653,22.421814,28.300842,24.762817,28.606445
1972-08-01,21.99762,27.174591,19.858917,23.710693,28.390259,25.409882,28.367798
1972-09-01,21.725037,27.404144,19.97226,24.024872,27.468231,25.467255,28.3042
1972-10-01,20.288391,27.137756,18.808716,22.938812,27.190369,24.709259,28.408447
1972-11-01,18.97226,26.221924,16.317566,21.947876,27.277893,24.19754,28.593994
1972-12-01,17.911041,24.75946,14.797699,20.937347,26.953156,23.23819,28.11911
1973-01-01,16.292816,24.646606,12.944305,20.046661,27.363068,22.482544,27.723755
1973-02-01,14.931671,24.355835,12.061798,18.373383,27.191711,21.622375,27.386871
1973-03-01,14.529236,24.23642,11.83316,18.213196,26.815521,21.443726,27.601929
1973-04-01,15.192841,24.848053,12.1987,19.08841,26.541718,22.0112,27.559204
1973-05-01,16.414185,25.456299,13.58313,20.029663,26.320374,22.811676,27.442688
1973-06-01,18.744263,25.793182,14.76178,21.400543,25.51358,24.02185,27.613556
1973-07-01,20.55783,26.586884,16.905426,22.549072,24.528656,24.711182,27.738312
1973-08-01,21.257324,27.12619,19.21997,23.605835,23.300995,25.470886,27.054352
1973-09-01,21.536438,27.29123,19.289398,24.378174,22.93692,25.9534,26.989777
1973-10-01,20.300049,27.269867,17.268524,23.001007,22.846619,25.370392,27.08493
1973-11-01,18.377747,26.835419,14.992828,21.685974,22.634491,24.271362,26.891235
1973-12-01,16.795715,25.747559,12.638489,20.386475,22.473328,23.118958,25.923279
1974-01-01,15.9965515,25.51828,11.9001465,19.843323,22.208466,22.737091,25.643097
1974-02-01,15.138031,25.117401,11.368591,19.08319,23.509003,22.863861,25.979858
1974-03-01,14.7586975,25.200623,10.921692,18.924591,24.676392,22.92752,26.248596
1974-04-01,15.078796,25.190338,11.2682495,19.542786,25.968597,23.237335,26.746857
1974-05-01,16.492401,26.038116,12.4151,20.516846,26.070404,23.753235,26.94754
1974-06-01,18.675446,26.514374,14.925598,21.59076,25.85553,24.107147,27.618134
1974-07-01,20.079742,26.764496,16.48996,22.880524,25.012177,24.595154,27.591705
1974-08-01,21.495789,27.271576,18.718536,24.061615,24.961761,25.69107,27.51239
1974-09-01,22.979889,27.80365,20.416016,24.78897,25.050842,26.360687,27.219696
1974-10-01,22.197205,27.885864,19.41211,24.039093,24.04889,25.866302,26.942657
1974-11-01,19.37442,26.992584,16.479675,22.95639,23.572632,24.776733,26.758118
1974-12-01,17.768463,25.9823,14.182098,21.128693,23.346497,23.601013,26.393951
1975-01-01,16.67746,25.320435,12.697327,20.381805,24.452911,22.768372,25.954071
1975-02-01,16.012238,24.78247,11.708191,19.576538,25.42038,22.320465,26.28363
1975-03-01,15.445984,24.529297,11.234375,19.063568,25.917786,21.942352,26.054504
1975-04-01,15.733124,25.319,11.909973,19.388397,26.651367,22.54773,26.689575
1975-05-01,16.883972,25.31665,13.167389,20.152649,25.220001,22.761292,26.96112
1975-06-01,18.618988,26.006409,15.875488,21.421387,24.85321,23.736755,27.478333
1975-07-01,20.923035,26.682037,18.249329,22.534515,24.750427,24.153534,27.281738
1975-08-01,22.348755,26.728699,19.396423,23.517517,24.226624,24.635864,27.252045
1975-09-01,21.7995,26.95877,19.661865,23.496796,23.20166,25.106842,26.923431
1975-10-01,21.056946,26.641022,17.834442,23.236542,22.442596,25.06488,26.713135
1975-11-01,18.666107,25.847534,15.165009,22.155914,22.914062,24.346375,26.483063
1975-12-01,17.338928,25.23462,14.196594,21.21112,22.827301,23.558533,26.132751
1976-01-01,16.968903,25.128387,12.907806,20.421356,22.585419,22.776855,25.50531
1976-02-01,16.296112,24.342224,12.6596985,19.556122,23.753479,22.333313,25.826538
1976-03-01,15.576599,24.258179,12.365814,19.593933,24.871307,22.255219,26.137299
1976-04-01,15.570129,24.457092,12.053528,19.282135,25.906097,22.36911,26.57788
1976-05-01,16.448792,25.28949,12.802399,19.916626,26.623627,22.628662,27.265076
1976-06-01,18.171265,26.03537,14.9808655,20.744568,26.3909,23.604797,28.091034
