,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7
1969-11-01,2.0148087,5.754841,4.0385704,3.7645035,2.9824028,6.0188828,2.6548576
1969-12-01,1.6454849,6.2093964,5.3420677,5.121475,3.9065514,7.4410324,2.8821373
1970-01-01,2.111988,8.154182,7.7354813,6.1318436,5.8356094,10.123566,4.37595
1970-02-01,2.0259323,6.5008965,6.1533585,6.7044525,5.2050743,8.50172,4.235279
1970-03-01,2.1583252,5.7876167,4.392498,4.6605988,3.1976318,7.4624176,2.4942818
1970-04-01,1.8488541,6.0342026,4.0929527,3.6610146,2.9841423,7.2903023,2.0011063
1970-05-01,1.2745857,4.395809,2.9775238,3.0768204,2.0540657,6.032547,1.6601906
1970-06-01,1.2414894,4.0217934,2.7342453,2.8898125,1.9249802,4.989933,1.536068
1970-07-01,1.0577888,3.4971733,2.5472374,2.7458305,1.9845581,4.12109,1.590683
1970-08-01,1.1686707,3.6063995,2.7176971,2.7292824,2.0573769,4.316372,1.6850128
1970-09-01,1.6386757,4.346161,3.0602722,3.2572098,2.3602295,5.579094,1.8455429
1970-10-01,2.2890663,5.8025093,3.6328812,3.88443,2.4611816,7.7090034,1.989521
1970-11-01,2.4826965,6.5770226,4.20549,4.5430984,3.748726,8.483517,3.7834816
1970-12-01,2.9378052,6.116947,4.571232,4.4669724,5.163704,7.7752,4.473591
1971-01-01,3.8741913,8.38113,6.198662,6.5114098,6.5993156,11.040329,6.5147896
1971-02-01,3.620613,7.1690254,5.1927986,6.4268837,4.677189,8.359154,4.0280266
1971-03-01,2.871708,5.3212814,4.06184,5.0676994,5.213085,5.671219,4.2275085
1971-04-01,2.2411423,4.2139854,3.480297,3.990837,3.2165756,3.9249077,2.655323
1971-05-01,1.6781998,3.465084,3.1066933,3.223339,2.116043,3.223339,1.7728691
1971-06-01,1.3113556,2.996807,2.8801613,2.898758,2.1228065,3.138813,1.7390556
1971-07-01,1.0898933,2.4642906,2.472744,2.4169579,1.9537544,2.400051,1.5615501
1971-08-01,1.2014694,2.7330856,2.6502495,2.5826302,1.9909439,2.6587029,1.6274834
1971-09-01,1.8286552,3.0492134,3.1472626,3.0796432,2.2918587,2.957924,1.774559
1971-10-01,2.371315,3.865738,3.6510391,3.4549408,2.4795074,3.7575455,2.0450401
1971-11-01,2.8226852,4.677189,3.7710686,3.9198341,3.424511,4.4844704,3.2284088
1971-12-01,2.5792465,4.0128136,4.7667885,3.9705505,3.6510391,4.5673065,3.0018806
1972-01-01,2.061573,5.05212,5.503952,5.3966827,4.328861,5.477947,3.046505
1972-02-01,1.6016159,5.9801636,5.989914,5.1853943,4.4003754,5.963909,3.0676308
1972-03-01,2.2127266,5.0537453,5.7217407,5.3918076,3.9030342,5.370678,3.0692558
1972-04-01,2.1249619,4.613289,4.9676056,3.6933708,3.6543655,5.334919,2.7100677
1972-05-01,1.2456741,3.9030342,3.07576,2.7702026,2.4077606,5.6193466,2.089203
1972-06-01,1.3025589,4.284981,3.0156212,2.9376068,2.3151207,6.0468025,1.9071693
1972-07-01,1.240799,4.679928,3.0903854,3.1342697,2.258236,5.8403893,1.7933998
1972-08-01,1.4000778,5.0976257,3.6478615,3.7258759,2.7441978,6.3604813,2.1509666
1972-09-01,1.7560196,4.9871063,3.3813133,3.4983368,2.4597702,6.3361053,1.9543037
1972-10-01,2.4077606,6.3344765,3.8087692,4.3158607,2.783207,8.097923,2.7084427
1972-11-01,3.0676308,8.114178,4.6685486,5.2504044,3.2561684,10.618759,2.8108368
1972-12-01,2.4288902,7.987404,5.2487793,5.632351,4.4621353,9.91013,3.7112503
1973-01-01,2.0325775,8.374897,6.673538,7.5751266,4.8342323,8.54076,3.3151665
1973-02-01,2.623783,9.618069,8.644222,8.895485,7.098877,9.230503,4.932766
1973-03-01,3.4071312,7.192486,6.7490807,7.0184097,3.8061943,6.317173,2.8438416
1973-04-01,2.0703506,5.2776375,4.686432,5.576523,3.8390388,4.484436,2.6352768
1973-05-01,1.7304077,3.7109451,3.1854286,3.4580383,2.549881,3.8045502,2.209938
1973-06-01,1.5004921,3.0540504,2.7863655,2.7847214,2.2805557,3.2478333,1.9455376
1973-07-01,1.2081757,2.9752197,2.6484146,2.7058945,2.1541023,3.0310593,1.7960968
1973-08-01,1.3083496,3.2396202,2.8372726,2.8783302,2.1902313,3.4087715,1.7616081
1973-09-01,1.732048,3.7832031,3.3611488,3.4892426,2.6057167,3.9572792,2.0407906
1973-10-01,2.10812,3.9835548,3.4071312,3.2429047,2.5630188,4.33992,2.326538
1973-11-01,2.6796188,4.528778,4.2988663,3.1197395,3.6912384,4.674938,3.4071312
1973-12-01,2.4382095,4.22332,4.2200356,3.679741,3.679741,4.9015656,3.3250198
1974-01-01,2.0275345,4.784012,5.281433,4.0040016,3.9494667,5.511139,3.2454758
1974-02-01,1.5730782,4.5625687,4.656765,3.9924316,3.5528526,5.335968,2.434063
1974-03-01,1.8275719,4.9724045,5.7788544,4.5691795,3.888321,6.6745453,2.7976303
1974-04-01,1.8688889,5.5326233,3.8684921,4.0040016,3.2058105,6.2828865,2.3762245
1974-05-01,1.597866,4.1626472,3.2124214,2.8934784,2.5381775,5.31118,2.0655441
1974-06-01,1.2640495,3.7395897,2.6307182,2.6654243,2.1018982,4.6898155,1.814354
1974-07-01,1.1500206,3.7032356,2.5332184,2.7447472,1.9928284,4.574135,1.6408348
1974-08-01,1.2871857,4.14447,2.9480133,3.0967445,2.2043571,5.307873,1.7383347
1974-09-01,1.8721924,4.5939674,3.3545418,3.4041214,2.6654243,5.9589844,2.2572403
1974-10-01,2.2621994,5.2235947,3.2768707,3.906498,2.6290665,7.054634,2.5216522
1974-11-01,2.9397507,5.9044495,3.6933174,4.0337486,3.539631,7.9057045,3.6321754
1974-12-01,3.2190323,6.3903046,4.6005783,5.3194427,3.8023872,8.176727,3.2372093
1975-01-01,3.2100792,6.1650925,4.905712,4.963333,4.5781097,7.696106,3.7352295
1975-02-01,2.7573586,5.3518486,4.27026,4.3064804,3.758278,6.6408615,3.5096931
1975-03-01,2.9203377,4.797062,3.6841965,4.530369,3.9360733,5.9675446,3.2331238
1975-04-01,2.3885994,4.0529556,3.137642,3.4833565,2.9516182,4.9814415,2.5186539
1975-05-01,1.7547951,3.2907448,2.5120697,2.684925,2.271717,3.3928108,2.064289
