,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6,zgu500_cluster7
1974-11-01,0.06883885,-0.037558943,-0.16802827,-0.20644219,-0.02718116,-0.049659066,0.36518306
1974-12-01,0.2558002,-0.51737475,-0.44250047,-0.4280097,-0.23707913,-0.013404111,0.60209364
1975-01-01,0.30618596,-0.5028001,-0.4772118,-0.007644087,-0.23433922,-0.096000955,0.58313173
1975-02-01,0.16075468,-0.17708343,-0.42436633,-0.20632504,-0.16608518,-0.01855099,0.45460254
1975-03-01,0.054858394,-0.036475655,-0.4060606,0.026012078,-0.21565957,0.13864656,0.4347369
1975-04-01,-0.051053412,-0.048091274,-0.34056962,0.19595769,-0.11641873,0.19914772,0.44833124
1975-05-01,-0.0317044,-0.24419694,-0.051736448,-0.20659235,-0.07541432,0.1163701,0.31375247
1975-06-01,-0.046057362,-0.21181284,-0.3511586,0.23610492,0.036056817,-0.0042863507,-0.03512365
1975-07-01,0.03662335,0.020548146,-0.22337076,-0.038090713,0.027301323,-0.08898257,0.029454488
1975-08-01,0.017280132,0.030572893,-0.19105701,0.13237126,-0.00046339497,-0.061756067,-0.11394522
1975-09-01,0.010474789,-0.25337142,0.040466793,0.08702313,0.02792629,-0.025966657,0.042043477
1975-10-01,-0.0013458654,0.08124884,-0.18313326,-0.14846456,-0.06713219,0.08850364,-0.0015697108
1975-11-01,0.0337661,-0.12215243,0.020279385,-0.18131247,-0.088177666,0.012966384,0.2608592
1975-12-01,0.21512972,-0.53780264,-0.41116148,-0.2744705,-0.09867983,-0.03000244,0.4727264
1976-01-01,0.2679432,-0.7257575,-0.3681353,-0.2699029,-0.21007471,-0.053338725,0.6186222
1976-02-01,0.09762434,-0.18353134,-0.18617587,-0.178541,-0.1927993,0.09469982,0.34436947
1976-03-01,0.00912339,-0.03918829,-0.3995122,-0.025378611,-0.17741862,0.11677588,0.49314854
1976-04-01,0.016619787,0.06247842,-0.19772282,-0.25646016,-0.13081142,0.18184075,0.17639738
1976-05-01,-0.00038484938,-0.083180085,-0.06322017,-0.2998487,-0.06590637,0.06285166,0.29144993
1976-06-01,-0.05442443,-0.0645822,-0.42061248,0.072158724,0.07493622,-0.074114725,-0.058297165
1976-07-01,0.042673297,0.121111274,-0.06229417,-0.24779204,0.02239485,-0.12090461,0.09022513
1976-08-01,0.03993056,0.1263295,-0.095479645,0.14780577,0.050621405,-0.08514917,-0.21918659
1976-09-01,0.0038056823,0.0047595827,-0.0030194742,-0.2502224,0.065485135,-0.048948962,0.05514022
1976-10-01,0.05443541,-0.23549871,-0.17520928,-0.19041838,-0.024343038,0.04330572,0.35221142
1976-11-01,0.22354874,-0.48938364,-0.18431112,-0.3397347,-0.01508047,-0.120383166,0.5640848
1976-12-01,0.2860423,-0.5611974,-0.4413287,-0.3758571,-0.19658856,-0.011276494,0.672561
1977-01-01,0.33566272,-0.92162853,-0.37243465,-0.41669822,-0.19204968,-0.06673912,0.71220696
1977-02-01,0.40230492,-0.60765374,-0.32978714,-0.631188,-0.12829258,-0.20734398,0.49673676
1977-03-01,0.11723388,-0.19597264,-0.50416857,0.081337065,-0.33849138,0.21888645,0.6532839
1977-04-01,0.10359611,-0.017236544,-0.131253,-0.29745588,-0.14897385,0.06105679,0.3228878
1977-05-01,-0.015452158,-0.0023523732,-0.29752743,-0.102037504,-0.07654408,0.1593808,-0.023283854
1977-06-01,0.027154671,-0.2542467,-0.19299603,-0.23218013,0.052427933,0.0011602307,0.047193382
1977-07-01,0.0086464025,0.10060418,-0.1758156,0.09018757,0.037615504,-0.07317364,-0.08766913
1977-08-01,0.02388961,-0.11765707,0.03669916,0.10156524,0.025486244,-0.07955465,0.0061331596
1977-09-01,-0.023635121,0.08134951,0.017336879,0.18661708,0.049454484,-0.019812929,-0.15484306
1977-10-01,0.02867967,-0.11632605,0.0251816,-0.31060487,0.019667527,0.085617855,0.14310879
1977-11-01,0.07711724,-0.42596278,0.08836917,-0.21231468,-0.045520406,-0.023485376,0.20944017
1977-12-01,0.13339962,-0.32430866,-0.1605175,-0.016074674,-0.08621628,-0.056428265,0.23937024
1978-01-01,0.22599116,-0.34825343,-0.3569131,-0.30928713,-0.09039494,-0.08898457,0.26883483
1978-02-01,0.36348167,-0.61128616,-0.37757352,-0.3905947,-0.036017865,-0.14871821,0.3103577
1978-03-01,0.14317608,-0.22356042,-0.282515,-0.24764763,-0.12959255,0.033589832,0.23138511
1978-04-01,0.07242392,0.016157353,-0.4176527,-0.020545142,-0.12901273,0.1791412,0.13569117
1978-05-01,0.014849657,-0.15210862,-0.078363925,-0.08400163,-0.05379779,0.01835993,0.20805563
1978-06-01,-0.014327449,0.24070518,-0.19695969,0.20814277,0.092381634,-0.17269279,-0.17103253
1978-07-01,0.082279235,0.051740397,-0.0033571634,0.13866517,-0.014063345,-0.11369352,-0.0772466
1978-08-01,-0.014259322,0.22202167,-0.1469196,0.06275407,0.024559768,-0.113689855,-0.022807555
1978-09-01,0.004793078,0.107285105,-0.09786206,-0.16034913,0.05410987,-0.06973977,-0.04658305
1978-10-01,0.06830521,-0.28420356,-0.25111896,-0.1632382,-0.00952849,0.05053139,0.30852053
1978-11-01,0.062077384,-0.32483134,-0.55239904,0.006114731,-0.12531546,0.10593644,0.4167744
1978-12-01,0.14484927,-0.26431176,-0.43944338,0.20204763,-0.18086451,0.06711489,0.5339474
1979-01-01,0.1820872,-0.29350072,-0.570047,0.019107806,-0.17753579,0.014158728,0.42252886
1979-02-01,0.111420415,0.11016815,-0.27111578,-0.10175559,-0.06653033,-0.027736252,0.30324706
1979-03-01,0.15616922,-0.4245676,-0.55237544,-0.0848193,-0.22579461,0.14728266,0.35223466
1979-04-01,-0.019532872,0.19215281,-0.5752516,0.0931235,-0.03258043,0.024074677,0.20491774
1979-05-01,-0.023628995,-0.2950821,-0.13609631,-0.31522503,-0.051698398,0.090321295,0.32980993
1979-06-01,-0.076693565,0.15185066,-0.18673404,0.032293174,0.061542492,-0.08119287,0.0037514202
1979-07-01,0.039583117,0.10798839,-0.034720883,-0.04306583,0.07333939,-0.102196075,-0.09522758
1979-08-01,-0.00825777,0.10630658,0.09375216,-0.0983504,0.06431446,-0.074064456,-0.038789734
1979-09-01,0.09274275,-0.028104717,-0.08742751,-0.23040494,0.059290364,-0.0964799,-0.088530876
1979-10-01,0.010939014,-0.21654308,-0.071567476,-0.15026015,0.07126144,0.03884415,0.091310285
1979-11-01,-0.03570681,-0.04346252,0.24332868,-0.2319872,-0.06290743,0.08206352,0.28710562
1979-12-01,0.14001347,-0.26258713,0.003615921,-0.35419938,-0.020291675,-0.1071216,0.33720914
1980-01-01,0.1356011,-0.3567607,-0.22620675,0.054201204,-0.03186005,-0.21073176,0.30903447
1980-02-01,0.15915099,-0.40286002,-0.3960127,-0.24105805,0.05273679,-0.20746946,0.21430762
1980-03-01,0.13162425,-0.24677776,-0.5976653,-0.025324889,-0.258866,0.17088643,0.48913047
1980-04-01,0.17292717,-0.016015176,0.040514797,-0.55614215,-0.14845547,0.026676204,0.3358577
1980-05-01,0.0033139517,-0.07171672,-0.17966564,-0.22433633,-0.032804713,0.09495528,0.1942648
1980-06-01,-0.040766217,0.22077319,-0.2947385,0.36719328,0.15456396,-0.11309864,-0.27449772
1980-07-01,0.008765632,0.010354262,-0.29726475,0.27964607,0.12650311,-0.14932366,-0.18603869
1980-08-01,0.023752706,0.016697261,-0.3095224,0.28005406,0.041076887,-0.07911223,-0.12336906
