,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,sst_cluster11
1968-08-01,23.598907,14.820557,9.710236,28.542542,22.97815,17.223846,26.147125,21.181244,25.727203,18.77002,13.568695
1968-09-01,23.369385,14.680084,10.217194,28.836334,22.61856,16.616486,26.314789,20.856781,26.022003,18.572662,13.134399
1968-10-01,23.903076,15.291901,11.082764,29.129639,22.942047,17.312378,26.605133,21.70108,26.644226,19.387299,13.477173
1968-11-01,24.670227,15.984375,13.173981,29.674194,23.16214,17.500336,26.441437,21.985474,27.542908,19.28836,13.976746
1968-12-01,25.921082,17.826294,13.966858,29.76471,23.730469,19.616302,26.530457,23.588013,27.97174,21.316772,15.71579
1969-01-01,26.160858,19.408966,15.771515,29.988037,24.640564,21.194366,26.992035,24.39444,28.24878,22.666992,17.40207
1969-02-01,26.245972,20.013489,16.692932,29.61322,25.82962,22.28601,27.297638,25.312256,28.72409,23.807343,17.965576
1969-03-01,26.67926,19.789429,16.694977,29.503479,27.305847,21.811218,27.672455,24.768738,28.725128,23.089478,17.607666
1969-04-01,26.833588,19.251556,15.087524,29.83728,27.67398,21.193848,28.384155,24.405731,28.7005,22.67212,16.655518
1969-05-01,25.797821,17.640503,13.371857,29.486053,26.62799,20.034027,28.24878,23.389435,27.856537,21.319489,15.578217
1969-06-01,24.743103,16.492462,12.913452,28.90152,25.796295,18.930573,27.916016,22.780304,27.153534,20.370392,14.907532
1969-07-01,23.876038,15.459778,12.02948,28.609253,24.11908,17.830719,26.937164,21.683533,26.783356,19.488434,13.993805
1969-08-01,23.309967,15.114166,11.923859,28.454407,22.862335,16.49707,25.91629,20.339111,26.439789,18.345001,13.813843
1969-09-01,22.960785,15.398254,11.116272,28.551819,22.179352,16.214539,25.641449,20.197083,26.598755,18.317322,13.368256
1969-10-01,23.376617,15.707428,11.451599,28.831268,22.382416,17.070831,25.746552,20.954407,26.324432,19.146942,13.427216
1969-11-01,24.29599,17.091858,13.805634,29.12918,23.69455,16.993408,25.899353,21.014893,27.196625,19.020813,15.4279785
1969-12-01,25.228699,18.708557,14.701416,29.147125,23.71811,19.055176,25.765015,22.712097,27.995483,20.881073,16.765228
1970-01-01,26.232635,20.436829,16.291931,29.224548,24.631805,20.634155,26.33493,24.301727,28.585052,22.554718,18.123138
1970-02-01,26.886597,20.855225,16.601349,29.604248,25.445923,21.704987,26.56427,24.882355,28.367065,23.490723,19.037964
1970-03-01,26.74765,21.088196,15.939636,29.308746,26.205261,21.054108,27.237854,24.75061,28.289581,22.68695,18.94757
1970-04-01,26.540497,19.946594,14.5289,29.542236,26.746613,20.647064,27.61081,24.501648,28.75708,22.342407,17.573517
1970-05-01,25.708344,18.2807,13.166229,29.410522,25.240326,19.512695,27.780243,23.81668,28.111359,21.401764,15.816711
1970-06-01,24.647827,16.902008,12.114502,28.729187,23.281525,18.565826,26.538452,22.72519,27.020905,20.463165,14.786682
1970-07-01,23.722656,15.800171,11.363434,28.292175,21.66623,18.0596,25.460907,22.1828,26.600952,19.88565,13.51593
1970-08-01,23.143097,15.308929,11.545258,28.232758,21.089233,16.38028,24.987732,20.792206,26.262085,18.081299,12.882111
1970-09-01,22.857422,15.5243225,10.509552,28.193512,20.650177,15.910187,24.660217,20.601593,25.779083,17.944427,13.789185
1970-10-01,23.15445,16.33844,11.17334,28.324707,21.06186,16.710358,24.951569,20.978699,26.702698,18.866486,14.029907
1970-11-01,24.202545,17.80133,12.746765,28.460571,21.18222,17.03009,24.848267,20.760193,27.312256,18.929504,15.557373
1970-12-01,25.098267,19.641327,15.002594,28.492065,21.643005,18.438232,24.643188,22.23291,27.541595,20.230194,17.16388
1971-01-01,25.704285,21.444366,16.129944,28.550018,22.88675,20.51886,24.844025,23.632904,27.814758,22.06549,19.529602
1971-02-01,26.169281,22.374329,16.78418,28.431915,24.067719,21.0802,25.33319,24.36618,27.885895,22.778534,20.66214
1971-03-01,26.56903,21.128632,16.669556,28.414612,25.701813,20.82669,26.104065,24.522339,28.233276,22.418793,19.257324
1971-04-01,26.32196,20.283142,15.629883,28.754578,26.54779,19.970367,26.858093,23.697113,28.665161,21.569397,17.453247
1971-05-01,25.30603,18.803223,13.686951,29.087128,25.099976,18.58728,26.779541,22.359009,27.525665,19.84436,16.432861
1971-06-01,24.13443,17.622742,11.421356,28.528778,23.93628,18.38321,26.208801,21.8461,27.010284,19.773193,15.727234
1971-07-01,23.760376,16.093384,10.7612,27.946198,22.69107,16.929474,25.737885,20.85437,26.246857,18.49292,14.090668
