,abs_vo1000_cluster1,abs_vo1000_cluster2,abs_vo1000_cluster3,abs_vo1000_cluster4,abs_vo1000_cluster5,abs_vo1000_cluster6,abs_vo1000_cluster7,abs_vo1000_cluster8,abs_vo1000_cluster9,abs_vo1000_cluster10,abs_vo1000_cluster11,abs_vo1000_cluster12
1965-01-01,1.1596583e-05,7.502428e-05,4.0156e-05,5.6891626e-05,8.9621084e-05,2.8428734e-05,0.00011550073,1.0863365e-05,2.0026773e-05,6.607102e-05,-2.7024798e-06,8.473044e-05
1965-02-01,9.389101e-06,7.338213e-05,3.8145936e-05,5.5994275e-05,9.3156654e-05,2.8859464e-05,0.000111678004,1.6696158e-05,1.8519217e-05,3.227673e-05,1.3404999e-05,9.252843e-05
1965-03-01,8.159726e-06,7.5114025e-05,4.1843025e-05,5.8659407e-05,9.311178e-05,2.5548234e-05,0.00010217504,8.369249e-05,1.6051503e-05,2.7897651e-05,7.3388946e-06,9.248356e-05
1965-04-01,6.9124085e-06,7.798555e-05,4.1223855e-05,6.0175935e-05,8.910959e-05,2.3143333e-05,0.00010529783,9.228912e-05,1.7218057e-05,1.9848398e-05,3.776404e-06,9.416161e-05
1965-05-01,-4.9236755e-06,7.4458956e-05,4.399667e-05,6.127967e-05,8.760204e-05,3.3714143e-05,0.000109721776,8.128758e-05,1.2704373e-05,1.0515934e-05,5.5015225e-05,9.8944496e-05
1965-06-01,-6.440196e-06,7.5742166e-05,6.319104e-05,5.699033e-05,8.4075444e-05,3.144384e-05,0.000108456516,9.452354e-05,1.3673516e-05,7.231625e-06,9.443592e-05,9.950983e-05
1965-07-01,-5.6056583e-06,7.1784845e-05,5.5743014e-05,6.1800136e-05,8.5690685e-05,3.0519568e-05,0.00010670668,9.3751805e-05,1.4831099e-05,7.3123883e-06,0.00012515229,0.00010256083
1965-08-01,-5.8748687e-06,7.056445e-05,5.2234365e-05,5.8372254e-05,8.705466e-05,3.3938482e-05,0.00011159725,8.593587e-05,1.222878e-05,1.0129734e-06,7.476595e-05,0.000103144106
1965-09-01,-7.534966e-06,7.278091e-05,4.8725717e-05,5.9467024e-05,8.329475e-05,3.567037e-05,0.00011034095,7.949288e-05,1.0443049e-05,4.683141e-06,1.42395365e-05,9.947394e-05
1965-10-01,2.6320354e-06,6.953249e-05,5.0430684e-05,6.06964e-05,8.825711e-05,4.5451514e-05,0.000110879366,3.529827e-05,2.0906175e-05,3.0185904e-05,2.4092464e-05,8.3725405e-05
1965-11-01,1.7869077e-05,6.773778e-05,3.977014e-05,5.567123e-05,8.707261e-05,3.294242e-05,0.000108635984,-5.371012e-05,2.7268403e-05,4.345774e-05,1.407801e-05,8.657001e-05
1965-12-01,1.3355393e-05,7.367826e-05,4.1205905e-05,5.7914604e-05,9.401811e-05,4.198773e-05,0.000100873884,-5.4607463e-05,2.4181512e-05,5.2215903e-05,1.0574295e-06,8.2199906e-05
1966-01-01,8.778754e-06,7.1680304e-05,4.3010306e-05,5.633033e-05,9.5877505e-05,2.6830312e-05,0.00011362124,-2.0327363e-05,2.1062371e-05,5.4257274e-05,4.187619e-06,8.548929e-05
1966-02-01,1.0546608e-05,7.322819e-05,4.0444065e-05,5.8529968e-05,9.144564e-05,2.7864953e-05,0.00011926697,4.51159e-05,1.918046e-05,3.6057318e-05,-2.802335e-06,8.777855e-05
1966-03-01,1.0530317e-05,7.3659976e-05,4.353985e-05,6.122656e-05,9.692844e-05,2.2561388e-05,0.000107714804,8.9670764e-05,1.9327103e-05,3.1063326e-05,-3.8777143e-06,0.00010068308
