,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vo850_cluster7,vo850_cluster8,vo850_cluster9,vo850_cluster10,vo850_cluster11,vo850_cluster12
1965-01-01,7.811989235051442e-06,-0.00012124601198593155,-2.0536597276077373e-06,-0.001378534761897754,-3.821829371493853e-05,0.006776256486773491,-0.00010749842658697162,0.0016292588043143041,-3.040999198214762e-06,0.00013414267414191272,1.7568841788791666e-05,-0.0025759001800906844
1965-02-01,8.652601536596194e-06,-9.265853474392894e-05,4.4846291302746977e-07,-0.0017518717868370004,-6.104598166227031e-05,0.009593045251676813,-6.68345592202968e-05,0.00377730539184995,-2.844047876058011e-06,0.00018040564100374468,-0.00022333504906176435,0.00011144584277644753
1965-03-01,5.213318218011409e-06,-6.28324166675818e-05,-4.107570106270941e-08,-0.0007413143976009451,-4.9322478743205364e-05,0.012330868048593402,0.00039017493691062555,0.003341857882332988,-1.7778983351246262e-06,0.0001853701178333722,-0.0004837778760702349,0.001419336967956042
1965-04-01,3.004508243975579e-06,-4.532262623384172e-05,-5.80648531922634e-07,-8.804697131381545e-05,-5.220799216153359e-05,0.014156977704260498,0.0004034112498629838,0.0028434096748242155,-1.901968112276815e-07,0.00014951050616218708,-0.00016887108055622474,0.0019205082935513929
1965-05-01,-3.748527205971186e-06,2.1311775939962402e-05,4.572279976855498e-06,0.0006950006991246482,-4.5530027313765866e-05,0.008613136014901102,0.0008516178786521778,0.0020880373995169066,1.8819572423742482e-06,0.00016146519556059502,-0.0009599181794328615,0.0011934283975278959
1965-06-01,-1.550612796563655e-05,0.00010622077917849475,1.2703931133728474e-05,0.0026214240278932266,-2.996795147838485e-05,0.010073128942167386,0.0015109193918760866,-0.002342992593185045,-2.123876476362448e-06,0.00017963409845833667,-0.0014823589784403643,0.0019611134121078067
1965-07-01,-1.7735424989950843e-05,0.0001494269533643753,1.4735393051523715e-05,0.003221625229343772,-2.971562733162298e-05,0.007885383820394054,0.001991415920201689,-0.0052747618610737845,-4.752490728791873e-06,0.0001329926362814149,-0.0012146178050898015,-0.00030290664199128514
1965-08-01,-1.4438206562772393e-05,0.00011097499736933969,1.1377695955161471e-05,0.002530992242100183,-3.140025405122692e-05,0.00780551927164197,0.001904177333926782,-0.0038519410736626014,-1.7703133449020985e-06,0.00013923267943027895,-0.0014739309942039351,0.001520064688520506
1965-09-01,-1.279199932469055e-05,6.748936853413893e-05,1.0022054993896745e-05,0.001434786190657178,-3.7597098728130935e-05,0.005050647450843826,0.0013007687812205404,-0.0022207135771168396,-3.367714632849549e-06,0.0001507986871729372,-0.0014167365103882428,0.001466447974962648
1965-10-01,1.1053632533730706e-06,-2.9597719152331013e-05,1.9352899016666925e-06,-0.00028904667033202713,-4.138823896937538e-05,0.0024178156309062615,0.00039365972043015063,-0.0003210951490473235,-1.7461533027154052e-06,9.365257028548513e-05,-0.00046731972057993215,0.0005913050244998885
