,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8
1966-11-01,-0.046881914,0.02100414,1.0930017,0.030031323,0.011475503,-0.12739682,-0.57123196,-0.07674444
1966-12-01,-0.045787692,0.021323264,1.7653425,0.032310903,-0.016335428,-0.06320369,-0.6394372,-0.10432744
1967-01-01,-0.037598014,0.021098316,0.7301105,0.025702,0.011838794,0.00461936,-0.31167126,-0.083268166
1967-02-01,-0.07787979,0.003991604,0.1345675,0.015709996,-0.0019721985,0.02884084,-0.31836748,-0.07777524
1967-03-01,-0.04256785,-0.011440992,0.5000334,0.021830738,0.030881047,-0.03806889,-0.30220246,-0.088395
1967-04-01,-0.011440992,0.0286839,0.7309998,0.031718075,-0.0074127913,0.03265977,-0.31726885,-0.09802067
1967-05-01,-0.00066435337,0.010060072,2.727356,0.01351279,0.039512873,-0.2630192,-0.53677857,-0.04800856
1967-06-01,0.0025792122,0.027428329,1.6245236,0.023557127,0.031718075,-0.41556692,-0.3328061,-0.0587852
1967-07-01,0.009589195,0.02936393,1.6034935,0.020627499,-0.039010525,-0.5075873,-0.16095448,-0.08703482
1967-08-01,0.00880456,0.019162714,2.1840746,0.01942426,0.0013759136,-0.32459283,-0.4448105,-0.11434269
1967-09-01,-0.017980218,0.025231123,1.2623535,0.023661733,-0.010499358,-0.54881084,-0.3320738,-0.058994412
1967-10-01,-0.023211598,0.024394095,1.6684675,0.034019887,0.007915258,-0.20563066,-0.39689088,-0.078402996
1967-11-01,-0.0619241,0.022824705,0.85838455,0.026852906,0.016599357,-0.12742126,-0.2560091,-0.071759105
1967-12-01,-0.050885797,0.024812639,0.51305956,0.031351864,0.035013855,0.063577354,-0.2519809,-0.060093045
1968-01-01,-0.052340627,0.031721413,0.20323023,0.032428116,0.016136467,0.0823074,-0.31910735,-0.035788566
1968-02-01,-0.07878667,0.031981766,0.6039382,0.025509745,0.000551492,0.04901734,-0.20763218,-0.082692206
1968-03-01,-0.050183296,0.024021924,0.7044035,0.021232247,-0.011499852,-0.09652895,-0.61533296,-0.0340032
1968-04-01,-0.013545632,0.020823091,0.7258282,0.03406474,-0.049811304,-0.10076928,-0.31962806,-0.078377545
1968-05-01,0.017810255,0.03190738,1.0100024,0.0358873,-0.024406731,-0.19108015,-0.32334763,-0.04627776
1968-06-01,0.037598312,0.02465424,1.53234,0.013049215,0.039011747,-0.52357143,-0.23132575,-0.013954759
1968-07-01,0.01446265,0.018628567,1.6727905,0.030196398,-0.024481118,-0.25925964,-0.2242586,-0.03459832
1968-08-01,-0.010941923,0.022459716,1.5056708,0.029675633,-0.039545327,-0.39056003,-0.3622914,-0.10876632
1968-09-01,-0.026898831,0.023277998,1.4469762,0.0326885,-0.031064749,-0.253048,-0.30724192,-0.07729888
