,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8
1966-03-01,-4.8481583e-05,-1.1654269e-05,-8.5837266e-05,-6.542208e-05,-1.1673801e-06,-9.739638e-05,-4.3890504e-05,-2.592264e-05
1966-04-01,-4.9377733e-05,-1.0497424e-05,-9.1124544e-05,-6.329577e-05,-2.6745365e-06,-7.173396e-05,-3.8334387e-05,-2.6590678e-05
1966-05-01,-4.749582e-05,-9.3813105e-06,-9.489651e-05,-5.9328275e-05,1.7165876e-06,-8.5999e-05,-3.0179437e-05,-2.2313608e-05
1966-06-01,-5.5667064e-05,-1.1206193e-05,-9.5352734e-05,-6.276622e-05,-1.6073063e-06,-7.3013e-05,-3.633027e-05,-2.1466341e-05
1966-07-01,-3.4183948e-05,-8.134852e-06,-0.00010107178,-5.4749773e-05,1.8499122e-07,-8.31965e-05,-2.6464495e-05,-2.1710744e-05
1966-08-01,-5.5113083e-05,-8.183732e-06,-8.876197e-05,-5.7161225e-05,1.3173958e-06,-7.979928e-05,-2.8419729e-05,-2.9727198e-05
1966-09-01,-5.9944134e-05,-1.1923112e-05,-8.981291e-05,-6.915332e-05,1.1463126e-06,-8.449999e-05,-3.2517568e-05,-2.5776e-05
1966-10-01,-6.1809755e-05,-1.6933398e-05,-8.6839325e-05,-6.071323e-05,-3.6084384e-07,-7.792552e-05,-3.539339e-05,-2.3030527e-05
1966-11-01,-5.2253556e-05,-1.4741905e-05,-8.661121e-05,-6.310839e-05,-2.144996e-06,-7.182357e-05,-3.606143e-05,-2.3584507e-05
1966-12-01,-5.0518283e-05,-1.315328e-05,-9.30146e-05,-7.0717506e-05,4.7827416e-07,-7.136735e-05,-4.4908855e-05,-3.0044925e-05
1967-01-01,-4.5983244e-05,-1.2916476e-05,-9.071067e-05,-5.6712222e-05,-6.285012e-06,-7.003864e-05,-4.0748597e-05,-2.9710245e-05
1967-02-01,-5.098801e-05,-1.2756067e-05,-8.614703e-05,-5.8909827e-05,-3.2051612e-06,-7.569305e-05,-4.3852513e-05,-3.1266212e-05
1967-03-01,-5.6650446e-05,-1.3967157e-05,-7.828699e-05,-6.433967e-05,1.4146208e-06,-7.240467e-05,-3.8198094e-05,-3.4739067e-05
1967-04-01,-5.83187e-05,-1.5210328e-05,-8.569789e-05,-5.8460682e-05,-1.2561904e-06,-7.2909956e-05,-4.111754e-05,-2.806605e-05
1967-05-01,-5.7484573e-05,-9.989013e-06,-8.4021616e-05,-6.217415e-05,9.926589e-08,-7.363982e-05,-4.1053372e-05,-2.5828343e-05
1967-06-01,-4.2751006e-05,-8.818028e-06,-8.427827e-05,-5.650369e-05,3.4357727e-06,-7.662343e-05,-4.1302006e-05,-3.057645e-05
1967-07-01,-4.1499814e-05,-9.211028e-06,-8.741427e-05,-5.9703852e-05,3.3796314e-06,-7.787462e-05,-3.885577e-05,-2.7560764e-05
1967-08-01,-4.0834115e-05,-6.4118904e-06,-9.491339e-05,-5.644755e-05,3.4518162e-06,-7.238863e-05,-4.0339553e-05,-2.4368623e-05
1967-09-01,-4.6624882e-05,-1.06466905e-05,-9.482517e-05,-6.430759e-05,4.2538595e-06,-9.016195e-05,-3.810987e-05,-2.877185e-05
1967-10-01,-3.894931e-05,-1.2980643e-05,-8.4061714e-05,-5.308698e-05,1.711378e-06,-7.074444e-05,-3.357831e-05,-2.5323057e-05
1967-11-01,-4.3496904e-05,-1.1753513e-05,-8.247366e-05,-6.152449e-05,-6.3861444e-07,-6.439224e-05,-3.5743833e-05,-2.309337e-05
1967-12-01,-5.582434e-05,-1.4881487e-05,-8.450284e-05,-6.494121e-05,-6.867376e-07,-6.411152e-05,-3.9112423e-05,-2.9541814e-05
1968-01-01,-5.7076493e-05,-1.0086391e-05,-8.8217486e-05,-4.8069985e-05,-1.9165673e-06,-7.302297e-05,-3.6494388e-05,-4.2620693e-05
1968-02-01,-5.8844566e-05,-1.9680498e-05,-7.53571e-05,-5.8427155e-05,-4.1220046e-06,-7.635439e-05,-3.8578848e-05,-2.8615712e-05
1968-03-01,-6.672644e-05,-1.0179443e-05,-7.926547e-05,-7.209713e-05,5.2859905e-06,-8.302653e-05,-3.6289664e-05,-2.8113205e-05
1968-04-01,-5.6248293e-05,-1.134265e-05,-0.00010315303,-6.374067e-05,-6.448412e-06,-8.325917e-05,-4.7056277e-05,-2.3311502e-05
1968-05-01,-4.8738646e-05,-9.183743e-06,-9.112085e-05,-5.7487287e-05,3.8250073e-06,-7.154338e-05,-3.9062743e-05,-3.0355866e-05
1968-06-01,-4.4737226e-05,-1.3436416e-05,-0.00010500485,-6.5908884e-05,6.8028094e-06,-8.1137485e-05,-3.459604e-05,-2.5879857e-05
1968-07-01,-5.353105e-05,-2.8559116e-06,-9.872355e-05,-6.6951114e-05,2.643188e-06,-8.8191155e-05,-4.8079903e-05,-4.007095e-05
1968-08-01,-4.264346e-05,-1.3371275e-05,-9.8472294e-05,-6.8393485e-05,4.7369613e-06,-7.5507574e-05,-3.5647576e-05,-1.9337996e-05
1968-09-01,-3.876301e-05,-1.43204525e-05,-8.9185276e-05,-4.9782222e-05,7.1692193e-07,-7.525632e-05,-2.7681952e-05,-2.1664404e-05
1968-10-01,-5.107436e-05,-1.172418e-05,-9.669492e-05,-7.044073e-05,1.5079058e-06,-7.20831e-05,-3.2874494e-05,-1.6946447e-05
1968-11-01,-5.412661e-05,-1.6581718e-05,-9.856535e-05,-6.699764e-05,-9.953146e-07,-6.4284985e-05,-3.0557392e-05,-2.3023025e-05
1968-12-01,-5.3586886e-05,-1.5055593e-05,-8.9166664e-05,-5.5440047e-05,-1.0976728e-06,-7.565647e-05,-4.3157223e-05,-1.8426043e-05
1969-01-01,-5.2383166e-05,-1.6116683e-05,-9.6275464e-05,-6.787729e-05,2.5976187e-06,-6.736234e-05,-3.9786424e-05,-2.460806e-05
1969-02-01,-5.4387285e-05,-1.5123645e-05,-8.060361e-05,-6.21177e-05,-8.063937e-06,-7.0540045e-05,-3.4144196e-05,-3.000654e-05
1969-03-01,-5.882885e-05,-1.6604172e-05,-8.351952e-05,-6.339962e-05,-4.0737505e-06,-6.624292e-05,-3.713232e-05,-2.944683e-05
1969-04-01,-4.7327732e-05,-7.684932e-06,-9.806292e-05,-6.83738e-05,4.2197644e-07,-6.5917935e-05,-3.4559464e-05,-2.5745532e-05
1969-05-01,-4.6307618e-05,-6.601629e-06,-8.817774e-05,-6.258714e-05,-5.530019e-07,-6.882481e-05,-3.2889366e-05,-2.0139414e-05
1969-06-01,-4.7083988e-05,-1.1332071e-05,-9.5300486e-05,-5.5708133e-05,-5.906346e-06,-8.027176e-05,-2.7454771e-05,-2.0500516e-05
1969-07-01,-4.422225e-05,-7.3779956e-06,-9.2113754e-05,-5.272904e-05,1.9927684e-06,-7.9396086e-05,-2.0467436e-05,-2.636843e-05
1969-08-01,-3.8589053e-05,-1.0645977e-05,-9.381997e-05,-5.4841486e-05,2.7871938e-06,-6.87255e-05,-2.9359588e-05,-2.3136567e-05
1969-09-01,-4.637081e-05,-7.4592463e-06,-9.0145746e-05,-4.8811075e-05,1.8754145e-06,-8.2880724e-05,-3.2176187e-05,-1.963387e-05
1969-10-01,-4.673191e-05,-1.1765391e-05,-8.517156e-05,-5.169087e-05,-2.0995503e-07,-7.799681e-05,-2.449373e-05,-1.607701e-05
1969-11-01,-4.5531247e-05,-1.3697296e-05,-8.156053e-05,-6.0339273e-05,-2.466848e-06,-6.664014e-05,-4.009336e-05,-2.5221932e-05
1969-12-01,-5.5001165e-05,-2.4295652e-05,-8.535211e-05,-6.312879e-05,-4.6876303e-06,-7.300457e-05,-3.6590667e-05,-2.2946988e-05
1970-01-01,-5.97769e-05,-1.4780442e-05,-8.318232e-05,-7.159963e-05,-1.2348646e-06,-7.23651e-05,-3.4021698e-05,-2.80606e-05
