,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r400_cluster7,r400_cluster8
1970-07-01,7.3234024,53.37714,25.627066,37.694904,17.054462,25.862066,46.658073,13.661831
1970-08-01,9.872013,55.84797,20.339523,44.06809,21.46323,41.29937,35.090027,9.8703575
1970-09-01,11.904282,54.39824,20.397446,45.48803,13.544331,40.738342,50.866592,10.911316
1970-10-01,7.172802,57.704815,42.54885,48.970028,34.236076,23.058594,59.751976,14.006058
1970-11-01,8.84264,50.950993,40.490105,43.36805,25.675058,42.840122,38.398254,32.468597
1970-12-01,21.425167,46.92948,63.712254,42.845085,30.295658,45.10408,63.401123,38.0954
1971-01-01,28.13661,45.829647,50.388996,58.2212,28.71308,32.68412,59.57531,53.90867
1971-02-01,17.247936,40.16301,67.88762,43.36317,8.933933,59.100273,51.923992,46.659695
1971-03-01,14.4873085,38.477554,35.804832,30.077333,10.512882,33.142258,70.29662,44.622612
1971-04-01,15.616581,41.858604,35.111717,31.460182,25.987951,31.247177,48.62747,20.647583
1971-05-01,6.803871,53.609444,30.363031,54.708286,23.435257,31.370584,60.7012,15.258186
1971-06-01,5.284088,54.892555,18.669666,53.442085,16.493961,26.68783,49.389893,9.1165085
1971-07-01,7.485153,63.676525,16.409435,58.753716,19.591003,32.844723,53.274723,6.5976257
1971-08-01,8.399727,52.279003,13.81955,41.46133,12.7528305,43.48996,56.760586,5.316208
1971-09-01,12.051262,54.054054,21.398174,49.494705,13.527088,39.8435,47.682465,9.698051
1971-10-01,12.264267,55.43014,32.719624,44.70207,25.621109,32.180344,56.699726,24.283903
1971-11-01,12.389366,60.454384,35.519135,46.020676,26.91605,47.657104,40.468994,45.733288
1971-12-01,19.077084,47.12628,40.002407,42.453667,34.176857,30.959787,62.998623,31.739119
1972-01-01,18.735493,48.044464,59.44592,46.89538,22.15674,25.616997,70.247635,36.07578
1972-02-01,13.762085,45.746292,41.19384,35.645077,15.666931,42.014614,53.682617,28.365374
1972-03-01,27.291052,44.80037,42.201523,40.92729,17.495388,38.68763,67.536644,34.595135
1972-04-01,15.247604,46.52481,42.424187,32.925957,34.613014,17.89684,71.2797,20.5542
1972-05-01,8.921951,48.402027,15.956234,40.182903,20.750858,25.79903,80.94697,9.006466
1972-06-01,4.322361,51.80865,17.17033,42.742744,34.42935,29.046371,40.802143,8.621269
1972-07-01,5.7591248,58.76492,8.305962,39.131336,24.895365,17.693676,67.47651,4.0135536
1972-08-01,11.065716,51.647747,16.063503,52.6278,25.394331,29.462448,32.615524,5.799755
1972-09-01,4.618164,44.290028,38.669754,37.294754,26.294744,15.062321,40.078884,7.6737213
1972-10-01,6.323101,47.784416,44.02023,48.434536,34.77717,29.728996,35.625572,24.471163
1972-11-01,5.6567307,49.321945,46.924633,42.518456,33.917385,40.12602,38.03914,31.706982
1972-12-01,9.0471,47.293575,55.179516,38.33169,32.84794,23.834045,47.576378,30.730179
1973-01-01,23.503181,42.36427,58.454906,36.090927,22.849571,51.19129,46.156193,46.8213
1973-02-01,15.214813,36.654213,75.56537,49.547413,23.866116,36.038376,75.62942,58.221706
1973-03-01,15.965313,46.376255,40.695755,36.00717,17.935997,34.03813,52.4476,33.19402
1973-04-01,10.35379,54.152245,52.13065,35.105583,21.64581,19.428791,43.14105,19.351604
1973-05-01,5.8064384,51.004078,42.77483,36.32905,31.515654,34.58499,39.270294,10.729862
