,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta20_cluster9,ssta20_cluster10,ssta20_cluster11,ssta20_cluster12
1967-09-01,1.3563538,1.6833801,-0.3624878,-5.961212,-2.0307312,1.2977295,-6.0783997,0.6582031,3.6471252,2.7876892,-0.0234375,1.3042603
1967-10-01,1.6503601,1.3603821,-0.6043701,-5.823456,-4.091614,0.87506104,-5.687744,0.1463623,3.2590027,2.4421387,-1.2940063,1.2361755
1967-11-01,2.1931458,1.5611267,-0.67907715,-5.5570984,-6.89682,0.24743652,-5.04126,0.29553223,2.791626,1.81604,-3.316925,0.7016907
1967-12-01,2.917328,1.7138672,-0.377594,-4.717743,-8.238037,-0.1602478,-4.4853516,-0.39562988,2.436554,1.3878174,-5.242096,0.4102173
1968-01-01,2.8833008,1.8089905,-0.1303711,-3.0747986,-10.38858,-0.68533325,-3.4031982,-0.8208313,1.8342285,1.1684875,-6.383728,0.23861694
1968-02-01,2.064331,1.4559631,0.035949707,-2.273407,-11.832245,-0.8390198,-1.5136719,-0.68966675,1.4297485,0.57803345,-7.4445496,-0.28356934
1968-03-01,2.0757751,1.597992,-0.26223755,-2.1956787,-12.998474,-0.9838867,-1.0560913,-1.3375244,1.5287476,0.36590576,-7.431122,-0.14501953
1968-04-01,2.0635986,2.22583,-0.09439087,-2.535797,-12.398346,-1.1726379,-1.162262,-0.57614136,1.4601746,0.4269104,-6.9482117,-0.21459961
1968-05-01,1.7984314,1.7118835,-0.023712158,-3.2208557,-11.059937,-0.8373413,-2.6144714,0.0035095215,1.6149597,0.86016846,-5.9911804,-0.2571411
1968-06-01,1.0964355,1.0786438,0.13244629,-4.2814636,-9.062866,-0.2444458,-3.412445,0.596405,2.1880493,1.9095764,-4.6479797,0.65771484
1968-07-01,1.1786499,1.3329773,-0.6390381,-4.695343,-5.5668335,0.34918213,-4.050873,0.95755005,2.8514404,2.3073425,-2.5121155,1.0634155
1968-08-01,1.0699768,1.190155,-0.85653687,-5.366394,-1.9486389,0.6347046,-4.277771,1.228241,3.460907,2.7803345,-0.4494934,0.92752075
1968-09-01,1.3966675,1.3269348,-0.64953613,-5.698517,-2.0156555,0.81848145,-4.7587585,0.8258972,3.3320923,2.47937,-0.69851685,1.3056641
1968-10-01,1.9520874,1.4589539,-0.63623047,-6.1056213,-6.0255127,0.85305786,-4.7677,1.0360413,2.7810364,2.1959229,-2.9465637,1.5084229
1968-11-01,2.2706604,0.95895386,-0.509552,-6.0526733,-9.082153,0.37234497,-4.3719788,1.2492676,2.3309937,1.7344971,-4.9660034,0.77545166
1968-12-01,2.686737,1.3873901,-0.2749939,-4.8590393,-11.55014,-0.51834106,-3.7095642,1.1969604,1.9858704,1.2533569,-6.04364,0.7280884
1969-01-01,2.4726257,1.5204468,0.24319458,-3.7931824,-12.6770935,-1.0294495,-2.8799744,1.3015137,1.189209,0.3375244,-7.5516357,0.38778687
1969-02-01,1.7710266,1.5259094,0.3178711,-2.2263794,-12.917725,-1.2778015,-1.6756897,0.89471436,0.80703735,0.014862061,-8.760345,0.124053955
1969-03-01,1.3766785,1.7458801,-0.04107666,-2.0489807,-13.130035,-2.085907,-0.19744873,0.1404419,0.625,-0.3430786,-9.892517,0.117889404
1969-04-01,1.3526611,2.1930542,-0.09588623,-2.4796448,-13.057678,-1.8587036,-0.25378418,0.20767212,1.1101074,-0.13278198,-9.182831,-0.15841675
1969-05-01,0.96377563,2.1513062,-0.2765503,-3.5940552,-11.720642,-1.4251099,-1.6025391,0.8038025,1.422699,0.41207886,-8.175995,0.38641357
1969-06-01,1.0057068,1.3738708,-0.3146057,-4.2453613,-10.641418,-0.860199,-2.001068,1.2897644,2.1865845,1.3410645,-5.552887,1.3308105
1969-07-01,1.1025391,1.6193848,-0.16497803,-5.20224,-4.488983,0.48364258,-3.2430115,1.5578613,2.782318,2.1624146,-2.5856628,1.7942505
1969-08-01,1.1246948,1.9153442,-0.5991821,-5.6000366,-2.722992,0.9534302,-4.010498,1.0913391,3.1782532,2.5209045,-0.70840454,1.5533447
1969-09-01,1.2593689,1.9526062,-0.40093994,-5.929901,-2.3442383,1.1937256,-5.015167,0.29437256,3.2514038,2.664795,-0.6470337,1.5013733
1969-10-01,1.3099365,1.690918,-0.62158203,-5.874695,-5.454773,0.35006714,-4.831787,0.5013428,2.7328186,2.4477234,-2.5269775,1.2443237
1969-11-01,1.8589783,1.3970032,-0.61505127,-5.965576,-9.029785,0.003326416,-3.575653,0.4807129,2.0512695,1.9866638,-4.639099,0.8775635
1969-12-01,2.7455444,1.3852234,-0.71707153,-5.412323,-12.193939,-0.85858154,-3.303894,0.03463745,1.932312,1.6820984,-6.4778137,0.5894165
1970-01-01,2.681549,1.417511,-0.31088257,-4.185608,-13.500244,-1.3264465,-2.222168,-0.6192932,1.4779663,0.7201538,-8.143005,0.52130127
1970-02-01,2.1975708,1.4976196,-0.13162231,-2.862152,-13.928436,-1.6255188,-1.1833191,-0.7390747,1.1251831,0.29144287,-8.919342,0.224823
1970-03-01,1.8234253,1.7557373,0.071258545,-2.7703552,-14.0877075,-2.1959534,-0.9277954,-1.203125,1.2521057,0.15234375,-9.555389,0.09863281
1970-04-01,1.4232483,2.1841736,0.100860596,-3.1266174,-12.587433,-2.0299377,-0.8707886,-0.386261,1.3390503,0.42630005,-8.960663,-0.05618286
1970-05-01,1.1871338,1.6902466,0.33169556,-3.6029358,-10.271759,-1.7660522,-2.6772766,0.31878662,1.6597595,0.94174194,-7.137268,0.33169556
1970-06-01,1.1770325,1.688446,-0.14846802,-4.211731,-7.8855286,-0.947052,-4.429718,0.7157593,2.1073608,1.789154,-4.5252686,1.0587463
1970-07-01,1.3551636,2.2080078,-0.40838623,-4.675171,-3.6007385,0.18515015,-5.398346,0.25180054,2.7870789,2.7633057,-2.397644,1.4734497
1970-08-01,1.6136475,2.047058,-0.62872314,-5.6207886,-1.8080444,0.5826111,-5.7153015,0.11355591,3.1282043,2.97583,-0.62976074,1.4819336
1970-09-01,2.0075378,1.6289062,-1.0282898,-6.183563,-1.5644836,0.94241333,-5.988312,-0.21520996,3.1775513,2.925476,-0.21417236,1.813324
1970-10-01,2.294983,1.279419,-1.1954346,-5.992218,-4.6708374,0.8253784,-5.7881775,-0.4960022,2.8606262,2.7278442,-2.1335144,1.6973267
1970-11-01,2.5761108,1.5145874,-1.0811462,-5.6253357,-7.546936,-0.21124268,-5.6428833,-1.1281433,2.7832642,2.4345703,-4.51886,1.7139893
1970-12-01,2.7842712,1.8586121,-1.135376,-4.661957,-9.151367,-1.1167908,-4.9501953,-1.5036926,2.4242554,2.1034546,-5.7849426,1.2061768
1971-01-01,3.165985,1.6114502,-0.80041504,-3.225647,-10.687561,-1.1112366,-3.6757812,-1.4793701,1.9553528,1.654419,-6.9128723,1.045166
1971-02-01,2.5350342,1.4000244,-0.65063477,-2.3850708,-12.208435,-1.677948,-2.1488647,-1.5969238,1.7098389,1.065979,-7.904541,0.32772827
1971-03-01,2.4208984,1.6426392,-0.479187,-2.0035706,-12.533081,-1.8904114,-0.75686646,-2.0302734,1.4602966,0.7744446,-8.044861,-0.3699646
1971-04-01,2.071228,2.3504028,-0.7102356,-2.6018066,-12.524506,-1.7805481,-0.3025818,-0.93359375,1.4011841,0.92681885,-7.6414795,-0.61834717
1971-05-01,1.9868164,1.8237305,-0.60098267,-2.842865,-10.570618,-1.7063599,-1.9553833,-0.5861511,1.6522827,1.5905151,-6.1486206,0.0028686523
1971-06-01,1.7509766,1.9318237,-0.45385742,-3.6395264,-7.8327637,-1.1085815,-3.018402,-0.20974731,2.3103333,2.1171265,-3.753662,0.7478943
1971-07-01,1.5345764,2.0445251,-0.8451843,-5.083374,-3.4537048,-0.16229248,-4.080261,0.9302368,2.9828796,2.423523,-1.818634,1.0913391
1971-08-01,1.7149658,2.0168762,-1.1989441,-5.4880066,-2.0710754,0.6906433,-5.0640564,0.6846924,3.1331482,3.037262,-0.8648987,1.3048401
1971-09-01,1.8577881,1.7347412,-1.1490173,-5.8694763,-2.0364685,0.800354,-5.858124,-0.22598267,3.007141,2.8020935,-1.1168823,1.4664307
1971-10-01,2.4629211,1.5082397,-1.3942871,-5.989258,-4.372925,0.55407715,-5.7372437,-0.41394043,3.006958,2.4737854,-3.1044922,1.726654
1971-11-01,2.7027283,1.6546631,-1.0610962,-5.982666,-6.7974854,-0.057006836,-5.2132874,-0.77893066,2.8909912,2.2486267,-4.830353,1.1872253
1971-12-01,2.727539,1.7610168,-0.7921753,-5.104492,-8.185394,-0.9725342,-4.404297,-0.8331909,2.5284119,1.6201782,-5.969696,0.79003906
1972-01-01,2.8524475,1.5176697,-0.27331543,-3.1934814,-10.169098,-1.335022,-2.709015,-0.805603,1.5066833,0.92370605,-7.218811,0.27426147
1972-02-01,2.40979,1.5546875,0.08074951,-2.451538,-11.690674,-1.8446655,-0.71694946,-0.45059204,1.173523,0.37677002,-8.107697,-0.4534607
1972-03-01,1.9763794,1.677002,-0.16998291,-2.0949097,-12.156128,-1.8261414,0.44454956,-0.20297241,1.3876648,0.32595825,-8.552582,-0.6726074
1972-04-01,1.5804443,2.067749,0.018493652,-2.586975,-12.619995,-1.7830505,-0.09341431,0.6865845,0.9357605,-0.09436035,-8.069031,-0.62091064
1972-05-01,0.7470703,1.7489929,0.041656494,-3.4953918,-10.681946,-1.5087891,-0.67807007,1.4362183,1.3554077,0.5055542,-6.9181824,-0.44851685
