,mgu50_cluster1,mgu50_cluster2,mgu50_cluster3,mgu50_cluster4,mgu50_cluster5,mgu50_cluster6,mgu50_cluster7,mgu50_cluster8,mgu50_cluster9,mgu50_cluster10,mgu50_cluster11,mgu50_cluster12
1968-01-01,-0.34498444,-0.6133869,0.056159973,-0.84933245,-0.8227116,1.7464386,0.5849422,-0.08715782,0.8803307,0.5065365,1.1279457,0.2986706
1968-02-01,-1.0637634,-0.4485527,0.09736862,-0.97368777,-1.1334168,1.6713154,0.40296823,-0.28918877,1.0076027,0.59734076,1.375927,-0.09773369
1968-03-01,-1.3649868,-0.3606659,0.056524657,-0.9142456,-1.2089046,1.7278401,0.34462014,0.6535015,0.89783555,0.1608223,1.3051796,0.07147674
1968-04-01,-0.8500622,-0.027350616,-0.27897874,-0.94961894,-0.8383926,0.6560539,-0.22609977,0.79317284,0.55212176,0.40406188,0.71732026,0.7548817
1968-05-01,-0.56342584,0.10721512,-0.28700104,-0.6483959,-0.3683235,0.12617798,-0.59515303,0.55977935,0.14878845,0.39494553,-0.18853836,0.5145599
1968-06-01,-0.7282604,0.15207061,-0.55977935,-1.5320088,-0.63709104,-0.39713365,-0.44381255,0.71549606,-0.1743164,0.5313347,-0.38911057,0.6206802
1968-07-01,-0.9594654,0.14185944,-0.46058732,-2.1486778,-0.5127357,-0.45292893,-0.42740098,0.8438629,-0.51893616,0.39020386,-0.9087753,0.90658724
1968-08-01,-1.1374279,0.39749756,-0.8208885,-2.3047593,-0.6691826,-0.20895997,-0.4077095,0.66699445,-0.6567833,0.39676896,-0.476268,0.9481605
1968-09-01,-0.7293541,0.59223557,-0.70528567,-1.8062458,-0.5780136,0.15827027,-0.18999633,0.7815033,-0.4886673,0.7836914,-0.3759819,0.6779343
1968-10-01,-0.13164826,0.81359404,-0.60682297,-0.71257937,-0.3260208,0.22610016,0.044855498,0.9598301,-0.4212021,0.90658724,-0.08095856,0.35701904
1968-11-01,-0.14185944,1.0816323,-1.0765266,-0.35701904,0.11414413,0.28007203,0.17322159,0.5182064,-0.6987213,0.78806764,0.05287857,-0.19729042
1968-12-01,-0.058348082,1.6056736,-0.90403444,-0.6939804,0.74685824,0.41172028,0.3136223,0.54993325,-0.5014313,0.6739235,-0.012033844,-0.3912983
1969-01-01,-0.46309203,1.7611424,-0.7390892,-0.8558571,0.72648394,0.56592786,0.562278,0.42063063,-0.34035262,1.0983505,-0.049095917,-0.24249268
1969-02-01,-0.79846877,1.5279377,-0.63857573,-0.935804,0.8920158,0.6322731,0.6535034,0.5171639,-0.3506363,0.8333,0.0033172606,-0.4338997
1969-03-01,-1.0701538,1.5518223,-0.7987999,-0.9192177,0.7148735,0.52479327,0.5373993,0.50323105,-0.36622697,0.87012213,0.026869964,-0.47304383
1969-04-01,-0.82832414,1.1112877,-0.784536,-0.91291505,-0.10250397,0.641893,0.12472992,0.8830593,-0.19704667,0.56261027,0.07928314,0.21993561
1969-05-01,-0.23619004,-0.09387894,-0.39939994,-1.1437969,-1.1617107,0.30386275,-0.50588495,0.22457962,0.41698188,0.52346575,0.52346647,0.23320465
1969-06-01,0.22093049,-0.60142213,0.028196717,-1.1238937,-1.732946,-0.55597556,-1.8344542,0.56460035,0.6996139,0.2421608,0.39940032,0.5470192
1969-07-01,-0.428924,-0.8253387,0.15226288,-1.5567982,-1.8321323,-0.07928314,-2.413651,0.72648394,0.5632736,-0.25277632,-0.99783707,0.81936723
1969-08-01,-0.5864948,-0.90793914,0.6956333,-1.0442787,-1.1789604,-0.66246015,-2.6120243,0.851545,1.0140915,-0.32144395,-0.7696087,0.85652083
1969-09-01,-0.36888123,-0.7961464,0.49095687,-0.940448,-0.9328186,-0.17249832,-2.0255296,1.0240433,0.95769805,-0.14330673,0.12871036,0.90362626
1969-10-01,-0.13103256,-0.79448813,0.34002075,-0.7347771,-0.8764248,0.1728302,-1.2277243,0.61236954,1.0615288,0.000995636,0.7828773,0.5194855
1969-11-01,-0.3250931,-0.43655396,0.27301177,-0.8339634,-1.2884305,0.79150236,-0.8193674,0.3456604,0.9102608,-0.12672004,1.4247704,0.017581558
1969-12-01,-0.45844802,-0.17681083,0.13136367,-0.79946405,-0.7978054,1.1537491,-0.23818055,0.39143866,0.9304966,-0.056061935,1.3687084,-0.11743164
1970-01-01,-0.81201744,-0.21797982,0.1194725,-0.82965547,-0.84995574,1.8856106,0.53679657,-0.05624199,0.95312196,0.58904535,1.3587974,-0.30783463
1970-02-01,-0.72549057,-0.4768936,0.4502701,-0.82366484,-1.1078708,1.2053795,-0.0063228607,-0.27688465,1.1617839,1.0695999,1.2127011,-0.21631622
1970-03-01,-0.9165146,0.117808916,0.026956176,-1.1351601,-0.7987057,1.1201843,0.15674591,0.1946846,0.8885597,1.028999,1.1524655,-0.21565056
1970-04-01,-0.94247246,-0.061899565,-0.51915854,-1.0745914,-1.1574574,0.76309663,0.4349617,0.49552995,0.34776956,0.48421517,1.1850796,0.096177675
1970-05-01,-0.43895492,-0.0043258667,-0.95911217,-1.0476353,-0.48454818,0.35375977,-0.63596916,0.38204727,-0.30816728,0.18836136,0.35974997,0.41699067
1970-06-01,-0.568412,0.07155075,-0.96576804,-0.8745823,-0.3630783,-0.44361418,-0.73514175,0.7198334,-0.49652863,0.3347908,-0.4612526,0.531472
1970-07-01,-0.286203,0.0515831,-1.1914021,-1.7125576,-0.5294746,-0.59669954,-0.5810577,0.8492905,-0.725824,0.29019624,-0.6459526,0.7747444
1970-08-01,-0.5344669,0.21332093,-1.0952247,-0.9720909,-0.43096846,-0.58937836,-0.55376893,0.9464661,-0.73014987,0.37139815,-0.61034393,1.0636094
1970-09-01,-0.49952355,0.39901963,-1.0196807,-1.5784413,-0.3494339,-0.32048035,-0.38504258,1.1314999,-0.85860825,0.61966246,-0.3940277,0.8975452
1970-10-01,-0.34477463,0.8173424,-0.8765793,-1.1151924,0.19535065,-0.044594575,-0.102832794,0.6020241,-0.8868958,1.0346565,-0.35043183,0.30550498
1970-11-01,-0.6552712,1.133496,-0.85860825,-0.87058944,0.4582573,0.043595888,-0.03194809,0.3045063,-0.6366348,0.9497932,-0.105162814,0.025292587
1970-12-01,-0.81967163,1.3434894,-0.87924194,-1.0363204,0.71051484,0.26224136,0.2985161,0.891222,-0.59037626,1.1564586,-0.07554474,-0.18802834
1971-01-01,-1.0981022,1.2127469,-0.6656555,-0.9298927,0.79891664,0.541539,0.5483986,-0.2273285,-0.52945405,0.95014226,0.085575104,-0.23124847
1971-02-01,-0.95210266,1.1598343,-0.5719147,-0.7933639,0.8214531,0.6480179,0.4925453,0.2946127,-0.21230468,1.3496014,0.4020714,-0.056505583
1971-03-01,-1.4459546,1.2147064,-0.78813857,-1.0788323,0.76266253,0.4340805,0.24888611,0.5738743,-0.24627228,0.9779053,0.33478698,-0.06989708
1971-04-01,-1.2336506,0.94393694,-0.6911316,-0.8838383,-0.26521683,0.254438,-0.20479202,0.82602656,-0.2688095,0.2678299,0.5879189,0.3021248
1971-05-01,-0.5212883,0.15677872,-0.44649202,-0.5487248,-1.1232525,0.14991912,-0.7600487,0.7446976,0.18290825,0.537619,0.7264069,0.29036674
1971-06-01,-0.6924383,-0.4203621,0.38998643,-0.9119278,-2.4300663,-0.53435326,-1.7484064,0.63364637,0.80479586,0.4301613,0.7904245,0.62450063
