,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9
1965-01-01,-0.00013932262010378193,-0.00026241860824585374,-0.00015233093687460163,-0.0026402398361824453,-6.88620502842241e-05,-0.0002603279022474049,0.0002777356712613255,-5.8964679142106966e-05,-5.861340953549084e-05
1965-02-01,-0.00014829375705092536,-0.00020748425918605385,-0.00014733639545738697,-0.002825314732035622,-7.419114086480797e-05,-0.00030640490472756536,0.005686078657163307,-5.8090423910220255e-05,-5.4451768541125086e-05
1965-03-01,-0.00015157993588292478,-0.00025471088318024867,-0.00015409812807444143,-0.0020865983969997615,-7.471729424972128e-05,-0.0002204955308116041,-0.009550067625241354,-5.8420159019015986e-05,-5.7081856241103334e-05
1965-04-01,-0.00017228552938572,-0.0001811430492024455,-0.00016303275928790257,-0.0024587898224126548,-7.231761387896874e-05,-0.0003533979098493647,0.0050606238801265135,-5.6343781360392945e-05,-5.650900511384072e-05
1965-05-01,-0.00017137449039906566,-0.00012049167708028108,-0.0001545425898670642,0.0006244041287573054,-7.730452179042485e-05,-0.00026264001967825205,0.004647843161365017,-5.533411930283082e-05,-5.6296188572038075e-05
1965-06-01,-0.0001671861522184799,-0.00024997542722202424,-0.00016359730083918706,0.001806757427402772,-7.870996261558235e-05,-7.940405642633172e-05,0.00597412945353426,-5.4773905691851315e-05,-5.446095887326338e-05
1965-07-01,-0.00017031197785399854,-0.0001358349234376672,-0.0001669579796725884,-0.0005554849394684425,-7.672966897670823e-05,3.859107538220188e-05,0.0014568569895345718,-5.202077365287676e-05,-5.539761190686745e-05
1965-08-01,-0.0001704300265540654,-0.00012441677325922582,-0.0001704083975214003,-0.001063050967786694,-7.872176999679889e-05,-7.396898177426515e-05,0.0037020326999481767,-5.690091021623912e-05,-5.674312395982628e-05
1965-09-01,-0.0001535160385062728,-0.00013220854574077143,-0.00015893590567760506,-0.0009229297575075179,-7.549759522910736e-05,-8.07404022553884e-05,0.0036975463444832712,-5.71327121900234e-05,-5.650975768343206e-05
1965-10-01,-0.0001637008794279275,-0.00015028256004572744,-0.00015066477565348825,-0.0020338542526587844,-7.964240734616074e-05,-0.0001113317214023684,0.005053445784142241,-5.944387245610164e-05,-5.572568379200854e-05
1965-11-01,-0.00015868125566547472,-0.00012829438370924134,-0.00016355293072675437,-0.0014281673429650255,-7.684870310827938e-05,-0.00016077456166385673,0.002882749686250463,-6.35966716799885e-05,-5.615752041224175e-05
1965-12-01,-0.00015434102815746958,-0.00013246756983183636,-0.00015893902772487223,-0.0021848720280104317,-7.304508124113507e-05,-0.00018624389970985553,0.005102800423628651,-6.0355107115324715e-05,-5.580338740371384e-05
1966-01-01,-0.00014473514557740061,-0.00014620020212734947,-0.00014737747815987942,-0.0009030245564645156,-6.764177054291769e-05,-0.00028078983531385247,-0.0005353969299903838,-6.523795710908698e-05,-5.580281613667288e-05
1966-02-01,-0.00014277369589354768,-0.00019135493655792542,-0.0001464226476276632,-0.0026615967726684175,-6.801182654967038e-05,-0.0002564643081212934,-0.0009997653251048177,-5.997689029378495e-05,-6.001143066866656e-05
1966-03-01,-0.0001456450263503939,-0.0001739581623243996,-0.00014660808532922104,-0.0006811742878198856,-7.197264253858627e-05,-0.00042076292932809645,-0.000979397736955434,-5.703979946576573e-05,-5.670036600468982e-05
1966-04-01,-0.000167492633371861,-0.0001875698217190802,-0.00015520814155355433,0.0004932196134177502,-7.462847005466327e-05,-0.00027903129699148447,-0.0023716866053291596,-5.7094676494357534e-05,-5.482450988580002e-05
1966-05-01,-0.00015586935047877534,-0.000123898917081533,-0.0001654326214603233,0.0016380005035898648,-8.459531085570821e-05,-0.00023937759073709862,0.00801222849986516,-5.47544826484478e-05,-5.54690813424102e-05
1966-06-01,-0.00017376232604800285,-0.00010473810713544178,-0.0001618699289710176,1.1547654388266437e-06,-7.629045659782337e-05,-0.00026413442052823183,0.00801222849986516,-5.774590355376231e-05,-5.599972431153846e-05
1966-07-01,-0.00017476355721128686,-0.0002115587146060231,-0.000165007196218622,0.0004339386123319855,-7.882716170784345e-05,-5.6401313486276194e-05,0.0028862597901024856,-5.193644028622657e-05,-5.6107850110999956e-05
1966-08-01,-0.0001668319318738139,-0.00019525543595793555,-0.00017111762479709628,4.987700208403112e-05,-7.707284941502353e-05,-0.0003339749633192292,0.0034361692087259144,-5.242335991452223e-05,-5.629096792335241e-05
1966-09-01,-0.00015844460885629667,-6.257943015144621e-05,-0.00016003763117954472,-3.1111991916077386e-05,-7.25290807595764e-05,-0.00021166073970056864,-0.002815687366819475,-5.484591383719817e-05,-5.8526459903733953e-05
1966-10-01,-0.00015349749223880318,-0.00016229916784343208,-0.0001551454558714547,-0.0017258678781217895,-7.55372853103943e-05,-0.000168975192435836,0.0017986618331633508,-5.69109635825012e-05,-5.781596018260032e-05
1966-11-01,-0.00016078613080768562,-0.00011829948157861105,-0.0001545802925565195,-0.0009184223017655313,-7.637419297252028e-05,-0.00022642371833272694,-0.00013375974958762527,-5.66058136835887e-05,-5.640692611226858e-05
1966-12-01,-0.0001583223430705922,-0.00012058092882701507,-0.00015272422884167594,-0.002969813795061782,-7.20718844604562e-05,-0.0002841904157927881,0.002457737718941644,-5.983076899328494e-05,-5.497040308641698e-05
1967-01-01,-0.0001435185609176299,-0.0001584409599470544,-0.0001472539720866321,-0.002579696592874825,-7.113012142166125e-05,-0.0003437697159824893,0.005168219286133535,-5.186613697301725e-05,-5.575494790226927e-05
1967-02-01,-0.00014514053520765536,-0.00021809129167296408,-0.00014805732379582793,-0.002467453850840684,-6.803745356913115e-05,-0.0002158496095540209,-0.00043967957026325166,-5.583314461922594e-05,-5.644036301404055e-05
1967-03-01,-0.00014093556626680858,-0.00021397415063499164,-0.00014735639111181212,-0.0017076294170692563,-6.79909723711556e-05,-0.0003737941167653642,-0.0016275080270133913,-5.377352173472273e-05,-5.709482835657985e-05
1967-04-01,-0.0001497656238807023,-0.0001186300121642287,-0.00015690065497024492,0.0014944565918995067,-7.318416304341928e-05,-0.00026980984936623525,-0.0016331228835042566,-5.4601559582053974e-05,-5.6578989538362206e-05
1967-05-01,-0.00016815875471588604,-0.00021932495049744224,-0.0001510365175570107,0.0007285104857146507,-7.287443462273051e-05,-0.0002756332024647337,0.006761884287698194,-5.872657593813372e-05,-5.5319468233914244e-05
1967-06-01,-0.0001578517816485647,-0.00014515810309805805,-0.00014848894683051515,0.00040901923057390377,-7.378717809307786e-05,-0.00021279378820003735,0.006604682857869193,-5.165841590998502e-05,-5.599611801594843e-05
1967-07-01,-0.0001617993004810141,-0.00010749704920777328,-0.00015708864587147465,-0.0006256660981307505,-6.903659034244757e-05,-0.00019199556441486088,0.006930313975317404,-5.428228178061545e-05,-5.686907615363751e-05
1967-08-01,-0.00015204020702204077,-0.00019790926065373546,-0.00015088290886276147,-0.0007096037279552547,-7.333044322876958e-05,-0.0003180677797192604,0.009753513586474583,-5.701890241370761e-05,-5.66771005338285e-05
1967-09-01,-0.00015993876387460196,-0.00021456584767697172,-0.0001569790897933258,9.412479471393453e-05,-7.896907899360966e-05,-0.00017956091243023466,-0.00044288753997534513,-5.4065094445832074e-05,-5.731612232086234e-05
1967-10-01,-0.00016774767795957776,-0.00019925169504454566,-0.0001623675317122516,-0.0006627014045079704,-7.20772250668447e-05,-0.00017434758774470538,0.002934524673037231,-5.689563263801794e-05,-5.470436239282536e-05
1967-11-01,-0.0001551317762612004,-0.0001395302711494474,-0.00015558447392488066,-0.0030131828680168837,-7.538427753923528e-05,-0.0001527251697552856,0.0020610976207535714,-6.0076144391446023e-05,-5.579093042007251e-05
1967-12-01,-0.00014532206292568268,-0.00014604796281976937,-0.00015673531875522298,-0.0020431716620805673,-7.199483287181732e-05,-0.00031137531348374777,0.0012470213732740376,-6.065274897866465e-05,-5.569457318968109e-05
1968-01-01,-0.00012668162377608218,-0.0001222967613203865,-0.0001601910083660517,-0.002447384031256661,-7.011634980859953e-05,-0.00023720234215337163,-0.004770753002958372,-5.952013076427553e-05,-5.6319580417001835e-05
1968-02-01,-0.0001457622286635546,-0.00021506218925221928,-0.0001505546705712649,-0.0021384832507465035,-6.845194307328818e-05,-0.00013525673744475676,0.004493004962569103,-5.812734437721043e-05,-5.495658652001962e-05
1968-03-01,-0.00014643421532035026,-0.0002458808416526558,-0.00014346524205228144,-0.00016680369299137965,-6.4280868627975e-05,-0.0002744723234273907,-0.0041537896322552115,-5.890274694358031e-05,-5.710435557450153e-05
1968-04-01,-0.0001490288960500335,-0.00011175312061418987,-0.0001577350948619741,0.0024675668100826442,-8.224227820071117e-05,-0.00027921214496018365,-0.0035312426916789263,-5.957744774761899e-05,-5.6642239713732666e-05
1968-05-01,-0.00015184530045133922,-0.00019302361680375825,-0.000158794659496793,0.002785793549264781,-7.714119125440073e-05,-0.00032572065214885195,0.00045249907998368144,-5.5510031886334565e-05,-5.7520925916147375e-05
1968-06-01,-0.0001740930851415864,-8.293422474202493e-05,-0.00015323226266032592,0.0015964702470228076,-7.949243701980723e-05,-0.000201295956180224,0.0004143461410421878,-5.660185205011532e-05,-5.7066393936588244e-05
1968-07-01,-0.00016371081333740482,-0.0001905417876615603,-0.0001538009845799851,0.0013890083209844306,-7.855758881573017e-05,-0.00029110310101209004,0.0017292324628215283,-5.407007722232234e-05,-5.5479982978288375e-05
1968-08-01,-0.00017474619885526446,-0.00031131263919329893,-0.00016474520221394909,-0.0007003812697803369,-8.045473591397132e-05,-0.00026732529173993197,0.0013821314496453851,-5.1305935906792255e-05,-5.5796734561793484e-05
1968-09-01,-0.00016957734371725547,-0.00021761649501665187,-0.0001675239698008888,-0.0006397257948265178,-7.92094036061077e-05,-0.00016905885584290244,-0.0008735536539461464,-5.6573735491838306e-05,-5.4440412717011615e-05
1968-10-01,-0.0001611026201150095,-0.00020683625431653735,-0.00015191956084560263,-0.00213517269003205,-7.672562038779313e-05,-0.00024544974116401543,0.002818922257574741,-5.9028043951598354e-05,-5.579217240218165e-05
1968-11-01,-0.00015877578371888674,-0.0002193057904757249,-0.00016159655139993197,-0.0020317911548772827,-7.690209044727345e-05,-0.00014647979090417115,0.0018595113942865282,-5.8500205843051065e-05,-5.5126423995105024e-05
1968-12-01,-0.00014954688483659104,-0.00014059421826257475,-0.0001664875493257899,-0.003696723797474988,-7.574208880481926e-05,-0.00026854142763315595,0.007105097029125318,-5.57021911814006e-05,-5.6040263528257876e-05
1969-01-01,-0.00014579745023796448,-0.00015358953330885724,-0.00014846447976941073,-0.002678396958799567,-7.64489681494203e-05,-0.0002375742244314299,-0.00029602595077449223,-6.330511402258456e-05,-5.599237215112792e-05
1969-02-01,-0.0001457930549656098,-0.00018409555195830762,-0.0001483434409072453,-0.0012748526387440506,-7.227200205092872e-05,-0.0004273874866258767,-0.00010464209481142461,-6.061511471514301e-05,-5.620116094998266e-05
1969-03-01,-0.00015567209778296552,-0.00020965768878037733,-0.00015813463092358273,-0.0013054042938165367,-7.21835383100209e-05,-0.00024732796898913674,-0.003094571002293378,-5.58001995849391e-05,-5.617778130771677e-05
1969-04-01,-0.00015351248962082426,-0.0001870633746471463,-0.0001540877102260393,-0.0001367103777738521,-7.8480208204008e-05,-0.00043628529561424837,0.0031543087970931083,-5.907712028570602e-05,-5.52487955008205e-05
1969-05-01,-0.00018221621665324332,-0.00021447962757924365,-0.00016782557808751747,0.0008675810022396035,-7.494415165317203e-05,-0.0002722606950555928,0.0028600094083230942,-5.6379004522098296e-05,-5.614815913982877e-05
1969-06-01,-0.0001774674960963276,-0.00016224009110980359,-0.00016223946162922815,0.00010860406973733916,-7.95344663749668e-05,-0.00026353657934426644,0.006474646943388507,-5.142401968096865e-05,-5.573345050401795e-05
1969-07-01,-0.00016691823364045397,-0.00020476713365901055,-0.00017554538234517992,0.0006739472610206576,-7.73049551379004e-05,-0.00012937515647435148,0.007993986218934879,-5.19315365416897e-05,-5.423254554100778e-05
1969-08-01,-0.00017107850741309932,-7.333652421140061e-05,-0.0001604480348760262,-0.0003057754156543524,-7.63482014864327e-05,-0.0002469711034791544,0.003906303754774854,-5.511215618000655e-05,-5.547652085997321e-05
1969-09-01,-0.00015557687183157827,-0.0002047035700848533,-0.0001643616269575432,-0.0005086243618279696,-7.446553140385623e-05,-9.469974126356344e-05,0.006610963464481756,-5.5874101988216545e-05,-5.8174765161043e-05
1969-10-01,-0.00016804627435072802,-0.000174719490233757,-0.00016132862418255005,-0.0008893056474335026,-7.636586574603022e-05,-0.00026285658047224086,0.004611357144312933,-5.679863283274182e-05,-5.561553973434531e-05
1969-11-01,-0.00015319801976296062,-0.00014956070420642695,-0.00015139088976535606,-0.002185910489060916,-7.184449473510646e-05,-0.0002021953049633238,0.002660501195350662,-5.541229946739522e-05,-5.833384525207383e-05
1969-12-01,-0.00014243380473071368,-0.00013668960592541326,-0.00015668225718069482,-0.002447431870677974,-7.03641623712268e-05,-0.0002614327362001253,-0.001768422225723043,-5.550772741493159e-05,-5.749973126035375e-05
1970-01-01,-0.00015103358571056505,-0.00015198604362214813,-0.00015018853776961225,-0.002339693128305953,-6.766586747129194e-05,-0.0002987073862136135,0.0009665287507232279,-6.012391481660949e-05,-5.713694562115559e-05
1970-02-01,-0.00013933337070237922,-0.000193837937937739,-0.00014471178556877103,-0.0020369323465274647,-6.927790336168768e-05,-0.0003387555706366483,-0.00026917914510704577,-5.9066943980849766e-05,-5.656302801816921e-05
1970-03-01,-0.0001531435391742128,-0.00017269661232906705,-0.00015413414406463164,-0.002024203058681451,-7.256846188016317e-05,-0.00024367723704522682,-0.003212189767509699,-5.822280995901032e-05,-5.807563702248564e-05
1970-04-01,-0.00014703874345583728,-0.00019755399181222956,-0.000159848198315806,-0.001417384555679746,-7.151365934987552e-05,-0.00031742840494391404,0.002693278656806797,-5.478360404156084e-05,-5.5538547056756695e-05
1970-05-01,-0.0001584794592083793,-0.00016149470967421721,-0.00015973325802902267,-0.001502738996350672,-7.580988360988318e-05,-0.00034195610270318057,0.007388157973764464,-5.589798720079828e-05,-5.812496689687861e-05
1970-06-01,-0.00015894596688259319,-0.00012214364283459468,-0.000155331363203004,-0.0007960295079101343,-7.028351694102371e-05,-0.0002793244776613493,0.006838773697381839,-5.24629561776488e-05,-5.6976615999955076e-05
1970-07-01,-0.0001652530193737499,-0.0002094480805681087,-0.0001599937571551312,0.0001561102067171305,-7.338577394394259e-05,-0.00026237359836361266,0.007945644756546244,-5.7256225333950516e-05,-5.438863376721351e-05
1970-08-01,-0.0001700635410237069,-0.0002445482500156181,-0.00015949532098602504,0.00012125450439270935,-7.216067388071679e-05,-0.00032927140030854696,0.0038852296711411327,-5.2256953745984054e-05,-5.736475531357726e-05
1970-09-01,-0.00015561467711338583,-0.0001698882139559525,-0.00014928319697818634,-0.0009090970706893131,-7.26290409147623e-05,-0.00042038526670593355,0.001821395562728867,-5.4737778053345996e-05,-5.651802372294249e-05
1970-10-01,-0.00015020785361471377,-0.000190216916154087,-0.00014852859418500552,-0.0018176357116317376,-7.431041039500782e-05,-0.00033396293777817243,-0.0004142231773585081,-5.509646645554438e-05,-5.6494071359935096e-05
1970-11-01,-0.00015285316906983452,-0.00019416988329289274,-0.00014829479782334104,-0.002209056037827395,-6.748570660206228e-05,-0.0001709527067659009,0.0011148134035465773,-5.3038405392977315e-05,-5.7293357929397576e-05
1970-12-01,-0.00014054737165475226,-0.0001882124504643596,-0.00015855948731768876,-0.0028450964236981235,-6.64634158323786e-05,-0.0003790945306213366,0.007504841050831601,-5.5134820787974735e-05,-5.552963206109333e-05
1971-01-01,-0.0001470159207071577,-0.00012411647831969376,-0.00014803218205501747,-0.0032233405363513157,-7.040466029780765e-05,-0.00023039497642053498,0.005544663144974038,-5.644789905937646e-05,-5.831437796527486e-05
1971-02-01,-0.00014619813276910964,-0.0001718362707631766,-0.00013726186642253939,-0.0019564749891287647,-6.767143344511756e-05,-5.407660965930619e-05,-0.0028028342057950795,-5.1397562793712935e-05,-5.830092247572898e-05
