,vws_u850-200_cluster1,vws_u850-200_cluster2,vws_u850-200_cluster3,vws_u850-200_cluster4,vws_u850-200_cluster5,vws_u850-200_cluster6,vws_u850-200_cluster7,vws_u850-200_cluster8,vws_u850-200_cluster9
1965-01-01,20.933813988166886,26.68567039019966,10.31868376931772,30.06307582113219,11.34066296969487,16.529143374836966,9.88152157301014,34.014806003029975,27.056647427063623
1965-02-01,23.37857588591701,30.94394124277098,4.849004908207095,29.277535467002277,15.504517237531413,21.950364535012223,4.968076627760978,19.170654416130194,35.05169116994467
1965-03-01,25.243515954843097,27.41817830442537,13.200931375174836,29.838364194218446,14.155072332698658,17.55076023028896,3.830116307915404,20.044066177824376,35.467880872658284
1965-04-01,29.091332860231155,28.385875768067216,12.887947338716563,29.569174731449003,16.717205118033895,13.836200207947504,14.007711751434313,26.552351654886156,25.640616107188755
1965-05-01,30.335507409459833,27.2666466400015,14.702407662330781,24.993779683498428,23.108982652338558,15.366283942794905,4.523617943229796,21.216438104926496,22.330919885348855
1965-06-01,28.51283139326475,26.004723552492862,12.936144077410168,21.58947907544435,19.423876128104407,7.007910619638194,-8.462818015100568,8.59440687808046,13.524163786031387
1965-07-01,28.030884114523367,21.43567772646925,9.131354327342583,17.957496021508103,18.217192096476282,3.468113513886471,-11.544602176055594,12.241510202841644,8.354180181634735
1965-08-01,28.052165042614686,19.2219296220943,6.435659368491974,18.059461540626735,18.09839462260442,3.127639367040055,-5.783581999226767,1.5935834309047603,7.904250831679663
1965-09-01,28.00626268976652,23.727192069388316,9.757018187979767,20.347011122557436,18.09123439326099,4.029628701739469,-4.179130953203945,6.95542432326702,10.070521349435502
1965-10-01,25.384211250938243,24.34737484130012,12.962183421372835,23.828455605916606,18.846577870554757,11.09869730420086,7.161213625170669,15.355444133666772,18.0589597914627
1965-11-01,30.804284777742893,27.606191183576364,15.085213969318074,27.42044684147416,15.541347397678273,4.808233711457738,12.248820889214434,17.26016988051706,28.709644784854387
1965-12-01,30.31176017625191,28.020286007215578,11.339140088747074,28.8498245356216,16.528964804912988,15.6064385388481,6.062936363242933,23.575034330392526,27.379496370587013
1966-01-01,27.110157066043882,26.3901271652688,12.724417156616331,29.41065025806568,14.9110665579314,13.9458480291421,9.124750510132811,29.22668591236748,37.04865270818735
1966-02-01,32.05104563178218,25.52278536668499,7.961710036272425,28.614545743218585,15.721815437500819,12.74130210010924,6.94838252552375,22.05597139264605,41.43154963162233
1966-03-01,27.132214040105474,30.767760328991486,10.786055740620204,27.482211863492555,16.64487741210051,13.641714670266765,7.248114504533127,24.534533237527484,38.2521363999451
