,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9
1965-01-01,0.08016235,-0.056577027,-0.052899837,0.02815622,0.3778056,-0.082107306,0.02237773,0.060620666,0.033251762
1965-02-01,0.018490434,-0.090827525,-0.03587967,0.025372028,0.77342,0.03924036,0.026947975,0.069708586,0.027263165
1965-03-01,0.06918329,-0.043496728,-0.032885373,0.029627085,0.29580396,-0.023954988,0.030362546,0.030572653,0.030257463
1965-04-01,0.059517503,0.01770246,-0.02537334,0.031360626,1.5855038,-0.11320597,0.013184726,0.055840254,0.002573371
1965-05-01,0.06540102,0.018753052,-0.020277798,0.02510935,2.3857155,-0.20434803,0.021694839,0.041709304,0.033304274
1965-06-01,0.08877748,0.017965078,-0.0036253333,0.018122673,1.7150464,-0.081109226,0.026265085,-0.005096197,0.029994786
1965-07-01,0.03246379,0.028681517,0.022167623,0.01633662,1.8532567,-0.582522,-0.007827878,0.02306062,0.040396035
1965-08-01,0.016914487,0.032411218,0.02742076,0.020801783,1.6763306,-1.0568285,0.0016278028,0.029364407,0.036088467
1965-09-01,0.039660573,0.03178084,0.029101789,0.02747327,1.0820423,-0.24731874,0.022115052,0.10957998,0.031360626
1965-10-01,-0.0010513067,0.027000487,0.018542945,0.033356786,1.5583451,-0.32937288,-0.023849964,0.016441703,0.02847141
1965-11-01,-0.020540476,0.04023844,0.010663211,0.023165703,1.4667827,-0.032675207,-0.0543707,0.03656125,0.007879078
1965-12-01,0.01870054,0.005462587,-0.021486044,0.020486593,1.8349757,-0.0012089014,-0.012765825,0.029206812,0.023270786
1966-01-01,-0.0015637279,-0.0038433075,-0.03165424,0.029575408,0.38418758,-0.012870491,-0.033614695,0.052872717,0.029621005
1966-02-01,0.017539203,-0.003296256,-0.054495692,0.029210627,0.6614763,0.06153518,0.014530122,0.030031323,0.034499288
1966-03-01,0.0013085604,0.0063236356,-0.10925132,0.029256225,0.80545485,-0.08517891,-0.0040256977,0.0672341,0.021551251
1966-04-01,-0.0070803165,0.027660549,-0.021487296,0.035912633,1.5265787,-0.091561735,0.0019012094,0.025836885,0.0064148307
1966-05-01,0.06568402,0.0054118037,0.0017188787,0.024514735,1.7239908,0.028754711,0.022964597,0.06253821,0.02784288
1966-06-01,0.04521334,0.02424115,0.006278038,0.020593822,2.124833,-0.8599186,0.010335684,0.04316169,0.03974235
1966-07-01,0.050319612,0.025061786,0.020183504,0.0255633,2.127842,-0.5408679,-0.03803712,0.026520729,0.03823781
1966-08-01,0.038876116,0.02802527,0.011293113,0.025152981,1.7625613,-0.5029812,0.017448008,0.06253821,0.037234783
1966-09-01,0.060121834,0.030715168,0.019590795,0.025152981,1.0809199,-0.29517424,0.008056104,0.04261464,0.031854987
