,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9
1965-01-01,17.638092,23.298828,28.084381,26.04013,28.437622,23.863647,26.723694,25.612518,28.281464
1965-02-01,16.363739,24.617096,28.060425,26.360962,28.71756,26.042633,27.092438,25.424408,28.18216
1965-03-01,16.494965,25.315125,27.825897,26.447266,28.94809,27.355377,27.000122,25.058655,28.414185
1965-04-01,16.72699,25.330597,28.647186,27.760529,29.693024,27.774017,28.095337,25.484772,29.13617
1965-05-01,17.928986,24.191956,28.628235,28.662659,29.635132,27.303009,27.756042,25.977753,29.151642
1965-06-01,21.070953,22.945068,28.934113,28.328857,29.563293,26.59845,26.748657,26.22525,29.175598
1965-07-01,24.042267,22.018982,28.426147,28.338348,29.5578,24.801208,26.034637,27.055023,29.085297
1965-08-01,25.401459,20.894318,29.089783,28.211609,29.227478,23.26239,26.09552,27.35141,29.527374
1965-09-01,25.30365,20.646332,28.874725,28.174683,29.508911,23.29184,26.20877,28.085876,29.372192
1965-10-01,24.334656,20.791534,28.86673,28.931122,29.157623,23.617676,26.595459,27.997559,29.39914
1965-11-01,21.908722,21.033539,29.162628,28.664673,28.903656,23.674042,26.92627,27.428223,29.511902
1965-12-01,19.444855,21.826874,28.48703,28.549408,29.01944,24.172516,27.320953,26.209778,28.768463
1966-01-01,17.75232,23.286438,28.364655,28.063599,29.058563,25.19165,27.3107,25.350006,28.23053
1966-02-01,16.527893,24.133636,28.162964,27.64151,29.49176,25.875488,27.654114,24.94101,28.20279
1966-03-01,16.649933,24.675262,28.33844,27.668732,29.960754,26.35202,27.902222,25.309143,28.483185
1966-04-01,16.375092,25.138702,28.594635,28.168,30.243164,26.215881,27.853302,26.00003,28.93753
1966-05-01,18.434631,24.1503,28.95871,28.208832,30.16803,25.023224,27.404999,26.562317,29.233551
1966-06-01,21.54663,23.570862,29.360138,28.465515,30.351074,24.591553,26.901215,26.557281,29.261292
1966-07-01,24.769562,21.82904,29.605743,28.942596,29.98648,23.98941,26.439789,27.070648,29.217926
1966-08-01,25.769073,20.835571,29.715668,27.700012,29.447876,22.497711,25.7146,27.484161,29.406036
1966-09-01,26.421112,20.554169,29.74945,27.416595,29.047485,21.572845,25.60971,27.72522,29.859894
1966-10-01,24.684326,20.254608,29.656158,27.155365,29.189178,21.652008,25.73227,27.827087,29.866943
1966-11-01,21.401886,21.095276,29.228027,26.978882,29.008148,22.067047,26.260254,27.159393,29.64859
1966-12-01,19.251587,22.363068,29.148834,27.194214,28.7323,22.718597,26.64502,26.148285,29.19574
1967-01-01,18.157349,23.49112,28.917053,26.086914,28.856476,23.785126,26.891724,25.667206,28.9982
1967-02-01,17.047516,24.828827,28.448792,26.175568,28.906036,25.81195,27.13562,25.42633,28.783844
1967-03-01,16.6203,25.043182,28.41275,26.693909,29.33725,27.109589,27.320953,25.716309,28.74179
1967-04-01,17.410614,25.009644,28.467316,27.63446,29.914703,26.77304,27.737122,25.721313,29.10138
1967-05-01,18.408752,23.748566,29.434418,28.47232,29.852112,25.770386,28.032104,26.386414,29.385345
1967-06-01,20.81372,22.6232,29.2471,28.423248,30.100006,24.170258,27.281372,26.796082,29.198517
1967-07-01,24.092133,21.479828,29.309204,28.382172,29.717377,22.549072,26.40744,27.317932,29.40686
1967-08-01,25.701263,20.808716,29.268646,27.179718,29.479492,20.759644,25.621124,27.769684,29.673828
1967-09-01,26.933807,20.340942,29.224579,26.960358,29.149445,20.223755,25.939667,27.599884,29.94928
1967-10-01,25.533508,20.539276,29.1109,26.509094,28.834442,20.674988,25.758362,27.237793,29.621735
1967-11-01,23.119507,21.002045,28.981659,26.854675,28.71875,21.517883,25.880066,26.80658,29.350769
1967-12-01,20.266815,21.879974,28.649628,26.202087,28.454315,22.112366,26.220123,26.43747,29.034271
1968-01-01,17.647736,23.486603,28.397614,25.74057,28.31253,23.158203,26.43103,25.876068,28.39563
