,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8
1965-01-01,-8.727112,-1.6313782,-2.2096863,-11.938934,0.9008484,-6.163971,-0.02822876,-6.1020813
1965-02-01,-9.66806,-1.0549622,-3.3691406,-12.797028,0.7772217,-6.656311,-0.8314209,-7.0345154
1965-03-01,-9.874023,0.075286865,-3.734314,-12.731598,0.9689026,-7.732483,-0.7215576,-7.276428
1965-04-01,-10.549347,0.99365234,-3.4241638,-12.911407,1.2396545,-6.847046,-0.8255615,-7.3140564
1965-05-01,-9.465607,1.7914734,-2.3843384,-11.916504,1.6537781,-5.498352,0.15289307,-6.510254
1965-06-01,-7.2322693,1.9251709,-1.2612,-9.627808,2.1322327,-2.5016174,1.0345154,-5.0004272
1965-07-01,-4.9476013,1.7005615,-0.7692871,-6.4135437,2.3013306,0.48110962,1.6546631,-3.8269348
1965-08-01,-3.3713684,0.9167175,0.1687622,-6.41156,2.2624207,0.95462036,2.0483398,-1.9737854
1965-09-01,-4.1904297,0.72683716,0.6769409,-5.689331,2.4612427,0.8156433,2.9856262,-2.1881104
1965-10-01,-4.7175293,1.5055237,0.7570801,-7.330597,2.6596375,-1.0446777,2.479004,-2.894806
1965-11-01,-6.8006897,0.8184509,-1.0791016,-9.999054,2.453064,-3.6777039,0.76956177,-3.9675903
1965-12-01,-9.446655,0.5974426,-2.686737,-12.303223,2.1706543,-4.5338745,-0.28970337,-6.2033997
1966-01-01,-10.608887,0.642395,-3.888153,-13.916534,1.5904846,-5.8312073,-0.684906,-7.542267
1966-02-01,-11.499359,1.0807495,-4.34848,-14.451477,1.3308716,-7.3202515,-1.4442444,-7.915344
1966-03-01,-11.55954,1.4648438,-4.5090027,-14.962006,1.2520447,-7.737488,-1.2139587,-8.172211
1966-04-01,-10.702576,1.1624451,-3.879486,-14.119659,1.6021729,-7.4145813,-1.1921082,-7.3646545
1966-05-01,-9.629028,0.5743408,-3.1095276,-12.716827,2.0019836,-5.505951,-0.12411499,-7.062683
1966-06-01,-7.5762634,0.95184326,-2.100647,-11.169342,2.6180115,-2.5888062,0.98410034,-5.8026733
1966-07-01,-5.991028,1.3772278,-0.7841797,-8.496857,2.563324,0.10839844,1.6495361,-4.1150513
1966-08-01,-4.610504,-0.23980713,-0.20046997,-5.5318604,2.3835144,0.59832764,2.2740784,-3.520752
1966-09-01,-4.131592,-0.60305786,0.44387817,-5.6268005,2.4474182,1.222992,2.605774,-3.1159363
1966-10-01,-4.7171936,-0.77160645,-0.17098999,-6.9164124,2.3101501,-0.7297363,2.3414001,-3.3535767
1966-11-01,-6.2534485,-1.0809021,-1.0486145,-9.2595215,2.0860596,-3.1318665,1.8908997,-4.4546204
