,zgv850_cluster1,zgv850_cluster2,zgv850_cluster3,zgv850_cluster4,zgv850_cluster5,zgv850_cluster6,zgv850_cluster7,zgv850_cluster8
1966-10-01,0.20687363,-0.052224733,-0.035877395,0.0947568,-0.036022045,0.04151938,-0.3111784,-0.35211915
1966-11-01,0.0865108,0.029078031,0.8768259,0.38105255,-0.10083282,0.5407647,-0.49447137,0.19255161
1966-12-01,0.038047384,0.030235386,1.0210588,0.2038356,-0.111682795,-0.034430694,-1.054332,-0.5543634
1967-01-01,-0.2063283,0.093255736,1.2661132,0.12273121,-0.053288996,-0.17751895,-1.1238981,-0.32789382
1967-02-01,0.21615347,0.03963369,1.2134902,0.388177,0.052456357,-0.010990858,-1.2509592,-0.3833477
1967-03-01,0.37285644,-0.014987528,1.1263961,0.27210695,-0.28143248,0.79300684,-1.1565378,0.25678632
1967-04-01,-0.077768624,0.0076602935,0.94188297,0.29691964,-0.24346408,1.3109093,-0.089758635,-0.06394682
1967-05-01,0.029975032,-0.026811004,0.8642808,0.18301438,-0.13955057,0.67543805,-0.056453027,-0.29175726
1967-06-01,-0.037801884,0.01615324,0.19833496,0.18867637,-0.21099114,1.487429,0.05711913,-0.4388016
1967-07-01,-0.06328069,0.060616206,0.743548,0.32089967,-0.08326405,1.0796016,0.03363868,-0.03613658
1967-08-01,-0.17069131,0.068776086,0.6191515,0.15020834,-0.0029975057,0.6204837,-0.056952614,-0.4129897
1967-09-01,-0.03213992,0.1263948,0.14870958,-0.034304798,-0.03763535,0.40399724,0.005495429,-0.28975886
1967-10-01,0.073938474,-0.0134887695,0.31307283,0.32289797,-0.02697755,0.43080822,-0.1801834,-0.15703602
1967-11-01,0.0049958467,0.03880105,0.6308085,0.25861815,-0.17185698,0.014154899,-0.76336485,0.16852646
1967-12-01,0.40083313,0.07726903,0.90957654,0.17035824,-0.0048293234,0.06378027,-0.85745317,-0.65745294
1968-01-01,0.18389232,0.031427335,1.3203723,0.21984974,0.0063704015,0.28879166,-1.0017107,-0.35532695
1968-02-01,0.22041598,-0.032701444,0.8955372,0.23004237,-0.041478418,-0.28553566,-1.1097244,-0.20937395
1968-03-01,0.19351871,0.0038222552,1.255819,0.27350268,-0.087486885,0.27930683,-0.48953015,-0.25481614
1968-04-01,-0.09357417,-0.016421486,0.77237606,0.1417061,-0.08394778,0.39496508,0.046857856,-0.5453065
1968-05-01,-0.08323996,-0.008069182,0.23089175,0.22607855,-0.22537073,1.0141684,0.40034452,-0.33111945
1968-06-01,-0.074038245,-0.0070782183,0.23400617,0.17992851,-0.33961332,0.9521631,0.3591492,-0.241226
1968-07-01,-0.045725346,0.052945137,0.7132021,0.24405725,-0.170019,1.1135467,0.25170174,-0.6659195
1968-08-01,-0.025056934,-0.036948346,0.5278942,0.261045,-0.1397242,1.3375018,-0.06214683,-0.30747813
1968-09-01,0.0651197,0.045017503,0.15798602,0.14043203,-0.14057359,0.40897995,-0.03185203,-0.036098957
1968-10-01,0.3843477,0.004671621,0.15713663,0.24165067,-0.10716436,0.6327934,-0.33281824,-0.07531233
1968-11-01,0.115233526,0.013590192,0.5059517,0.17964539,0.004671621,-0.17539847,-0.78313506,-0.42030516
1968-12-01,-0.03454175,0.03977964,0.9838735,0.20088008,-0.047565676,0.09867048,-1.3076317,-0.19734092
1969-01-01,0.03906498,0.039519213,1.0523318,0.25528508,-0.21985407,0.1433897,-1.0026678,-0.21364602
1969-02-01,0.08963747,0.017261267,1.0238658,0.14974909,-0.27057797,0.15414008,-0.73102987,0.06177721
1969-03-01,0.023923516,0.015747119,0.8356575,0.2566478,-0.044818737,0.2863251,-0.42729217,-0.41245347
1969-04-01,-0.087517664,0.00030281543,0.80295193,0.27133507,-0.1023563,0.72800165,-0.09160586,-0.2675497
1969-05-01,0.12082889,0.053752195,0.39655498,0.18563436,-0.2130404,0.93574256,0.14217836,-0.4824071
1969-06-01,0.06874225,0.06949933,-0.0016655565,0.25891903,-0.32902405,1.247051,0.33568627,-0.94437313
1969-07-01,-0.042244695,0.050269675,0.76070714,0.26194733,-0.08978888,1.1066896,0.27633172,-0.20895223
1969-08-01,-0.084943615,-0.02346927,0.11992041,0.019835304,-0.049209762,0.8947091,0.27875435,-0.18835983
1969-09-01,-0.019835318,0.015898537,0.14157268,0.041033365,-0.12703688,0.82157594,-0.042244673,0.08327808
1969-10-01,0.010296201,-0.055569183,0.23529837,0.18624002,0.024226343,0.9601202,-0.08206673,-0.39806908
1969-11-01,0.00015141963,-0.031039989,0.34991923,0.27784586,0.014990044,-0.19820176,-0.37762815,0.056629084
1969-12-01,-0.1770037,-0.02604332,1.0344648,0.27739164,-0.032705568,-0.18608859,-0.7366323,-0.3379575
1970-01-01,0.047933053,0.011131978,0.93469447,0.18858907,-0.09324682,-0.083817385,-1.0009626,-0.2638937
1970-02-01,-0.009953308,0.04557569,1.295633,0.266513,-0.08682953,-0.048194982,-0.90614414,0.133322
1970-03-01,-0.04884982,0.01741829,0.8976315,0.14982352,0.009167528,0.17051592,-0.39760858,-0.52831125
1970-04-01,-0.07425694,-0.05998181,0.9294559,0.2434632,-0.11747525,0.5589569,-0.104640745,-0.4175152
1970-05-01,-0.032479238,-0.03968229,0.5166554,0.3613314,-0.20640025,0.8964528,-0.030121874,-0.6431672
1970-06-01,-0.028026426,0.01885891,0.51966757,0.11970167,-0.10031891,0.9192406,-0.018335033,-0.42419443
1970-07-01,-0.059981775,0.06639905,0.26310793,0.19723272,-0.1210113,1.0597656,0.322042,-0.2710968
1970-08-01,-0.046492435,0.0069411276,0.28484803,0.21386524,-0.00039288998,0.71716225,0.28890795,-0.115248874
1970-09-01,0.025014233,0.020168543,0.108045794,0.14314432,-0.10372396,0.93796855,-0.052254893,0.16750374
