,mgv50_cluster1,mgv50_cluster2,mgv50_cluster3,mgv50_cluster4,mgv50_cluster5,mgv50_cluster6,mgv50_cluster7,mgv50_cluster8
1965-01-01,-0.01998294998581211,0.35342122033490975,-0.11162595289160114,-1.2690063979890611,-0.27180850978881593,0.06827547649542491,-0.6244463891517825,0.06396087710974646
1965-02-01,-0.04668332646057631,0.37375395580873655,0.03676416763905869,-1.0824371543195512,-0.3658801080688598,0.006744151314099629,-0.1642950969498332,-0.11662667403455641
1965-03-01,-0.06263213193354508,0.24774544319864047,0.10731091737285141,-0.4226224290000068,-0.5585216340564546,0.09229915464917819,0.24604891858449798,-0.2616182458205301
1965-04-01,-0.040493160486221313,0.1560909515720303,0.03997546786716742,-0.3070927742454741,-0.031408510865673187,-0.0018265880644321442,-0.18347138311804795,-0.11351051144912595
1965-05-01,-0.03938030276913196,0.10221435104386281,0.0904903436700503,-0.03538750267277162,-0.008620889413924445,-0.02496155460054676,-0.06217431822201101,-0.028529757114707448
1965-06-01,-0.01174900777793179,0.09786557343046544,0.01727862251099459,-0.011694197180784412,0.043372552664507,0.000780569389462471,-0.055451427654522226,0.057777933409956635
1965-07-01,-0.00958809832809493,0.003028899565402229,0.05873154069102088,-0.19166856590244505,0.020080961523548005,-0.007756945677101612,-0.04541451883752172,-0.02239575670635114
1965-08-01,-0.006835029853391461,0.0007778824942375897,0.01957255899328594,-0.05721871534155475,0.006795127595227862,-0.008417477986464897,0.014748460635906313,-0.021841786191111705
1965-09-01,-0.005445147204833726,0.10426069088911606,0.013496758156391076,0.2491045743227005,0.002503263143201669,-0.003963649272918701,0.1269075565221833,-0.14563965015724056
1965-10-01,-0.02153466872793312,-0.36405870469950014,-0.0028545145205287046,-0.7057559986909231,-0.12251405961929805,-0.008326517883688211,-0.2887473055502264,0.18827222654076875
1965-11-01,-0.007659429684281349,-0.070356874395225,-0.005965856041095053,-0.34603867679834366,-0.12410414360818409,-0.032316912431269884,-0.07462014058014242,-0.5678708924621833
1965-12-01,-0.03013887326233089,0.09863370934785423,0.004973570462460665,-0.38919825520780355,-0.18357703137019324,-0.031091053659717243,-0.35836881980663393,-0.26036500930786133
1966-01-01,-0.028378421363110345,0.42223543938943897,-0.04262152606668312,-1.165956175989575,-0.4751770742355831,0.06331062068541844,-0.5707891612518124,-0.07843405130456706
1966-02-01,-0.01506016415078193,0.15878875629376557,0.045457263585439944,-1.0903605984316933,-0.4892783505575998,0.06552623212337494,0.08943072724633101,-0.20023026183003284
1966-03-01,0.0165861090257143,-0.2411829970650754,-0.007214160390602526,-0.5169077465931575,0.03737940024288874,0.0002471720799803734,0.03283694840785934,0.05532109224405445
1966-04-01,0.008441778724469867,0.16245868498996155,0.014690327089886332,-0.23070795254574883,-0.14692988424074083,0.03787320231397947,-0.20910592340841527,-0.09827805591411277
1966-05-01,0.007729082183990007,-0.062133232920856804,0.025555539096510687,-0.394314941432741,-0.07875039582214659,0.023949339985847473,-0.09884991478629229,0.06373531994272451
1966-06-01,0.002104964126677563,0.09173808335247687,0.044184061157148936,0.03849896343631877,0.04895490608991138,-0.005880952114239335,-0.02495212389565096,0.050727601666919524
1966-07-01,-0.0042236148146912456,0.03529266785767119,0.0732209244670794,-0.06923473750551543,0.027202625596334063,-0.027958837648232777,-0.04236142537215861,-0.0443023644754144
1966-08-01,-0.011302128405077383,0.05007821877123946,0.028861036105442415,-0.06648256546921201,0.005224466116891967,-0.004148994572460651,-0.04220334585846924,-0.03339173119576251
1966-09-01,-0.021338115038815886,-0.015106770383604503,0.037263281275193356,-0.547291421227985,-0.08242321274583302,-0.020750076199571293,-0.01133088045185659,0.12749159922365283
1966-10-01,-0.010721418463314574,-0.09470173489239257,-0.02867735258137533,-0.15062129952841335,-0.06798085357461657,0.020432732669481386,0.2253503515952971,0.10372373412867061
1966-11-01,-0.02070847743501266,-0.004285487141144478,-0.008622210747165272,-0.44825466142760384,-0.15499628488979642,-0.022344442394872505,-0.20471834918347803,-0.22210618023012504
1966-12-01,-0.04643229088590791,0.20626159542697972,0.005572546244591706,-0.8553520672851139,-0.12069623621683272,0.08903491000334422,-0.3105824313512663,0.14213710779049357
1967-01-01,-0.11050271180768809,0.39318726729538483,0.07887329877346985,-1.1482853028509352,-0.47989487648010254,0.13953707615534464,-0.4454414655522603,-0.0020122172723173117
1967-02-01,-0.040365184152809284,0.4079340625617464,0.0019435445929682532,-1.112170351876153,-0.4201136411182464,0.12088801960150401,-0.571562458829182,0.07614321151717765
1967-03-01,-0.04627175415710857,0.12472952573986378,0.12440444656120714,-0.4183298183812036,-0.10828166490509396,-0.0538917084534963,-0.22699449483941242,-0.2554978014992886
1967-04-01,-0.09989570826292038,0.1952452300968817,0.1772838507511819,-0.05712258215579722,0.0850224897028908,-0.02913181607921918,0.08046856922347372,-0.22777050245003622
1967-05-01,-0.01878329312603455,-0.024590481830350425,-0.04331040640123362,-0.20462328361140358,-0.04995963166630457,0.09578432887792587,-0.052321620467232495,-0.005264995528049156
1967-06-01,-0.002869437836731474,0.06681394021389848,-0.03243396419656369,0.03951195523970657,-0.04119694173809082,0.003710371752580007,-0.0025107607631603395,0.0353615792071233
1967-07-01,0.0007867070962674916,-0.09655538251844503,0.04309347159294195,-0.054474728595879346,0.018050864575401185,-0.006882576892773311,-0.016181837631071488,-0.021387036645510157
1967-08-01,-0.004284241488979509,-0.03656512599880413,0.06072861539532048,-0.10498902863926358,-0.00014558035117160116,-0.02763134737809499,-0.002694620307898376,0.018560382552811356
