,abs_vo1000_cluster1,abs_vo1000_cluster2,abs_vo1000_cluster3,abs_vo1000_cluster4,abs_vo1000_cluster5,abs_vo1000_cluster6,abs_vo1000_cluster7,abs_vo1000_cluster8
1965-01-01,5.2859457e-05,5.3240888e-06,8.61662e-05,1.6052603e-05,0.000114163675,6.144735e-05,-4.4610966e-05,3.432228e-05
1965-02-01,5.1737767e-05,4.695948e-06,8.432663e-05,1.7811413e-05,0.000102480146,6.649944e-05,-4.8658014e-05,3.5964433e-05
1965-03-01,4.9359787e-05,1.1273538e-05,8.6363616e-05,1.6007732e-05,0.000104867104,7.036703e-05,-3.298128e-05,3.686179e-05
1965-04-01,4.7924023e-05,7.271346e-06,8.534064e-05,1.6079517e-05,9.216957e-05,7.168614e-05,-3.089941e-05,3.5452947e-05
1965-05-01,4.916237e-05,5.4497227e-06,8.426381e-05,1.5200116e-05,0.00010055084,6.794417e-05,-5.0443752e-05,3.6116988e-05
1965-06-01,5.049942e-05,3.38581e-06,8.541242e-05,1.7542203e-05,9.851385e-05,7.006193e-05,-4.1209994e-05,3.5614466e-05
1965-07-01,5.052634e-05,2.2910403e-06,8.67764e-05,1.175428e-05,9.83613e-05,6.547646e-05,-5.6420122e-05,3.657464e-05
1965-08-01,5.1513427e-05,-4.3691261e-07,8.57265e-05,1.2158089e-05,9.686272e-05,6.3861225e-05,-4.749146e-05,3.61798e-05
1965-09-01,4.7600977e-05,6.219648e-07,8.4604806e-05,1.2346536e-05,9.944709e-05,6.899408e-05,-2.874577e-05,3.548884e-05
1965-10-01,5.1468563e-05,1.4565026e-06,8.517014e-05,1.7784492e-05,0.00010079312,7.050163e-05,-2.303861e-05,3.838729e-05
1965-11-01,5.05084e-05,1.6718636e-06,8.607646e-05,1.6519225e-05,0.00010960512,6.786342e-05,-3.0154613e-05,3.8494967e-05
1965-12-01,5.0113562e-05,2.9461094e-06,8.407537e-05,2.3042972e-05,0.00010947052,6.964017e-05,-4.6800506e-05,4.2963788e-05
1966-01-01,4.9694405e-05,2.7990004e-06,8.5456704e-05,1.8729068e-05,0.00011016699,6.4380765e-05,-3.680834e-05,3.512103e-05
1966-02-01,5.1372645e-05,5.625939e-06,8.488643e-05,2.0391017e-05,0.00010424427,5.741525e-05,-5.09349e-05,3.2962125e-05
1966-03-01,4.8985632e-05,5.9844e-06,8.6214364e-05,1.7295231e-05,9.959244e-05,6.0177015e-05,-4.789614e-05,3.356499e-05
1966-04-01,4.812207e-05,6.888696e-06,8.7297885e-05,1.7010094e-05,0.00010184096,6.622194e-05,-3.9659728e-05,3.5560955e-05
1966-05-01,4.9800314e-05,1.2103751e-06,8.40799e-05,1.5234091e-05,0.00010198761,7.3896226e-05,-3.205061e-05,3.2253356e-05
1966-06-01,4.7706584e-05,-1.5014166e-07,8.4120635e-05,1.4965244e-05,9.9339886e-05,7.408361e-05,-3.455168e-05,3.7866503e-05
1966-07-01,4.985734e-05,1.2918404e-06,8.813701e-05,1.3335884e-05,9.876147e-05,6.44215e-05,-3.9724906e-05,3.5805362e-05
1966-08-01,5.2008094e-05,2.0831567e-07,8.741194e-05,1.1299184e-05,9.9233985e-05,7.146034e-05,-3.0633066e-05,3.7451016e-05
1966-09-01,5.105492e-05,3.3866445e-07,8.71431e-05,1.0191219e-05,9.98124e-05,6.583904e-05,-2.8131999e-05,3.731252e-05
1966-10-01,4.8936752e-05,-8.75209e-07,8.422654e-05,1.159247e-05,0.00010114034,7.050716e-05,-1.2555316e-05,3.7165875e-05
1966-11-01,5.1087507e-05,1.5118035e-06,8.4585e-05,1.2627112e-05,0.00010406504,6.08532e-05,-4.180398e-06,3.4876626e-05
1966-12-01,4.9800314e-05,3.9965794e-06,8.5473e-05,1.6496844e-05,0.00011356421,6.770466e-05,-3.6775757e-05,3.4542605e-05
1967-01-01,5.0467406e-05,4.7444278e-06,8.612322e-05,1.3997262e-05,0.00010913167,6.340374e-05,-6.9189715e-05,3.5207224e-05
1967-02-01,4.9055805e-05,5.7469856e-06,8.650018e-05,1.5304595e-05,0.0001042793,6.4606815e-05,-3.8728034e-05,3.323419e-05
1967-03-01,4.804523e-05,1.0045946e-05,8.677288e-05,1.5168247e-05,0.00010393442,6.099761e-05,-4.649183e-05,3.3827706e-05
1967-04-01,4.9913993e-05,5.177533e-06,8.488807e-05,1.5168247e-05,9.7614306e-05,6.563343e-05,-4.9371174e-05,3.7685542e-05
1967-05-01,4.948891e-05,4.600058e-06,8.681298e-05,1.4125588e-05,9.836021e-05,6.681244e-05,-4.810395e-05,3.4212688e-05
1967-06-01,5.041126e-05,4.775479e-07,8.594677e-05,1.2200679e-05,9.9900135e-05,6.9747926e-05,-3.2215434e-05,3.704391e-05
1967-07-01,5.1157163e-05,1.0068993e-06,8.6219465e-05,1.1414675e-05,9.717318e-05,7.3830335e-05,-6.160236e-05,3.636217e-05
