,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9
1965-01-01,1010.2443,1003.51306,1016.96313,1011.02075,1021.3608,1019.00165,1013.19196,1020.4355,1018.2996
1965-02-01,1009.6459,1016.1582,1015.01587,1020.2457,1020.3468,1017.21185,1020.95703,1020.1657,1022.7896
1965-03-01,1011.0517,1009.65326,1015.2745,1016.5228,1021.0482,1016.46826,1017.41583,1017.24164,1023.1493
1965-04-01,1010.8607,1018.9031,1015.63666,1023.15796,1021.4041,1012.60583,1018.29346,1017.0494,1020.94086
1965-05-01,1010.4018,1021.4333,1014.7455,1022.6929,1023.9778,1010.5717,1018.67664,1018.4007,1027.4656
1965-06-01,1011.4071,1017.6032,1015.0921,1024.3083,1022.40204,1010.89294,1021.8054,1017.8909,1025.2356
1965-07-01,1010.03467,1023.9592,1016.63696,1024.6581,1020.7257,1014.0707,1020.00073,1016.58295,1023.75586
1965-08-01,1010.77893,1019.22986,1016.31256,1022.9186,1018.0739,1013.66016,1019.30365,1016.8925,1020.81006
1965-09-01,1010.9073,1013.88403,1015.02014,1019.9648,1018.095,1012.77893,1014.4453,1019.29376,1024.3009
1965-10-01,1010.5482,1021.7254,1015.9709,1014.85583,1019.4172,1018.1092,1018.7182,1018.63947,1017.2571
1965-11-01,1010.3485,1021.99274,1016.539,1022.36725,1016.54266,1017.7824,1017.06244,1020.601,1012.76526
1965-12-01,1009.4895,1019.4358,1016.0453,1023.9394,1019.9666,1018.59296,1019.8947,1022.30835,1020.1843
1966-01-01,1009.29456,1007.7279,1015.2316,1014.2021,1021.4643,1020.8421,1018.2916,1022.33673,1019.1316
1966-02-01,1009.7865,1023.38385,1015.90894,1019.8677,1020.21875,1019.05774,1019.2637,1022.1152,1019.62103
1966-03-01,1009.66315,1014.5657,1015.7919,1015.2455,1021.0005,1017.2595,1018.25903,1020.3158,1018.1145
1966-04-01,1010.36414,1016.9278,1015.1384,1019.48083,1019.3807,1012.11914,1020.3996,1017.4091,1021.2008
1966-05-01,1011.4933,1021.1482,1015.73804,1022.53326,1021.6795,1014.2472,1017.9518,1017.1907,1025.4668
1966-06-01,1011.3437,1015.7236,1015.539,1020.5949,1021.8936,1013.51733,1020.5949,1018.92883,1022.2873
1966-07-01,1009.95795,1021.34155,1016.14545,1028.1707,1020.33325,1012.7319,1019.41693,1016.03784,1025.1132
1966-08-01,1011.2034,1022.6697,1016.859,1026.0314,1018.925,1013.8347,1019.7187,1017.2377,1025.445
1966-09-01,1011.3956,1016.50287,1015.6704,1016.4021,1018.31036,1014.7992,1016.9328,1014.88556,1019.61664
1966-10-01,1011.3042,1017.9969,1015.4045,1019.3181,1020.06915,1017.87537,1017.60944,1018.76166,1022.8894
1966-11-01,1010.3298,1018.4112,1016.99475,1021.5751,1019.4764,1019.09656,1013.9511,1021.7441,1018.2723
1966-12-01,1010.16766,1009.40283,1016.46783,1014.8949,1021.6314,1019.0076,1018.1064,1021.45233,1018.19275
1967-01-01,1010.69666,1013.29065,1016.76544,1016.563,1021.37946,1020.50146,1019.8042,1021.6944,1019.802
1967-02-01,1011.079,1012.9931,1016.6305,1021.03406,1022.99023,1019.2644,1017.9997,1020.7932,1027.0579
1967-03-01,1010.344,1014.02344,1016.44257,1024.3246,1019.78094,1014.61255,1016.6537,1020.9085,1021.6436
1967-04-01,1010.5442,1024.5278,1015.62695,1029.6193,1023.2834,1011.1856,1020.1532,1019.3384,1025.9927
1967-05-01,1010.26416,1019.6105,1015.92596,1022.82556,1023.1978,1011.6805,1018.6433,1016.08704,1025.5044
1967-06-01,1010.7424,1014.40656,1014.75116,1019.6598,1020.3702,1010.1814,1017.24646,1016.8816,1023.9916
1967-07-01,1010.26196,1023.7282,1016.9918,1026.4752,1020.6445,1014.1729,1018.6331,1017.5106,1024.4059
1967-08-01,1010.7424,1021.415,1016.5514,1021.3998,1019.3884,1015.67633,1019.6315,1018.1136,1020.7721
1967-09-01,1011.56146,1017.0666,1014.98334,1017.3248,1017.21533,1015.7924,1017.7,1018.50104,1018.68896
1967-10-01,1011.19653,1016.4367,1016.1392,1016.36346,1020.1234,1017.11804,1018.0642,1019.38916,1019.9856
1967-11-01,1010.28595,1018.4205,1016.41064,1024.9421,1019.1258,1018.79565,1018.8007,1020.0132,1020.6604
1967-12-01,1010.00366,1011.6203,1016.84015,1015.53485,1021.7611,1018.6411,1013.07654,1020.15607,1024.0214
1968-01-01,1008.8854,1006.43805,1017.00665,1011.8028,1019.197,1021.7746,1009.34186,1024.9819,1018.81213
1968-02-01,1010.76166,991.2696,1016.53436,995.46295,1016.43774,1020.0193,1006.9597,1019.0518,1008.7795
1968-03-01,1011.1566,1019.4533,1016.79333,1016.5415,1022.0845,1017.78955,1022.4244,1020.3091,1017.8446
1968-04-01,1011.09296,1023.4741,1015.9397,1026.7358,1023.91284,1013.7893,1019.29297,1018.2718,1029.1868
1968-05-01,1011.1831,1018.3469,1014.9894,1017.16907,1020.6454,1010.06036,1018.74554,1015.43445,1020.27905
1968-06-01,1012.0326,1016.93646,1015.55396,1020.956,1021.8298,1010.91626,1020.0114,1015.4652,1023.38257
1968-07-01,1011.14954,1022.5553,1017.62274,1022.433,1020.9345,1015.80084,1020.1881,1019.55914,1023.27454
