,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8
1965-01-01,-0.14452532,0.023106385,-0.08079878,-0.009566355,-0.002943492,0.015453291,0.099195585,-0.046065617
1965-02-01,0.04062016,0.017072225,0.07844396,0.045035362,0.059311293,-0.08374228,-0.03723514,-0.026785756
1965-03-01,-0.09389734,0.17852263,-0.07123246,0.02766881,0.003532195,-0.040178634,-0.16115603,-0.109792136
1965-04-01,-0.15026514,0.119211316,-0.04694865,-0.18720596,0.04753735,0.15085384,0.078296855,0.0016189099
1965-05-01,-0.067847446,0.03105383,-0.05489608,-0.1262757,-0.01839683,-0.043122124,0.1122941,0.034733176
1965-06-01,-0.020162916,0.024283778,-0.03488035,-0.030906629,-0.016042018,-0.04223907,0.04650712,-0.009566342
1965-07-01,-0.0026491403,-0.0033850074,0.003679371,0.025608396,0.010743737,-0.01898551,0.048126053,0.0426806
1965-08-01,-0.019721389,-0.027963161,0.0011774063,0.028846215,0.011038089,-0.014864636,0.039148428,0.030612279
1965-09-01,-0.07432313,0.056367815,-0.027080107,-0.038559698,-0.036793612,-0.008094597,0.025166845,0.09316144
1965-10-01,0.04989214,0.03752949,-0.03532188,0.08403663,-0.003679371,-0.15983148,0.00058870314,0.09595773
1965-11-01,-0.19677229,-0.04724302,-0.042680584,0.15203126,0.0047095777,-0.05548477,0.09860692,0.13186832
1965-12-01,-0.25608358,0.20251207,-0.07800247,-0.053718686,-0.0026491403,0.06534543,0.18264352,-0.12539263
1966-01-01,0.0117180105,0.024738025,0.011717987,0.10372615,0.01851735,-0.15551686,-0.14293087,-0.088102125
1966-02-01,-0.03689003,0.14698152,-0.02387004,-0.13323817,0.0041953563,-0.19038162,-0.023436021,-0.044412732
1966-03-01,-0.13844617,0.18314824,-0.042098045,-0.04137473,0.008246017,-0.00057868956,-0.08463011,-0.101990126
1966-04-01,-0.10184548,0.19501095,-0.004484677,0.010271358,-0.03920474,-0.032839347,-0.13381684,-0.06741476
1966-05-01,-0.0017359734,-0.014611339,-0.012441349,0.037758064,-0.01417737,-0.017938709,-0.022134017,0.030524682
1966-06-01,-0.00028934478,0.0037613392,-0.017215347,-0.03269472,0.090561435,-0.051501416,0.032260705,0.023725366
1966-07-01,0.017649364,-0.0010126829,-0.055262756,-0.03920474,0.0011573315,-0.049765397,0.067270085,0.020832013
1966-08-01,0.01142869,-0.021266032,0.045570087,-0.004629326,0.0309587,-0.021410704,0.023436021,0.02285738
1966-09-01,-0.011139345,-0.028354693,-0.00014467239,0.05034404,0.00274868,-0.044991396,0.04455738,0.020253371
1966-10-01,0.10734282,-0.047595404,-0.030814052,0.008246017,0.004340005,-0.025895381,-0.0120073315,-0.003616667
1966-11-01,-0.06133876,0.021410704,0.054250073,0.12528153,0.028065348,0.08766808,-0.041953396,0.15913358
1966-12-01,-0.14727083,0.11689081,0.1362762,0.028065395,0.012441349,0.06857209,0.04730606,-0.09200821
1967-01-01,0.14421333,-0.080100015,0.06328068,0.1208994,0.111906886,-0.076269865,-0.11840149,-0.17851815
1967-02-01,-0.05378858,-0.065112494,0.028975893,0.103413954,-0.023980046,0.12772706,0.08576198,-0.039467167
1967-03-01,-0.18268134,0.1357204,0.05012498,-0.17352228,-0.005495429,-0.0024979294,0.22930917,-0.034304798
1967-04-01,-0.12955886,0.120732866,0.04962535,-0.26161566,0.03613659,0.03713579,0.02764368,0.12356384
1967-05-01,-0.019150734,0.0013322353,0.014154887,-0.010324741,0.04546217,-0.119900264,0.017485451,0.19067469
1967-06-01,-0.020982552,0.04596176,-0.0079933405,-0.024979215,0.018817687,0.023313928,0.015653646,0.01815157
1967-07-01,-0.001998353,-0.0128226755,-0.0036636114,0.026811028,-0.02181518,-0.012156534,0.033305623,0.036636185
1967-08-01,-0.011656952,-0.03463783,0.027643656,0.05462121,-0.015154076,0.00999167,0.02514572,0.026477957
1967-09-01,0.0026644468,-0.008326411,-0.0076602935,0.046461344,-0.051290654,-0.011157393,0.017152393,0.018984223
1967-10-01,-0.03213992,-0.011323905,-0.041798543,-0.042631198,0.011157393,-0.046960928,-0.0056619644,0.05462122
1967-11-01,-0.08159877,-0.030474614,-0.028476309,-0.012656128,0.025478791,0.003164053,0.12689443,0.025978375
1967-12-01,0.0,0.13488777,-0.093588784,0.07427154,-0.04113244,0.27277303,-0.11024161,-0.25229007
1968-01-01,-0.03808086,0.048556637,-0.038222432,-0.105890274,0.003963828,-0.0045300485,-0.028312897,-0.11169443
1968-02-01,-0.23556335,-0.19040433,-0.055351734,0.08182428,0.02831291,0.09796266,0.12401056,0.14736864
1968-03-01,-0.26755697,0.09159227,-0.03808087,-0.018686533,-0.041053724,0.14283861,0.018403387,0.14765176
1968-04-01,-0.08635435,0.0721979,-0.06044806,-0.09867048,-0.0069366693,0.016987741,-0.08890252,0.06823411
1968-05-01,-0.038505554,0.09414041,-0.012882364,-0.034258626,-0.032701395,0.07361356,-0.012032986,-0.009909535
1968-06-01,0.002689731,0.009626389,0.016987741,-0.04176154,0.0046716454,-0.022933459,0.009343242,0.0015572071
1968-07-01,0.011042023,-0.025056934,0.031568907,0.017270874,-0.018686509,0.0031144142,0.021942507,0.065261245
1968-08-01,-0.0138733145,0.000566268,0.009484815,-0.011325168,-0.02859602,-0.014722717,0.031710457,-0.0038222433
1968-09-01,-0.036948346,0.020102154,0.011183595,-0.008776998,-0.017412448,0.029728556,0.030861069,-0.01344862
1968-10-01,0.07573702,-0.046008468,-0.015713656,-0.073330425,-0.0048131943,-0.027180385,0.014439583,-0.052803576
1968-11-01,0.011891413,-0.08281527,-0.0239244,0.0035391091,-0.0036806702,-0.11353475,-0.053511392,0.059457112
1968-12-01,-0.087486885,0.05860772,-0.040204324,-0.09683013,0.0072197914,0.14227235,-0.017695546,-0.089893505
1969-01-01,-0.010144782,-0.012264585,0.047241367,0.04163902,0.0046938537,-0.18048625,-0.021198059,0.08403512
1969-02-01,-0.0961483,0.01695845,-0.060717274,-0.10190205,0.0013627291,-0.042093277,0.110229865,0.021349465
1969-03-01,-0.13612175,0.103870414,-0.04830127,0.039519213,-0.03179709,-0.05980878,-0.045121573,0.05935452
1969-04-01,0.029828692,0.046181463,0.016049957,-0.10629308,-0.0037853718,0.023772096,0.03149426,0.03013153
1969-05-01,0.008176398,0.0072678924,0.014232969,0.042093277,0.018926835,-0.00015141963,0.030434346,0.09932802
1969-06-01,-0.0037853718,-0.026800394,0.011961746,-0.011507523,0.0042396067,0.04375882,-0.018775415,0.035128213
1969-07-01,0.015292859,-0.0092363,0.01938107,-0.03739941,-0.0039367797,0.0059051635,0.0071164845,0.035733867
1969-08-01,-0.020743812,0.0077221394,0.014838624,-0.03467395,-0.027557457,0.006965077,0.055569172,0.006813669
1969-09-01,0.018321168,-0.04663571,-0.005602336,0.023015022,0.0569319,-0.014232969,0.03225132,0.02362069
1969-10-01,0.0012113095,0.06768235,0.00030283927,-0.1085643,0.021955121,-0.0022711991,0.041184783,-0.000454247
1969-11-01,-0.03891357,0.01816976,0.10750439,0.11325816,-0.00030282736,0.05662906,0.006359422,0.103567615
1969-12-01,-0.14566088,0.0060565947,0.11068411,0.029374432,0.024226343,0.122645855,0.09796528,-0.073587514
1970-01-01,-0.06862547,-0.069542214,-0.061291456,0.15715754,0.016370583,0.0031431555,0.03116951,-0.05565996
1970-02-01,-0.18754134,-0.09193716,0.09625902,0.13882251,-0.07870972,0.029597998,0.04059906,0.031693436
1970-03-01,-0.01741829,-0.017156387,0.03745594,0.07962646,0.050552346,-0.02697872,-0.076614335,-0.06967318
1970-04-01,-0.10398593,0.15152606,-0.07687621,-0.24791603,-0.004976654,0.10241433,0.0069411276,-0.14327529
1970-05-01,0.018204069,0.010215235,-0.022263955,-0.082769655,-0.01545384,-0.0348366,0.020168543,-0.022002053
1970-06-01,-0.0023573637,-0.033003043,0.0144061325,-0.03077669,0.006679201,0.0017025471,0.05670767,0.026585817
1970-07-01,0.004452801,-0.005107641,-0.0007858038,-0.016501546,0.03077669,-0.022264004,0.048456907,-0.04531374
1970-08-01,-0.028288364,-0.036408186,-0.045051813,0.018335033,-0.01741829,0.014537072,0.070458986,-0.0052385805
