,zgu250_cluster1,zgu250_cluster2,zgu250_cluster3,zgu250_cluster4,zgu250_cluster5,zgu250_cluster6,zgu250_cluster7,zgu250_cluster8
1969-05-01,-0.113119125,0.25410348,0.66378707,0.36854935,-0.3250931,0.31381455,0.066345595,-0.020235443
1969-06-01,-0.20301743,-0.10946999,-0.20533943,0.13932571,-0.12605628,-0.27135316,-0.6717485,0.75700265
1969-07-01,0.057720948,0.2743389,-0.3197853,-0.034499742,-0.000994873,-0.18742676,-0.046441652,1.0276924
1969-08-01,-0.19041213,0.3499729,-0.3055214,0.7523586,0.10548935,-0.066014096,0.523798,0.8528721
1969-09-01,-0.22557525,0.27931482,1.7332777,0.43754882,-0.14131585,0.12970582,0.34300652,-0.037485123
1969-10-01,-0.22093049,0.26140174,-0.0063026426,0.49825516,-0.30651626,-0.12672004,-0.3128193,-0.07662926
1969-11-01,-0.06070633,0.3267521,0.089566424,-0.1728302,-0.4266018,0.37153512,-0.11212387,0.8379444
1969-12-01,-0.33205947,0.288603,0.43224105,1.4921112,-0.17979622,0.5019039,0.62895584,-0.27931482
1970-01-01,-0.12612896,-0.13211918,-0.39702302,-0.20034179,-0.12679443,0.6742403,0.8669281,-0.6792328
1970-02-01,-0.34410897,0.03694,0.8629347,0.86825943,-0.30883294,0.20866165,0.2938568,-0.51117134
1970-03-01,-0.1557476,0.22064248,0.7740787,0.5228195,-0.35076523,0.4622509,0.5930389,-0.54045755
1970-04-01,-0.3687355,0.7794033,-0.15441665,0.7897202,-0.293857,0.09651031,-0.115479276,-0.86326754
1970-05-01,-0.18536606,0.60568464,0.34776992,0.6170002,-0.46058694,-0.0023296357,-0.31116217,0.17638072
1970-06-01,-0.011315155,-0.0059902193,0.86226904,-0.09018745,-0.39036712,-0.025292207,0.15541458,0.24859734
1970-07-01,-0.14110489,0.3104969,0.3444416,-0.34710425,-0.17871094,-0.07620926,0.15674591,0.24859734
