,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8
1965-01-01,5.2782827e-05,3.7146816e-05,8.725341e-05,7.269835e-05,7.1733302e-06,8.509835e-05,8.451507e-05,7.744904e-05
1965-02-01,3.7725255e-05,2.8110477e-05,8.036174e-05,7.955412e-05,-2.4777546e-07,9.930344e-05,9.995851e-05,7.432625e-05
1965-03-01,5.258541e-05,3.3835586e-05,9.205424e-05,7.8163226e-05,3.3550168e-07,9.5390984e-05,8.696484e-05,6.953439e-05
1965-04-01,4.9740807e-05,3.6922484e-05,7.491481e-05,7.667362e-05,4.364614e-06,9.502307e-05,6.851528e-05,9.60332e-05
1965-05-01,3.7088135e-05,3.834927e-05,7.6359545e-05,7.39008e-05,-7.5029675e-07,9.01325e-05,8.1966595e-05,7.658758e-05
1965-06-01,3.4135843e-05,3.591745e-05,8.2551276e-05,8.4103696e-05,-9.656578e-07,7.358532e-05,7.056124e-05,8.277034e-05
1965-07-01,2.414831e-05,3.770318e-05,8.632913e-05,8.924553e-05,-6.9645466e-07,7.740804e-05,7.429423e-05,6.443743e-05
1965-08-01,3.6190784e-05,4.6694648e-05,7.334444e-05,9.50155e-05,2.3007015e-06,8.090772e-05,8.470352e-05,6.8699854e-05
1965-09-01,3.5158828e-05,4.1265663e-05,6.922559e-05,8.3457606e-05,1.026463e-06,9.836122e-05,7.085737e-05,7.5097974e-05
1965-10-01,3.7725255e-05,4.5788325e-05,8.8734036e-05,0.00010473383,-7.143972e-07,8.163457e-05,6.999591e-05,8.2205006e-05
1965-11-01,4.339652e-05,3.9174836e-05,8.0756574e-05,8.2515384e-05,2.2019958e-06,8.055775e-05,7.5738964e-05,7.3796815e-05
1965-12-01,4.3513177e-05,4.0646493e-05,8.247051e-05,6.5582346e-05,-2.029119e-07,9.111061e-05,7.310075e-05,7.4640324e-05
1966-01-01,4.5308156e-05,3.98938e-05,9.555978e-05,7.458177e-05,-8.385541e-08,9.231632e-05,0.000100080215,6.551096e-05
1966-02-01,4.581326e-05,4.2737036e-05,7.9290614e-05,8.8960864e-05,5.366357e-06,9.6650416e-05,9.8947814e-05,6.639896e-05
1966-03-01,4.4900815e-05,3.190179e-05,9.4834715e-05,9.200777e-05,1.1463126e-06,8.9676745e-05,8.9684894e-05,7.6582466e-05
1966-04-01,5.6208577e-05,3.7441612e-05,8.4480125e-05,6.963665e-05,2.8001123e-06,9.7000724e-05,8.840585e-05,6.6195294e-05
1966-05-01,3.3511587e-05,4.043149e-05,8.5335545e-05,7.8068595e-05,1.7980565e-06,6.716714e-05,6.9456386e-05,7.423619e-05
1966-06-01,1.8822899e-05,3.4256213e-05,7.982015e-05,8.6345746e-05,-2.6093621e-06,7.985985e-05,7.343203e-05,8.047664e-05
1966-07-01,2.0427822e-05,4.0235966e-05,8.4520856e-05,9.2594346e-05,-1.0533222e-06,8.3322244e-05,9.641415e-05,7.538489e-05
1966-08-01,3.0179548e-05,3.872066e-05,8.05941e-05,7.859814e-05,5.353031e-07,7.3741605e-05,7.4808835e-05,5.843954e-05
1966-09-01,2.4615281e-05,4.2093438e-05,8.392615e-05,9.1502676e-05,1.1544616e-06,7.736693e-05,7.2772134e-05,6.473702e-05
1966-10-01,3.4888395e-05,4.1580188e-05,7.757978e-05,7.7164295e-05,2.686058e-06,7.504509e-05,9.211265e-05,7.337263e-05
1966-11-01,4.1878353e-05,4.074107e-05,8.241084e-05,8.786919e-05,7.0038623e-06,8.961972e-05,9.602311e-05,8.883526e-05
1966-12-01,5.393562e-05,3.910356e-05,8.6443506e-05,8.909122e-05,-1.0533222e-06,8.812886e-05,8.227945e-05,8.156831e-05
1967-01-01,5.109501e-05,3.1474974e-05,8.375883e-05,6.8367575e-05,1.9760519e-06,7.655482e-05,9.135256e-05,7.534017e-05
1967-02-01,5.5530316e-05,3.507616e-05,9.036768e-05,7.818461e-05,-3.798672e-06,8.565001e-05,6.928829e-05,9.542338e-05
1967-03-01,5.893099e-05,4.233467e-05,6.7180554e-05,7.433479e-05,-2.2155291e-07,8.912287e-05,7.226388e-05,7.83719e-05
1967-04-01,5.541001e-05,4.340139e-05,7.0075934e-05,0.000102751255,1.0216172e-06,0.00011081819,7.889679e-05,8.477222e-05
1967-05-01,3.0715037e-05,4.1348154e-05,7.99812e-05,8.498595e-05,2.2647873e-06,8.246589e-05,7.094051e-05,9.838292e-05
1967-06-01,2.7089798e-05,3.916659e-05,7.9989215e-05,8.5924345e-05,-3.819623e-07,7.819099e-05,7.600141e-05,9.065923e-05
1967-07-01,3.7027134e-05,3.9800205e-05,8.642964e-05,8.978219e-05,-6.3059633e-07,7.2504496e-05,7.781403e-05,6.53146e-05
1967-08-01,3.3947283e-05,4.151658e-05,7.2209376e-05,9.04559e-05,1.1041266e-08,7.2777184e-05,7.7396966e-05,5.2850817e-05
1967-09-01,3.4989942e-05,3.9302937e-05,9.220436e-05,8.8579116e-05,8.322604e-08,8.1391154e-05,7.799048e-05,6.938899e-05
1967-10-01,3.5382942e-05,4.2783813e-05,7.7791614e-05,8.310115e-05,4.31246e-08,7.216763e-05,7.543998e-05,8.6079555e-05
1967-11-01,5.4968885e-05,3.618298e-05,8.136071e-05,9.3118695e-05,1.8637656e-06,7.957853e-05,7.594527e-05,8.086626e-05
1967-12-01,5.131156e-05,3.3087086e-05,7.498445e-05,7.419042e-05,3.1470372e-06,9.584401e-05,9.198617e-05,8.694576e-05
1968-01-01,4.789919e-05,4.112937e-05,8.622959e-05,7.4560325e-05,-1.8142091e-06,8.810407e-05,8.3023195e-05,8.626173e-05
1968-02-01,5.0225597e-05,3.0167339e-05,9.625176e-05,8.870489e-05,2.3174944e-06,9.8386794e-05,8.1841376e-05,7.909639e-05
1968-03-01,4.0101066e-05,3.255888e-05,8.2228165e-05,9.738705e-05,4.6718196e-06,8.2502076e-05,7.503896e-05,8.2157945e-05
1968-04-01,6.0787494e-05,4.1510906e-05,8.3270395e-05,8.020885e-05,-1.4140678e-06,8.102248e-05,8.230666e-05,8.3581705e-05
1968-05-01,5.2477564e-05,3.5908914e-05,8.321457e-05,7.868272e-05,3.446985e-07,9.762373e-05,8.034317e-05,8.280934e-05
1968-06-01,2.8013052e-05,4.1641182e-05,7.823605e-05,8.495472e-05,3.819223e-07,8.169249e-05,7.636036e-05,8.91837e-05
1968-07-01,2.9008752e-05,3.817018e-05,7.529547e-05,9.018448e-05,-2.0840744e-06,7.8575096e-05,7.9263715e-05,5.443646e-05
1968-08-01,2.3592871e-05,3.9007686e-05,6.84e-05,9.171061e-05,1.7219354e-06,8.246485e-05,7.201463e-05,6.403988e-05
1968-09-01,3.6592846e-05,3.7155867e-05,7.557464e-05,7.742646e-05,2.196517e-06,9.3296614e-05,7.87426e-05,6.827394e-05
1968-10-01,5.081185e-05,3.9761446e-05,8.90492e-05,8.058107e-05,1.4334582e-06,7.849135e-05,8.249277e-05,6.4877386e-05
