,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8
1965-01-01,0.008246779,0.009822726,0.03356695,0.025266945,0.038715005,0.05904472,0.0025208592,0.0630371
1965-02-01,0.008351862,0.010190427,0.0358783,0.052793443,0.031623244,0.016809404,-0.09203577,0.027735949
1965-03-01,-0.003310144,0.010820806,0.020434082,0.031203032,0.034039736,0.05510485,-0.21175498,0.026842892
1965-04-01,-0.0418157,0.021852434,0.027841032,0.011608779,0.027315676,0.08940786,-0.18743289,0.03556311
1965-05-01,-0.057890356,0.038084626,0.005935371,0.019751191,-0.00073611736,0.038399816,-0.41069156,0.030625165
1965-06-01,0.03892517,-0.030573964,0.034407437,0.006618321,0.0004196167,0.038977683,-0.214329,0.0385049
1965-07-01,0.045491576,-0.01933223,0.034985304,-0.0031000376,-0.0025746822,0.06172383,-0.32947797,0.038294792
1965-08-01,0.041656792,0.012764454,0.031045437,-0.024953127,0.00556767,0.045123875,-0.37628347,0.031045437
1965-09-01,0.0321486,0.014182806,0.04528147,-0.025005639,0.014025211,0.03277898,-0.40932578,0.03388214
1965-10-01,0.028261244,-0.009666443,0.03283149,-0.030363858,0.0017853975,-0.037245452,-0.49090713,0.046804845
1965-11-01,0.029311895,0.008089185,0.032936573,0.0012075305,-0.0033626556,0.004096806,-0.3193919,0.061251044
1965-12-01,0.030047357,0.022167623,0.04827577,0.032936573,0.020118892,0.050061822,-0.30846536,0.057626367
1966-01-01,0.006186843,0.017493606,0.029256225,0.047948837,0.0104724765,-0.040635824,-0.37723935,-0.012596905
1966-02-01,0.015578747,0.0011261702,0.03974235,0.025791287,0.036095023,-0.0117762685,-0.2284736,0.018815756
1966-03-01,0.0073266625,0.017128825,0.025335371,0.041702747,0.015533149,0.015852273,-0.15288258,0.05624652
1966-04-01,-0.006533265,0.00851202,0.036003828,0.027341366,0.02196157,0.060486555,-0.08709377,-0.0014725327
1966-05-01,-0.025317013,0.020685017,0.035274327,0.017949522,0.010107756,0.035639107,-0.49988103,0.056930423
1966-06-01,-0.031563103,-0.002110839,0.042933762,0.007508993,-0.0023843646,0.058799684,-0.3629691,0.03878492
1966-07-01,0.03750837,0.007828116,0.043252885,-0.03940487,-0.0019284487,0.06582081,-0.028645217,0.038009822
1966-08-01,0.03180939,0.0017188787,0.04316169,-0.025043488,0.006095648,0.041930735,-0.33807606,0.03386098
