,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7,mgu850_cluster8
1969-06-01,-0.033504486,0.056061935,0.35959283,0.1542534,0.7483776,-0.39376068,0.09155693,0.77292573
1969-07-01,-0.10714798,0.608057,0.56393737,0.412006,1.588644,-0.70624846,0.051417924,1.0326684
1969-08-01,-0.08260002,0.066013716,0.86050147,0.04511528,0.871117,-0.5878216,0.025211334,0.08624916
1969-09-01,0.22889213,-0.023884583,0.415987,0.17681083,0.6700901,-0.23751679,0.02587471,1.1063118
1969-10-01,0.05042267,0.25974312,0.781551,0.037153624,0.7271473,-0.05141754,0.06767235,0.6926476
1969-11-01,0.20766144,-0.5493412,0.4219578,-0.19970016,-0.6166817,-0.14861412,0.046110153,0.17747422
1969-12-01,0.19406052,-0.25045472,1.1938881,-0.81074256,0.051086046,-0.48233184,0.042129137,0.7712671
1970-01-01,0.09318237,-0.094846345,1.1977253,-0.61966246,0.21531753,0.04093361,0.04692421,-0.16273613
1970-02-01,-0.025957871,-0.4712364,1.4835953,-0.34211197,0.5318047,-0.6655876,0.092516705,0.49519712
1970-03-01,-0.14443246,-0.34311026,1.971804,-0.2575825,-0.10549545,-0.095178984,0.080868915,0.54078996
1970-04-01,0.12546349,-0.84329987,0.83631134,-0.49253502,0.78439504,-0.72149694,0.12679482,1.1787564
1970-05-01,-0.04892044,-0.14776039,0.42797318,-0.34078103,0.7128445,-0.05657463,0.07254906,0.88889235
1970-06-01,-0.030284118,-0.3920311,0.965435,-0.032946777,0.5973652,-0.0845295,0.042930223,0.20466805
1970-07-01,-0.2772171,-0.23228988,0.22496872,0.13478164,0.34677124,-1.1261746,0.05657501,1.8663082
1970-08-01,-0.04259796,-0.2336216,0.23894577,0.013977433,1.295234,-0.19102363,0.03494339,1.0086982
1970-09-01,0.042930223,-0.9777485,0.6226574,0.11547966,0.8789085,0.2519253,0.03627472,0.9611088
1970-10-01,0.20366974,-0.6825603,0.48587912,0.1933529,-0.32281,-0.50451547,0.022297287,1.1371571
1970-11-01,0.2063324,-0.38670653,0.5983635,-0.1800415,0.53380126,-0.02895317,0.04093361,0.17205429
1970-12-01,0.1790432,-0.8502884,0.701862,-1.160785,0.52148783,-0.39535904,0.06189995,0.8090221
1971-01-01,0.10353927,-1.028532,0.541539,-1.0863438,1.015467,0.39325294,0.06336441,-0.14534684
1971-02-01,0.08655472,-1.0582546,1.5984867,-1.0337578,0.7959774,-0.3945591,0.09210739,-0.5252079
1971-03-01,0.11693039,-0.34915885,0.97006685,-0.72999954,1.0144875,-0.6986443,0.095047,1.0242859
1971-04-01,-0.04246063,-1.0210197,0.7009308,-0.43244705,0.13456802,-0.56570894,0.0787159,1.4557533
1971-05-01,0.033642195,0.81949425,1.1196594,-0.25117224,0.45269775,-0.31192398,0.04311409,0.6787201
1971-06-01,-0.13162842,-0.9752924,0.753516,0.31127053,0.86162835,-0.58595926,0.0026130676,0.97953874
1971-07-01,-0.013718033,0.47294846,0.13946763,0.22340965,0.7407783,-0.21361046,0.033641815,1.6628311
1971-08-01,-0.0035930634,-0.32466203,0.37006265,0.13554803,0.9648407,-0.40337792,0.030049134,0.97104645
1971-09-01,0.014044571,-0.7365322,0.10386582,0.1381607,0.14567336,-0.27991486,0.023843383,1.0357177
1971-10-01,0.30049172,-0.5369663,0.46053657,-0.20348549,0.5947784,-0.50854987,0.04115448,1.3130195
1971-11-01,0.21949005,0.3406666,0.52161485,-1.024939,-0.23157462,0.4491047,0.026129533,1.0468228
1971-12-01,0.17539597,-0.64213866,0.75057715,-0.741758,0.8296196,-0.14599991,0.024496842,1.1915162
1972-01-01,0.039307784,-0.119644545,0.45275536,-0.6665085,1.1970183,-0.38590354,0.045046233,0.73422086
1972-02-01,-0.12423515,-0.8799747,1.1235676,-0.5000965,0.90694505,-0.39537162,0.0846405,-0.17042866
1972-03-01,0.14116326,-0.6162979,0.63293916,-0.48919335,-0.0028690337,-0.3092968,0.0992733,-0.4237768
1972-04-01,-0.053653337,-0.49206275,0.24474068,-0.18907852,0.97465724,-0.5924839,0.07976303,0.21977845
1972-05-01,-0.21404037,0.20686741,0.80222017,0.09095268,1.1904194,-0.7456978,0.102716066,0.8217308
1972-06-01,-0.10329018,0.16325569,0.47771683,0.20715408,0.34831733,-0.5227631,0.109602354,0.734795
1972-07-01,-0.15436134,-0.099560164,0.55518454,0.15034485,0.43812257,-0.74397624,0.090378955,1.1508248
1972-08-01,-0.01635437,-0.32765943,0.47915155,0.1715767,0.9904381,0.02955246,0.024961853,0.8466927
1972-09-01,0.14747544,-0.28060514,0.40570068,-0.05164528,0.65273666,-1.0142521,0.061400224,0.2794571
1972-10-01,0.11534081,-0.23269005,0.50296557,0.042463683,0.1816185,-0.2470356,0.05795746,0.7040947
1972-11-01,0.23498496,-0.7009388,0.77123296,-0.2209259,0.55002004,-0.19022599,0.049923323,0.9195694
1972-12-01,-0.14718857,-0.515303,1.0702007,-0.2478962,1.5969808,-0.5554718,0.03270874,0.3494652
1973-01-01,-0.14749031,-0.9333633,1.2993824,0.09715881,0.45011693,-0.6746975,0.05001297,0.57435304
1973-02-01,-0.22266921,-0.9413273,1.5602783,0.16469231,0.80371207,-0.5533287,0.0885582,0.3185541
1973-03-01,0.039819337,-0.5154209,1.5500844,-0.083461,0.3997856,-0.43100357,0.09875183,0.85882187
1973-04-01,-0.0774086,-0.025802612,0.9900665,-0.49630737,-0.0057338714,-0.5966522,0.11181259,0.90564936
1973-05-01,-0.17775345,-0.012423706,0.6954037,-0.31536865,0.24624252,-0.9696789,0.121687695,1.2637041
1973-06-01,-0.16150704,-0.5230659,0.9588478,-0.018476104,0.99611855,0.060206603,0.08123131,0.41189042
1973-07-01,0.019113159,-0.05128727,0.18030128,0.13793412,0.3749382,-0.5832726,0.037908174,1.4239368
1973-08-01,-0.033129502,-0.12328033,0.27969056,0.24241944,1.274535,-0.13251838,0.05160599,0.93877906
1973-09-01,0.17966461,-0.438649,0.62372893,-0.22553635,1.0321156,-0.5115978,0.052879713,1.1270447
1973-10-01,0.28383178,-0.81008303,0.37589377,0.17743492,0.34117165,-0.102256015,0.040456392,0.43195915
1973-11-01,0.29880372,-0.638064,0.6648224,-0.68648416,0.380035,-0.106715776,0.04173088,-0.030262757
1973-12-01,0.17807159,-0.0825058,1.3114876,-0.84512407,0.41730577,-0.48452073,0.077727124,0.58964384
1974-01-01,-0.023339082,-1.1547775,0.6725521,-0.71462744,1.6777639,-1.0795014,0.058182906,-0.89509237
1974-02-01,-0.049964525,-1.2895508,0.44113618,-1.0150738,1.210988,-0.44738197,0.092040256,0.2452217
1974-03-01,0.08809586,-1.2520775,1.0324955,-0.5026058,0.9996239,-0.54040796,0.08875351,0.38689804
1974-04-01,0.0009860992,-0.47926712,0.75637436,-0.6567734,1.0420281,0.114392854,0.10453148,1.4335282
1974-05-01,-0.045362473,-0.8362522,0.40234756,-0.037802123,0.98713267,-0.0009860992,0.09894333,1.1413002
1974-06-01,-0.21530876,0.11800881,0.8349373,-0.04930725,0.4911011,-0.22188301,0.06804428,0.4835407
1974-07-01,-0.20183143,-0.033200074,0.047992326,0.04832115,0.6893166,0.0042732237,0.03813095,1.3082879
1974-08-01,0.023995971,0.5321903,0.22517014,0.31129342,1.0190182,-0.13871804,0.04634895,0.72777593
1974-09-01,0.009532547,-0.4089218,0.07560463,0.016107177,1.029208,-0.41911203,0.047006227,0.78990364
1974-10-01,0.21070671,-0.66466254,1.0959374,0.45527115,0.13510208,0.077905655,0.043390654,0.56276095
1974-11-01,0.270533,-0.14101867,0.9812153,-0.6271893,0.50194854,-0.14792213,0.0548954,0.7494713
1974-12-01,0.0792202,-0.023009872,1.438459,-1.0426857,0.9388111,-0.5016197,0.055552673,0.62718886
1975-01-01,0.131427,-0.14726143,1.3662045,-0.8192791,0.9944092,-0.44051704,0.04306984,-0.23625144
1975-02-01,-0.04718704,0.32935828,1.5945385,-0.25873643,1.0035934,-0.6343315,0.075688936,0.26285344
1975-03-01,-0.06777191,-0.4569847,1.2205265,-0.70432055,0.25873604,-0.38256264,0.10165787,0.5668766
1975-04-01,0.016784668,-0.6007622,0.55990946,-0.22010002,0.404414,-0.56782687,0.11495896,0.945639
1975-05-01,-0.056687545,0.017417908,0.5108223,-0.32270774,0.6403488,-0.94532204,0.0731556,0.8300465
1975-06-01,-0.05668793,-0.21503314,1.0634476,0.16879615,0.64098245,-0.32175788,0.059537888,0.4215153
1975-07-01,-0.08043976,-0.55959284,0.47250253,0.08455658,0.52317315,-0.89750177,0.0367363,1.0757987
1975-08-01,-0.049087144,-0.7885601,0.6685341,0.20299873,-0.007917404,-0.20933266,0.038319398,0.6457325
1975-09-01,0.14821129,-1.0016934,0.63528216,-0.060171507,0.71698797,-0.31289062,0.050037384,0.2891388
1975-10-01,0.18843117,-1.0482467,0.83606416,0.32935867,0.5630764,0.0034835816,0.060804367,1.1419872
1975-11-01,0.17893028,-0.1966652,0.64604914,-0.7635414,0.65301627,-0.6846855,0.044653703,0.34519273
1975-12-01,0.2277008,-0.9659069,1.5106151,-1.0073936,-0.54597473,-0.6349651,0.06618805,0.09722404
1976-01-01,0.14263268,-0.4941681,1.5063881,-0.87833405,0.76866835,-0.7848156,0.043395232,0.42890683
1976-02-01,-0.20015678,-0.40872306,0.61459845,-0.628054,1.3472717,-1.0805088,0.077035144,0.7794331
1976-03-01,0.0205204,-1.169318,0.9150009,-0.62637216,1.0451874,-0.48407632,0.08510856,1.2995037
