,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7
1965-01-01,,,,,,,
1965-02-01,,,,,,,
1965-03-01,,,,,,,
1965-04-01,,,,,,,
1965-05-01,,,,,,,
1965-06-01,,,,,,,
1965-07-01,,,,,,,
1965-08-01,,,,,,,
1965-09-01,,,,,,,
1965-10-01,,,,,,,
1965-11-01,,,,,,,
1965-12-01,,,,,,,
1966-01-01,,,,,,,
1966-02-01,,,,,,,
1966-03-01,,,,,,,
1966-04-01,,,,,,,
1966-05-01,,,,,,,
1966-06-01,,,,,,,
1966-07-01,,,,,,,
1966-08-01,,,,,,,
1966-09-01,,,,,,,
1966-10-01,,,,,,,
1966-11-01,,,,,,,
1966-12-01,,,,,,,
1967-01-01,8.268208858591974,3.4612145047387783,8.997009739922369,2.690227415870174,6.811742146559242,5.289159228408158,5.346680903976124
1967-02-01,8.379287723368076,4.037047628122791,8.998333675931105,2.934323246449497,7.122035051445667,7.228858318883583,4.6182483432206025
1967-03-01,8.304318053291363,3.9958981694185467,8.950340974119177,2.7578307384027103,6.578767897708337,8.221373243314003,5.80766155510153
1967-04-01,8.240526051664236,3.8936912141368873,8.974773788423798,2.395057763688313,6.6707115312345096,7.814907781244634,5.562855034572681
1967-05-01,7.774436730415844,4.776900239341126,8.921286435076246,0.0,6.336569328341661,6.857335904999786,6.04705327226351
1967-06-01,6.994555828027773,4.637872078309297,8.672396359852211,2.319653713498213,5.385060585713023,5.369908534259739,5.494606407050122
1967-07-01,6.3260758614679755,3.7614316591760524,8.658656863704099,0.0,5.550184963714662,2.9838087387242997,5.606435893086229
1967-08-01,6.335527884747241,3.7300326755457096,8.332125046697124,0.0,5.372750277468285,2.580614816465522,3.860426531759326
1967-09-01,6.7778316413462,3.6398965168801722,8.475923253821069,0.0,5.532943998559487,2.5285012814558177,4.916275284511335
1967-10-01,6.877342491483889,3.805579354500593,8.59593586989168,0.0,6.380289134411749,2.63110189254798,4.749645499357511
1967-11-01,7.49275592290589,3.3395489481227245,8.794775904123917,0.0,6.541462955265906,2.853823361897515,4.453781983766264
1967-12-01,7.8920511370541195,3.2557960553194962,8.959043802485647,2.3690407742304185,7.218373434487063,2.99942477093221,4.811770869522068
1968-01-01,8.081345504664812,3.700274839221357,8.92103762257864,2.547937389634964,7.023469690583804,4.496839728693061,5.141368547938737
1968-02-01,8.083638251969523,3.7412308809828447,9.002100833221713,2.954117304534055,7.206707824868756,6.737832849633678,4.382258971175813
1968-03-01,8.087065940357048,4.591673024449378,8.855855933657429,2.6285180359722013,7.668921408597752,7.300743420497099,4.883772916655393
1968-04-01,8.166985186256134,3.7917262501786713,8.936709684090681,2.5835033280035224,7.442778601462631,7.493525034032069,6.007325202194667
1968-05-01,8.176847655715259,3.0647173025793464,9.043129496130746,0.0,7.578510002561554,5.912898253796718,5.384836401287951
