,r50_cluster1,r50_cluster2,r50_cluster3,r50_cluster4,r50_cluster5,r50_cluster6,r50_cluster7
1969-11-01,5.1665993,1.7691498,4.50148,4.7605095,3.5890312,5.425625,2.6164207
1969-12-01,6.30632,1.8844604,4.9008827,5.8049774,3.7110252,6.891224,2.8721085
1970-01-01,9.079296,2.1169548,7.0850906,8.202175,5.5377197,9.643631,4.015171
1970-02-01,8.647354,2.51083,6.533993,7.867878,4.91877,9.3325,3.697422
1970-03-01,6.964279,2.2030106,4.8856735,6.1616325,3.5749588,7.642807,2.7491417
1970-04-01,6.558819,2.2510033,4.4719353,5.506275,3.5385475,7.1330833,2.7375565
1970-05-01,4.549717,2.345337,3.404499,3.7553444,3.1711502,6.0424767,2.8848457
1970-06-01,4.164116,2.315548,2.603508,3.1711502,2.4711113,5.40036,2.5157928
1970-07-01,3.594818,1.5575829,2.2791367,2.8153381,2.049099,4.3891907,1.8968468
1970-08-01,3.8695374,1.6601906,2.264244,2.9824867,1.9150505,4.5248947,1.8074799
1970-09-01,4.8691216,1.1736374,3.0652351,3.7239037,2.5654411,6.138462,1.8041687
1970-10-01,6.3684998,1.3043747,3.9125671,4.8608475,3.0817833,8.227001,2.2228699
1970-11-01,6.8318825,1.7677612,4.349472,5.350712,3.5302734,8.872429,2.747486
1970-12-01,6.481037,1.5973015,4.12109,5.1140556,3.311821,8.498409,2.5770264
1971-01-01,8.5045395,2.0230637,5.6171227,6.9577103,4.377968,10.218731,3.265602
1971-02-01,7.688015,1.9064178,4.900341,6.306858,3.7321854,8.627949,2.8091583
1971-03-01,5.7489815,1.7610321,4.4100876,5.2604218,3.5327034,5.723625,2.7922554
1971-04-01,4.6095695,2.2191658,4.3712044,4.7498817,3.735569,3.9367409,3.1337395
1971-05-01,4.0855064,3.1574059,4.0415535,4.3306313,3.6459694,3.3754845,3.510727
1971-06-01,3.921524,2.345955,4.2866783,4.347538,4.03479,3.1895294,3.507347
1971-07-01,2.9460907,1.8624649,3.2182655,3.382248,2.868328,2.5217705,2.4947205
1971-08-01,2.9342575,2.2428322,3.09655,3.1895294,2.9241142,2.6654663,2.6485596
1971-09-01,3.6256828,1.6646729,3.3907013,3.6172295,3.155716,3.1929092,2.5234604
1971-10-01,4.1700325,1.532814,3.9113808,4.2528687,3.2926483,3.823475,2.5877
1971-11-01,4.4100876,2.002777,3.9722404,4.320488,3.465084,4.232582,2.9629974
1971-12-01,4.827648,1.7272224,4.702549,4.986557,3.7406387,4.661976,2.7077293
1972-01-01,5.726616,1.5918617,4.9968605,5.5478363,3.8510246,5.6177216,2.7962074
1972-02-01,6.2434616,1.7137604,5.1301346,6.0695534,3.868904,5.892399,2.8612213
1972-03-01,5.7184906,1.7235107,4.658798,5.4795723,3.602356,5.5835915,2.6694336
1972-04-01,5.3885574,1.6715012,4.265476,4.7628174,3.4885826,5.266659,2.5979233
1972-05-01,3.8526497,1.9266739,3.1505241,3.6478615,2.6678085,4.7384377,2.2972412
1972-06-01,3.6624908,1.2765541,2.3947601,2.880722,2.1883469,5.768875,1.8632889
1972-07-01,4.060688,1.4634628,2.5914192,2.9961205,2.2192268,5.5819664,1.7495155
1972-08-01,5.313793,0.79221725,2.979866,3.9095345,2.263111,6.6692886,1.4992218
1972-09-01,5.0033607,0.9661255,3.0205002,3.7811356,2.4874,6.381611,1.7527657
1972-10-01,6.8318176,1.1579094,4.45401,5.310543,3.504837,8.426235,2.2809868
1972-11-01,7.9353943,1.5252266,4.8343277,6.2450867,3.571476,9.578571,2.6353035
1972-12-01,8.553009,1.835659,4.587284,6.223957,3.472332,10.971451,2.6109238
1973-01-01,8.273079,1.7304077,5.432007,6.7047424,4.1247864,8.939827,2.9522285
1973-02-01,10.542648,2.1606712,6.547085,8.700058,4.896637,11.286583,3.62883
1973-03-01,6.714596,1.8371506,4.873646,6.202217,3.5598564,6.1841507,2.6188545
1973-04-01,5.3269043,1.8864174,4.1132927,4.9869614,3.15094,4.738983,2.492405
1973-05-01,4.4368134,2.3084717,4.4959335,4.5172806,3.970417,4.1773376,3.246189
1973-06-01,3.311882,2.1705246,3.114811,3.3299446,2.9900017,3.2412643,2.7354546
1973-07-01,3.2297668,2.0539284,3.2330513,3.1788597,3.0540504,3.1049576,2.5892944
1973-08-01,3.825901,2.1311111,3.5664253,3.7290077,3.1854286,3.535225,2.6139297
1973-09-01,4.775112,2.1426086,4.1543465,4.594467,3.4580383,4.2791557,2.6911163
1973-10-01,4.2775154,1.5842476,3.375927,3.789772,2.847126,4.440098,2.3199692
1973-11-01,4.218395,2.362667,3.9424973,4.333351,3.5385094,4.325142,3.1180954
1973-12-01,4.9606857,2.1573868,4.9574013,5.144615,4.2791557,4.724205,3.3365135
1974-01-01,5.545845,2.751358,5.078167,5.5921173,4.3642616,5.4533005,3.888321
1974-02-01,5.3871994,1.9151611,4.415489,5.221943,3.4817924,5.4004173,2.7364845
1974-03-01,6.578697,3.052124,5.2665596,6.1341553,4.3609543,6.7505646,3.8073463
1974-04-01,5.1756706,2.589405,3.965992,4.5509987,3.298355,5.8813133,2.8108482
1974-05-01,4.0767136,1.9845657,3.0091553,3.4239502,2.7563133,4.8220215,2.3960571
1974-06-01,3.1496239,1.7532082,2.5100822,2.5844498,2.217579,4.549347,1.9168129
1974-07-01,3.3314056,1.3945999,2.386139,2.5513954,2.11512,4.693119,1.7102432
1974-08-01,3.9527702,1.0756569,2.536522,2.9661903,2.1217308,5.2252464,1.5896034
1974-09-01,4.7922745,1.6408348,2.938095,3.6916656,2.498516,6.069706,2.0077019
1974-10-01,5.8796616,1.5532494,3.6024284,4.4435844,3.076912,7.6462517,2.4076233
1974-11-01,6.453102,1.9548225,3.9131088,4.9657936,2.9661903,8.254398,2.4522438
1974-12-01,7.548752,2.210968,4.97736,6.0779686,4.0717545,8.667538,3.2223396
