,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7
1967-06-01,1014.84265,1018.76154,1010.2699,1023.3647,1018.92847,1021.3214,1018.71655
1967-07-01,1014.7715,1018.7768,1009.9246,1025.0219,1020.1996,1017.7704,1021.33154
1967-08-01,1014.511,1018.68243,1010.49854,1023.5874,1017.8226,1022.73486,1022.94385
1967-09-01,1014.8303,1018.80505,1011.1247,1024.07,1017.45764,1019.29846,1013.3741
1967-10-01,1013.90076,1017.3568,1010.34326,1020.6756,1018.22174,1018.56415,1022.9344
1967-11-01,1013.8217,1016.84454,1008.48065,1019.46967,1013.67444,1020.1945,1015.767
1967-12-01,1013.00903,1015.159,1007.2073,1019.52484,1011.8409,1016.3649,1014.6199
1968-01-01,1011.1702,1013.1668,1006.7006,1019.0403,1011.65686,1017.582,1013.5095
1968-02-01,1011.9094,1014.0491,1008.3315,1017.3508,1014.40326,1015.217,1016.2946
1968-03-01,1012.30084,1014.91064,1009.35693,1021.2394,1015.1891,1020.2955,1020.8465
1968-04-01,1013.37787,1016.0706,1009.8228,1017.592,1015.3457,1017.38666,1009.8808
1968-05-01,1014.26306,1016.61163,1010.3459,1017.3093,1016.0706,1014.7081,1012.49554
1968-06-01,1015.83734,1018.2446,1011.4114,1022.0036,1019.21643,1014.9586,1012.6623
1968-07-01,1014.81836,1018.1216,1010.6407,1021.424,1020.9016,1022.26404,1014.5643
1968-08-01,1014.9049,1018.35333,1011.0672,1019.33875,1016.359,1012.7947,1011.99963
1968-09-01,1013.9561,1017.1548,1010.9813,1017.8539,1019.68726,1015.0538,1013.27985
1968-10-01,1013.8423,1017.16907,1010.3809,1022.49023,1017.4639,1020.1903,1015.61475
1968-11-01,1013.6984,1016.43054,1009.9158,1019.9871,1012.4154,1016.1329,1011.9409
1968-12-01,1012.18713,1014.46484,1008.1912,1019.14484,1012.4161,1014.8176,1012.32886
1969-01-01,1010.2431,1012.3758,1005.71564,1015.0482,1013.1807,1015.6934,1013.6506
1969-02-01,1010.0884,1012.6859,1006.80695,1018.4695,1012.14307,1018.5193,1013.0179
1969-03-01,1011.28394,1014.16095,1009.43384,1017.80615,1017.84485,1017.1061,1019.34235
1969-04-01,1012.06256,1015.0901,1009.7003,1018.855,1018.4676,1016.90765,1010.2637
1969-05-01,1012.35834,1015.3321,1009.918,1016.5045,1018.7134,1012.0895,1016.5657
1969-06-01,1013.71423,1017.5254,1010.59814,1019.37164,1019.6156,1018.8032,1011.24585
1969-07-01,1013.9632,1017.0006,1010.39166,1017.3781,1024.953,1011.6433,1019.41406
1969-08-01,1014.0025,1017.204,1011.1435,1021.5836,1022.67615,1020.5603,1021.70404
1969-09-01,1013.1433,1016.35175,1010.38666,1019.9457,1015.8881,1016.9595,1018.9055
1969-10-01,1013.32794,1016.288,1010.35046,1019.74664,1020.073,1016.74164,1018.1905
1969-11-01,1012.79694,1015.8694,1009.3596,1021.97046,1013.4709,1020.3057,1019.52704
1969-12-01,1012.02954,1014.5821,1008.6433,1018.9143,1010.2394,1016.41156,1017.10046
1970-01-01,1012.0799,1014.8524,1009.2201,1019.9726,1012.4875,1018.9975,1016.9327
1970-02-01,1011.21826,1013.54346,1008.05304,1018.95825,1014.78406,1016.7307,1014.30695
1970-03-01,1011.2754,1013.77454,1008.9568,1016.47577,1012.6694,1019.2506,1016.07587
1970-04-01,1011.96643,1014.4751,1009.901,1017.13,1018.5186,1014.7977,1015.1097
1970-05-01,1014.31525,1016.739,1010.3336,1020.3837,1018.8602,1019.03143,1011.9652
1970-06-01,1014.711,1018.3326,1010.79346,1022.42365,1019.0789,1017.3611,1018.2411
1970-07-01,1015.6599,1019.3035,1011.4911,1024.5325,1022.2098,1016.676,1016.9137
1970-08-01,1014.38477,1017.5323,1011.0436,1020.64343,1018.3825,1020.2887,1021.6785
1970-09-01,1014.1061,1016.98615,1010.9473,1022.0577,1015.91125,1024.2336,1020.10095
1970-10-01,1013.6753,1016.6956,1010.0929,1021.3707,1016.39435,1021.4866,1018.0153
1970-11-01,1014.3521,1017.04205,1010.4946,1023.21686,1015.32306,1021.5056,1020.1782
1970-12-01,1011.6396,1014.47687,1008.1071,1020.2067,1010.3781,1017.30585,1017.0343
1971-01-01,1011.9718,1014.02795,1008.8744,1020.54333,1009.5195,1018.2241,1016.8956
1971-02-01,1011.2672,1013.6939,1008.7989,1018.99854,1009.82477,1020.14655,1018.46155
1971-03-01,1011.3318,1014.15594,1010.52167,1019.3844,1016.5468,1017.6021,1013.8744
1971-04-01,1012.59644,1015.89404,1010.14404,1019.6922,1017.56366,1019.09125,1015.409
1971-05-01,1014.3646,1017.04083,1010.76166,1017.53937,1015.03204,1013.0795,1014.9418
1971-06-01,1015.09033,1018.56006,1011.40857,1024.0061,1019.5937,1018.1525,1017.90607
1971-07-01,1013.98126,1017.2527,1011.056,1019.6986,1019.66724,1010.9536,1014.61475
1971-08-01,1015.274,1018.779,1011.4938,1024.2078,1017.1503,1020.6962,1019.4874
1971-09-01,1014.803,1018.22797,1011.46173,1023.6746,1016.95825,1024.1168,1017.47925
1971-10-01,1014.401,1017.2015,1011.255,1021.1711,1012.956,1016.7509,1014.4503
1971-11-01,1013.87054,1016.0758,1009.7396,1021.0207,1009.2244,1014.19946,1012.4607
1971-12-01,1011.3568,1013.6568,1007.4057,1019.22314,1010.4256,1016.7593,1018.28174
1972-01-01,1010.6387,1012.69354,1008.19385,1015.6664,1010.6699,1012.80475,1012.781
1972-02-01,1010.6149,1012.7735,1009.08875,1016.5963,1013.47345,1019.90607,1014.659
1972-03-01,1010.6506,1013.4903,1009.3081,1018.3593,1013.05164,1017.6731,1020.14044
1972-04-01,1012.1604,1015.19086,1009.71436,1017.3269,1019.2868,1014.15717,1011.15295
1972-05-01,1012.576,1015.5889,1009.32874,1015.024,1022.8515,1012.04236,1014.859
1972-06-01,1012.6641,1015.7033,1010.02686,1014.51337,1021.6803,1007.84326,1009.59186
1972-07-01,1012.3541,1016.4457,1009.71063,1019.9967,1019.95044,1011.83673,1011.64545
1972-08-01,1013.1866,1016.75195,1010.6018,1019.00806,1017.3169,1011.4517,1014.73584
1972-09-01,1013.06104,1016.67633,1009.28876,1022.56775,1022.2391,1015.84393,1018.08374
1972-10-01,1013.1972,1016.9063,1009.8713,1020.91974,1016.57385,1018.7374,1019.2737
1972-11-01,1012.87036,1016.1883,1008.76196,1019.998,1015.5533,1021.24414,1021.0729
1972-12-01,1011.77484,1014.74896,1008.3513,1018.86865,1014.02405,1016.94257,1008.2001
1973-01-01,1010.34906,1013.2852,1007.18896,1019.89594,1013.6036,1020.92865,1017.0691
1973-02-01,1010.90656,1013.93604,1008.6861,1020.44763,1013.6627,1017.97,1015.1289
1973-03-01,1010.88666,1014.16565,1009.52203,1019.97955,1015.9308,1020.02966,1017.4581
1973-04-01,1011.99335,1015.2029,1009.4442,1019.24835,1019.2509,1015.6704,1013.52185
1973-05-01,1013.6981,1016.85425,1010.4705,1019.97314,1019.5853,1011.7554,1012.9592
1973-06-01,1014.6594,1017.5732,1010.85187,1021.6779,1018.8059,1019.8169,1017.97064
1973-07-01,1015.13025,1018.4214,1011.15607,1022.36273,1020.721,1015.07104,1021.5486
1973-08-01,1015.527,1019.4593,1011.39655,1023.90674,1018.9281,1021.78204,1017.72943
1973-09-01,1015.73334,1019.20917,1012.2943,1024.9845,1019.00214,1024.5492,1017.4266
1973-10-01,1014.44275,1017.92883,1010.79724,1023.409,1017.6323,1024.9723,1021.07983
1973-11-01,1013.8723,1016.79767,1009.83264,1022.54987,1011.43,1017.8851,1016.47485
1973-12-01,1013.93604,1016.7565,1009.74646,1023.0424,1013.17975,1019.82007,1014.9598
1974-01-01,1011.89307,1013.8228,1008.76306,1020.12976,1010.4992,1023.01587,1013.78546
1974-02-01,1010.8463,1013.31274,1009.0327,1020.06995,1011.7022,1021.59015,1017.9914
1974-03-01,1012.24493,1014.96533,1010.21533,1020.5366,1013.73724,1021.33405,1017.1926
1974-04-01,1012.1811,1014.9341,1009.32,1019.0028,1015.62897,1019.0864,1015.88983
1974-05-01,1014.0307,1016.99835,1010.6643,1018.42413,1017.9643,1015.77704,1018.3168
1974-06-01,1014.426,1018.1225,1010.5678,1022.9799,1016.84283,1015.7288,1014.52655
1974-07-01,1015.02783,1018.8391,1011.3347,1023.0397,1016.29193,1019.12036,1009.8533
1974-08-01,1014.21954,1017.7082,1011.46576,1020.343,1015.7682,1014.11694,1008.72906
1974-09-01,1015.01086,1018.2944,1011.4481,1023.29846,1017.9609,1023.6231,1014.4709
