,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7,abs_vo500_cluster8,abs_vo500_cluster9,abs_vo500_cluster10,abs_vo500_cluster11,abs_vo500_cluster12
1967-04-01,6.8121764e-05,1.4237874e-05,5.2485855e-05,0.00010593953,4.2815896e-05,3.532019e-06,7.8465426e-05,6.263296e-05,7.325286e-05,2.7262027e-05,7.849355e-05,-5.503477e-05
1967-05-01,8.214151e-05,1.521637e-05,5.596673e-05,9.0965346e-05,3.3720702e-05,2.705914e-06,5.6986653e-05,7.53534e-05,7.004468e-05,2.7895643e-05,0.00010765591,-3.698073e-05
1967-06-01,6.836237e-05,6.0971142e-06,4.765754e-05,8.990665e-05,3.9038263e-05,1.9359504e-06,6.259295e-05,7.2650495e-05,6.2433275e-05,3.4705008e-05,0.00010540216,-4.3276785e-05
1967-07-01,7.448198e-05,9.39352e-06,4.8371363e-05,7.959235e-05,3.6896803e-05,1.4868056e-06,6.2825544e-05,8.452879e-05,5.975444e-05,3.208232e-05,8.3851206e-05,-4.52819e-05
1967-08-01,6.4312044e-05,1.0540447e-05,5.933532e-05,8.492595e-05,3.510022e-05,5.962218e-06,6.168664e-05,8.006139e-05,6.807165e-05,2.9852632e-05,6.9967806e-05,-5.254843e-05
1967-09-01,6.0438164e-05,5.351212e-06,4.5812838e-05,8.858327e-05,4.027341e-05,-4.2206375e-07,5.368223e-05,9.026341e-05,7.310849e-05,3.1095802e-05,8.656212e-05,-6.56378e-05
1967-10-01,5.8617523e-05,9.730378e-06,4.5588265e-05,8.303313e-05,2.9381637e-05,2.8262184e-06,6.240848e-05,7.745475e-05,5.4797798e-05,3.8049537e-05,9.283412e-05,-5.7384765e-05
1967-11-01,5.5986813e-05,1.4967736e-05,3.4913046e-05,8.376298e-05,2.306954e-05,-4.6408204e-06,5.8077436e-05,8.8290384e-05,6.4205786e-05,2.4952136e-05,6.963897e-05,-4.3132415e-05
1967-12-01,8.705805e-05,7.773389e-06,3.8209448e-05,0.000108875014,4.081078e-05,-1.3925383e-06,6.3924344e-05,7.99812e-05,6.315511e-05,2.7518683e-05,9.436602e-05,-4.7198788e-05
1968-01-01,0.00010283507,1.7001257e-05,4.4821758e-05,8.359337e-05,3.6457943e-05,6.238697e-07,6.05006e-05,8.3856656e-05,6.597008e-05,2.1209209e-05,9.575583e-05,-6.974587e-05
1968-02-01,0.00011372265,9.0170215e-06,4.1062285e-05,8.5091575e-05,3.7416426e-05,-2.9739022e-07,5.205108e-05,0.0001027564,6.1252125e-05,1.8659466e-05,0.00011914089,-4.4955646e-05
1968-03-01,6.344431e-05,1.6303333e-05,3.4204033e-05,8.4142404e-05,2.6780082e-05,1.6660997e-06,5.311193e-05,9.5163e-05,6.058212e-05,1.6202775e-05,0.00010661551,-4.8100956e-05
1968-04-01,6.659893e-05,1.0254669e-05,4.4142445e-05,0.000100501704,3.745365e-05,3.7691716e-06,6.530231e-05,8.221886e-05,6.8947884e-05,2.2251439e-05,7.8745135e-05,-4.037728e-05
1968-05-01,6.442141e-05,8.896051e-06,4.7008583e-05,9.6574724e-05,4.8099293e-05,2.6094494e-07,5.4033182e-05,8.647154e-05,6.1819774e-05,2.2930752e-05,0.00011465557,-4.3531887e-05
1968-06-01,5.9480117e-05,4.9597656e-06,4.2783828e-05,7.655831e-05,3.878435e-05,-8.278075e-07,5.651779e-05,7.004709e-05,6.812899e-05,3.941103e-05,0.00010141366,-4.277814e-05
1968-07-01,6.5919616e-05,7.0907554e-06,5.26571e-05,8.455185e-05,3.7714202e-05,2.1442247e-07,5.7038902e-05,8.297262e-05,6.9655114e-05,3.036595e-05,8.2011415e-05,-4.96457e-05
1968-08-01,7.154022e-05,1.1148011e-05,5.5904766e-05,8.9521054e-05,3.8700604e-05,4.4205663e-06,7.327723e-05,7.211295e-05,7.621558e-05,3.1063875e-05,6.624767e-05,-5.884897e-05
1968-09-01,6.962326e-05,1.8473656e-08,4.611524e-05,8.765993e-05,4.479579e-05,-9.509968e-06,7.050415e-05,8.047871e-05,6.4518405e-05,3.4469736e-05,8.2960585e-05,-4.8752358e-05
1968-10-01,7.436913e-05,1.3241777e-05,4.4421617e-05,8.960481e-05,4.00127e-05,-9.022551e-07,5.145552e-05,8.174428e-05,5.998656e-05,3.1035957e-05,9.113093e-05,-3.3211945e-05
1968-11-01,6.695254e-05,5.936854e-06,4.7557613e-05,9.960836e-05,3.6783644e-05,-5.5442797e-08,3.5989557e-05,9.50048e-05,5.4524156e-05,2.4298683e-05,0.00011946658,-6.818251e-05
1968-12-01,8.701548e-05,1.249733e-05,4.254188e-05,9.484388e-05,3.068845e-05,-1.4978141e-06,6.3562155e-05,7.987384e-05,6.324353e-05,2.139532e-05,0.000115316274,-4.6332883e-05
1969-01-01,9.095199e-05,1.4884288e-05,4.6763384e-05,9.405004e-05,3.240626e-05,4.1864696e-06,7.629394e-05,7.5389e-05,7.138399e-05,2.6941558e-05,9.961102e-05,2.0057083e-05
1969-02-01,5.907566e-05,5.2247924e-06,3.9857292e-05,9.193759e-05,2.0706535e-05,-4.6515197e-06,5.2750052e-05,9.8932884e-05,6.452305e-05,1.6252921e-05,8.2431565e-05,-5.745358e-05
1969-03-01,6.144088e-05,9.377472e-06,2.8256876e-05,9.007791e-05,2.203359e-05,-6.132039e-06,6.590321e-05,0.0001030314,6.482095e-05,1.720984e-05,8.616898e-05,-3.940748e-05
1969-04-01,5.9265236e-05,1.2139906e-05,5.4996515e-05,9.722774e-05,4.0856063e-05,1.9205472e-06,6.706777e-05,8.476864e-05,6.870281e-05,1.9520896e-05,8.0878825e-05,-3.5787423e-05
1969-05-01,6.98636e-05,6.7324e-06,5.9104063e-05,8.411972e-05,3.13049e-05,-7.516064e-07,4.8832087e-05,8.340547e-05,6.7086876e-05,2.4738827e-05,0.00011365791,-4.5654553e-05
1969-06-01,6.5539396e-05,1.29072505e-05,4.9309154e-05,9.5413205e-05,3.962831e-05,3.2114913e-06,5.3851414e-05,7.718548e-05,6.2780724e-05,3.1753243e-05,9.9042285e-05,-4.3560154e-05
1969-07-01,7.378156e-05,3.6810816e-06,5.0943145e-05,7.961497e-05,4.0838004e-05,-1.1968223e-07,5.886171e-05,7.5849406e-05,6.9614594e-05,3.1058127e-05,7.447828e-05,-4.7288544e-05
1969-08-01,7.792521e-05,3.1574818e-06,5.0302184e-05,8.393014e-05,3.5854788e-05,-4.7237336e-06,6.3655345e-05,9.515033e-05,5.5251738e-05,3.212338e-05,8.029203e-05,-5.4474483e-05
1969-09-01,6.481719e-05,3.6359415e-06,5.0988278e-05,8.1926024e-05,4.945933e-05,3.9607767e-06,5.6965924e-05,7.930696e-05,7.6782475e-05,4.667581e-05,7.4135234e-05,-5.999033e-05
1969-10-01,6.461858e-05,-2.3688335e-07,5.416598e-05,0.00010705876,3.7136702e-05,-8.148054e-07,5.3977798e-05,7.352029e-05,5.8555823e-05,3.5644127e-05,0.00011629396,-2.8709816e-05
1969-11-01,7.159689e-05,9.901072e-06,4.648353e-05,9.192856e-05,3.488884e-05,2.7149727e-06,5.1847295e-05,9.15393e-05,7.283743e-05,2.1497934e-05,9.7995086e-05,-4.3226144e-05
1969-12-01,7.5352356e-05,1.8459206e-05,3.5334484e-05,9.553056e-05,3.1034073e-05,1.5775004e-06,4.8398768e-05,8.689914e-05,5.4682998e-05,1.9900053e-05,0.00011682659,-5.5521683e-05
1970-01-01,9.2902534e-05,1.2351225e-05,3.2900924e-05,9.034706e-05,2.778407e-05,-2.3611829e-06,5.822092e-05,0.00010094824,6.270801e-05,1.4886798e-05,0.00011139866,-5.41096e-05
1970-02-01,8.5107444e-05,9.110023e-06,3.893766e-05,8.576886e-05,2.5968995e-05,1.1717239e-06,5.225711e-05,9.423895e-05,8.317619e-05,1.5154197e-05,0.000111649846,-2.8261027e-05
1970-03-01,5.756534e-05,1.6483755e-05,3.707397e-05,9.877418e-05,1.8959898e-05,2.508721e-06,5.8763824e-05,9.1897185e-05,6.163031e-05,1.3987366e-05,9.832851e-05,-4.9417962e-05
