,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11,w_cluster12
1965-01-01,-0.058940947,0.035773277,-0.007144928,0.018175244,0.68401146,-0.2882933,0.006880939,0.0076164007,0.09550154,0.027525842,0.27405596,-0.37969798
1965-02-01,0.031623244,-0.009613931,-0.028998017,0.018122673,0.071074426,-0.18281013,0.028629005,0.03614098,0.014182806,0.015391052,0.050166905,-0.3592108
1965-03-01,-0.031204343,0.00020945072,0.009507537,0.026580274,0.49684185,-0.27883762,0.0021530986,0.0072486997,0.06345731,0.020223975,0.1491887,0.026265085
1965-04-01,0.029889762,0.03650868,-0.053477705,0.021169543,0.47530395,-0.2646016,0.016126513,0.017229676,0.074436426,-0.06771374,0.018542945,-0.19468224
1965-05-01,0.008036673,0.02573973,-0.054843485,0.01938343,0.34250444,-0.3063116,0.016441703,-0.002732277,0.051480174,-0.060464382,-0.067661166,-0.003205061
1965-06-01,-0.005674064,0.010348022,-0.11399394,-0.18291521,0.00089240074,-0.3445019,0.0058303475,-0.04664862,0.076380074,-0.05909854,-0.11147243,-0.0050436854
1965-07-01,-0.010401905,0.020591676,-0.07948077,-0.15591401,-0.081424415,-0.48013812,0.009717643,-0.02673918,0.044546008,-0.087780714,-0.09644842,0.021327138
1965-08-01,0.028839111,0.031413138,-0.06534982,-0.089199066,-0.06818652,-0.35285443,0.020223975,-0.01665312,0.018753052,-0.025478423,-0.07758963,0.047802985
1965-09-01,-0.057470083,0.010558188,-0.07832509,-0.12859768,0.16169119,-0.23066628,0.021537244,-0.05268973,0.024846733,-0.029838502,0.01870054,-0.1337983
1965-10-01,0.059570014,0.020223975,-0.09382182,-0.08126682,0.06681937,-0.22178847,0.021642268,-0.013816416,0.01297462,-0.04118532,0.0051473975,0.014918268
1965-11-01,-0.054528296,-0.0042032003,-0.05804795,0.009822726,0.7423739,-0.24653077,0.02542454,0.014130294,0.025687218,-0.030836642,0.16069305,-0.26208007
1965-12-01,0.005672753,-0.014446795,-0.24390423,0.02337581,0.6157731,-0.2909199,0.025582135,0.005410075,0.057258606,-0.07727444,0.11525333,-0.23723274
1966-01-01,-0.054222167,0.012660861,-0.0025667548,0.00965184,0.3912999,-0.27105623,0.018223047,0.013207972,0.037371576,-0.08846152,0.14487678,-0.48770797
1966-02-01,0.12098676,0.038329005,-0.08353764,0.013344765,0.045532465,-0.22637641,0.024149954,0.015441954,0.013800681,-0.058097422,0.11100215,-0.38799894
1966-03-01,0.0056853294,0.021824777,-0.046653926,0.0064148307,0.46132874,-0.2561022,0.009560645,0.013207972,0.047264934,-0.1264394,0.19128913,-0.18703079
1966-04-01,-0.002293229,0.02177918,-0.049115896,-0.00037837029,0.17291567,-0.3844428,0.017539203,0.008238494,0.007098675,-0.08786881,0.066003144,-0.122244954
1966-05-01,0.012204945,0.015761077,-0.025590539,-0.05910045,0.16211045,-0.25126946,0.031125486,-0.0027947426,0.065957546,-0.021122575,-0.046836317,-0.11362815
1966-06-01,-0.0020196438,0.012752056,-0.0724588,-0.09051317,0.042158723,-0.23285043,0.025700092,-0.0637964,0.041930735,-0.025317013,-0.07669884,0.04694581
1966-07-01,0.0030866265,0.019818783,-0.12767035,-0.078476906,-0.07200289,-0.3637442,0.030897558,-0.0063052773,0.020912945,-0.07688123,-0.08066535,0.06472659
1966-08-01,0.03272122,0.027341366,-0.05873573,-0.09265596,-0.081896305,-0.24219674,0.032630026,-0.010727704,0.041885138,-0.055042803,-0.13200158,0.032630026
1966-09-01,0.014986038,0.029028296,-0.049571812,-0.04186678,0.008831143,-0.21698451,0.032082915,-0.012779295,0.044620633,-0.002749145,0.011293113,-0.05052924
1966-10-01,0.03595823,0.022189558,-0.026958346,-0.08121246,0.40146685,-0.18301868,0.029621005,-0.04145646,0.037553906,0.012432933,0.05150497,-0.10710853
1966-11-01,-0.045331776,-0.0645259,-0.053538263,0.02082175,0.48608506,-0.21092081,0.030623972,0.014256597,0.04316169,0.0023115277,0.11341852,-0.38622093
1966-12-01,0.0041351914,0.008192897,-0.018295884,0.02706784,0.4791551,-0.2556463,0.016809702,0.012660861,0.018952549,-0.0041624904,0.14610776,-0.23617864
1967-01-01,0.008019805,0.020575225,0.0069212914,0.017017841,0.55810195,-0.44256103,0.016233146,0.010740161,0.009484649,-0.0033323765,0.32718778,-0.70094
1967-02-01,-0.044608116,0.00043427944,-0.032261968,0.020784438,0.36569095,-0.18051994,0.018848836,0.024603367,0.016076207,-0.016881704,0.41863275,-0.4425087
1967-03-01,-0.07149756,0.038832784,-0.035714746,0.028579235,1.0282482,-0.27374363,0.03459537,0.020522892,0.013094306,-0.00913918,0.32807714,-0.25035918
1967-04-01,0.024237156,-0.0028614998,-0.058837533,0.01942426,0.95417154,-0.34834337,0.027323723,0.017593324,0.057979763,-0.0024952888,0.25515133,-0.04152155
1967-05-01,-0.026664376,0.015919268,-0.08661628,0.015343785,0.06624538,-0.27238345,0.027899146,0.021569192,0.04244244,-0.050728798,0.011524916,-0.16398871
1967-06-01,-0.0031753778,0.02554506,-0.08426213,-0.09258008,-8.881092e-05,-0.36754262,0.03647864,-0.032732844,0.056410313,-0.031843424,-0.063388824,-0.007098913
1967-07-01,-0.015992284,0.03511852,-0.054129243,-0.06642306,-0.08002472,-0.3499651,0.03302592,-0.039585948,0.032764375,-0.03163421,-0.09472489,0.05133587
1967-08-01,0.010007739,0.034804642,-0.122294426,-0.070032716,-0.05407691,-0.34447217,0.029050052,-0.020595908,0.031037986,-0.02708292,-0.14269698,0.06179869
1967-09-01,0.010321617,0.01874423,-0.07573497,-0.14541721,0.04155314,-0.245651,0.031508803,-0.026664376,0.030776441,-0.020020485,-0.058523655,-0.025618076
1967-10-01,0.012623429,0.023871005,-0.039899826,-0.05041492,0.07445866,-0.24486625,0.041605413,-0.01975894,0.015500724,0.013774395,0.15763801,-0.2661581
1967-11-01,-0.015783072,-0.0344069,-0.056954265,-0.01662004,0.33676124,-0.2481097,0.030462563,0.015291452,0.0718953,0.008752227,0.110450745,-0.36006176
1967-12-01,0.049347937,0.013146639,-0.014841437,0.019528925,0.58870566,-0.30303943,0.014088273,-0.0022860765,0.05567789,0.00393939,0.15408063,-0.30330098
1968-01-01,-0.011760235,-0.005771756,-0.033370852,0.020004809,0.57310313,-0.34585094,0.014797419,0.008436978,0.04232216,0.01662001,0.12746283,-0.1511693
1968-02-01,-0.068297505,0.0392721,0.024170697,0.019037724,0.06977248,-0.25260162,0.027220726,0.02454266,-0.030246437,0.023798734,0.16986579,-0.27610922
1968-03-01,0.031647027,0.036965966,-0.06528467,0.019074917,0.3423789,-0.32662082,0.031609803,0.0165084,0.052476525,0.008585751,0.08346045,-0.15109491
1968-04-01,-0.011537045,0.008548558,-0.02518785,0.025286555,0.26211083,-0.2142902,0.031758606,0.022199333,0.048050255,0.009329677,0.067875504,-0.27767146
