,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7,ssta20_cluster8,ssta20_cluster9,ssta20_cluster10
1965-01-01,-0.051590972695468876,-92.3675170311561,-12.114363908767698,-0.6774317473173141,-36.673409598214285,-23.563895506017346,-17.50707848127498,-5.734415407533999,1.0746879797232778,-3.170432995275124
1965-02-01,-0.9430374673082809,-102.23539792574368,-13.43670402254377,0.3110690601170063,-19.030450071607316,-27.37315402311437,-19.892200203829034,-6.884524115809687,1.6831106261203164,-3.898259290714854
1965-03-01,-1.255826993791525,-109.59276786217322,-13.678956031799315,1.4157204329967499,-4.621980445725577,-28.544364256017346,-21.51399656783703,-7.225351863437228,3.3928334712982178,-4.131975370584075
1965-04-01,-1.427090722174684,-104.74024552565355,-14.150591407503399,2.1987980604171753,-11.418183360780988,-27.829069249770217,-21.78533243578534,-8.021077403315791,2.4034454634315088,-3.6852423677739408
1965-05-01,-0.7215043853137119,-79.510864844689,-12.202761002949305,2.8271377086639404,-14.485822405133927,-23.362236864426556,-18.528770845989847,-6.417254165366844,1.9774371071865684,-2.525941121209528
1965-06-01,0.5188307363139697,-48.388224381666916,-9.08829058919634,3.309358060359955,-16.621616908482142,-17.253898171817553,-11.566962752231332,-4.2759003462614835,-0.7684701367428428,-0.19409647307445094
1965-07-01,1.0316335465297226,-19.93604990152212,-6.422721062387739,3.2037386298179626,-15.315963540758403,-10.507987527286305,-4.1528482769810875,-1.877703931596544,-2.815622405001992,1.3754115891210812
1965-08-01,1.5508732519859125,-7.3154898790212775,-5.011417184557233,2.9465341567993164,-33.953295435224256,-5.818255859262803,0.029144252022338467,-0.6921623592023496,-3.345583300841482,2.0510923002184054
1965-09-01,2.1035825910647055,-20.686863018916203,-5.173343420028686,2.162928879261017,-44.07361234937395,-7.90340830298031,-2.524362608443859,0.14146422898327862,-2.658700942993164,1.7147557022645301
1965-10-01,1.7660072027159133,-46.96645736694336,-6.048863700457981,1.5171635150909424,-34.70645972660609,-13.264413440928738,-7.346040703529535,-0.2023574654702787,-1.3992748762431897,0.46886893891796627
1965-11-01,0.8150829017654924,-68.05108143733098,-8.592753750937325,0.6681155413389206,-40.30201094491141,-19.611942066865808,-11.962674384893374,-1.426061987876892,-0.5875858037095321,-1.0541997005030053
1965-12-01,0.3035726656844793,-84.83891120323767,-10.7288122177124,0.6863762438297272,-41.59670557294573,-22.947570856879736,-14.837394758712414,-3.721113116652877,-0.1361544979246039,-2.3439967755189874
1966-01-01,-0.38869443757474914,-100.24097149188701,-12.1146023273468,1.543714702129364,-26.847122396741593,-26.283095864688647,-18.90945212785588,-5.57005626183969,1.483653093639173,-3.549911312221252
1966-02-01,-0.8291669497805194,-111.57867725078876,-12.840022359575542,1.1334624886512756,-17.98762083053589,-29.366364198572494,-21.83137938033703,-6.0503500479239,1.928904182032535,-4.55393496247911
1966-03-01,-1.1309864445905056,-113.91172409057617,-13.60639418874468,0.6067998334765434,-32.45606763022286,-30.18097877502441,-23.09824921364008,-6.658829141546178,2.7010999227824963,-4.758388971545033
1966-04-01,-1.0532938051691725,-107.71225415743314,-12.90243523461478,1.2517660856246948,-49.29423332214355,-29.629090253044573,-23.151994305987692,-6.6226716394777645,3.167632692738583,-4.232005483096408
1966-05-01,-0.26921514144613723,-89.2133566049429,-11.968228646687098,1.327526569366455,-63.43016624450683,-25.69177290972541,-18.8025762868482,-5.321599819042064,2.5102665549830387,-2.553346476604029
1966-06-01,0.8250028179758344,-57.80947758601262,-9.502128192356654,1.0464341193437576,-58.60321862357003,-20.555154015036187,-11.702284702034884,-3.8425410235369646,0.7057309934967443,-0.7311090980608439
1966-07-01,1.4854687797136543,-22.336563697228065,-7.566421372549874,1.837027221918106,-51.55514989580426,-13.32873176125919,-5.367692681246026,-2.0109395186106362,-1.4524058291786595,0.8816460973208713
1966-08-01,2.1950941440487695,-12.491367413447453,-5.180080873625618,1.7545133829116821,-59.04479026794433,-8.012686056249281,-1.184747246808784,-0.3651116733197812,-2.7519298227209794,2.169803983157443
1966-09-01,2.5256324405512536,-19.48873813335712,-3.6946245602199004,1.383533626794815,-62.48754092625209,-7.439240287331973,-2.9675175977307697,0.6213157817169471,-2.2622944493042794,2.0654149891174947
1966-10-01,2.0791459182077205,-43.090464518620415,-5.325941102845328,0.08786113932728767,-62.99456868852887,-12.212207738090964,-6.028004579765852,0.3365994051650718,-1.0944186072600515,1.137065272970298
1966-11-01,1.4455906123169198,-61.026917971097504,-8.238503762653895,-0.6176801398396492,-64.4508225577218,-19.257873647353225,-11.524273628412292,-0.6867455663504424,0.7060574073540536,-0.8394462546122443
1966-12-01,0.8483702978811973,-78.1859984764686,-10.996402161461965,-1.7826484143733978,-63.42443057468959,-23.560916676240808,-15.198226307713709,-3.184864697632966,2.1101172033109163,-2.785675058659819
1967-01-01,0.2017841358815343,-89.59719584538387,-12.375313895089285,-1.4131167531013489,-42.391780444553916,-25.54957445930032,-18.360227762266646,-4.608506626553005,3.1892105152732446,-3.5552713059887444
1967-02-01,-0.7062199440869418,-100.01087188720703,-13.234468017305645,-0.2554202266037464,-20.42734622955322,-26.928738986744598,-19.706932334012762,-6.6883277010034625,3.739499104650397,-3.8267664073668803
1967-03-01,-1.222497871345725,-107.49523456280048,-13.892019646508352,-0.16263825818896294,-22.59876557758876,-27.5151673485251,-20.612355165703352,-8.216010199652777,2.9060683752361096,-3.963828332645377
1967-04-01,-1.0542059671287694,-104.27331190842848,-13.582311357770646,0.6755761802196503,-36.44726957593645,-26.811058381024527,-21.680818602096203,-7.5887141404328515,2.7632446665512886,-3.863863355105685
1967-05-01,-0.509648800881441,-91.83846987210786,-12.71606854030064,1.034645438194275,-55.64612661089215,-25.0151185428395,-17.32566744782204,-6.833757294548882,1.4210051611850136,-2.5945144830290805
1967-06-01,0.5426449100833294,-50.47620993394118,-10.053334917340958,0.8648546785116196,-57.69316809517996,-17.844507273505716,-11.828175256418627,-4.079234158551251,-0.7989708530275446,-0.4416834755042165
1967-07-01,1.594387795314316,-18.802701509915863,-6.882739918572561,0.5351070314645767,-66.2365368434361,-10.145239970263312,-3.708424679068632,-1.6919726574862444,-3.3536431036497416,1.3426758579372131
1967-08-01,1.9421976459913017,-7.876014709472656,-4.647982120513916,1.442674696445465,-71.6827392578125,-5.66598141894621,1.0660800129868264,-0.42385293377770317,-3.826896454158582,2.1698804245781655
1967-09-01,2.3997156088017237,-23.99019644810603,-4.0875873395374835,0.8473005145788193,-80.10390826633997,-5.615116217557121,-0.5768184051957241,0.48170790628150656,-2.83385295616953,1.917810169691892
1967-10-01,2.271531879409286,-37.029662499061,-4.5182883739471436,0.40557514876127243,-69.57197870526994,-9.158731208128087,-5.136545314345249,0.5944973892635769,-1.3905437369095652,0.9120981103366184
1967-11-01,1.5220826814982518,-62.207999596228966,-7.7177694865635456,-0.49277234822511673,-63.30267361232212,-16.119736783644733,-9.214102944662404,-1.312071747250027,-0.18798675584165672,-0.8383985032740328
1967-12-01,0.703363921031479,-82.58355947641226,-10.119743858064924,-0.6011136248707771,-65.36229678562708,-21.003198623657227,-14.441660947577898,-3.499221360241925,0.31601202331091227,-2.107595905815203
1968-01-01,0.044606096488385164,-91.43486756544847,-11.564517021179197,-1.256709098815918,-53.74600206102643,-24.096115897683536,-18.313426749650823,-5.837689505683051,1.4840803648296155,-3.0688846234193785
1968-02-01,-0.6977246319952091,-100.73343423696664,-13.033495630536759,-0.7749752700328827,-29.377218655177522,-26.38290068682502,-19.7367645973383,-6.974223366490117,2.4913287476489416,-4.073269096846433
1968-03-01,-0.676709980018868,-107.39922890296349,-13.532598529543193,-0.5685926228761673,-34.062910079956055,-27.353987974279065,-20.290044296619506,-7.650932559260615,2.9489187817824516,-4.51487806654468
1968-04-01,-0.8642756972800602,-94.76740176861102,-13.560927765710012,0.2920331433415413,-45.29923370906285,-27.378180447746725,-20.04917721415675,-8.000204298231337,3.073910035585102,-3.9348781723337076
1968-05-01,-0.33698578265087664,-79.66768558208759,-12.191817590168544,0.9278399497270584,-67.39875929696218,-24.118835785809683,-18.725590373194496,-6.713158112985116,2.6499249433216296,-2.3243225726884664
1968-06-01,0.4829687458917129,-46.56733366159292,-9.670627968651907,0.20893627777695656,-72.83051354544503,-18.563187823576083,-13.524104273596475,-5.1881653291207765,1.5799536516791897,-0.1579777020769021
1968-07-01,1.1978128232246588,-16.845233623798077,-6.37958220073155,1.2070486694574356,-66.58468246459961,-12.287050134995404,-5.876204579375511,-2.5328223352079036,0.17767689729991712,1.5243327494749088
1968-08-01,1.7746048032744857,-7.0690398032848645,-3.9805872099740163,2.4588578939437866,-53.35967540740966,-6.8093194681055405,-2.695266313331072,-0.7929923909681814,-1.2802484004121077,2.6635799211325106
1968-09-01,2.0953602042079957,-16.655808228712814,-3.738748601504734,1.7474889755249023,-56.97171006883893,-6.918456273920396,-4.279331273810808,0.01970456257738449,-1.3265768164082576,2.1542391826197043
1968-10-01,1.9958691163496538,-35.3918038881742,-4.573153172220502,0.2419918216764927,-56.2889882496425,-13.23082587298225,-9.655726233194041,0.5860420840757864,0.12617961160446467,0.6647149926608371
1968-11-01,1.245935889315014,-63.30720461331881,-6.927020209176199,-0.2965087443590164,-57.42274693080357,-19.657449161305145,-13.646823306416357,-0.7671642634603711,1.1784293933918601,-1.1225042883882819
1968-12-01,0.5179179509070294,-84.21035913320688,-10.125736679349625,-0.4633043706417084,-57.541145597185405,-24.625124650843002,-17.13173333988633,-3.310331371095445,0.9526095892253675,-2.8127001732895054
1969-01-01,-0.23602409796281296,-96.10898678119365,-11.891642638615199,0.039509665220975876,-43.94992079053606,-27.909301309024585,-20.153462609579396,-4.923372798495822,1.8123482403002287,-4.059066723302467
1969-02-01,-0.5712746342351614,-105.5483891413762,-12.98064589500427,0.2567742206156254,-35.87820870535714,-30.28748736662023,-22.34048843383789,-5.889908914212827,2.991347877602828,-4.904256899332263
1969-03-01,-0.560969656163996,-113.60390002910907,-13.657120295933314,2.08816334605217,-12.492838076182773,-32.3277753942153,-24.64061559632767,-5.615762428001121,3.6070440944872404,-5.31430096970391
1969-04-01,-0.730621811649031,-100.9647589463454,-14.37885080065046,2.8710204362869263,-15.883527483258927,-31.770512636970068,-23.633182880490324,-6.507420098340069,3.34771055924265,-4.258517629092502
1969-05-01,0.006304102495682141,-80.26065826416016,-13.19123932293483,3.657641112804413,-27.840874876294816,-28.893010756548712,-20.376489328783613,-5.430310302310519,2.4293104284688045,-2.7900273037939956
1969-06-01,1.2123201011626188,-44.649740365835335,-10.246188299996511,3.14143568277359,-30.31516415732247,-21.84030869427849,-13.331086136573969,-3.6262730757395425,-0.5549670834290353,-0.3773260976850372
1969-07-01,1.8967424542450708,-20.988854995140663,-7.20271212714059,2.980327606201172,-47.40961960383824,-12.457070631139418,-4.794961907142817,-1.593397612924929,-3.0044263915011755,1.8147721733014608
1969-08-01,2.2453463767185684,-9.432002214285044,-4.839092918804713,2.5676801800727844,-51.703940119062146,-8.054325861089369,-1.2288973775020866,0.09337764371324468,-3.4641952891098824,2.2296829321949754
1969-09-01,2.4091772796693913,-16.62289362687331,-5.032721161842345,2.2076448798179626,-62.42102895464215,-9.062513884376077,-2.6130534881769223,0.44394433498382563,-3.0546624409525016,1.9311802903401483
1969-10-01,1.9544540850584173,-37.137306653536285,-5.896529129573277,0.6140035018324852,-57.64963286263602,-13.861870765686033,-7.123172005941702,0.14680303909160472,-1.648783526922527,0.8116917511851517
1969-11-01,1.4025781765457028,-59.33961501488319,-7.82826542854309,0.6112636625766754,-46.60949707031249,-19.630406884586108,-12.608838635821675,-0.5644104546970791,-0.6747551654514513,-1.3260454246678304
1969-12-01,0.7949284531853416,-78.515991797814,-10.639584915978567,0.25190098211169243,-40.28052602495465,-24.27124135634478,-15.913761493771576,-2.515236978177671,0.5986911293707395,-2.86083737599481
1970-01-01,0.3001427601191623,-99.05831263615535,-12.112573214939662,0.31706761568784714,-35.29152529580252,-28.48055222455193,-20.543295838112055,-4.323400832988598,1.6475691607123928,-4.12971014829026
1970-02-01,-0.3553766110711847,-107.48903567974384,-13.794434922082083,0.22786052897572517,-20.892769949776785,-30.449008941650387,-21.953425296517306,-6.003310062267162,2.4235607762085762,-4.793712281689202
1970-03-01,-0.7224446978450807,-110.14143870427058,-14.561762128557476,0.2937484346330166,-28.98497240883963,-31.65787809035357,-23.129680544831032,-6.344120590775101,2.490480636295519,-4.887852717920677
1970-04-01,-0.8547692259481131,-105.64232606154222,-13.877877167293002,1.7556880414485931,-35.143232345581055,-30.294513702392575,-23.332436140193497,-5.955957924878155,2.89261121498911,-3.9947753100051093
1970-05-01,-0.022944537076083096,-76.37557249802809,-12.796003477913992,0.9571992605924606,-62.93515477861676,-26.210501614738913,-19.18354921562727,-5.404002136654324,1.5807390213012695,-2.685446345929018
