,zgv200_cluster1,zgv200_cluster2,zgv200_cluster3,zgv200_cluster4,zgv200_cluster5,zgv200_cluster6,zgv200_cluster7,zgv200_cluster8,zgv200_cluster9,zgv200_cluster10
1965-01-01,0.33496913,0.44417268,-0.17587349,-0.08948211,-0.059458494,0.18426228,-0.37190992,1.2395033,0.08624425,-0.33909
1965-02-01,1.0231569,-1.171656,-0.69613534,0.40060893,-1.0695169,0.24725309,0.12657014,0.0865386,0.5261488,0.12553978
1965-03-01,0.36043015,-0.07550053,-0.0132457735,0.07550049,-0.56176496,0.017955303,0.3011191,-0.025902748,0.13010235,0.06887765
1965-04-01,0.45624083,0.025902653,1.1202923,-0.23945293,-0.77575666,-0.11332436,0.4485878,1.0977743,-1.1968228,-0.48876643
1965-05-01,0.43740255,0.15114817,0.19927406,0.26447254,0.18073025,0.21943717,-0.30656445,0.04297495,-1.5704987,0.24695878
1965-06-01,0.393103,-0.15865421,0.054601718,0.6658174,-0.23474336,-0.1639524,-0.4213605,-0.528062,-1.0280136,-0.14849906
1965-07-01,0.08256493,0.24901919,-0.54101336,-0.07653065,0.9982845,-0.19279861,0.49185705,0.0033849715,-0.6815651,0.533949
1965-08-01,0.49421197,0.20001006,0.10405235,0.14114037,-0.64506567,-0.33055386,0.11096954,-0.0922784,0.7280721,0.09978429
1965-09-01,0.2915526,0.34026733,-0.06843605,-0.46109763,0.07432308,0.13378148,0.9158667,0.564267,-0.56338394,0.13098529
1965-10-01,0.589581,-0.2635895,-0.5914942,-0.2069273,0.29361305,1.4568802,0.14069879,0.12509842,0.09036515,-0.08830466
1965-11-01,0.16851477,-0.051069546,0.69083697,-0.3701439,0.18028888,0.8659746,0.017808104,-0.23091678,-0.42813072,0.015894841
1965-12-01,0.1643939,0.6590473,1.170037,0.6669947,-0.11773968,-0.31642514,-0.1331929,-0.013981581,-0.8957039,0.22605996
1966-01-01,-0.27732635,0.60051215,-0.74850637,0.34618777,-0.42618865,0.282245,-0.3376524,-0.22249761,0.56449014,0.3849586
1966-02-01,0.06654672,-0.2365303,-0.60369486,-0.27804986,-0.9997927,0.015624046,0.027631378,0.022712708,1.0168632,-0.15652952
1966-03-01,0.2096223,-0.008969498,-0.276169,0.4024632,0.09793945,-0.063653424,-0.09200802,0.07985611,0.09765015,0.10025413
1966-04-01,-0.122822165,0.77715045,-0.05989208,-0.27978578,-0.32419842,-0.17736149,0.61541283,-0.17085156,-0.18445034,-0.19226225
1966-05-01,0.26025572,0.27747107,-0.6243822,0.5753403,0.6347982,-0.7286869,-0.3502384,-0.60369486,-0.1542149,0.8794298
1966-06-01,0.65837896,0.34864712,-0.71422035,0.14813885,0.6735689,0.93975604,1.6580269,-0.46886533,-0.15884419,-0.2524437
1966-07-01,0.31841174,0.08752346,-0.20860958,0.21034566,0.40709266,-0.150309,-0.5445261,-0.3994252,-0.3402565,-0.048174046
1966-08-01,0.54713005,0.25851974,0.28094304,0.13005547,0.01634736,-0.010560703,0.10893412,0.039349366,0.6389935,0.09504612
1966-09-01,0.39045587,0.36730924,-0.6003674,-0.19862762,0.099096775,0.118337534,0.19009228,0.1471262,0.32853836,0.1641969
1966-10-01,0.23132233,0.1222435,0.40304184,0.059024073,0.17171955,-0.59385747,-0.85845315,0.18763295,-0.254035,0.3563145
1966-11-01,0.17967625,-0.19110508,0.3775805,0.59298956,0.27313098,-0.2619915,0.19660234,0.53960735,-0.28224507,-0.20311217
1966-12-01,0.2685017,0.11240616,-0.17909756,0.055841397,-0.5465514,0.10112228,0.73432904,0.36383718,0.5656474,0.50778073
1967-01-01,0.81398934,-0.08209839,-0.74171615,1.0148222,-0.41715288,-0.5467118,-0.5488766,-0.3282269,0.80466384,-0.13788529
1967-02-01,0.26577884,-0.21215686,-0.10924244,0.6001672,-0.23646994,-0.055120848,-0.36819363,1.484598,0.24646163,0.61948454
1967-03-01,-0.030641174,-0.10441313,0.8751051,-0.20766059,-0.04762707,-0.039966773,-0.03447132,0.81199104,-0.8073282,-0.43513793
1967-04-01,0.3025815,0.1440467,0.9796848,-0.23713604,-0.59084165,0.713573,0.7107419,0.90125,-1.6586196,-0.3070778
1967-05-01,0.078268215,0.24979214,0.28809363,0.5587018,0.29142419,1.2572871,-0.13688609,-0.5640305,-0.85745317,0.3555375
1967-06-01,0.103580475,0.4218157,-0.44962582,0.4779357,0.9675282,0.003996658,-0.17085782,-0.30324763,-1.1307259,0.14837655
1967-07-01,0.25745243,0.72522986,0.27743578,0.54088324,-0.44796062,-0.2960868,0.2672776,-0.23863478,0.41315633,-0.08975868
1967-08-01,0.40133277,0.55420554,0.4011662,0.16786031,-0.15686947,-0.111740306,0.16119924,-0.35054165,1.1164043,0.1149044
1967-09-01,0.28776056,0.23197365,0.6474613,-0.16319756,-0.07327237,0.5487101,0.010657835,0.054121625,0.38118282,0.19733581
1967-10-01,0.31557074,0.12989192,-0.021149253,0.3780188,0.45378906,0.26594543,-0.60233206,-0.027810192,0.50441366,0.26511273
1967-11-01,0.26294786,0.07243967,1.3437152,0.18118258,0.095254086,1.1035818,-0.7164039,0.17418842,-0.11140738,0.49708638
1967-12-01,-0.32472962,0.5781854,-0.4378023,-0.5377192,-1.179019,-0.78934336,1.5345564,0.80366457,-0.017318916,0.57502156
1968-01-01,-0.060306452,0.99534035,-0.11622448,0.24094287,-0.415775,0.29261392,0.17978688,0.12910685,-0.3866128,0.4803285
1968-02-01,-0.2744937,0.19705792,-0.26132813,0.35107994,0.6435524,1.4530184,-0.8835043,0.23867798,0.47721416,-0.4799038
1968-03-01,0.21900034,0.059315585,0.17299184,-0.24816263,-0.5614449,0.12429361,0.777614,0.8489625,-0.4617835,-0.10291743
1968-04-01,0.26868948,0.43361226,1.075041,-0.7102292,-1.0318639,0.056767367,0.90275705,1.1162363,-0.9371573,-0.054927062
1968-05-01,0.24434035,0.05436077,-0.23159952,0.24773793,-0.016563058,-0.20569327,0.0022649765,0.1704437,-0.31342387,0.1506247
1968-06-01,0.33480015,-0.117781736,-0.14354649,0.87359476,0.43460312,0.15685359,0.38194114,-0.43502778,-0.28496942,-0.5673906
1968-07-01,0.0151474,0.2202744,-0.2921892,-0.041761495,0.0016987801,0.33310136,0.9961896,-0.18346758,-0.15671197,0.26132813
1968-08-01,0.32389966,-0.004671621,-0.28270444,0.15487166,-0.5066595,0.80068904,-0.088336274,-0.29558676,-0.38958564,0.5049607
1968-09-01,0.18318455,0.13363695,-0.6812085,-0.46461478,0.60844433,0.3284297,-0.027321959,-0.22508761,-0.29912585,0.3581583
1968-10-01,0.18474174,-0.042752504,-0.404733,-0.42327803,0.6272724,0.6664858,0.079842374,-0.3182371,0.15713663,-0.056484222
1968-11-01,0.18460016,-0.10291748,-0.48641577,-0.4799037,-0.19012117,1.2028738,0.37302247,-0.097254835,0.6034897,0.34994754
1968-12-01,0.041336823,0.3515048,0.3694834,-0.03369236,-0.31667987,0.529593,0.11679077,0.21914187,-0.24816266,0.050680112
1969-01-01,0.07601013,0.7154342,-0.1509604,0.6771264,0.2957128,0.3983719,-0.7024125,-0.46514577,0.17458114,-0.49709424
1969-02-01,0.10947285,0.7065007,0.5296485,0.2384781,-0.31085426,0.32614714,-0.092817165,-0.0664711,-0.7040781,-0.59611946
1969-03-01,0.23984079,0.08236952,-0.5208664,0.45303267,-0.4857382,0.33235517,0.13718167,-0.14308684,0.3491622,0.2280304
1969-04-01,0.08297522,-0.08055258,-0.033008397,0.99630845,-0.06904508,0.104476094,-0.57628405,0.025286293,-0.2584648,0.12900527
1969-05-01,0.09735966,-0.12991376,-0.23348133,0.50405943,0.17503531,0.6972644,-0.7776656,-0.1733698,-0.44652176,-0.10023651
1969-06-01,0.33326358,-0.17776081,0.06601677,-0.9142416,0.40669975,-1.1964786,-0.8279354,1.155748,-0.37308565,0.1349105
1969-07-01,0.34916222,0.084186554,-0.06344271,-0.06419973,0.36036685,0.14414677,-0.46075478,0.047847033,0.15126324,-0.050875284
1969-08-01,0.17639808,0.3691489,-0.51465833,-0.16277075,-0.05708332,-0.500274,-0.29374447,0.17715514,-0.27769452,0.34885937
1969-09-01,0.33523208,0.3312953,-0.56492805,0.3915583,-0.4625717,0.68833095,1.1004817,-0.6612278,0.15610857,-0.14414674
