,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8
1965-01-01,-0.6207014918327332,0.02933240196268473,0.17283142854770026,-0.0627960020210594,0.3922331875020807,-0.09300285972744586,0.08225983141788414,-0.12704768617238316
1965-02-01,-1.1081384420394897,0.0772871941860233,-0.0611834724744161,0.45397509820759296,0.16411426392468537,-0.3325972930494561,0.27358098221676685,0.17544535387839588
1965-03-01,-0.9888302683830261,0.07533971303408699,-0.15537238369385403,0.17553329234942794,0.0655938143079931,-0.1790805214858917,0.09661937531616005,-0.05779304275555269
1965-04-01,-0.017270013689994812,0.020276367597814114,0.6787579754988353,0.30142569448798895,-0.15670726245099847,-0.3193303404084171,0.3055137449077197,0.20841164514422414
1965-05-01,-1.3708728551864624,-0.0012231807756636823,1.1195465922355652,0.5546419881284237,-0.46957568688826123,-0.14382094503885293,0.18828878445284705,0.5419321358203888
1965-06-01,-1.3625022172927856,0.0433082043725465,0.2027266596754392,-0.006287422002060339,-0.5972962487827648,-0.21488734756607608,0.4004476591944694,0.3472880859460149
1965-07-01,-0.35746294260025024,0.030170215177349743,0.6118209660053253,0.998823344707489,0.28699625622142444,-0.25940567973148393,0.15226343114461216,-0.07592055813542434
1965-08-01,-0.5966109037399292,0.02346388854285968,-0.08862743154168129,-0.13158420333638787,0.22951418703252618,-0.1752470092601087,0.12056827545166014,0.07402710616588591
1965-09-01,-0.8581209182739258,0.05884734003172654,0.5177308619022369,-0.4002033732831478,-0.3069330345500599,-0.08600867656340082,-0.2328622820121901,0.07316395640373229
1965-10-01,-1.8607115745544434,0.015666752473667396,-0.013198448965946834,0.44355872087180614,0.5244773084467107,-0.18561633236436959,-0.17651225041065896,-0.10646736648465904
1965-11-01,0.6159812211990356,-0.06750209473206528,1.663687825202942,1.1549928225576878,0.08822942999276247,-0.15518780214240752,-0.10294038137154919,0.23544686181204658
1965-12-01,-0.3746632933616638,-0.010949369919087204,0.7741012672583263,0.8634010329842567,0.24928832595998587,-0.2569654081241194,-0.00634112802799791,0.3266312714133944
1966-01-01,-0.6728658080101013,0.023843341373971528,-0.2781337251265844,0.25259724352508783,0.15453673221848227,-0.27574313333235595,0.16679516328232627,0.33025198749133516
1966-02-01,0.0027873730286955833,0.036728468590549054,1.1165973544120789,0.9619245305657387,0.09969562292098998,-0.22169443139110703,0.2539069790925298,0.471154972910881
1966-03-01,0.24034936726093292,0.008554524642282298,0.06942794347802798,0.34645923878997564,-0.017238196662881157,-0.3385954951665488,0.28771473360913136,0.40044592959540226
1966-04-01,-0.785079300403595,0.036589931031422954,-0.1084582507610321,0.07054641610011458,0.02815412188118154,-0.3500451524573637,0.347827428153583,0.3666093839066369
1966-05-01,-0.5913750529289246,-0.009890130344761668,0.4406078656514486,1.0070618242025375,-0.42163602330467914,-0.10967717831393323,-0.07952868140169551,0.496830471924373
1966-06-01,-0.8772474527359009,0.032664746478466046,-0.45533642172813416,-0.3380237612873316,-0.32782738859003235,-0.22984543837696675,0.3655431259955678,0.2602582265223775
1966-07-01,0.30556073784828186,-0.07659990244844396,0.6716826558113098,0.2043175045400858,0.1986482874913649,-0.27948400701384946,0.33745653927326197,0.10274235558296951
1966-08-01,-0.8513497114181519,-0.0011577453863407883,-0.32667453090349835,0.2171110361814499,0.0137026116929271,-0.06250310015965657,0.026340297024164877,0.19602714372532706
1966-09-01,0.117272287607193,0.01494050271243655,-0.18721407900253934,0.05061670672148466,-0.37539612163196906,0.04189123500542469,-0.39478335529565806,0.04814452757792813
1966-10-01,0.4298124611377716,-0.026888855583300546,0.20681375016768774,-0.3919827286154032,0.36021744663065125,-0.1078553408025259,-0.11338435911706515,-0.14405785394566398
1966-11-01,0.8880712985992432,-0.051178122625320344,0.8439533909161886,0.48922067508101463,0.21887833421880548,-0.10117155062146935,-0.2790865887488637,0.1138400552528245
1966-12-01,-1.2384666204452515,-0.00166424189436449,-0.07538714756568274,0.0880889710970223,0.3159629756754095,-0.18838125180049115,-0.19629250413605143,0.05081617606005498
1967-01-01,-1.1259881258010864,0.09823552016834063,0.03191554608444373,0.4234114196151495,0.08625324476848949,-0.12059032198894455,0.04423362469034535,0.018959018468324627
1967-02-01,-1.6812465190887451,0.10371010118563259,-0.18487036228179932,0.6677667144685984,0.22226890379732303,-0.18683176442801236,0.2154370636812278,0.06657747019614492
1967-03-01,0.3628838062286377,0.005058469417105828,1.09063724676768,0.2590598538517952,0.27570177208293567,-0.2818041357649378,0.35423716264111654,0.2263769773500306
1967-04-01,0.5912730097770691,0.03971779016345473,0.42520006497701013,0.05925393779762089,0.1911329545757987,-0.3162010247448841,0.3565347088234765,0.22511931934526985
1967-05-01,0.006486056372523308,0.04369387170299887,-0.5500778059164684,0.30720257200300694,0.05923366004770452,-0.27978497456355267,0.1826586467879159,0.16374537455184118
1967-06-01,-1.6589875221252441,0.008877330193562166,0.08751281847556433,0.16753451200202107,-0.2909911491654136,-0.20902643361723566,0.20546293152230125,0.3193602764180728
1967-07-01,0.27275294065475464,0.015450322825927286,0.9113046526908875,0.32742139883339405,0.17225871031934564,-0.14754558902188958,0.0346782717055508,-0.08502644486725329
1967-08-01,-0.8903219103813171,0.05334348939608649,0.37718040247758233,0.790469441562891,0.005235558968376029,-0.01837279400732144,-0.09319912642240523,-0.017355977823691707
1967-09-01,-0.9990556240081787,0.06043509679979511,0.029980692391594253,-0.40339515544474125,0.012599585408514195,0.0001205852257329073,-0.221977276461465,-0.1837443693407944
