,vo1000_cluster1,vo1000_cluster2,vo1000_cluster3,vo1000_cluster4,vo1000_cluster5,vo1000_cluster6,vo1000_cluster7
1965-01-01,2.3994144e-06,7.582079e-05,6.2041872e-06,6.069582e-06,1.2956662e-06,2.2876993e-05,-3.173147e-06
1965-02-01,5.3516997e-06,2.6421538e-05,1.0044852e-05,2.9198782e-06,2.525041e-06,3.5197645e-05,-4.2907915e-05
1965-03-01,1.2108765e-05,2.7435544e-05,5.2350442e-06,7.487404e-06,5.1497045e-07,2.9239225e-05,-2.4996756e-05
1965-04-01,7.9315214e-07,-5.6888668e-05,6.4195483e-06,-3.2359603e-06,1.1341472e-06,3.5152774e-05,-1.2976816e-06
1965-05-01,9.5961805e-06,-0.00014427284,7.5232965e-06,-4.564041e-06,1.843051e-06,2.7193259e-05,2.8700812e-05
1965-06-01,4.0056766e-06,-0.00013196116,3.7139398e-07,-9.122596e-06,2.1212327e-06,3.269403e-05,1.9377323e-05
1965-07-01,2.7045098e-06,-0.00010209728,-3.6666897e-06,-1.09621615e-05,3.18011e-06,1.6487844e-05,6.037735e-05
1965-08-01,5.0376257e-06,-0.00013923869,8.021234e-07,-1.1976175e-05,1.8520295e-06,2.3101333e-05,2.6475376e-05
1965-09-01,6.670809e-06,-0.00014899293,7.595081e-06,-1.30619665e-05,2.2468594e-06,2.0292617e-05,-2.1658605e-05
1965-10-01,4.2748798e-06,-0.00016950638,5.5850105e-06,-1.6139886e-05,1.1610682e-06,1.7232647e-05,-4.5303845e-05
1965-11-01,-4.958878e-06,-0.00012991519,6.8413065e-06,-7.821429e-06,1.4033503e-06,9.4705465e-06,-2.307642e-05
1965-12-01,-7.8618905e-07,-4.7636953e-05,7.272036e-06,6.8413065e-06,1.6994745e-06,2.479733e-05,-4.406549e-05
1966-01-01,1.3187288e-05,4.2360985e-05,-1.1644079e-07,5.4559714e-06,2.6697635e-06,3.103693e-05,-4.269163e-05
1966-02-01,1.5313602e-05,5.9151545e-05,3.5740595e-06,5.138245e-06,2.335746e-06,1.6918522e-05,-5.118578e-06
1966-03-01,5.7574034e-06,-7.6777855e-05,-1.1513817e-05,-2.6745365e-06,1.8224964e-06,2.5236408e-05,-2.3106717e-05
1966-04-01,7.997773e-06,-0.00014079543,8.633226e-06,-7.5055905e-06,1.8958199e-06,2.926093e-05,-2.2916392e-06
1966-05-01,7.321589e-06,-0.00016018482,-6.7805267e-06,-7.912931e-06,1.6106824e-06,2.9505332e-05,2.2385027e-05
1966-06-01,2.7593815e-06,-0.00017998969,5.4885604e-06,-1.1750075e-05,1.3418357e-06,2.820999e-05,4.619813e-05
1966-07-01,4.763493e-06,-0.00014499103,1.0078184e-06,-9.868163e-06,1.7247366e-06,2.1782163e-05,6.319236e-05
1966-08-01,-2.992263e-06,-0.0002031918,6.3521184e-06,-1.273584e-05,1.8062055e-06,3.1517593e-05,1.539507e-05
1966-09-01,5.985512e-06,-0.00017811592,1.8876708e-06,-1.3469049e-05,2.2950117e-06,6.4661763e-06,8.242179e-06
1966-10-01,8.030362e-06,-0.00016179789,6.9009184e-07,-1.2084092e-05,1.5780934e-06,2.2670165e-05,-2.5477435e-05
1966-11-01,1.2209672e-05,-0.00015238833,2.3276007e-06,-1.7702405e-06,3.1534e-07,1.539507e-05,-2.0271633e-05
1966-12-01,3.2074531e-06,-0.00011883979,5.1545394e-06,-2.087967e-06,2.3113062e-06,2.2930863e-05,-6.589372e-05
1967-01-01,7.810049e-07,7.201064e-05,1.5541082e-07,4.165635e-06,2.152501e-06,2.4577685e-05,-5.90275e-05
1967-02-01,9.042069e-06,1.6958256e-05,-1.0155782e-06,8.191902e-06,2.8262184e-06,3.7731228e-05,-6.012631e-05
1967-03-01,2.2647873e-06,5.6563247e-05,1.2702512e-06,2.7299757e-06,1.5509686e-06,3.7121674e-05,1.3204684e-05
1967-04-01,-1.6251324e-06,-0.00012077696,3.900961e-06,-5.547132e-06,1.2943128e-06,3.7458532e-05,7.0770584e-06
1967-05-01,6.6840585e-06,-0.00015552959,1.01328515e-05,-8.290128e-06,1.9359504e-06,3.5004272e-05,1.579529e-05
1967-06-01,6.507609e-06,-0.00012593411,8.84958e-06,-7.8249395e-06,2.5615445e-06,2.8491666e-05,7.4620402e-06
1967-07-01,4.1255335e-06,-0.00015403779,3.2432836e-06,-1.1698819e-05,2.705914e-06,2.7890132e-05,5.305831e-05
1967-08-01,6.531667e-06,-0.00016229885,2.1765627e-06,-1.18271455e-05,1.1820266e-06,1.4415773e-05,4.6393314e-05
1967-09-01,2.1123997e-06,-0.0001476134,1.157965e-06,-1.065616e-05,1.8717874e-06,1.1592572e-05,1.6910133e-05
