,mgu500_cluster1,mgu500_cluster2,mgu500_cluster3,mgu500_cluster4,mgu500_cluster5,mgu500_cluster6,mgu500_cluster7
1969-11-01,0.81903553,0.044451524,-0.66478235,-0.76231,-0.06004257,-1.6689224,-0.864814
1969-12-01,0.010283661,-0.5019039,-0.36589545,-0.42328453,-0.11345081,-0.6040764,-1.0797739
1970-01-01,-0.5431198,-0.6323086,-0.43529433,-0.4872101,-0.03194809,-0.17405128,-0.4895401
1970-02-01,0.25525284,-0.25891382,-1.5355113,-0.09584465,-0.5707413,-1.0113605,-0.88756144
1970-03-01,0.05923729,-0.38737258,-0.7411318,-0.6479496,0.48521385,-0.94413644,-0.9817421
1970-04-01,0.44128495,-0.04259758,-0.6040211,-0.8136814,-0.11714325,-0.6842243,-1.3022228
1970-05-01,0.3191494,-0.26257437,0.22496872,-0.59902877,0.9800781,-1.8886055,-0.8609381
1970-06-01,0.040600587,-0.32647094,0.001996994,-0.12213554,0.8882271,-1.9528347,-1.2586269
1970-07-01,-0.38604125,-0.19934388,1.2672793,-1.081913,-0.20566674,-1.8935974,-1.8416817
1970-08-01,-1.0183494,-0.05657501,0.5820568,-0.87890893,1.2915733,-1.9844501,-0.059569933
1970-09-01,-0.7314812,0.119140625,-1.2772633,0.029618835,0.019634629,-1.6959175,-0.64961374
1970-10-01,-0.7917166,0.26091042,-1.0406463,-0.12246819,-0.10982227,-1.2542999,-0.13544694
1970-11-01,0.4885416,-0.22496872,-0.88356763,0.9491283,-0.049253464,-1.5398376,0.38304597
1970-12-01,-0.37406006,-0.042930603,-0.75544244,0.25458756,-1.2150307,-0.1624035,-1.5281897
1971-01-01,0.39325255,-0.1688633,-1.8277754,0.05911865,-0.22634888,-0.37757492,-0.53990555
1971-02-01,0.6796997,-0.17408943,-1.827122,-0.6032707,-0.82929265,-0.5761608,0.23843384
1971-03-01,0.04866638,-0.15155259,-0.71856785,-0.45759696,-0.45335084,-0.6127426,-0.6480175
1971-04-01,0.45269775,-0.19238015,-0.62352103,-0.01665764,0.52651405,-1.4390953,-0.73293936
1971-05-01,1.2385496,0.3194359,0.84137803,-1.0360444,0.42362863,-2.2171085,-1.2388763
1971-06-01,-0.83451843,-0.30473787,-0.09341393,0.017964173,-0.062711336,-1.5263035,-1.4652252
1971-07-01,0.15579835,-0.13326187,2.3242404,-1.4132923,1.1595074,-2.3771534,-2.0420392
1971-08-01,-0.36875612,-0.09831314,0.35536462,-0.79532397,0.86064833,-2.041713,-1.8085047
1971-09-01,-0.67153394,0.0029396056,-0.920747,-0.33576736,0.21655044,-1.4586929,-0.29624596
1971-10-01,-1.5671314,-0.014044953,-0.059771728,-0.48927918,0.44289932,-0.8328854,-0.8152479
