,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7
1965-01-01,1012.1041,1013.1833,1006.6182,1012.77704,1013.533,1020.637,1018.06464
1965-02-01,1014.75903,1011.6384,1006.0042,1016.0056,1012.46075,1018.5142,1020.30334
1965-03-01,1015.182,1012.3553,1008.68085,1017.27325,1012.83417,1017.64655,1018.53033
1965-04-01,1020.3772,1012.8769,1009.6421,1015.063,1018.7356,1015.4406,1018.5508
1965-05-01,1019.59576,1012.62946,1009.6396,1015.1231,1017.03204,1016.1371,1016.16565
1965-06-01,1025.8992,1014.08563,1011.832,1013.2732,1016.81805,1015.0568,1012.4353
1965-07-01,1022.348,1014.07697,1011.2229,1004.7992,1013.48584,1017.6453,1008.39435
1965-08-01,1020.44104,1014.63257,1011.1373,1015.69495,1015.98267,1018.74615,1015.52875
1965-09-01,1018.7201,1014.4751,1011.1714,1014.8974,1020.27234,1024.5348,1017.9275
1965-10-01,1018.9867,1014.7771,1011.3457,1018.0782,1017.3768,1023.8507,1023.16174
1965-11-01,1014.3826,1013.2273,1010.2914,1016.93896,1015.3798,1019.2361,1015.82513
1965-12-01,1014.5842,1012.24805,1007.8443,1021.2572,1017.63666,1020.7592,1015.8395
1966-01-01,1015.8832,1011.63904,1008.3169,1018.3943,1016.29193,1021.24963,1019.0859
1966-02-01,1011.2686,1011.88635,1008.0853,1020.1261,1019.1153,1024.4735,1019.26245
1966-03-01,1015.86945,1011.2579,1008.1591,1015.86694,1014.42303,1021.863,1019.82446
1966-04-01,1018.58325,1012.60547,1008.9246,1013.068,1017.207,1018.8005,1015.9846
1966-05-01,1021.7472,1013.75586,1011.032,1009.60803,1008.8282,1017.7696,1011.92194
1966-06-01,1022.9839,1015.0414,1011.88257,1017.92236,1019.3988,1022.73987,1018.8574
1966-07-01,1019.872,1014.3304,1010.67584,1011.7092,1013.87164,1018.9432,1010.81287
1966-08-01,1023.26117,1015.4914,1011.45135,1013.3377,1020.33264,1023.2724,1017.05994
1966-09-01,1017.9893,1015.5095,1011.56586,1016.72943,1020.37714,1025.9556,1019.63165
1966-10-01,1018.3943,1015.1347,1010.37286,1018.0181,1019.02454,1025.4254,1022.5871
1966-11-01,1014.72095,1013.83093,1008.6199,1015.59344,1015.45135,1023.484,1020.956
1966-12-01,1014.6365,1013.26764,1007.5514,1018.0863,1016.19995,1020.1174,1018.6766
1967-01-01,1011.08844,1013.147,1006.03467,1015.9869,1014.02344,1021.59424,1018.8058
1967-02-01,1015.5965,1013.51917,1007.3756,1020.65094,1016.5616,1021.59784,1021.2271
1967-03-01,1017.91406,1012.63104,1006.4737,1019.3028,1019.90356,1022.31616,1020.9151
1967-04-01,1021.88666,1013.22455,1009.1184,1017.9481,1018.3109,1019.043,1020.46954
1967-05-01,1022.0332,1013.40454,1009.46094,1015.5653,1019.2571,1018.7557,1020.89404
1967-06-01,1023.525,1014.68884,1010.0385,1016.2162,1022.90393,1024.2462,1022.9997
1967-07-01,1021.31195,1015.0016,1009.9768,1018.08093,1021.6196,1023.9031,1018.6643
1967-08-01,1018.5997,1015.2076,1010.47534,1025.2264,1019.0053,1024.8478,1022.31836
1967-09-01,1017.4562,1015.7213,1010.7699,1016.54266,1014.7425,1024.9725,1020.20764
1967-10-01,1018.77094,1014.89417,1009.75916,1019.8666,1022.3742,1020.64954,1019.4944
1967-11-01,1013.3755,1013.68823,1008.1541,1017.77325,1013.3602,1020.3346,1019.5895
1967-12-01,1012.2885,1013.82245,1008.0888,1015.8787,1013.46985,1021.01154,1017.38654
1968-01-01,1012.7796,1012.6329,1005.64154,1016.16797,1014.3196,1024.5632,1017.1633
1968-02-01,1015.1969,1013.5217,1007.33966,1015.3844,1018.13794,1019.6758,1017.6779
1968-03-01,1016.193,1013.53033,1008.3072,1020.9932,1018.6983,1026.1368,1020.9031
1968-04-01,1015.46313,1013.3342,1009.0557,1013.41437,1008.30786,1019.95776,1016.9695
1968-05-01,1015.78296,1013.5818,1010.0718,1014.5271,1013.15674,1018.6146,1013.823
1968-06-01,1020.94885,1014.9772,1011.36346,1014.46625,1008.60626,1020.9588,1017.82104
1968-07-01,1021.88416,1015.1769,1010.8382,1016.79193,1013.48444,1020.8365,1022.1267
1968-08-01,1015.8438,1016.01843,1011.2712,1010.57135,1012.5628,1016.8363,1014.7547
1968-09-01,1018.8486,1014.82263,1011.0264,1013.9203,1014.30743,1016.9723,1014.1715
1968-10-01,1016.9723,1014.40906,1010.255,1017.5627,1014.336,1023.7876,1022.44226
1968-11-01,1011.8393,1014.21576,1009.6467,1012.3245,1012.5943,1020.2955,1017.6678
1968-12-01,1012.8247,1013.1453,1007.125,1012.0111,1013.48596,1020.0937,1015.82874
1969-01-01,1012.78455,1010.663,1006.0183,1014.4542,1012.7683,1018.7184,1016.53955
1969-02-01,1013.5095,1011.49915,1006.1618,1015.5243,1014.1797,1021.0807,1020.6146
1969-03-01,1018.1188,1012.991,1008.5447,1017.234,1020.2202,1019.40967,1018.61224
1969-04-01,1019.15393,1012.51,1008.3962,1013.2724,1012.5374,1019.73975,1017.95154
1969-05-01,1020.1997,1013.4266,1009.63165,1009.62537,1018.5044,1013.212,1014.1909
1969-06-01,1021.5031,1014.50037,1010.52075,1011.67944,1012.9006,1018.0732,1018.5792
1969-07-01,1025.9033,1014.50916,1010.16705,1012.82446,1023.257,1014.10547,1010.6568
1969-08-01,1023.64264,1015.02014,1011.2265,1020.2177,1023.3962,1019.55255,1020.5223
1969-09-01,1016.3317,1013.71545,1010.11084,1020.8929,1016.29803,1021.3396,1015.3172
1969-10-01,1020.47546,1013.8159,1010.4821,1015.7595,1020.1554,1020.66705,1017.72565
1969-11-01,1013.94696,1013.73663,1008.9896,1016.4322,1020.4904,1024.5243,1021.7908
1969-12-01,1009.81445,1013.4671,1007.74915,1015.6753,1014.5179,1020.50665,1017.6395
1970-01-01,1013.4888,1013.8512,1008.29016,1017.62854,1016.6386,1023.0351,1019.5186
1970-02-01,1015.9778,1012.658,1007.20337,1016.18695,1015.22797,1020.75696,1018.59045
1970-03-01,1014.2766,1012.41327,1007.52655,1019.80084,1013.9094,1017.8008,1018.3166
1970-04-01,1019.49365,1012.97,1008.85876,1014.18866,1015.6397,1017.78595,1015.1626
1970-05-01,1020.29767,1013.84106,1009.77856,1017.44495,1012.4227,1021.2263,1019.2863
1970-06-01,1019.3814,1015.32007,1010.20404,1017.6,1017.3011,1022.06,1018.7622
1970-07-01,1022.93524,1015.73773,1011.1399,1016.29987,1017.34985,1022.53357,1018.5952
1970-08-01,1018.7937,1015.2927,1010.1387,1016.9838,1020.69867,1020.84015,1022.46344
1970-09-01,1015.9927,1014.771,1009.699,1022.05524,1017.4235,1023.1213,1023.7897
1970-10-01,1015.85065,1014.54047,1008.6033,1018.27795,1017.9143,1023.6144,1022.7695
1970-11-01,1016.06696,1015.2232,1008.8493,1019.1906,1020.2916,1024.9846,1023.3708
1970-12-01,1011.21533,1013.03064,1005.7921,1016.3682,1017.00696,1021.67914,1017.90955
1971-01-01,1010.46344,1013.6133,1007.142,1015.27203,1017.23413,1022.1041,1021.43414
1971-02-01,1012.97906,1013.3624,1006.8515,1018.3649,1017.9777,1021.63385,1021.8476
1971-03-01,1019.4132,1013.31055,1007.4671,1014.1918,1014.84576,1022.1304,1018.4295
1971-04-01,1019.03625,1013.07764,1008.2498,1017.71344,1016.10266,1021.8801,1018.38477
1971-05-01,1015.6995,1014.257,1009.5316,1014.70056,1014.1457,1015.3693,1013.75214
1971-06-01,1021.6178,1015.33026,1010.24005,1018.18506,1016.57367,1025.254,1019.24225
1971-07-01,1020.58875,1014.6462,1010.1524,1013.0737,1015.82367,1017.4313,1010.20233
1971-08-01,1016.98517,1015.89026,1010.61633,1021.3784,1017.1036,1026.2114,1020.2649
1971-09-01,1016.29333,1015.8256,1010.20557,1021.452,1015.06085,1022.8753,1024.5457
1971-10-01,1011.87134,1015.4685,1009.9886,1016.4611,1012.12604,1021.4578,1016.39136
1971-11-01,1009.538,1014.2897,1008.1404,1015.58563,1010.9818,1023.2958,1016.56085
1971-12-01,1010.66693,1012.54834,1005.5882,1013.2171,1017.72046,1021.9218,1019.0094
1972-01-01,1012.15607,1012.09485,1006.224,1010.86993,1013.4484,1017.9462,1012.6635
1972-02-01,1016.5926,1012.3685,1007.2039,1015.7739,1017.77625,1019.5136,1020.1298
1972-03-01,1015.5183,1012.31165,1007.77454,1018.03186,1018.668,1020.183,1018.9518
1972-04-01,1020.69037,1012.0492,1009.1281,1012.26666,1012.7254,1019.5517,1015.12213
1972-05-01,1026.0225,1012.2698,1008.2626,1011.35986,1016.9088,1013.5134,1012.3398
1972-06-01,1023.59576,1013.06036,1010.23553,1006.5359,1013.5753,1015.9158,1008.5757
1972-07-01,1020.3829,1012.69916,1010.67053,1010.83057,1012.7354,1021.18915,1014.5184
1972-08-01,1016.4707,1013.41156,1011.84174,1012.4304,1014.49084,1017.41064,1011.033
1972-09-01,1021.4384,1013.4222,1010.9049,1017.72125,1019.5598,1023.54767,1015.76013
1972-10-01,1017.2651,1013.3759,1011.11993,1019.6861,1018.8887,1023.8826,1018.8537
1972-11-01,1016.5357,1012.81415,1009.4944,1021.59906,1019.3867,1021.3728,1019.65295
1972-12-01,1013.9991,1012.6385,1008.7101,1008.9213,1009.6788,1021.66345,1019.13745
1973-01-01,1013.97656,1012.2898,1008.42883,1018.3539,1018.11975,1023.2026,1021.0361
1973-02-01,1015.4099,1012.5637,1008.05133,1015.72375,1018.55133,1025.0803,1020.359
1973-03-01,1016.68964,1012.37213,1008.63336,1016.11664,1019.1731,1022.38904,1020.7821
1973-04-01,1019.7558,1012.5284,1009.00055,1014.6447,1016.4157,1021.49585,1014.8055
1973-05-01,1020.8432,1014.22797,1010.0783,1011.12585,1015.12573,1020.62836,1013.4808
1973-06-01,1019.69336,1014.7566,1009.96704,1022.77686,1016.52435,1022.3396,1018.5822
1973-07-01,1023.8926,1015.3385,1010.52264,1017.62396,1021.3711,1021.57623,1015.26654
1973-08-01,1019.1834,1015.90704,1010.44806,1024.0643,1014.99835,1026.7303,1021.4791
1973-09-01,1018.8831,1016.2093,1010.89435,1022.23096,1015.2672,1028.7709,1024.9717
1973-10-01,1017.8015,1015.0775,1009.5452,1023.63727,1021.38654,1026.3285,1025.4751
1973-11-01,1011.35736,1014.81506,1007.68866,1016.2151,1015.55975,1026.5522,1019.58026
1973-12-01,1013.61774,1014.9077,1007.2713,1018.4986,1015.8176,1025.2411,1020.0786
1974-01-01,1013.37787,1013.79565,1006.97455,1018.4995,1016.24713,1021.49097,1023.4445
1974-02-01,1014.2127,1013.0559,1006.28784,1018.6537,1017.1526,1023.22034,1023.2434
1974-03-01,1016.5589,1013.75354,1008.1286,1018.0539,1017.806,1021.9175,1022.39233
1974-04-01,1016.5365,1012.7761,1008.17346,1012.95404,1016.6499,1021.6438,1018.831
1974-05-01,1019.34717,1014.15704,1009.29694,1016.2383,1018.0043,1017.2429,1016.00055
1974-06-01,1018.97974,1015.05774,1009.731,1014.856,1015.3837,1022.8338,1018.5851
1974-07-01,1015.5067,1015.65955,1010.2058,1013.4472,1008.52185,1023.1884,1021.00665
1974-08-01,1016.27563,1014.5082,1010.60455,1014.0734,1006.9528,1024.1305,1012.3346
1974-09-01,1017.9772,1015.5542,1010.3668,1022.698,1013.0743,1024.7222,1023.3195
1974-10-01,1013.8711,1014.64,1008.7162,1019.54016,1014.98236,1027.5248,1019.9185
1974-11-01,1011.7586,1013.7447,1007.0438,1016.2498,1016.35986,1027.5676,1021.7151
1974-12-01,1009.6733,1013.1442,1006.3904,1014.3404,1012.3753,1020.5753,1019.3384
1975-01-01,1010.3081,1012.5084,1005.84796,1012.6247,1009.12836,1022.6831,1016.0192
1975-02-01,1014.9025,1013.71234,1008.0753,1017.8563,1016.7838,1023.2125,1019.4747
