,mgu200_cluster1,mgu200_cluster2,mgu200_cluster3,mgu200_cluster4,mgu200_cluster5
1965-01-01,2.9775949,1.0007874,0.5197838,-3.8926759,3.8343415
1965-02-01,3.072101,-0.09255066,0.52890855,-4.0608306,3.9311295
1965-03-01,3.5918846,-1.8070228,0.5132664,-3.764277,4.1230745
1965-04-01,2.107161,1.9614913,0.8296989,-0.94115067,2.1733155
1965-05-01,-0.6967384,2.7846725,0.9007412,-1.4814647,2.6878846
1965-06-01,-1.3452461,4.100589,0.4233223,-1.8643776,2.2629325
1965-07-01,-1.0992038,4.25245,0.49403915,3.9578514,0.9695023
1965-08-01,0.23072548,0.7817936,0.12350921,2.033837,0.74464303
1965-09-01,0.7286747,3.4302464,0.2975319,0.61363757,2.16582
1965-10-01,0.72671926,1.1852375,0.34282914,-1.606604,3.1007788
1965-11-01,1.8656814,3.542025,-0.3561905,0.11373291,3.0499408
1965-12-01,2.03123,1.7499939,-0.086359024,-2.7628372,4.683267
1966-01-01,3.5137012,-0.64989626,0.3676178,-3.538646,4.281103
1966-02-01,3.1644645,-0.8629166,0.40306625,-3.183503,3.9742084
1966-03-01,2.447939,0.60427094,0.70569456,-2.2628167,3.168403
1966-04-01,1.5009956,2.2037354,0.19759445,-0.56849444,2.3688354
1966-05-01,0.12111664,0.8126976,0.6899395,-0.3810753,3.0784688
1966-06-01,-0.38665468,2.7574596,0.54584616,-1.007994,2.796519
1966-07-01,-0.95711863,3.6512299,0.34135896,3.3637004,0.25930175
1966-08-01,0.68600047,0.4017536,-0.24485931,2.7541773,0.18577805
1966-09-01,1.0913643,2.962603,-0.18151093,2.011065,0.9177307
1966-10-01,1.5676262,2.168943,0.21564674,-2.7282472,3.9394157
1966-11-01,1.4599667,3.870488,-0.07647743,-1.325721,4.279462
1966-12-01,2.345203,1.6867737,0.081073,-2.2880912,4.5141463
1967-01-01,2.6188836,2.3112793,0.5910446,-2.6208434,4.5347176
1967-02-01,3.1870704,0.67496645,0.53194046,-4.2565017,3.3839767
1967-03-01,3.0881276,-0.092085265,0.19657974,-2.577739,2.6446807
1967-04-01,1.1468229,2.5499833,0.477734,0.41242447,2.1169853
1967-05-01,0.77456266,0.7853382,0.2220501,-0.3454834,2.0085726
1967-06-01,0.56394196,3.0362072,-0.13943443,0.19004822,2.2185407
1967-07-01,-0.26058236,2.7472155,0.26874542,3.236705,0.97930527
1967-08-01,0.7229687,1.1745789,0.6364342,3.9541225,0.44148713
1967-09-01,0.6325161,2.5441048,0.8960373,1.1249447,1.4211197
1967-10-01,-0.1149437,4.061882,0.21160087,1.0906578,3.0074713
1967-11-01,1.7646443,4.488675,-0.2011509,1.8779541,3.718031
1967-12-01,2.9643674,0.15641327,-0.09306488,-4.3410773,4.587944
1968-01-01,3.2620368,1.0229203,0.76946867,-4.9045424,4.1175694
1968-02-01,3.4348938,0.052877806,1.0969483,-5.165287,3.7175186
1968-03-01,2.7558646,-0.8478737,0.8989296,-2.3419564,3.2266629
1968-04-01,2.2847018,-0.6064583,0.06418304,-0.62833863,0.9262802
1968-05-01,-0.07038269,0.9098694,1.2869457,-1.0203667,1.6078613
1968-06-01,-0.07038269,3.4254124,0.23740463,-2.9724832,2.265374
1968-07-01,0.31690446,3.2262986,-0.12690735,0.84532166,2.127891
1968-08-01,0.34571457,2.6347919,0.21151276,2.4765224,0.81614685
1968-09-01,0.8719429,3.2299454,0.4160965,3.1745148,0.7392006
1968-10-01,1.17499,3.550132,0.32164535,-0.23485184,2.9516969
1968-11-01,1.5269032,1.3733742,0.24761581,-2.8353646,4.1682596
1968-12-01,3.3116329,-0.75342333,0.17358628,-2.9615417,4.482976
1969-01-01,2.9669728,1.2638824,0.14994125,-3.047914,3.5332322
1969-02-01,2.704576,0.7997955,0.7055855,-3.2482781,3.6377265
1969-03-01,3.4585938,-1.5030587,0.7135464,-1.947905,2.2673593
1969-04-01,2.8797286,1.1547439,0.9517269,0.2554306,1.2555892
1969-05-01,-0.2796467,2.09088,0.60075873,-0.35660705,2.439858
1969-06-01,-1.3992275,2.594111,0.5430382,-1.336531,2.5287604
1969-07-01,-0.8386078,2.636572,0.8236801,2.8332865,1.3733528
1969-08-01,-1.4486554,2.9928477,0.55962485,2.707562,0.86846316
1969-09-01,-0.8847176,3.484136,0.23784867,3.94955,1.2635514
1969-10-01,0.82036287,1.6347542,0.08293228,-0.8054348,3.547828
1969-11-01,0.9669865,4.006276,0.22789688,-2.1379852,4.647837
1969-12-01,2.6654322,3.0183914,0.09951858,-3.5674012,4.574525
1970-01-01,4.0454426,-2.061325,0.43828964,-4.3296485,4.19287
1970-02-01,3.4550667,1.4746109,0.117809296,-3.3885086,4.2501116
1970-03-01,3.4550667,-0.026956176,0.6439568,-2.6576934,3.621463
1970-04-01,2.0792964,0.2918602,0.71783674,-2.2010987,2.732238
1970-05-01,-1.5301864,1.9119011,1.0762554,-1.0729278,3.1552193
1970-06-01,-1.0842426,4.0777235,0.6679176,0.7148415,2.3877969
1970-07-01,0.4935333,1.2736022,-0.011315155,0.70319366,0.31349182
1970-08-01,0.69121283,1.6616398,0.006655884,2.8151038,0.6499466
1970-09-01,0.3171524,3.111956,0.17737885,3.8650684,1.5994079
1970-10-01,-0.3630783,3.1954873,0.112817004,0.83930665,2.9039598
1970-11-01,1.5940831,2.44171,0.029286195,-1.4140412,4.077724
1970-12-01,2.3432019,1.7278656,-0.4376236,-2.9582047,4.2597623
1971-01-01,3.3041058,-3.0336623,0.46380273,-5.4852853,4.7667174
1971-02-01,3.2070987,-0.34523925,0.65977556,-5.0211554,4.646194
1971-03-01,2.7269652,1.1546081,0.23255463,-2.3366516,3.3462398
1971-04-01,1.689941,0.18290862,-0.5258614,-0.6245003,1.7856411
1971-05-01,0.7368587,1.0370239,0.22536926,-0.36059037,2.8886428
1971-06-01,-2.3987103,4.375425,0.29624596,2.81548,1.758205
1971-07-01,-0.8407242,2.8285446,0.28546754,3.909336,-0.04311371
1971-08-01,-0.12803574,2.1488445,0.3138836,3.1437345,1.2859097
1971-09-01,-0.14371338,3.6542442,0.36157075,3.4226696,1.1993554
1971-10-01,-1.9443794,4.2996492,0.23647423,0.31029052,2.6244059
1971-11-01,1.0732788,3.391314,0.1727829,-1.2868897,3.7035644
1971-12-01,1.8437802,3.2113442,0.2668499,-3.32305,3.95147
1972-01-01,3.0034485,0.26511154,0.35577697,-2.7320251,2.6978812
1972-02-01,2.9027405,-1.2105042,0.7700855,-3.529654,4.248956
1972-03-01,3.2453194,-2.4164162,0.7324993,-2.7624383,2.6184058
1972-04-01,2.0678117,0.38045272,0.8380848,-1.4632766,2.275827
1972-05-01,-0.29954147,2.1952026,0.5669483,-0.8019333,2.0230527
1972-06-01,-0.4054138,3.7824283,0.20112915,0.5046867,1.4979942
1972-07-01,1.1961575,1.5037327,0.41201323,1.9369776,-0.5273533
1972-08-01,-0.5285015,1.5025848,1.0475346,2.8401928,0.32507706
1972-09-01,0.4926365,2.6089375,0.45046005,0.7261871,1.4027379
1972-10-01,1.4035984,3.5038323,-0.038734056,-0.73393404,4.1069317
1972-11-01,0.7953342,2.580246,-0.008033752,-2.0439973,3.9029336
1972-12-01,2.437361,0.5933441,-0.12394829,-2.6413598,4.533865
1973-01-01,3.3894162,-0.5517349,-0.28128356,-3.414582,4.7276626
1973-02-01,3.2890716,-0.3341629,0.8514954,-2.8994803,3.5426412
1973-03-01,3.5948834,-0.8479904,0.6788384,-2.8714478,3.4295545
1973-04-01,0.31664276,3.0128853,0.7314003,0.11436081,2.4251525
1973-05-01,-1.0677936,2.4592376,1.064608,-0.39819258,2.9934535
1973-06-01,-0.97350156,3.2995842,0.43769342,-0.62181777,2.6468666
