,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5
1965-01-01,0.0667668,-0.020225286,0.32322538,0.060620666,0.0026258826
1965-02-01,0.03924036,-0.023114502,0.5114456,0.013815105,0.02573973
1965-03-01,0.030047357,-0.03577459,0.4097447,0.01801765,0.028418839
1965-04-01,0.044546008,-0.046438456,0.1615336,-0.037087858,0.022115052
1965-05-01,0.044178307,-0.06204033,-0.048382163,-0.030048668,0.029994786
1965-06-01,0.025897324,-0.081109226,-0.16479182,-0.019489825,-0.00068354607
1965-07-01,0.034407437,-0.026266396,-0.09340161,-0.059834003,-0.063616276
1965-08-01,0.0014176965,-0.050746024,-0.13311535,0.009087265,-0.015917718
1965-09-01,0.022325218,0.00015693903,-0.11646289,-0.04554546,-0.07154852
1965-10-01,0.015285969,0.024321377,-0.014236689,0.015443563,-0.018964529
1965-11-01,0.04764539,-0.0065145493,0.1557551,-0.016915798,0.004989803
1965-12-01,0.08299905,-0.014761984,0.4428395,0.027525842,0.026054919
1966-01-01,0.059301198,-0.023219824,0.37616345,0.026383996,0.021140933
1966-02-01,0.066914976,-0.042505085,0.38560092,0.00085264444,0.020274699
1966-03-01,0.033359468,-0.050802767,0.4671189,-0.036031067,0.02820766
1966-04-01,0.028754711,-0.09434283,0.25055835,-0.030377686,0.017903924
1966-05-01,0.029301822,-0.0994491,-0.03676051,-0.006578803,0.017265618
1966-06-01,0.039240837,-0.06001228,-0.107473254,-0.048386395,-0.029374659
1966-07-01,0.018815756,-0.14659095,-0.1142208,-0.0138735175,-0.026593566
1966-08-01,-0.0052110553,-0.104783356,-0.09840053,-0.008311331,-0.023949265
1966-09-01,-0.0161075,-0.07177496,-0.091425,0.010062158,-0.049754143
1966-10-01,-0.0016093254,-0.09903878,0.14651808,-0.03653258,-0.021760881
1966-11-01,0.036596477,-0.068811476,0.3134293,0.025244176,-0.017748773
1966-12-01,0.056839228,-0.04829526,0.5483633,0.029575408,0.0070074797
1967-01-01,0.033235192,-0.052821398,0.48041564,0.008856893,0.02988708
1967-02-01,0.0034685135,-0.012016416,0.43254828,0.018639565,0.041971624
1967-03-01,0.02622509,-0.072805405,0.32342118,0.033078253,0.014402151
1967-04-01,0.024760306,-0.09655595,0.24866444,-0.019026518,0.0032069683
1967-05-01,0.010583162,-0.10115957,-0.013952017,-0.006261945,-0.011545658
1967-06-01,0.0236094,-0.074008584,-0.0973407,-0.022060752,-0.028599977
1967-07-01,-0.01175487,-0.11523211,-0.033412933,-0.003803134,-0.051042676
1967-08-01,-0.0854131,-0.07798445,-0.07835066,-0.13704705,-0.03597629
1967-09-01,-0.12783968,-0.027449131,-0.073171616,-0.066213846,-0.04204476
1967-10-01,0.00566566,-0.06035459,0.101034164,0.014768362,-0.021799207
1967-11-01,0.021935344,-0.030587912,0.41680175,0.00090515614,-0.035348535
1967-12-01,0.07236612,-0.052978396,0.35679752,0.048249304,0.040036023
1968-01-01,0.057572335,-0.035193443,0.47706413,0.024245083,0.023277998
1968-02-01,0.049984425,-0.056618094,0.5182024,0.0268116,0.015020579
1968-03-01,0.079443336,-0.046091735,0.30615044,0.00449425,0.030977488
1968-04-01,0.040090412,-0.07357931,0.0999009,0.012528479,-0.005771756
1968-05-01,0.0040479004,-0.057176054,0.00043991208,-0.03642091,0.018926114
1968-06-01,0.02919209,-0.10668337,-0.12792206,-0.032292187,-0.004135132
1968-07-01,0.005684495,-0.11698651,-0.086411774,0.015206575,-0.039619714
1968-08-01,-0.009826064,-0.0912472,-0.073058546,-0.020687163,-0.035081863
1968-09-01,-0.0147358775,-0.09701252,-0.072723806,-0.016223699,-0.033631235
1968-10-01,0.0047174096,-0.06855786,0.047566712,0.019707233,-0.052340627
1968-11-01,0.025584131,-0.07744765,0.29417342,0.037040383,-0.036941648
1968-12-01,0.021752983,-0.09511554,0.5015016,0.025732905,0.0333952
1969-01-01,0.09444988,-0.04167831,0.63886064,-0.013362825,0.029823363
1969-02-01,0.047495067,-0.006844163,0.6632038,0.027531624,0.0233047
1969-03-01,0.055337846,-0.021613061,0.38132226,0.010420144,0.018161058
1969-04-01,0.047647834,-0.043206155,0.2811486,-0.023446381,0.027837217
1969-05-01,0.04199493,-0.08802199,0.008739531,-0.023446381,0.01821196
1969-06-01,0.014086843,-0.12738866,-0.08511913,-0.013617456,0.014239669
1969-07-01,0.013475776,-0.089193285,-0.11516613,-0.007659018,-0.05048871
1969-08-01,0.014188707,-0.0849154,-0.08282739,-0.0029737353,-0.027927995
1969-09-01,-0.009899795,-0.06836414,-0.09418416,0.014188707,-0.01692772
1969-10-01,0.017397106,-0.031594753,0.016989708,0.026614964,-0.01371932
1969-11-01,0.014850795,-0.06479925,0.2821672,0.042809784,-0.036891162
1969-12-01,0.041842163,-0.024261236,0.37337762,0.028448343,0.0028828979
1970-01-01,0.039351285,-0.07250917,0.44404292,0.02372408,-0.008653045
1970-02-01,0.0317173,-0.033665597,0.56533366,0.040788293,0.00082206726
1970-03-01,0.03782451,-0.07713449,0.59268135,0.021344066,0.016449332
1970-04-01,0.0375551,-0.03159994,0.24883714,0.00041794777,0.021748245
1970-05-01,0.031807125,-0.06060916,0.11807126,-0.012021005,0.020356119
1970-06-01,0.031627476,-0.0887202,-0.07003939,-0.018173099,-0.0059586763
1970-07-01,0.004908502,-0.09913838,-0.1079399,0.024397671,-0.016646266
1970-08-01,-0.03770715,-0.11988485,-0.0732277,-0.015927792,-0.04821509
1970-09-01,0.0076926947,-0.08063716,-0.10695195,-0.048035502,-0.04547584
1970-10-01,0.003291905,-0.14673859,0.052598536,-0.026480675,-0.07286841
1970-11-01,0.040653586,-0.058363855,0.24255034,-0.06033969,0.015820622
1970-12-01,0.0677318,-0.100530446,0.4132375,0.04429096,0.012856841
1971-01-01,0.056438863,-0.11676425,0.41079876,0.028320253,-0.014161766
1971-02-01,-0.0048980713,-0.083405554,0.43662483,0.010026813,0.021021605
1971-03-01,0.03720969,-0.05135691,0.30613768,0.05419314,-0.005646646
1971-04-01,0.01189822,-0.12200433,0.17761555,0.020039082,0.0039913654
1971-05-01,0.030706346,-0.090236366,-0.13360733,-0.035028458,-0.063661754
1971-06-01,-0.010465622,-0.12813336,-0.08382666,-0.032127738,-0.018091798
1971-07-01,-0.0040559173,-0.16210026,-0.10548872,-0.022723675,-0.039426386
1971-08-01,0.0025410056,-0.14076567,-0.06263244,-0.03034985,-0.049204767
1971-09-01,-0.10221368,-0.066468894,-0.031145215,-0.011588514,-0.027215123
1971-10-01,0.012693644,-0.13594663,0.05260241,0.0005759597,-0.011869252
1971-11-01,0.015687943,-0.074750066,0.24353752,0.02733773,0.003663838
1971-12-01,0.11052391,-0.04443252,0.27577332,-0.0716154,0.019992292
1972-01-01,0.057638407,-0.08050817,0.5228878,0.028508961,0.0077022314
1972-02-01,0.04186642,-0.07372671,0.6040599,-0.032215953,0.02321738
1972-03-01,0.0061095953,-0.07408631,0.35016605,0.03996551,0.01587081
1972-04-01,0.045103014,-0.0827173,0.11430472,-0.015467763,0.033749163
1972-05-01,0.031591475,-0.08158702,0.005595863,-0.04593301,0.007907689
1972-06-01,0.014791906,-0.08199805,-0.08333379,-0.0055524707,-0.0051928163
1972-07-01,0.010065436,0.02193302,-0.12402254,-0.028671086,-0.043364286
1972-08-01,0.024090767,-0.0705415,-0.021941006,-0.086364865,-0.06268114
1972-09-01,0.03061533,-0.011974335,-0.09181064,-0.011460543,-0.040281773
1972-10-01,0.053014696,0.014380932,0.14512956,-0.03180492,0.010322332
1972-11-01,0.05676508,-0.036634147,0.17538929,-0.025948226,-0.0057066083
1972-12-01,0.028508961,-0.02034837,0.37682953,0.017103791,0.015768051
1973-01-01,0.067718625,-0.015160024,0.4525123,0.031801224,0.031253994
1973-02-01,0.055679798,0.007375419,0.44007552,0.00075900555,0.02448839
1973-03-01,0.05891335,-0.06311625,0.45216405,-0.015657485,0.02473712
1973-04-01,0.054883838,-0.031875074,0.25869766,-0.017199695,0.035283506
1973-05-01,0.02588129,-0.06291723,0.10871017,-0.047047913,0.016827345
1973-06-01,0.020956337,-0.07535398,-0.065703094,-0.048490584,-0.0023750663
1973-07-01,0.014190733,-0.1291306,-0.09286499,-0.05883795,-0.046251953
1973-08-01,-0.00859344,-0.12878239,-0.07833886,-0.1484325,-0.06371319
1973-09-01,0.02433914,-0.05978316,-0.049187064,-0.14868122,-0.054261267
1973-10-01,0.0055844784,-0.018990576,0.037223637,-0.053117037,-0.100227535
1973-11-01,0.06264442,-0.09221828,0.15716386,0.006529689,0.032248914
1973-12-01,0.06035602,-0.050380945,0.23755515,0.033194125,-0.0043649077
1974-01-01,0.006897807,-0.074466944,0.43916267,0.019230485,-0.0041550994
1974-02-01,0.04416734,-0.077298045,0.65409285,0.02772379,0.022837222
1974-03-01,0.010504544,-0.0544554,0.39983764,0.016166687,-0.040920496
1974-04-01,0.053126037,-0.09323752,0.12638533,-0.034560204,-0.007645488
1974-05-01,0.026521504,-0.0826112,-0.0044653416,-0.012881041,-0.045225322
1974-06-01,0.008875668,-0.08230096,-0.1329503,-0.08668333,-0.018814743
1974-07-01,-0.08175802,-0.16389841,-0.09250063,-0.053679764,-0.03169036
1974-08-01,0.0042994022,-0.06977433,-0.113132715,-0.07283813,-0.13050705
1974-09-01,-0.023895144,-0.065081716,-0.048793256,-0.019667923,-0.010398984
1974-10-01,0.032765448,-0.06609005,-0.0041550994,-0.027114093,-0.050189376
1974-11-01,0.031175375,-0.06558585,0.31416807,0.03703147,-0.018659592
1974-12-01,0.04222828,-0.08140898,0.6087566,0.029042363,0.014460325
1975-01-01,0.06333101,-0.030588448,0.5287939,0.025499761,0.013718724
1975-02-01,0.020304382,-0.049906492,0.48185244,0.02249962,0.029560983
1975-03-01,0.024804652,-0.06743181,0.44303337,-0.0015747547,0.021402001
1975-04-01,0.043427527,-0.029856682,0.21205813,-0.0077946186,0.032670915
1975-05-01,0.022755742,-0.069224596,0.12600493,-0.040430427,-0.0059286356
1975-06-01,0.028573096,-0.13925254,-0.092677,-0.033259332,0.013682127
1975-07-01,0.006218314,-0.120556474,-0.10859245,-0.0022699237,-0.043576896
1975-08-01,0.0039498806,-0.05960214,-0.05374819,-0.10109204,-0.066370785
1975-09-01,0.0040962696,-0.042369545,-0.039771855,-0.003111422,-0.05729711
1975-10-01,0.0037303567,-0.040320635,0.015401721,-0.011087477,-0.017819524
1975-11-01,0.018401861,-0.046906352,0.38456696,0.022316694,-0.044528186
1975-12-01,-0.004062712,-0.02660042,0.34962615,0.021328866,0.033219695
1976-01-01,0.059636593,-0.051115155,0.30595344,0.027700603,0.03533548
1976-02-01,0.01680702,-0.04441142,0.42354867,0.02146238,0.030354202
1976-03-01,0.04371518,-0.018434346,0.5363488,0.022160709,0.016201794
1976-04-01,0.046275616,-0.067315936,0.3013446,-0.0047940016,0.03147149
