,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,EA-WR,ENSO3.4,EP-NP,NAO,PDO,PNA,SOI,TNA,TSA,WP,month
1965-01-01,2.591055766421256e-05,0.0001254419409881,3.6429689832919e-05,6.998487526924157e-05,0.0001405156299498,,,,,,1156.760614568537,1246.8058519402648,1771.8037923177085,1860.3484267488527,1600.4114151000977,46.42830747465848,92.67282485961914,44.11744462682846,50.28921075769373,28.47915044644984,28.25665128403816,35.915959345829954,31.63391749064128,28.07458540972541,39.18203451694586,9.123430513484534e-06,0.0001772146681426,-1.991232624198386e-06,-0.0004394076677272,-9.576164032936234e-06,25.479747958206246,51.35679696489021,15.5781298089646,73.54274781208238,47.98096870900194,0.0850564460196192,-0.0546853161520428,8.383615612983704,0.0241503539371352,0.0181177822972526,-0.37,-0.89,0.6,-0.65,-1.24,-0.92,-0.7,-0.36,-0.39,-1.0,1
1965-02-01,2.3985904281632757e-05,0.00013680130492,3.486212040730312e-05,6.706625191284166e-05,0.0001383605322957,,,,,,1154.3627652254972,1245.6052929285622,1775.114253529331,1860.365225415711,1596.4996337890625,50.72044500425541,102.93906240752248,54.0417529167013,40.3529167175293,30.01040016732565,26.946711885756343,35.91586191416819,26.65088494618734,27.81220155603745,35.26914792183118,1.1025212603746455e-05,0.0002081260069697,-3.6771889031312992e-06,-0.0003160365668009,-1.1822337804549429e-05,34.193098240986025,49.862468290554034,12.915133539274311,76.18271208991683,47.56828177043548,0.0666718279558514,-0.0848883171639745,10.406348705291748,0.0038065780707866,0.0299746469231962,1.46,-0.56,-0.93,-2.2,-1.16,-1.03,0.7,-0.25,-0.08,-1.04,2
1965-03-01,1.826628644232427e-05,0.0001364143827231,3.474736184068968e-05,6.89638216586207e-05,0.0001412197889294,,,,,,1154.0122292258525,1247.4905006188917,1772.0859460663378,1861.3957116363244,1593.789291381836,53.17550957535898,102.2706869876746,55.05052525946435,48.7008945361988,33.481614182635056,26.360509015511777,35.91081693574979,23.71321042378744,27.90803348316866,34.63377830309746,9.257795998406516e-06,0.0001530839654151,-2.91250256376098e-06,-0.0002877693077607,-9.674044189590928e-06,30.818077109395613,44.262783744594266,12.934165714913217,72.56371579640384,51.12637835277256,0.0496767742174958,-0.0629525572534591,7.878221869468689,0.002757364593317,0.0214607653897682,-1.84,-0.34,2.23,-1.99,0.04,-0.8,1.2,-0.13,0.11,-1.17,3
1965-04-01,1.6063642786595562e-05,0.0001371439694511,3.560112786913492e-05,7.247699180706626e-05,0.0001364543133835,,,,,,1150.992098721591,1247.399098588606,1782.4096679687502,1862.480569542001,1585.287857055664,50.33874085495592,101.05413379091203,56.085866562863615,53.16588427569416,38.499183189578176,27.75723277658656,36.98969341459728,28.780218760172527,29.4398027307847,35.81437575511443,6.397269326834762e-06,0.0001331204497118,-1.622445691943274e-06,-0.000196846340259,-8.086962701608649e-06,38.343345007898826,41.30861818254977,11.06392803843916,50.84667262736296,31.655072090612137,0.052936202181237,-0.0806205625098849,3.136245012283325,-0.0193118133899793,0.019021630855917,0.67,-0.44,1.02,0.64,0.62,-1.07,-0.9,-0.18,0.1,0.49,4
1965-05-01,1.0561867053904692e-05,0.0001304922823857,3.987039063586791e-05,7.531385592070393e-05,0.0001303164487619,,,,,,1147.8014859286222,1246.356603049447,1790.3489497669957,1862.8033279278957,1577.3807525634766,49.8204364456944,102.55617083925188,65.84333054562833,65.22735389503273,37.64492825763982,31.020125789918765,37.28824384284742,38.90056292215984,31.066614038804,41.547119923127,1.5692989864112898e-06,0.0001122223800527,2.101336172837019e-06,-0.0001817015436245,-8.63883061264888e-06,35.11803865257387,40.79992203197664,12.14054017156426,37.72409884800506,14.803628798715348,0.0510073784324857,-0.0731183068146781,0.958549827337265,-0.0313044714100788,-0.0151863122600635,2.95,0.06,0.07,-0.52,-0.66,-0.42,0.3,-0.21,0.15,1.18,5
1965-06-01,5.440231363090273e-06,0.0001301768167071,4.260475450152896e-05,8.070877638168721e-05,0.0001340719394084,,,,,,1145.712488347834,1247.7141454877185,1781.7603395696274,1862.0645225594892,1573.0840682983398,56.92211342923468,105.18235293301667,73.9128275120512,76.53865814208984,43.88196991711128,34.85960200213004,37.35206736114634,50.90179761250814,32.496663261862366,48.41421078412961,-1.0757447107014582e-07,9.481064968413728e-05,7.02272265461152e-06,-8.100656486931257e-05,-8.70679248393533e-06,20.941122431503988,40.971035415653866,11.636401291378354,28.3037022136502,9.456308992792314,0.0259556393656465,-0.0966533988950744,-0.2649463340640068,-0.0422295764347032,-0.0557541790354342,1.33,0.36,-1.56,0.6,-0.8,1.89,-0.9,-0.28,-0.17,1.19,6
1965-07-01,-1.9215915600861477e-06,0.0001199732221059,4.8241619535130325e-05,8.45350581267479e-05,0.0001406403255163,,,,,,1144.9038418856535,1246.230438609182,1780.5571974369518,1858.4875264299023,1567.6233291625977,60.62173257326946,98.40626283125444,73.1725165184508,82.8493221386059,60.07709503173829,38.83678049281024,37.16332406708688,62.107442220052086,33.63738116096048,56.037125220665565,-3.3128488474215807e-06,0.0001474363992148,1.143334997526474e-05,-8.827104466035962e-05,-7.124178106702554e-06,21.04575008205905,32.6608400513914,18.169559348008367,14.121545886185393,11.814348422278744,-0.0118461906880376,-0.0893888433301259,-0.9907827526330948,-0.0246464986774015,-0.1061638291100509,0.37,0.61,0.75,0.35,-0.47,-1.26,-3.0,-0.2,-0.39,2.64,7
1965-08-01,2.8315099062071894e-06,0.0001248681325126,4.1687709764684426e-05,8.223159677563383e-05,0.0001285114681387,,,,,,1146.5458956631746,1246.7350461355452,1781.428501062226,1857.5133157432624,1572.642421722412,58.018540536891145,100.54777896765506,67.17911984058136,73.89001073064031,66.29380016792112,40.25688724241395,37.41616088074523,72.59198506673178,33.95194109748392,62.30528415777744,-2.7978282569956323e-06,0.0001001117626027,4.486149275112862e-06,-0.0001516996508144,-3.968268063824215e-06,12.378686917157063,23.13745899066861,12.587165866501774,9.437121181650776,8.912975778651424,-0.0341977635841994,-0.0527708998156918,-0.2907417714595794,-0.0155704607379574,-0.0450217385442202,1.29,1.12,2.32,0.45,0.2,0.32,-1.1,-0.2,-0.21,1.62,8
1965-09-01,3.769453988357816e-06,0.0001153585981228,4.544130378407489e-05,8.450792631178739e-05,0.0001290851825205,,,,,,1147.0099015669389,1246.6556501977236,1782.8464441132128,1857.646025211439,1581.6614151000977,49.94225528653107,99.94706240567294,73.5629954236619,81.5747389922271,60.14559676007527,39.46166107620019,37.44217761151202,68.35608164469402,33.44809812657974,61.196850507687294,-4.217267370103914e-06,7.737083732910618e-05,7.012350178234747e-06,-0.0002409018634352,-3.7279526757764096e-06,11.537627327865064,40.82132042371734,16.234775792863584,24.132766945308934,7.88359133161788,0.0036704605297436,-0.0546127247313658,0.4411374405026436,-0.0132048211862586,-0.0824657588742161,0.66,1.29,2.26,0.51,0.59,0.36,-2.2,-0.12,-0.03,-1.29,9
1965-10-01,6.90370545468778e-06,0.0001206389424623,4.396104339173542e-05,8.098116571394105e-05,0.0001264118317278,,,,,,1153.7514426491475,1247.217600630144,1788.957990679825,1858.266120000717,1590.8514976501465,47.2567254604574,100.26620229085286,65.98807395772731,67.21157898774018,58.7432210038348,36.65788622869962,37.61592551227256,60.67573547363281,32.337370479808136,56.82535416040665,-4.988698922557966e-07,9.557165065095484e-05,3.85110775126049e-06,-0.0002933825271611,-4.92989124843257e-06,15.536031482359082,38.53352761500531,8.275298027643212,41.30537130212814,16.547822150265272,-0.0007055551996306,-0.0418560875077096,1.7438030242919922,-0.017012597594647,-0.0375982210438215,3.08,1.45,0.85,0.92,-0.36,1.42,-1.5,-0.1,-0.17,1.57,10
