,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6,mgu250_cluster7,mgu250_cluster8,mgu250_cluster9,mgu250_cluster10
1970-01-01,4.318968,-3.6521614,-0.017576456,4.9449973,-1.838847,-3.0110767,1.7973514,-4.8351593,3.3710208,1.5450433
1970-02-01,3.8053174,-2.5658937,-0.026439002,4.889618,0.5518048,-2.8763843,3.713898,-4.7801056,2.9873853,1.2556571
1970-03-01,3.67035,-1.0003353,0.0795596,4.5350127,0.51938194,-3.2093344,2.8689694,-3.879854,3.0116675,1.2234737
1970-04-01,1.9981786,-1.408717,0.082095005,2.378951,0.84217393,-1.222638,1.6100012,-0.5277845,1.0449601,1.2537906
1970-05-01,0.2822797,-0.03225048,0.47063735,2.3252037,1.9897982,-1.0785296,2.3002455,1.5674405,-1.3260472,0.72828734
1970-06-01,0.2567713,2.1152184,0.32578257,1.5777329,3.9231865,-1.6653073,3.4828594,1.1414561,-1.7075686,0.5921529
1970-07-01,0.07716016,1.8140684,0.17962177,0.9786559,1.5494385,-0.2606316,1.2529334,1.5475183,-0.14624898,0.50542575
1970-08-01,-0.20641215,2.2851837,0.2408009,-0.27731276,0.6158347,2.338941,0.18614453,2.2013965,0.597124,0.7517665
1970-09-01,0.004834882,3.6033823,0.35298342,0.08215202,2.584205,3.354239,1.9092216,3.405246,-0.36601114,0.64379793
1970-10-01,0.58135456,1.2646255,0.044041205,2.3226724,2.5181744,-0.9187092,2.6222565,2.341832,-0.42843118,0.2102566
1970-11-01,2.1141412,-0.6652116,-0.019617515,4.0726132,2.1577373,-3.4571803,3.966628,-1.3962438,0.3707494,-0.12408905
1970-12-01,3.0972524,-1.5868316,-0.3121455,4.6918535,1.7237864,-3.7660148,4.310455,-1.4667938,1.3361264,0.42870855
1971-01-01,3.6923103,-4.6953416,-0.06786393,4.790067,-1.5317214,-3.7414615,2.399744,-4.779205,2.9051979,1.2402501
1971-02-01,3.7955105,-3.1543117,0.1275813,4.7408724,-0.411533,-4.1468763,3.4983883,-5.322388,3.0364695,1.32009
1971-03-01,3.0798764,-0.8774003,-0.059108227,3.9295506,1.4395057,-2.6697426,3.0425963,-2.0446365,2.0189395,0.8251631
1971-04-01,1.6934025,0.0389098,0.13232324,2.3686638,1.3312414,0.30895898,1.0737625,1.7249465,0.12725943,0.7877296
1971-05-01,1.1518553,0.37330073,-0.009922122,2.1443446,2.0430348,0.08683448,2.3453043,1.867337,-0.28878623,0.63242596
1971-06-01,-0.08087404,3.0563745,0.17528422,1.8074214,3.2597694,-0.82959574,2.9695475,1.2419127,-1.4151007,0.31359175
1971-07-01,-0.39017528,2.4924774,0.37044176,0.20333196,2.070742,2.676458,0.9870346,2.6181858,-1.1419841,0.86227006
1971-08-01,-0.1610918,1.9911264,0.33328247,0.11433709,1.4258647,2.5792918,0.7474876,2.6736383,-0.14705358,0.47888938
1971-09-01,0.084062666,3.5985634,0.17675863,0.7044661,3.0912573,1.294852,2.1057763,3.2016745,-0.45255235,0.47800687
1971-10-01,0.39720628,1.9275212,-0.0678006,2.5135615,3.5703175,-1.865137,3.352657,3.481026,-1.1337934,-0.012819013
1971-11-01,2.0283377,-0.3683902,-0.029174991,3.7122982,3.4133136,-3.1393845,4.1026225,0.35647368,0.41769943,-0.26322684
1971-12-01,2.817343,-1.8139215,-0.0030174525,4.3850408,1.8109882,-2.918803,3.5915015,-1.0932636,1.0264881,0.45584792
1972-01-01,3.0841532,-1.8213296,-0.052449718,3.6214802,-0.07632914,-2.4030738,1.8849312,-1.6169726,2.1718168,1.0797487
1972-02-01,2.7829957,-2.263175,0.0709694,3.85914,-0.25733966,-2.8064978,2.1708174,-2.884985,2.464705,1.4244092
1972-03-01,3.1362302,-1.2975353,0.21604176,3.240797,-1.1459152,-1.5684555,0.5099868,-3.346796,2.6512945,1.5705007
1972-04-01,1.0038542,-0.7138435,0.30391386,1.1626993,0.17223579,-0.25617832,0.33067507,0.9189545,0.80460626,1.6637881
1972-05-01,0.5138646,0.41228947,0.27935475,1.9216745,1.8402052,-1.1006411,2.0141766,1.2132565,-0.40653923,0.89087427
1972-06-01,-0.01794518,1.768542,0.09587181,1.8455094,2.5727506,-1.3959086,2.694268,1.7030197,-0.52031016,0.46576294
1972-07-01,0.0090290755,2.3839307,0.53371006,-0.14212185,1.54536,2.0166166,0.6196608,1.8939338,0.5629158,1.0671769
1972-08-01,-0.3140759,2.14899,0.59990627,0.19179827,1.0362335,3.0460386,0.65828717,1.6934159,-0.3000041,0.96830314
1972-09-01,0.13431388,2.2753112,0.21602796,1.1395128,2.420988,-0.077140704,2.1124477,2.650712,-0.090590894,0.76877457
1972-10-01,1.3414352,0.15724863,0.022234388,2.7057152,2.9924285,-0.9273052,3.3469975,1.9495308,0.48413843,0.13164526
1972-11-01,2.071495,-1.543312,-0.1521562,3.9852073,3.119539,-2.307241,4.090471,0.59511185,0.63836974,0.58724093
1972-12-01,3.211784,-2.3125398,-0.2942859,4.1514754,0.63182193,-2.6595128,2.7347658,-1.4067953,1.7347296,1.0959132
1973-01-01,3.5773816,-3.0304673,-0.24383344,4.4434958,-0.0019478705,-3.4753406,2.3552856,-2.6274264,2.6242368,1.1833757
