,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10
1970-01-01,1013.24133,1026.8937,1014.4844,1005.3579,1010.3514,1018.42896,1010.5023,1018.3539,1013.67444,1012.623
1970-02-01,1013.66,1022.6871,1016.8619,1004.8037,1010.02313,1016.80975,1011.68176,1018.8434,1013.2664,1015.725
1970-03-01,1013.15204,1022.08167,1015.70404,1006.5441,1009.41,1013.95874,1010.6564,1016.95886,1011.0102,1015.49695
1970-04-01,1013.67065,1016.78204,1017.0601,1020.4186,1010.0191,1013.66724,1018.6667,1017.3819,1011.20514,1020.8148
1970-05-01,1012.1512,1009.6246,1014.87695,1020.27783,1009.2898,1008.9871,1016.3845,1012.1264,1008.9392,1019.07104
1970-06-01,1012.24023,1008.0382,1014.6881,1014.0627,1009.4863,1007.54926,1012.5033,1011.3444,1007.95105,1017.01935
1970-07-01,1011.109,1002.5429,1012.22595,1018.5877,1010.0765,1005.51953,1011.47687,1007.9429,1007.8192,1017.6401
1970-08-01,1009.94604,1006.42053,1012.73676,1020.7546,1009.0736,1005.0613,1015.4032,1008.97705,1006.5369,1017.84033
1970-09-01,1010.4045,1011.8598,1012.8327,1016.1746,1008.88696,1007.75684,1013.638,1012.1278,1007.40466,1015.7562
1970-10-01,1010.48706,1019.42755,1013.7969,1020.23175,1008.2816,1012.3122,1017.5643,1016.76013,1008.11224,1016.9634
1970-11-01,1011.3274,1023.574,1013.93384,1015.56323,1008.8205,1016.1573,1014.6131,1018.35645,1010.51697,1014.9656
1970-12-01,1011.3022,1024.8119,1015.1229,1014.3748,1007.8233,1016.44495,1013.38275,1018.5566,1011.1202,1016.8646
1971-01-01,1010.984,1026.1646,1012.1742,1009.4405,1008.51733,1018.3601,1009.4452,1017.869,1012.8052,1012.3007
1971-02-01,1011.6254,1022.5167,1014.2746,1005.7892,1008.08966,1015.69446,1012.1026,1017.9499,1011.08344,1011.78894
1971-03-01,1011.49567,1021.05756,1014.8911,1015.24426,1008.8818,1015.61584,1013.4296,1017.42896,1011.50275,1017.8559
