,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10
1965-01-01,20.509125,27.84488,14.031616,25.752228,5.5762024,18.886017,23.258911,10.602722,17.144623,27.392822
1965-02-01,19.825043,27.934174,11.982849,25.43338,3.992981,17.738892,22.785889,8.241638,15.230103,27.252594
1965-03-01,20.214752,28.205109,11.382599,25.84851,3.552887,17.123169,22.584808,6.9118958,15.075928,26.70224
1965-04-01,21.836365,28.789917,11.118652,26.312042,7.020172,17.6391,23.451996,7.517151,15.514526,27.972107
1965-05-01,24.059753,28.77295,14.093964,26.870392,11.468933,20.123444,24.832642,9.988525,18.27179,28.83133
1965-06-01,25.405945,28.852264,16.841248,27.585419,17.410583,22.8797,26.766113,12.901947,21.109863,29.145172
1965-07-01,27.72113,28.529938,18.879517,28.30191,21.104889,25.969269,28.433136,15.803925,23.4086,28.942596
1965-08-01,28.75946,28.526459,21.443176,29.29187,23.808258,27.792969,29.085785,19.4628,25.78415,29.045868
1965-09-01,27.015594,28.839813,22.204102,28.881714,21.496063,27.42276,28.509491,19.637451,25.827057,28.828827
1965-10-01,25.682373,28.702576,21.934174,28.447113,17.700958,24.36612,27.538513,18.364075,22.268982,29.084778
1965-11-01,24.805206,28.806854,18.139069,27.746582,13.971222,23.228973,26.266144,14.999573,20.889832,29.099274
1965-12-01,23.1167,28.829834,16.919586,26.580505,9.494537,21.011597,25.249756,12.82312,18.38855,28.251526
1966-01-01,21.893585,28.58908,14.09671,26.11148,4.7990417,19.371094,24.112457,10.475861,16.024597,27.609741
1966-02-01,21.78012,28.353058,12.296356,25.8432,3.814148,18.610107,23.476044,9.095612,14.675629,26.97232
1966-03-01,22.765503,28.17456,12.600464,25.900177,4.317932,19.123505,23.52295,9.383575,15.770966,26.990967
1966-04-01,22.962677,28.884583,12.424957,26.575928,6.8056335,19.391266,24.444305,9.651337,16.47647,27.77716
1966-05-01,24.26828,29.0495,15.417938,26.975342,11.828888,20.448273,25.565338,11.133484,18.743256,28.932495
1966-06-01,25.744873,28.874512,17.22232,28.925446,16.722565,22.418549,27.954681,13.319061,20.799255,29.656158
1966-07-01,27.932983,29.091858,20.30606,29.052032,20.66513,25.835144,29.541168,16.230865,24.875977,29.829132
1966-08-01,29.515472,28.907806,23.771057,29.310211,25.147278,27.82608,29.06311,21.737762,27.166473,29.666748
1966-09-01,27.72522,29.03537,23.839142,29.396942,22.121521,27.386353,29.418121,21.091248,27.138214,28.987457
1966-10-01,26.030304,29.35913,22.600586,29.037903,18.134583,25.798828,28.220428,19.054413,24.55371,29.262817
1966-11-01,24.269806,28.956696,19.457336,28.265839,14.134003,23.563782,26.288483,16.192047,22.046387,28.977875
1966-12-01,22.633362,28.59262,17.032684,27.077698,8.538879,21.23294,24.736786,12.643311,19.255615,28.288513
1967-01-01,20.715057,28.58902,15.030182,26.568695,4.71521,19.55014,23.971924,10.803741,17.722626,27.598907
1967-02-01,20.322906,27.687042,13.679474,26.335815,4.4938354,18.739807,23.264252,9.434967,16.957855,26.894226
1967-03-01,20.631409,27.887878,12.70636,25.647675,5.2015076,18.184906,22.786469,10.026947,15.914642,26.711426
1967-04-01,23.153076,28.61206,13.763123,25.947662,7.6470337,18.736786,23.323853,10.8403015,16.053375,27.775177
1967-05-01,25.283081,29.111877,17.14917,26.511597,13.5086975,20.47116,24.71466,13.115051,19.989868,29.19101
1967-06-01,26.473541,28.986694,18.809906,28.267487,18.187897,22.258087,27.379028,14.820343,21.702179,29.350769
1967-07-01,28.425262,28.643127,21.977142,28.601044,22.25409,26.16452,28.270996,19.030792,24.763214,29.322723
1967-08-01,29.38684,28.799866,24.798798,28.697205,25.524475,28.376678,28.028107,21.819366,26.479553,29.086853
1967-09-01,28.09372,28.595032,24.53836,28.484344,22.944733,26.926788,28.35965,21.11322,26.303772,29.042267
1967-10-01,25.367706,28.210419,21.539429,28.520905,17.819794,24.898956,27.871338,18.68872,23.599823,28.77884
1967-11-01,24.205292,28.158325,18.50592,27.74414,13.28833,23.00885,25.887085,14.800812,21.220886,27.832275
1967-12-01,21.942566,27.984528,18.283539,26.58023,8.991241,20.297882,24.55487,13.294342,19.522583,27.369507
1968-01-01,19.96698,28.09195,14.948151,26.211914,5.7676697,18.374329,23.544006,11.248962,16.878113,27.13092
1968-02-01,18.839264,27.693268,13.2308655,25.107452,4.0578003,17.467712,22.679901,10.2933655,14.885834,26.698608
1968-03-01,19.33435,28.077606,12.725861,25.529846,4.016754,17.150665,22.949463,9.733978,15.366577,26.341003
1968-04-01,21.224762,28.78241,14.254211,25.827118,7.054657,18.44751,24.048004,11.497253,16.407257,27.693268
1968-05-01,23.620148,29.46399,15.498169,26.429047,12.127869,19.662292,25.46109,13.240265,17.521606,28.816559
1968-06-01,24.924438,29.523834,16.895935,28.510376,17.411804,22.43805,27.768463,16.211395,19.398163,29.729095
1968-07-01,26.969177,29.609894,19.708282,28.81012,21.69168,25.245453,28.636993,18.911469,22.534485,29.911621
1968-08-01,28.706238,29.321533,23.084503,29.226074,23.939667,27.771912,28.239838,22.313904,26.359802,29.06485
1968-09-01,27.448456,29.104889,23.163635,29.41452,22.215454,26.62741,28.734924,20.870636,24.539642,28.757202
1968-10-01,25.804352,28.796753,21.150085,28.493073,18.052338,24.574768,27.351013,18.930267,22.789703,28.679535
1968-11-01,23.562775,28.908539,19.344757,28.088959,13.636932,22.909393,26.881134,17.712036,21.586334,27.879242
1968-12-01,22.561707,28.428772,17.0354,26.662018,9.318481,20.722748,24.671204,15.301788,19.803741,27.454376
1969-01-01,21.107208,28.44159,15.796661,26.00293,6.506653,19.008514,23.891418,13.208801,17.929688,27.039215
1969-02-01,20.89441,28.43695,14.672699,25.253815,4.752533,18.545502,23.08487,11.663879,16.790863,26.534668
1969-03-01,20.430878,28.579498,13.554901,25.607086,3.927002,17.97995,23.508392,10.696838,15.745361,26.773102
1969-04-01,21.616882,29.36554,14.329681,26.275726,6.053894,18.531647,24.400604,11.934113,16.845215,27.899078
1969-05-01,24.39444,29.476318,15.626923,26.7695,11.238312,20.368317,26.050629,13.565155,19.335144,28.738983
1969-06-01,24.70517,29.697296,17.754333,27.97754,15.9817505,22.93106,27.608368,15.649475,21.253845,29.666016
1969-07-01,27.359161,29.206085,21.060547,28.643585,20.897491,25.746063,28.099579,18.795715,24.333923,30.098785
1969-08-01,28.63028,28.761017,22.646484,29.476807,24.046295,28.022675,28.596954,21.129242,26.341858,29.04712
1969-09-01,28.697937,29.154297,22.096802,29.497833,22.624939,27.72168,29.23993,20.707764,25.3779,29.266602
1969-10-01,26.095245,29.325562,20.066833,28.705658,17.771759,24.767212,28.194946,17.38617,22.61264,29.143005
1969-11-01,24.219086,29.248138,18.661377,28.108795,13.643616,22.815674,26.355713,15.682831,21.350769,28.581055
1969-12-01,22.135254,28.942017,16.2612,26.979736,8.590454,20.60318,25.270721,13.19751,18.061981,28.292358
1970-01-01,20.579407,28.430084,13.737549,26.198547,5.067566,18.86029,23.82132,10.730652,16.337921,27.684692
