,r800_cluster1,r800_cluster2,r800_cluster3,r800_cluster4,r800_cluster5,r800_cluster6,r800_cluster7,r800_cluster8,r800_cluster9,r800_cluster10
1974-07-01,72.598656,73.3043,78.88171,62.37589,67.94173,71.499695,71.26008,66.08755,75.923615,61.321552
1974-08-01,76.23595,65.27944,70.133026,63.526073,76.298744,66.03963,68.89691,67.89711,74.069435,68.28711
1974-09-01,72.940735,51.896976,74.53546,52.16139,72.722595,67.804565,56.84641,69.83226,73.41833,67.236084
1974-10-01,74.97339,40.70581,77.65715,57.515697,68.97292,51.292137,47.152462,58.809654,79.57909,72.793655
1974-11-01,72.96222,47.674675,75.51543,61.966053,66.17844,56.691067,66.18175,67.38647,74.47597,58.424606
1974-12-01,64.09125,45.77588,76.84575,65.06792,60.594425,49.59165,83.76503,55.935844,75.21632,72.1095
1975-01-01,63.062748,46.978897,73.35674,63.99617,54.25202,47.550144,75.496864,48.202057,71.74671,69.2477
1975-02-01,58.165157,36.08896,79.79687,69.17692,50.699417,53.53426,69.311905,49.72484,62.672585,60.772816
1975-03-01,55.732002,39.860516,78.69388,62.264317,53.952408,54.255314,78.09959,55.924614,67.1438,79.62401
1975-04-01,58.105892,41.212086,78.95234,45.66025,53.55237,50.941418,80.145874,47.58636,69.158806,63.138474
1975-05-01,59.905243,43.94815,81.42665,54.76236,58.301796,61.118526,71.39935,68.100266,77.141464,83.60135
1975-06-01,63.987938,57.656467,84.0623,63.54016,52.378593,62.27584,68.34556,61.0214,79.875885,76.88795
1975-07-01,70.56141,64.8374,78.231285,76.94227,68.403175,62.488205,66.97259,68.44269,76.025314,67.482925
1975-08-01,74.34449,59.671474,74.24901,64.185486,67.64755,68.51842,59.302715,68.49866,74.749466,74.26712
1975-09-01,70.13668,52.15964,74.881165,56.326298,72.64885,64.33036,56.721397,67.820404,73.797935,68.02948
1975-10-01,75.07049,56.016804,72.6291,43.870777,69.581894,64.024155,51.394135,70.57294,71.96237,72.82994
1975-11-01,68.824615,41.454086,72.80525,55.99869,65.061295,61.66673,59.031082,68.15295,73.69257,67.49116
1975-12-01,63.059456,43.686398,77.246826,60.632885,53.39268,54.25696,67.99491,59.05907,76.12244,48.656425
