,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5
1970-03-01,-2.5605469,2.9759521,-8.058289,0.43395996,-4.2528076
1970-04-01,-3.083496,3.1322937,-8.864838,-0.10241699,-5.0923767
1970-05-01,-3.783142,3.0271912,-10.365173,-0.3779602,-7.216736
1970-06-01,-4.3268127,2.0744324,-11.429504,-1.4449158,-8.70105
1970-07-01,-4.5719604,1.7063293,-11.282074,-1.7566833,-9.014374
1970-08-01,-6.1787415,1.2840271,-12.676575,-2.2167053,-9.057526
1970-09-01,-6.142151,1.4430237,-12.946808,-2.2834473,-9.069
1970-10-01,-5.5381775,1.6714478,-12.534485,-2.1376648,-8.475861
1970-11-01,-5.566101,2.013916,-11.545807,-1.8876648,-6.987152
1970-12-01,-4.0098877,2.3277893,-10.184845,-1.0794373,-5.2356873
1971-01-01,-2.3583374,2.443634,-8.691162,-0.3378296,-3.4726257
1971-02-01,-1.7520752,2.3497314,-8.091797,-0.22271729,-2.5456543
1971-03-01,-2.0084229,2.4526062,-7.993866,-0.03781128,-4.0027466
1971-04-01,-2.9810486,2.2923584,-9.56488,-0.8113098,-5.342499
1971-05-01,-4.3551025,1.644165,-10.29953,-1.6304626,-6.608856
1971-06-01,-4.7151794,1.5553894,-10.854797,-1.951477,-8.149902
1971-07-01,-5.5635986,1.5751648,-11.892456,-2.3798828,-8.650452
1971-08-01,-6.747589,1.3784485,-13.025055,-2.8513489,-8.939087
1971-09-01,-6.5871277,1.3521118,-12.958496,-2.5530396,-8.994568
1971-10-01,-6.1747437,1.3153381,-12.743256,-1.9266663,-8.198212
1971-11-01,-5.180786,1.964386,-11.293243,-1.6126404,-7.05011
1971-12-01,-3.376831,2.5369568,-9.65332,-0.43774414,-5.75708
1972-01-01,-1.676117,2.743805,-7.0563354,0.6175232,-4.7210693
1972-02-01,-1.1633911,2.9633484,-6.942932,0.8648071,-4.3002014
1972-03-01,-1.6413574,2.9435425,-7.087555,0.41793823,-4.6470947
1972-04-01,-2.4828186,3.0054932,-8.375214,-0.25802612,-5.8448486
1972-05-01,-3.5647888,2.5093384,-9.986633,-0.736969,-7.228119
1972-06-01,-4.5422363,2.4682922,-11.252441,-1.71344,-8.79715
1972-07-01,-5.3711243,2.1774292,-12.436676,-2.1602173,-8.831207
1972-08-01,-5.8941956,2.1636963,-12.511139,-1.8200684,-9.035767
1972-09-01,-5.8120117,2.1741333,-13.138184,-1.8186951,-9.304138
1972-10-01,-5.813507,2.1578064,-12.904388,-1.9230347,-8.866608
1972-11-01,-4.9092407,2.5518188,-11.415222,-1.5782776,-7.868103
1972-12-01,-4.3459167,3.0309448,-9.306244,-0.94369507,-7.3009644
1973-01-01,-3.3024597,3.136322,-7.840271,-0.4888916,-4.95874
1973-02-01,-2.5108032,3.1808777,-8.116089,0.03237915,-3.9734192
1973-03-01,-2.94339,3.1982727,-8.079254,-0.3244934,-4.471527
1973-04-01,-3.4680176,2.939209,-9.185913,-0.38504028,-5.484009
1973-05-01,-4.428314,2.440033,-10.495728,-1.0307922,-6.4282837
1973-06-01,-4.7221985,2.3180237,-11.395905,-1.9125061,-8.1284485
1973-07-01,-5.6781616,1.8591309,-12.586334,-2.4689636,-8.370361
1973-08-01,-5.9200134,1.6027222,-12.944183,-2.5185852,-8.96463
1973-09-01,-5.9164734,1.3742371,-12.830475,-2.6636047,-8.558197
1973-10-01,-5.943329,1.7138672,-12.691315,-2.2176514,-8.301544
1973-11-01,-4.9617004,1.8139648,-10.908691,-1.4811401,-6.802429
1973-12-01,-3.539154,2.238922,-8.819183,-1.2518005,-5.5109863
1974-01-01,-2.0410461,2.3652039,-7.3058167,-0.8085327,-4.770813
1974-02-01,-1.7654419,2.2942505,-7.7497253,-0.47421265,-3.886322
1974-03-01,-2.3070679,2.2009583,-7.9350586,-0.5909729,-4.7931213
1974-04-01,-2.901001,2.0862427,-8.603363,-0.67144775,-5.998871
1974-05-01,-3.9258118,2.1852417,-9.739288,-1.1103821,-6.8186035
1974-06-01,-5.2437134,1.9554749,-11.188843,-2.0679932,-7.464447
1974-07-01,-5.7269897,1.5999451,-12.182159,-2.4078674,-8.069611
1974-08-01,-6.328949,1.3430481,-12.88446,-2.1875305,-8.604523
1974-09-01,-6.6811523,1.3579712,-12.998291,-2.5441284,-9.0746765
1974-10-01,-5.8421936,1.2429199,-11.957672,-2.4790344,-8.833374
1974-11-01,-5.04834,1.9300842,-11.078644,-2.1026917,-7.5431824
1974-12-01,-4.0118103,2.1168823,-9.458191,-1.4034119,-5.730835
1975-01-01,-2.4328918,2.5014954,-7.847229,-0.2584839,-4.0505066
1975-02-01,-1.7782898,2.8128662,-7.467499,-0.27243042,-4.0215454
1975-03-01,-1.9935913,2.6833801,-7.693634,-0.117614746,-4.555084
1975-04-01,-2.8683777,2.4214783,-8.5920105,-0.44833374,-5.6514587
1975-05-01,-4.5958557,2.2833252,-9.551941,-1.2423096,-7.0324097
1975-06-01,-5.4867554,2.420227,-11.217468,-1.8111877,-7.9940186
1975-07-01,-6.280792,1.5686951,-11.913879,-2.386444,-8.727234
1975-08-01,-6.259674,1.4422302,-12.752716,-2.3243103,-8.512817
1975-09-01,-6.3098755,1.2100525,-12.732666,-2.5282288,-8.512573
1975-10-01,-5.9284363,1.3222961,-12.027344,-2.187317,-8.321136
1975-11-01,-5.166626,1.9709167,-11.655914,-1.5707397,-7.273163
1975-12-01,-3.6834717,2.4620972,-10.152039,-0.96170044,-5.33078
1976-01-01,-1.6481934,1.9907227,-8.524261,-0.441864,-4.2672424
1976-02-01,-1.2608032,2.0419617,-7.646576,0.048980713,-4.497925
1976-03-01,-2.3618774,2.3441467,-8.262329,-0.38528442,-4.450836
1976-04-01,-2.8799133,2.2283936,-9.422821,-0.46377563,-5.288147
1976-05-01,-3.9901428,2.633789,-10.488281,-0.82910156,-7.215851
1976-06-01,-4.95932,2.255371,-11.955719,-1.3900146,-8.341156
1976-07-01,-5.211334,1.9282532,-12.537903,-1.5873413,-8.647888
1976-08-01,-5.492584,1.620636,-12.282623,-1.7427979,-9.088745
1976-09-01,-5.819977,1.7278442,-12.120728,-1.6480103,-9.59317
1976-10-01,-5.512085,2.080017,-12.523895,-1.4251404,-9.36731
1976-11-01,-4.904663,2.4039917,-11.17804,-0.8500366,-8.903595
1976-12-01,-3.7178955,2.859314,-9.217041,-0.058563232,-6.7958984
1977-01-01,-2.1524048,2.8561707,-7.653351,0.618042,-5.8253784
1977-02-01,-1.3962097,3.0839844,-7.3306885,0.56073,-5.246765
1977-03-01,-1.6103516,2.8635254,-7.2577515,0.56552124,-4.868286
1977-04-01,-2.4924927,2.8960876,-8.392914,0.32855225,-6.3352966
1977-05-01,-3.4405518,2.8554382,-9.475769,0.09182739,-7.732422
1977-06-01,-3.9236145,2.6185913,-10.742645,-0.3922119,-8.906891
1977-07-01,-4.7675476,2.2981567,-11.655212,-0.6080322,-9.669586
1977-08-01,-5.0292053,2.2617798,-12.042877,-1.3902893,-9.316223
1977-09-01,-5.697174,2.215149,-12.807159,-1.6704712,-9.996857
1977-10-01,-4.878296,2.6871033,-12.608643,-1.0004883,-9.17749
1977-11-01,-4.7697144,3.120697,-11.432098,-0.42578125,-8.00238
1977-12-01,-3.7149963,3.017456,-9.369202,-0.36602783,-6.769562
1978-01-01,-2.6577759,3.2602844,-8.28537,-0.12719727,-5.464325
1978-02-01,-2.2633667,3.0834045,-7.7309875,0.41992188,-4.37204
1978-03-01,-2.9424133,2.9480896,-8.270355,0.22756958,-4.7325745
1978-04-01,-3.0702515,3.1488953,-8.884399,0.16836548,-5.716339
1978-05-01,-3.5707397,2.7247925,-9.334625,-0.3881836,-7.032654
1978-06-01,-4.553528,2.2286682,-10.639282,-1.039917,-8.444122
1978-07-01,-5.1049194,2.011261,-12.219147,-1.5739136,-9.231842
1978-08-01,-5.673523,1.8892212,-12.657745,-1.6722412,-9.48291
1978-09-01,-6.0229187,1.8921509,-12.33728,-2.2101135,-9.598877
1978-10-01,-5.5732117,2.023346,-12.214783,-1.6729736,-9.303833
1978-11-01,-4.7189026,2.3474731,-10.740387,-1.2444458,-7.739563
1978-12-01,-2.8862,2.471222,-8.877258,-0.011047363,-6.2669373
1979-01-01,-1.3795471,3.1361694,-7.5701904,0.6430664,-4.711548
1979-02-01,-1.154419,3.2452087,-6.939392,0.7908325,-4.688568
1979-03-01,-1.6433411,2.94635,-7.797699,0.4034729,-4.9845276
1979-04-01,-3.1266785,2.8313904,-8.952728,0.113464355,-6.134247
