,vws_v500-250_cluster1,vws_v500-250_cluster2,vws_v500-250_cluster3,vws_v500-250_cluster4,vws_v500-250_cluster5
1965-01-01,1.8153006724597185,-6.104789854408586,-0.9413676253135896,-5.626559689806632,6.849259108446505
1965-02-01,0.9857403170988138,-5.041954415614829,-1.2914617669066075,-5.799074809438837,4.708013502150754
1965-03-01,0.7713230409686377,-1.42045793120715,0.4052346442803028,-6.639415393314326,3.8494232354497133
1965-04-01,1.2558136750797768,-3.702132478052112,-2.770012156298555,-1.867201739590531,3.889620960248548
1965-05-01,0.7234475979582202,-1.7887583767381463,-1.3638489259951452,-3.8492297646579994,3.2920607418510617
1965-06-01,1.925414655978173,2.6762741287231377,-2.2197095104149174,-4.0559362685842695,0.5842519041406826
1965-07-01,4.728485437009527,1.842554196458492,-3.001099957712659,-0.6385982661285585,2.688698962499658
1965-08-01,1.8557825823060123,2.5868769267190004,-1.9897022340332664,-8.080995198462167,2.0385744457557013
1965-09-01,3.570549416876535,-2.0816884470325645,-2.4411673604685165,-8.374651049701878,3.5618060045353084
1965-10-01,1.6342272840448149,-5.151799600805794,-2.0477014640655984,-7.1709825021281794,4.0040369858312825
1965-11-01,2.0098805558057466,-3.3449659855319367,-1.250529725512003,0.5731053120888456,1.0321696796168587
1965-12-01,0.6053649313705924,-5.685684985112681,0.6774371087154525,0.6241514526750698,0.759842358698642
1966-01-01,1.222894606211185,-5.535733875952688,0.6518339417163788,-1.9831141708409814,4.307340037564835
1966-02-01,2.079479603449952,-4.831052144700248,0.5353864628753133,-1.5732509083158883,1.8863323070450413
1966-03-01,1.3351991042453233,-3.375948789944759,-0.2761962428075951,-4.510784491750609,2.484717987705908
1966-04-01,2.584647995449195,-1.4244163601779412,-1.6289314400269772,-3.2659550553340067,3.3528161710430004
1966-05-01,0.37734691151381616,0.5482956040486437,-2.5117419017835716,-3.4286007222906805,2.6452857361927897
1966-06-01,1.4288404308872231,-1.7910052745301968,-2.1451410070877164,-10.362157873230387,2.4419019742997126
1966-07-01,2.4270513863022196,0.21570278261749024,-2.0742360169326,-1.6153803775016182,2.527980685628472
1966-08-01,2.183035673903813,-3.0061452270035716,-2.1695508712651823,-12.90286678852784,4.8439716521367595
1966-09-01,0.8988803612807129,0.013421564424996254,-0.9617379856911858,-9.537798982964409,3.7295594634940503
1966-10-01,1.4331024950018665,-4.727413852340227,-1.0331848080576052,-4.156482499897821,4.639652637339013
1966-11-01,0.13032148264927018,-6.870249392685041,-0.6547141880376038,-0.6289254249767229,4.333791766455807
1966-12-01,2.1484492404137367,-9.264005375574692,-0.7211336049893856,-2.1760718722341665,3.6934139134347284
1967-01-01,1.0302984014959573,-6.366201922291734,-0.18128584128446948,-6.251736594299766,6.032193106983492
1967-02-01,0.7580810911099357,-6.881256257708186,1.8204268606067147,-8.193168446766926,5.165839793667804
1967-03-01,1.0795415086303917,-4.444241400742501,0.006906302399993759,-6.169441505287522,4.209627873938219
1967-04-01,0.7538290148352014,-5.059968661516465,-1.9275106917164706,-3.2028751100435366,5.351621094872015
1967-05-01,2.1567038267256304,-2.6410605493263914,-2.355893992877612,-2.08131599870757,2.6177343990468245
1967-06-01,3.8870801554501084,-3.518236898483507,-2.721151513956401,-14.027545293497697,4.515366901024892
1967-07-01,5.97447761632307,-2.566101705327897,-2.220548341961078,-6.803339757691414,3.738320010028592
1967-08-01,4.7848275009566965,0.17383784183709688,0.03667888957951902,-0.4291884766803706,0.44545868563567376
1967-09-01,3.035252821548789,-1.9475650316662427,-2.1086785202074165,-6.940497439097355,3.3757637425801823
1967-10-01,1.660749186351815,-0.25343792393735254,-1.7393617219815305,-6.550286963869912,4.635659956886883
1967-11-01,1.0250761210219883,-3.807943715704695,-0.8940519532642665,-3.231873865021894,3.106312906605164
1967-12-01,1.6792221837549977,-5.396137851883753,-0.18024143772662732,-2.9825316744838766,3.9877907680777995
1968-01-01,1.225594772593215,-7.005183483434669,1.2795844564402217,-3.5247806455507815,5.944585487811586
1968-02-01,1.8104067912487687,-8.498963961375281,0.7329861265034554,-3.06764828630424,4.612737353706007
1968-03-01,2.6394509738866003,-7.125748713340099,-0.04554556599783714,-5.297153139943167,4.543635503681939
1968-04-01,1.2019480394138369,-3.061506447338764,-0.8648258807985468,-2.0515586779034902,3.438455133259198
1968-05-01,0.6301634478800283,1.6588543321039255,-0.03152547093523625,-1.265151608688876,1.2536381920812234
1968-06-01,4.6671443136043465,-3.288713125369449,-1.7994768671970176,-7.45803015542427,2.1713203988213863
1968-07-01,2.7132770966923045,-0.1334890048735254,-1.239435194465358,-4.21689293687637,3.5315905914766472
1968-08-01,1.25984157425117,0.3678359436737331,-1.0846190547698629,-8.264238386213433,3.3480499245277766
1968-09-01,1.2425157224558228,2.0704256348148915,-1.30972085684725,-4.415441800966844,2.5203813761016782
1968-10-01,1.258133838079241,-5.414096628884077,-1.0918633117819538,-10.231080755015112,2.945381209308671
1968-11-01,0.4964188084638305,-4.900207971635459,-0.32407528599507207,-5.332578328326634,3.352204421296813
1968-12-01,1.8735488838676178,-7.356356884471393,-1.2110757743688174,-5.232861444561221,3.7736263555596925
1969-01-01,0.7313336745806309,-8.261643423807817,-0.3757236598664091,3.938734024335208,3.857143182356315
1969-02-01,0.5316578131180175,-9.298816487574395,0.10601238274369654,-7.829235922125015,5.311899319419092
1969-03-01,0.28368947024782476,-5.231998664490961,-0.9033385761985578,-3.4929560448095938,5.06395034860952
1969-04-01,1.3199584220507043,-3.4839836154361556,-1.1110953065974367,-3.1014543929648375,2.882373423107823
1969-05-01,2.10499581993647,-1.6006271884054946,-2.7749122292958814,-3.5362850664395364,0.569528244154739
1969-06-01,1.892888190466823,-1.1465203556073273,-2.652276042295953,-9.947417520892676,4.106542812168937
1969-07-01,1.7413504379228022,3.379916136370239,-2.1908185379315306,-3.065682782878122,3.363354532114958
1969-08-01,1.003037719897604,2.4884603394836753,-1.941399352331816,-6.634798814204433,0.7737343733007542
1969-09-01,1.647116054430852,1.1068376254860475,-0.47953588356031923,-2.383096069361279,0.494052392675841
1969-10-01,0.3558156999380599,-0.7341505950154422,-1.9031874481307816,-6.916293146705383,2.0478228680977266
1969-11-01,2.548673442135172,-5.305930162788747,-1.7393747354108193,-6.139201288133223,4.049973490449488
1969-12-01,0.49812273006672053,-5.782014103357879,0.6580715789750604,-5.722420449102297,3.782249321129289
1970-01-01,0.28751252018919604,-7.901118128365345,0.3812641960672684,-6.130319357137127,5.220702175047229
1970-02-01,1.516097914578112,-6.7111053700175,-0.5506826262396238,-1.0958685516727433,6.830934533133444
1970-03-01,0.39016128685878554,-2.572243097037874,-0.05138584027347439,-5.811594072510925,2.8714106627872185
1970-04-01,0.7284581028874021,-1.9132124388997933,-0.8850362192700981,-4.170943685868846,4.135971062097712
