,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10
1965-01-01,23.298828,27.520538,25.612518,27.746063,27.880798,28.281464,23.863647,13.865448,26.723694,26.493195
1965-02-01,24.617096,27.495605,25.424408,27.98108,28.264496,28.18216,26.042633,12.98877,27.092438,26.859924
1965-03-01,25.315125,27.298492,25.058655,28.080872,28.513489,28.414185,27.355377,13.103546,27.000122,26.759613
1965-04-01,25.330597,27.924713,25.484772,28.801392,29.490936,29.13617,27.774017,13.268188,28.095337,28.16571
1965-05-01,24.191956,28.068909,25.977753,28.790405,29.017914,29.151642,27.303009,14.319,27.756042,28.635223
1965-06-01,22.945068,28.170685,26.22525,28.758453,28.300415,29.175598,26.59845,15.513519,26.748657,28.469574
1965-07-01,22.018982,28.39972,27.055023,28.190643,28.254517,29.085297,24.801208,20.50113,26.034637,28.980011
1965-08-01,20.894318,28.866241,27.35141,28.309418,28.187653,29.527374,23.26239,23.611176,26.09552,28.84079
1965-09-01,20.646332,29.014435,28.085876,28.545898,27.916718,29.372192,23.29184,21.553467,26.20877,28.689606
1965-10-01,20.791534,28.93509,27.997559,28.786896,28.293427,29.39914,23.617676,18.209412,26.595459,29.29834
1965-11-01,21.033539,28.788422,27.428223,28.850769,28.563873,29.511902,23.674042,16.744446,26.92627,29.042389
1965-12-01,21.826874,27.69519,26.209778,28.734009,28.328857,28.768463,24.172516,15.448151,27.320953,28.731018
1966-01-01,23.286438,27.489227,25.350006,28.21286,28.396423,28.23053,25.19165,14.219757,27.3107,28.187653
1966-02-01,24.133636,26.992981,24.94101,28.39038,28.553284,28.20279,25.875488,13.00238,27.654114,27.9794
1966-03-01,24.675262,27.472565,25.309143,28.696991,29.120605,28.483185,26.35202,13.266113,27.902222,28.078735
1966-04-01,25.138702,27.73227,26.00003,29.022278,30.086823,28.93753,26.215881,13.352356,27.853302,28.440308
1966-05-01,24.1503,28.353577,26.562317,28.746918,29.249695,29.233551,25.023224,14.519287,27.404999,28.694977
1966-06-01,23.570862,29.211365,26.557281,28.884583,28.848297,29.261292,24.591553,15.514252,26.901215,28.85434
1966-07-01,21.82904,29.247192,27.070648,28.762054,28.694489,29.217926,23.98941,19.15628,26.439789,29.52655
1966-08-01,20.835571,29.49881,27.484161,28.473083,28.13269,29.406036,22.497711,22.469482,25.7146,28.330872
1966-09-01,20.554169,29.58908,27.72522,29.154907,27.9234,29.859894,21.572845,21.510315,25.60971,27.991486
1966-10-01,20.254608,29.542694,27.827087,29.317291,28.135712,29.866943,21.652008,18.806793,25.73227,27.987457
1966-11-01,21.095276,28.977875,27.159393,28.90274,28.34198,29.64859,22.067047,16.392242,26.260254,27.759003
1966-12-01,22.363068,28.597137,26.148285,28.840729,28.086792,29.19574,22.718597,15.470398,26.64502,27.772125
1967-01-01,23.49112,27.899384,25.667206,28.341125,28.345123,28.9982,23.785126,13.9739685,26.891724,26.797089
1967-02-01,24.828827,27.522278,25.42633,28.287537,28.200897,28.783844,25.81195,13.169617,27.13562,26.490082
1967-03-01,25.043182,27.402557,25.716309,28.38919,28.564972,28.74179,27.109589,13.879303,27.320953,26.763031
1967-04-01,25.009644,27.538788,25.721313,28.678162,29.707855,29.10138,26.77304,14.496826,27.737122,27.834778
1967-05-01,23.748566,28.5094,26.386414,28.638123,29.37082,29.385345,25.770386,15.4809265,28.032104,28.3266
1967-06-01,22.6232,29.061798,26.796082,28.506897,28.736267,29.198517,24.170258,17.25586,27.281372,28.291046
1967-07-01,21.479828,29.46997,27.317932,28.225922,28.118744,29.40686,22.549072,20.224243,26.40744,28.441772
1967-08-01,20.808716,29.512543,27.769684,28.48935,27.931458,29.673828,20.759644,24.147217,25.621124,27.466675
1967-09-01,20.340942,29.089844,27.599884,28.67215,27.957977,29.94928,20.223755,22.788483,25.939667,27.227783
1967-10-01,20.539276,28.80487,27.237793,29.02475,27.793213,29.621735,20.674988,19.571686,25.758362,26.758026
1967-11-01,21.002045,28.375183,26.80658,28.491364,28.132782,29.350769,21.517883,17.226807,25.880066,27.400574
1967-12-01,21.879974,27.985535,26.43747,28.03711,28.207397,29.034271,22.112366,15.472931,26.220123,26.88321
1968-01-01,23.486603,27.729889,25.876068,27.924774,28.3526,28.39563,23.158203,14.173096,26.43103,26.305908
1968-02-01,24.482758,27.334198,25.917145,27.483582,28.264069,28.185913,25.242493,13.401489,26.792114,26.33606
1968-03-01,24.646973,27.208557,25.858765,28.109741,28.552917,28.371399,25.78656,12.611603,26.580414,25.82959
1968-04-01,24.792389,27.755096,26.155548,28.485657,29.592102,28.78836,26.165924,13.504883,27.233795,26.87915
1968-05-01,24.088074,28.169098,26.471588,29.02182,29.326477,28.92389,24.694458,14.252228,27.285217,27.825348
1968-06-01,22.803558,28.994598,26.840576,28.928314,28.731964,29.273071,23.672577,15.784058,27.217468,27.88321
1968-07-01,22.026031,29.028717,27.070557,28.908539,28.565765,29.572815,22.670502,19.587097,26.082336,28.20816
1968-08-01,21.09024,29.236969,27.09134,28.395142,27.968292,29.917542,22.178864,22.771912,25.600098,27.900024
1968-09-01,20.84491,29.022797,27.361908,28.752258,28.05484,29.875519,21.784668,22.171448,25.89389,27.913391
1968-10-01,20.773193,29.074738,27.731873,29.295319,28.528198,29.659851,22.111115,19.046509,26.242584,28.379303
1968-11-01,20.96112,28.748291,27.386139,29.108368,28.164154,29.344788,22.641815,16.50122,26.504242,28.460907
1968-12-01,22.207062,28.319458,26.54776,28.97879,28.532135,29.051971,23.356537,14.419922,26.791107,28.608307
1969-01-01,23.3797,27.510406,26.143433,28.819489,28.807678,28.362091,24.292908,13.30777,27.416077,28.60257
1969-02-01,25.11383,27.355072,26.062408,28.859985,28.91742,28.147247,25.66452,12.937042,27.658081,28.451843
1969-03-01,25.528656,27.234558,25.49173,28.847168,29.361969,28.202637,27.380188,12.624268,27.53656,27.793457
1969-04-01,25.46814,27.815002,26.08908,29.595276,30.150055,29.057892,27.694,13.19751,27.851898,28.294403
1969-05-01,24.246765,28.2529,26.41571,29.7742,30.209015,29.26352,26.238281,14.376831,27.56427,28.825104
1969-06-01,23.095642,28.682068,26.480804,29.458374,29.138916,29.527588,25.339935,14.371216,27.026398,29.06662
1969-07-01,21.586609,28.951263,27.272491,28.946136,28.683594,29.571167,23.545837,19.331024,26.62387,28.102661
1969-08-01,20.932861,29.053802,27.486328,28.570282,28.537445,29.711151,22.5224,22.753113,25.933716,27.893951
1969-09-01,20.713928,29.308624,27.837555,28.700012,28.462585,29.895233,21.628662,22.828003,26.24289,27.470428
1969-10-01,20.936981,29.2594,27.161743,29.0979,28.589233,29.544495,21.979889,18.178894,26.190094,27.770905
1969-11-01,21.019531,28.971771,26.988434,29.13379,28.491302,29.036377,23.409454,15.272614,26.370056,28.16214
1969-12-01,21.532776,28.627197,26.086517,28.888184,28.470276,28.87741,23.641205,13.151886,26.228027,27.588348
1970-01-01,22.847107,27.752869,25.706268,28.305084,28.487427,28.510681,24.810547,12.392944,26.721832,27.003357
1970-02-01,24.247498,27.401093,25.48413,28.064362,28.73227,28.234833,25.92633,12.108826,26.978027,26.562195
1970-03-01,24.613739,27.536438,25.18814,28.659454,29.129517,28.6362,26.456299,11.483795,27.455353,26.925354
1970-04-01,24.540375,28.093292,25.637054,28.811829,29.972015,29.006042,26.796204,12.34436,27.767853,27.536438
1970-05-01,23.912262,28.45694,25.749146,29.052032,29.448242,29.174957,24.837921,14.339844,27.846893,27.863434
1970-06-01,22.760315,28.7612,26.024994,29.016907,29.041168,29.079407,22.542328,15.177185,26.823578,28.049377
1970-07-01,21.831024,29.2695,26.691345,29.349579,28.878998,29.293274,21.10785,20.842834,26.097809,27.370117
1970-08-01,20.65274,29.24936,26.85614,28.859863,28.45642,29.401733,20.558228,23.623474,25.644806,27.134033
1970-09-01,20.068512,29.177551,27.194489,28.434753,27.99411,29.429626,20.263763,22.618256,25.223785,26.436676
1970-10-01,20.560791,29.280853,27.378387,29.171356,27.934204,29.413635,20.764832,19.825745,25.357574,26.744537
1970-11-01,20.975067,29.034973,26.38916,28.821136,28.159943,29.383667,20.95752,17.880371,25.519257,25.985199
1970-12-01,21.869751,28.635162,25.414917,28.300446,28.378448,28.955963,21.581512,16.318268,25.396332,25.475372
1971-01-01,23.330963,28.21103,25.445374,28.046997,28.283173,28.511963,22.880829,14.066467,25.756195,25.336182
1971-02-01,24.22287,27.67392,24.929993,27.90567,27.95111,28.31778,24.459076,12.759979,25.957306,25.198303
1971-03-01,24.852417,27.630432,24.965576,28.442291,28.515411,28.316284,26.099121,13.038666,26.3768,25.155823
1971-04-01,24.637451,28.166077,25.45871,28.932465,29.724579,28.640442,26.936676,13.221497,26.529022,26.19696
1971-05-01,24.294525,28.727905,25.43103,28.881073,28.974976,28.789673,25.182007,14.10202,26.536407,26.625366
1971-06-01,23.1521,28.908752,25.683044,29.012512,28.824768,29.10196,23.773224,16.385437,26.337769,26.697998
1971-07-01,21.331696,28.838593,26.252777,28.708618,28.67157,29.39795,22.334808,21.199768,25.569885,27.44513
1971-08-01,20.654755,29.180023,26.833405,28.646881,28.327667,29.27591,21.078705,23.235596,24.943817,27.333466
1971-09-01,20.331085,29.002655,27.000916,28.497131,27.89627,29.207703,20.342438,22.433624,25.051544,26.852661
1971-10-01,20.365662,28.828705,26.908997,28.693817,27.906158,29.361877,20.617676,19.129364,24.960632,26.4292
1971-11-01,20.480316,28.711609,26.405975,28.707642,28.077637,29.353973,21.249695,17.132568,25.401886,26.41684
1971-12-01,21.308472,28.033142,25.44043,27.977325,28.051422,28.941376,22.008667,15.209869,25.620789,26.635742
1972-01-01,23.427551,27.544739,25.28601,28.359192,28.077972,28.127716,23.912018,14.229553,26.347717,26.550476
1972-02-01,24.410828,27.239136,25.0177,28.474457,28.406067,28.035889,26.145416,13.533234,26.943115,26.872803
1972-03-01,24.933533,27.3544,25.202301,28.42804,28.760895,28.416107,27.472992,13.137726,26.85846,26.918243
1972-04-01,24.900055,27.39267,25.70398,28.885742,29.445282,28.42279,27.393616,13.247711,27.505524,28.086578
1972-05-01,23.938812,27.939758,25.925415,29.089447,29.499298,28.789612,26.756134,14.551422,27.47586,28.778595
1972-06-01,23.51651,28.274536,26.50122,28.835022,29.226715,28.42279,26.029663,16.99234,26.945496,29.0531
1972-07-01,22.41034,28.528473,26.558594,28.467743,28.683899,28.641815,25.092804,20.509827,26.62796,29.709259
1972-08-01,21.687256,28.58252,27.11673,27.957458,28.106201,28.78003,24.937378,22.350098,26.555267,29.614105
1972-09-01,20.938324,28.85321,27.55429,28.470123,28.06314,29.342438,24.080841,21.306091,26.536621,29.413696
1972-10-01,21.360596,28.728851,27.588257,28.908203,28.370178,28.953156,24.00003,18.77475,26.131073,29.538055
1972-11-01,21.546173,28.175049,26.815887,29.209503,28.77478,28.816864,24.63034,16.289337,26.583466,29.270721
1972-12-01,23.011505,27.865173,26.28122,29.283142,28.893372,28.418976,25.76474,14.598755,26.868042,29.257812
1973-01-01,23.848572,27.132507,25.742218,28.932495,28.665985,27.989288,26.096588,13.297699,27.287842,28.457733
1973-02-01,25.037384,27.128143,25.19757,28.586853,28.616455,27.93686,26.534454,12.979767,27.652405,28.294128
1973-03-01,25.529602,27.303864,25.096619,28.655304,29.493164,28.141724,26.972809,12.811798,27.628143,28.185883
1973-04-01,25.402924,27.630554,25.081543,29.163544,29.992676,28.993652,26.146118,12.92926,27.515503,27.43637
