,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9,zgv50_cluster10
1968-02-01,-0.16294077,-0.19465122,0.033975493,-0.02675569,-0.020809984,0.111269735,0.020668436,-0.0016987801,-0.0053794505,-0.110137224
1968-03-01,-0.046857834,-0.019960618,0.05223732,0.005662584,0.011891413,0.041478444,-0.013731742,0.008918559,0.030719494,0.059740223
1968-04-01,0.0019819022,0.11027877,0.15600413,-0.003255987,0.15204032,-0.001274085,0.0751708,0.0018403411,-0.03652365,0.10107708
1968-05-01,0.015855242,-0.07106539,0.059457112,0.015572095,0.1417061,0.027038824,0.045442224,-0.014864266,0.03793926,0.031427313
1968-06-01,0.024490643,-0.008493876,0.099519886,-0.0058041452,-0.10235119,0.019960593,0.05733366,0.023216581,0.14793494,0.03808087
1968-07-01,-0.010758924,-0.019819032,0.07163167,0.023641277,-0.114101015,0.017837143,-0.14581148,0.041336846,0.034258626,0.0134486435
1968-08-01,0.033267666,0.012032986,0.026472569,0.016421486,-0.06299622,0.013023948,-0.048273515,-0.0035391091,-0.014581132,0.0710654
1968-09-01,0.014439583,-0.043035626,0.12500148,0.010900473,0.055634856,0.032276712,-0.018120289,0.0050963284,0.012457681,-0.0036806702
1968-10-01,-0.0070782304,-0.14128141,0.0410537,0.015005851,-0.18091948,0.09230008,-0.0077860593,0.019252777,-0.0026897192,0.041053724
1968-11-01,0.08154118,-0.1946512,0.029870117,-0.055210162,-0.05138793,0.044309687,0.009767962,-0.0075029256,0.02038529,0.10985409
1968-12-01,-0.043743443,0.054643918,-0.0070782183,-0.039071847,0.019252777,-0.073330425,0.031427313,-0.015572095,0.011325168,0.07658639
1969-01-01,-0.053903617,-0.06965075,-0.01710986,0.07828138,0.08342947,0.06268565,0.022863602,-0.01302166,-0.011961746,0.36233526
1969-02-01,-0.06965075,0.24665447,-0.043910243,-0.028011728,-0.04860411,-0.056174852,0.00090848206,-0.039367806,-0.023317862,-0.016807009
1969-03-01,-0.107201576,-0.15232313,-0.031645656,0.14566089,-0.031040013,0.080098346,0.03906498,-0.00378536,-0.015141463,0.11174401
1969-04-01,-0.085095026,-0.079946935,0.01302166,0.05450927,0.02452917,0.09705679,0.04920975,0.017109847,0.007873559,0.032099903
1969-05-01,0.042850353,-0.034068298,0.015595699,0.00757072,-0.18306032,0.06768235,-0.06374557,0.027557481,0.17094713,0.09084878
1969-06-01,0.008479238,-0.02225796,-0.01816976,0.03225132,0.059203148,0.01938107,0.054055035,0.111138344,0.1936593,0.0010599137
1969-07-01,-0.009690571,-0.014535809,0.0031796931,0.018775415,0.050723888,0.029374432,-0.10932137,0.06026306,-0.0043910025,0.047544204
1969-08-01,0.0013627529,-0.014838624,0.028768778,0.056780506,-0.048452675,0.033008385,-0.10053931,0.047392786,0.11234967,0.025286233
1969-09-01,-0.053146552,-0.006359422,-0.00045423507,0.031040013,0.045121573,-0.0063594105,-0.030434346,-0.023015033,-0.016352748,0.043910254
1969-10-01,-0.054509282,-0.036945175,-0.053752184,0.010599029,0.04936118,0.07131632,0.010750437,-0.022409368,0.06541111,-0.010296201
1969-11-01,-0.10916996,0.052692294,-0.041790448,-0.06253426,-0.024074912,0.13642459,0.08600352,-0.027406061,0.10901854,-0.04466734
1969-12-01,-0.13263921,-0.14808352,-0.021955121,-0.009993362,0.11446948,0.046332836,0.05723474,-0.0006056547,-0.0025740503,-0.11916332
1970-01-01,-0.05068331,-0.09508033,-0.04164674,0.035491396,-0.025276136,0.070982814,0.047540165,0.025538111,0.013489366,-0.029467035
1970-02-01,-0.15925297,0.020299505,-0.0832935,-0.030645728,0.07019703,0.042432535,-0.0072030546,0.027764488,-0.028550291,0.08329351
1970-03-01,-0.04557569,-0.043480255,-0.02108531,-0.048718832,0.033265006,-0.06155337,0.040206145,0.016501546,0.03483658,0.07373307
1970-04-01,-0.03300309,0.012703585,-0.0043218373,-0.015584802,0.18623167,0.04007516,0.034967564,0.014929962,-0.0018335104,0.03562236
1970-05-01,-0.03601526,-0.029074144,0.0011786937,0.008643651,-0.042432524,0.034443688,0.03811071,0.014537096,0.062732056,0.04701631
1970-06-01,0.013882267,-0.005369544,0.07569754,0.0043218373,-0.047016285,0.016239619,-0.103985906,-0.011393929,0.034312725,0.04374218
1970-07-01,-0.015191901,-0.016501546,-0.004583764,0.016632508,0.004059887,0.054088403,-0.09730673,0.028812218,0.027502585,0.0056314943
1970-08-01,-0.013489341,-0.010477185,-0.0784478,0.010084296,-0.009560418,0.02933607,0.08931787,0.0020954371,-0.11420114,0.03378887
1970-09-01,-0.03981323,0.003274107,-0.062208198,0.0030121803,-0.026323866,0.014668035,0.010215235,0.002488327,-0.03287213,0.036539175
1970-10-01,-0.034705617,-0.03365791,0.04413507,0.031431507,0.029728984,0.015191888,-0.022656882,0.010739088,0.002488327,-0.016632462
1970-11-01,-0.026585817,-0.12755953,-0.07294731,-0.021216273,-0.0009167671,0.045444716,0.115248874,0.0015715838,-0.0031431436,0.121404216
1970-12-01,-0.033526946,0.14314434,-0.031038594,-0.010477185,0.008905602,-0.047933042,-0.026192928,-0.010739088,-0.010084296,-0.041253854
1971-01-01,0.00892539,-0.045202874,-0.014107907,-0.067228496,-0.06564498,0.05355246,-0.04174788,0.013244176,0.03167081,-0.20038986
1971-02-01,-0.12308431,-0.08954201,0.0023033381,0.053408504,-0.07557807,-0.09429264,0.0067660334,0.06391744,-0.030231213,0.16526404
1971-03-01,-0.012524319,-0.14482197,-0.050097477,0.05844705,-0.13431303,0.05168102,0.012668324,-0.007917714,-0.0024472952,-0.04908974
1971-04-01,0.005758333,0.023897028,-0.037429117,0.0986114,0.040452242,0.050673295,0.04995351,0.005326462,-0.027496029,0.028791642
1971-05-01,0.0105089545,0.028647685,-0.0067660334,-0.015691448,0.21924837,0.035701644,0.099043265,0.025624562,0.0061902045,-0.013244152
1971-06-01,0.007917714,-0.026056457,0.037717056,0.044771004,0.053552438,0.0050385473,-0.119629286,0.023321247,0.05196892,-0.015115619
1971-07-01,0.009645199,-0.050817274,0.00014395714,0.022745395,0.023465192,0.013820005,-0.039300583,0.05643163,0.038292885,0.014539814
1971-08-01,-0.00431875,-0.011948538,0.14079115,0.0076297997,0.13863178,0.023177277,-0.07744954,0.04995351,0.09170139,0.006910014
1971-09-01,-0.00043187142,-0.03311039,0.108400546,0.034981847,-0.026920188,0.04577873,-0.05096122,0.037141204,-0.0182827,-0.013676047
1971-10-01,0.009645199,0.0015835405,0.13013825,-0.008781445,0.1406472,0.05355246,-0.037717056,0.003455019,0.033110403,0.06953184
1971-11-01,-0.014251852,-0.079464935,0.07097141,0.026488315,0.1026422,0.047362257,0.015835404,0.0011516571,0.012236452,-0.098467425
1971-12-01,-0.12797885,0.19117653,0.081624314,-0.10710492,0.03541372,-0.013244164,0.006622076,-0.037861012,-0.0040308475,0.01669917
1972-01-01,-0.08864741,-0.064315416,0.11205876,-0.03616922,0.034327887,-0.0048663854,0.021569991,-0.060106613,-0.002630496,-0.03840511
1972-02-01,0.04064102,-0.16374786,0.03630073,0.03787904,0.028146219,0.06760351,0.07694175,-0.065630674,-0.037089873,-0.06641982
1972-03-01,-0.022490645,-0.12678948,0.04182477,0.025384212,-0.067472026,0.0073653697,0.023805905,-0.027225543,-0.001972866,-0.018939495
1972-04-01,0.015519857,-0.003682661,0.051294517,0.02959299,0.036300708,0.011442637,0.074179746,0.04208784,-0.014730739,-0.019202566
1972-05-01,-0.009995842,-0.03669534,0.07496889,0.036300708,0.03787904,0.050242305,0.058265306,-0.00986433,0.0109165665,-0.12455356
1972-06-01,0.004340303,-0.00854907,0.021833038,0.056950044,0.10258899,0.06523609,0.05918598,-0.0124948025,0.060106613,0.008286047
1972-07-01,0.028540801,-0.041430186,-0.014993763,0.06247406,0.041430186,0.03840513,0.06273713,-0.007233858,0.056292415,0.096801996
1972-08-01,0.013415503,-0.029856015,0.035774637,0.038799666,0.11350556,0.050110795,-0.016835142,0.048269413,0.036432244,-0.0117056845
1972-09-01,-0.056160927,0.00960126,0.009469748,0.008022999,-0.08812132,0.027357053,-0.018413424,0.022622203,0.0027620315,-0.042350866
1972-10-01,-0.03419633,0.05037384,0.07667873,-0.030776715,0.031171322,0.111401156,0.025252676,-0.018939544,-0.003025055,0.048532486
1972-11-01,-0.11271644,0.07194384,0.07996683,0.02604183,0.034722425,0.048006393,0.0031565905,-0.0027620315,0.022490669,0.08430715
1972-12-01,-0.061158895,-0.124159,0.035906173,-0.021833038,-0.060106635,0.081545115,0.005260968,0.003945732,-0.014993787,-0.11587296
1973-01-01,-0.007202816,-0.053328417,0.021469891,-0.039476894,0.08172407,-0.0009696007,0.043078285,-0.0019392148,-0.013297486,-0.07285909
1973-02-01,-0.11953877,0.0800619,-0.016067784,-0.05014255,-0.035182912,0.018006992,0.0126049165,-0.0062331916,-0.030611902,0.042662717
1973-03-01,0.109842695,0.019946242,0.004709524,0.0,-0.055960216,-0.039476883,0.018561065,-0.012881932,0.0,0.07216649
1973-04-01,-0.14377895,-0.15776902,0.04792633,0.012743413,-0.13574508,0.06717996,-0.04280126,0.0015236676,0.02188543,-0.028672671
1973-05-01,-0.0011081218,-0.027841592,0.012604904,0.014405599,-0.13616061,0.044740472,0.022300983,0.008310926,0.1296504,0.050973665
1973-06-01,0.04917295,-0.0005540609,0.018699598,0.020223249,-0.09516007,0.038645793,-0.082139626,-0.01662184,0.0422472,0.027287532
1973-07-01,-0.025209833,-0.033105172,0.033659242,0.021054327,-0.007618344,0.022993553,-0.12577197,0.00013850928,0.07784565,-0.017314434
1973-08-01,-0.017037392,-0.020638788,-0.0001385212,0.04155462,0.10416357,0.030196358,-0.01177381,0.049034454,-0.03462882,0.06260896
1973-09-01,-0.039615393,-0.02936526,0.017591452,0.010111624,-0.090035,0.022162464,-0.06745698,-0.018284028,0.03324368,-0.04709524
1973-10-01,-0.07438276,-0.056791306,0.019115115,0.025071284,-0.013020444,0.043216802,-0.047649287,-0.001246643,-0.004016948,-0.052081775
1973-11-01,0.022716522,0.076599,0.067595504,0.10554874,0.03227409,-0.056791328,0.022855032,-0.02548683,0.011219749,0.09599118
1973-12-01,0.038645793,-0.16330965,-0.0047095297,0.10291693,-0.016483331,0.021331359,-0.009003502,-0.05249734,0.0033243657,-0.2985007
1974-01-01,-0.00014030933,-0.06230266,-0.03409809,-0.07493161,-0.053322114,0.010664416,-0.03423841,-0.0033677102,-0.01543535,0.1407423
1974-02-01,-0.022591734,0.030309428,0.053602748,-0.03957062,-0.07675578,-0.0453238,-0.024415921,-0.023994958,-0.02553848,0.032414246
1974-03-01,-0.0112257,0.04714799,-0.05528661,-0.05612854,-0.06567039,-0.06581072,-0.016978884,-0.033536803,0.01319021,0.07521224
1974-04-01,-0.10089107,-0.010524106,-0.027923953,-0.028906202,0.05430436,0.11113451,-0.017399848,0.0037886738,-0.054865647,-0.17231461
1974-05-01,0.057251107,0.021749806,0.017399836,0.03213359,0.08798148,0.032414235,-0.15280995,-0.013049888,0.015856314,0.06496878
1974-06-01,0.041394792,-0.025538469,-0.03423841,0.01978531,-0.072826765,0.025678802,0.012909556,0.0025257827,0.0801235,0.05977688
1974-07-01,-0.021469165,-0.008138632,-0.003928995,0.0112257125,-0.17133237,0.011085391,-0.085315384,0.004911244,-0.019224023,0.01866274
1974-08-01,-0.0009822488,-0.017540181,0.0015435338,0.02189014,0.04939313,0.031291652,0.0047709225,0.03985126,0.06917844,0.022030449
1974-09-01,0.014032138,-0.034659375,-0.022170782,0.01683855,0.07829931,0.03999158,-0.038448058,-0.0063144444,0.060338177,-0.034799695
1974-10-01,0.0051918984,-0.0015435338,-0.014874065,-0.03437873,0.110011935,0.004490286,0.006454778,0.010664428,0.014733744,-0.16207115
1974-11-01,0.028204596,-0.05668982,0.015715992,0.029186834,0.10692487,0.07184453,0.016838575,-0.003928995,-0.019504666,-0.10103138
1974-12-01,-0.009401536,-0.05430436,0.010804748,-0.09822494,-0.033256162,-0.05416404,-0.01866274,-0.0032274008,0.014593422,0.2377043
1975-01-01,0.036911152,-0.053689003,0.01020093,-0.08281529,0.016912032,0.043488096,-0.012885356,0.0017448902,0.005234671,0.107109524
1975-02-01,0.061608125,-0.013959145,0.027515601,-0.05986321,-0.09341886,0.06858768,-0.008456016,-0.022952031,0.00805335,-0.00040268898
1975-03-01,0.021878242,0.06644013,0.00067112444,-0.030334283,-0.06630592,-0.02979741,0.0021475554,-0.0030871152,0.018120026,-0.26696855
1975-04-01,-0.014764476,0.11596823,0.00026845932,-0.109794,0.01865692,0.083620645,0.010066676,0.0029529096,-0.033018757,-0.019596482
1975-05-01,0.013690686,-0.033152938,0.02335471,-0.015435601,-0.15650341,0.034763623,-0.04134052,0.00926137,0.0045635225,-0.01261692
1975-06-01,0.06429257,-0.015838265,0.025770713,-0.006040049,-0.26535788,0.030736923,-0.08576815,-0.009395552,-0.02375741,0.051675655
1975-07-01,-0.010200906,-0.013959122,-0.008858681,0.006040001,0.01288538,0.00805335,-0.072748564,-0.059326313,-0.0034897805,-0.07650685
1975-08-01,-0.035032056,-0.02335472,-0.01100626,0.005905771,-0.01798582,0.03597162,-0.06362148,-0.0049662115,0.19985728,-0.015167141
1975-09-01,0.014764476,-0.047917437,0.08684194,0.026039124,-0.06724548,0.071406364,-0.10710957,-0.07261436,0.028589368,-0.006711149
1975-10-01,0.021072935,0.034495186,0.0703326,0.032481838,-0.0012079955,0.01865692,-0.092210844,-0.0322134,-0.011140466,-0.04657521
1975-11-01,0.021744061,-0.026173402,0.03154228,-0.0026844502,-0.005234671,0.08872106,-0.016912032,-0.022952031,0.02523384,-0.20133373
1975-12-01,0.010872031,-0.0076506613,0.0161067,-0.12549801,0.030468512,0.063755676,0.006711149,-0.021878267,-0.0061742305,0.07328548
1976-01-01,0.06731732,-0.043984223,0.056991756,-0.061551094,-0.01153245,0.05551665,-0.0120688435,-0.048409462,0.0046934485,0.118006445
1976-02-01,-0.0016091823,-0.029099321,-0.047202587,0.07724059,0.046666183,-0.036608838,-0.034060955,-0.0021455765,-0.024137681,0.034999646
1976-03-01,-0.07066977,-0.04250915,-0.008984578,0.031244885,-0.062489778,0.03982718,0.022260308,-0.022662599,0.0230649,-0.08488419
1976-04-01,-0.00080459117,0.02158981,0.016225886,0.032317676,0.11505629,0.013007522,0.01984654,-0.013275718,-0.028294731,0.03017211
1976-05-01,0.0132757425,-0.036877014,0.018371463,-0.022662604,0.06530585,0.08783434,-0.031647183,-0.012739325,0.08005665,-0.0012068867
1976-06-01,0.03714521,-0.01153245,-0.020114738,0.020517033,0.0838114,0.027490139,0.11720185,0.0540416,0.113447115,0.09990318
1976-07-01,0.061953377,-0.023198998,-0.04036357,0.04237504,-0.12430906,0.04492291,0.13543923,-0.00992327,0.10124417,0.036877014
1976-08-01,0.0036206723,-0.009923274,0.03245178,0.007643598,0.027758336,0.011130154,-0.0032183647,0.014884913,0.10982646,0.021589827
1976-09-01,-0.0060344217,-0.023467194,0.027087832,0.018773759,0.09413697,0.015957689,-0.07241304,-0.017298674,0.123638585,0.025210476
1976-10-01,-0.04867766,-0.007509506,0.051359605,-0.009923267,-0.057125855,0.043984223,-0.07053568,0.0025478662,0.043984223,-0.14455791
1976-11-01,-0.0540416,-0.0999032,-0.014884901,-0.038352095,-0.043984223,0.09065042,-0.015823593,0.0050957324,-0.0036206483,-0.10030551
1976-12-01,-0.11411762,-0.028026532,0.015957695,-0.048409484,0.07093795,-0.031513095,0.04452061,-0.01810326,-0.031647183,-0.056321252
1977-01-01,-0.0991631,-0.0708704,0.052840747,-0.12107606,-0.021774268,0.027044475,-0.009985656,0.003883314,0.00041607022,-0.076695345
1977-02-01,-0.08362989,-0.18931136,0.022329032,-0.060329996,-0.047570545,0.06074605,-0.05922047,-0.050205648,-0.0059636533,0.089316145
1977-03-01,-0.009292197,0.120105244,0.028153991,-0.09722142,0.0202487,-0.0575562,0.002080345,0.022883791,0.018584406,0.23313732
1977-04-01,-0.055614542,0.041884255,0.05006696,-0.02413199,0.04992827,0.06365855,-0.030234342,0.010956478,-0.01622669,0.08515543
1977-05-01,0.019416546,0.00832138,0.0374462,0.002080345,0.15311334,0.012343377,-0.034811098,-0.007350552,-0.043548547,-0.04022
1977-06-01,-0.013175535,-0.0173362,0.070315644,0.0016642809,0.021774268,0.03300814,0.06837399,-0.014701104,0.014978504,0.042855084
1977-07-01,-0.0015255928,-0.017752266,0.020387411,0.027321856,0.001664257,0.014007652,-0.16656625,-0.023854624,0.036059298,0.059220504
1977-08-01,0.045212816,-0.022883784,0.026073653,0.015810614,-0.026628446,0.024409374,-0.10484936,0.02829268,0.0495122,-0.03633666
1977-09-01,0.01747489,-0.03758489,0.014285028,0.036336683,-0.01913917,0.04105213,0.019832617,0.0049928306,0.016642755,0.026905823
1977-10-01,-0.02080344,-0.07419894,0.081272125,0.009430897,-0.045074128,0.025518894,-0.06462936,-0.025241518,-0.015533239,0.15477763
1977-11-01,-0.18723106,-0.012066031,0.060052622,-0.1435438,-0.03203731,0.18653755,-0.013868975,0.010956481,0.008182687,-0.08709707
1977-12-01,0.0061023473,0.01650405,0.05519847,-0.040358685,0.005547619,-0.1069297,-0.048541367,-0.033840276,-0.020803446,0.3662793
1978-01-01,0.02814126,0.0034885823,0.043374766,0.015582347,0.0362813,-0.060468815,-0.030001843,-0.009302902,0.01918723,-0.047212172
1978-02-01,0.18082508,-0.03430444,0.014535773,0.06639943,-0.06302713,-0.13710146,-0.035467304,-0.0005814314,-0.00407002,0.09465699
1978-03-01,0.106634475,-0.035351,0.00093028543,0.069888026,0.01232636,-0.054887094,-0.02209438,-0.015931213,0.023606103,0.08791242
1978-04-01,-0.0059305965,0.099424735,0.015117204,0.055119682,0.09756414,0.0045351745,0.07279519,0.024536382,-0.037793018,-0.07616749
1978-05-01,0.07267888,-0.0447702,0.07744664,-0.069422886,0.33292747,0.070353165,0.09919216,-0.020233799,0.043258477,0.021164095
1978-06-01,-0.00814004,-0.021047806,0.08116779,0.0362813,-0.1594284,0.038258173,-0.028257549,0.0022094487,0.11756537,0.020466376
1978-07-01,0.038141895,-0.035699867,0.081400394,0.05000309,0.09733157,0.047793638,-0.10523903,-0.014419496,0.21815296,0.06977177
1978-08-01,0.02674582,-0.010116899,0.030234408,0.020582665,-0.14082262,0.027094692,-0.05465455,-0.01139605,0.17012672,0.02732725
1978-09-01,0.0088377595,-0.03279271,0.060236286,0.027559841,-0.06174798,0.04511906,-0.09628501,-0.030350696,0.0743069,0.0052328585
1978-10-01,0.013489199,-0.040235035,0.014652068,-0.019070942,-0.07070204,0.060352553,-0.02558297,-0.039188456,0.044305056,-0.025234127
1978-11-01,0.045467924,0.048258733,0.09861072,-0.01953609,0.019070935,-0.026513267,-0.00058140757,-0.020350099,0.007209742,0.05116595
1978-12-01,0.101169065,0.16838245,0.012326336,-0.083260916,0.11058819,-0.11209993,-0.023489822,-0.018373227,-0.018373221,0.06523657
1979-01-01,0.044320036,0.07852678,0.042832803,0.009518432,-0.059787463,-0.06990075,0.03807361,-0.021118954,-0.0034206747,0.024688352
1979-02-01,0.013236523,0.031975888,-0.023498546,0.011600554,-0.013682699,0.10083556,-0.016657203,-0.015764857,-0.016359746,-0.053987168
1979-03-01,-0.03866849,0.05339228,0.042981528,0.008774782,0.022754932,0.020970225,0.03614018,-0.0090722265,-0.0068413494,-0.06915712
1979-04-01,-0.0065439045,0.0080311475,0.043873876,0.056218058,0.12939075,0.091465876,0.028257752,-0.005502826,-0.034206748,-0.09592767
1979-05-01,0.071388006,-0.021565128,-0.01398015,-0.006990069,0.17742893,0.014723778,0.04788945,-0.0014872551,-0.048335623,0.040007032
1979-06-01,-0.018293167,-0.022308756,0.038519762,0.029447552,-0.0016359806,0.03896595,0.012790394,-0.004610473,0.053987175,0.067967325
1979-07-01,-0.0019334316,0.0013385236,0.01814444,0.030637348,-0.017698277,0.015913557,0.0017847061,-0.05086395,-0.001189804,0.06543901
1979-08-01,-0.0017846823,0.004164296,0.08536816,0.020524055,0.08611177,0.021267677,-0.0588951,0.0050566494,0.06707497,0.05368972
1979-09-01,-0.012046725,-0.012344176,0.0050566555,0.017400825,-0.11273356,0.027662855,-0.024539625,-0.012641633,0.01457504,0.017698277
