,vws_u250-50_cluster1,vws_u250-50_cluster2,vws_u250-50_cluster3,vws_u250-50_cluster4,vws_u250-50_cluster5,vws_u250-50_cluster6
1970-01-01,-43.3048095703125,0.15474891662597656,-10.950584411621094,0.6855545043945312,-21.062528610229492,-26.868118286132812
1970-02-01,-20.633222579956055,3.3828506469726562,-27.107728958129883,-9.338197708129883,-21.04755210876465,0.48254966735839844
1970-03-01,-36.923484802246094,0.434295654296875,-27.48378562927246,-4.857126235961914,-22.36208724975586,-22.07754898071289
1970-04-01,-32.13125228881836,0.5524368286132812,-23.302230834960938,-16.531538009643555,-16.19375228881836,-23.065946578979492
1970-05-01,-8.760801315307617,1.2230186462402344,-27.851524353027344,-10.090311050415039,-29.47722053527832,-19.38191795349121
1970-06-01,-15.355112075805664,-6.860546112060547,-23.415380477905273,-13.020563125610352,-19.24547004699707,-16.67630386352539
1970-07-01,-16.699600219726562,-8.5328369140625,-19.27043342590332,-11.644458770751953,-21.025920867919922,-25.39051055908203
1970-08-01,-16.55316925048828,-9.672653198242188,-17.69298553466797,-17.222087860107422,-21.834609985351562,-19.679767608642578
1970-09-01,-12.408222198486328,-16.489938735961914,-21.41196060180664,-19.651479721069336,-20.09076690673828,-12.002212524414062
1970-10-01,-19.496732711791992,-20.82124900817871,-28.33740234375,-19.967634201049805,-22.12746810913086,-10.973880767822266
1970-11-01,-15.761119842529297,-24.78815460205078,-28.229246139526367,-22.43696403503418,-24.370498657226562,-10.626110076904297
1970-12-01,-28.538742065429688,-26.87144660949707,-37.44264221191406,-32.94493103027344,-17.574846267700195,-8.556131362915039
1971-01-01,-33.53425979614258,-27.84450340270996,-32.39598083496094,-28.563072204589844,-20.257083892822266,-20.082340240478516
1971-02-01,-27.00508689880371,-24.370882034301758,-38.033470153808594,-27.39703369140625,-21.129161834716797,-8.869414329528809
1971-03-01,-33.52935791015625,-18.579879760742188,-38.3731575012207,-22.451980590820312,-21.088335037231445,-4.025613784790039
1971-04-01,-28.518980026245117,-9.970129013061523,-37.37206268310547,-20.56410789489746,-31.207077026367188,-14.583660125732422
1971-05-01,-24.568490982055664,3.0049209594726562,-39.01170349121094,-19.319679260253906,-27.624034881591797,-11.193326950073242
1971-06-01,-20.58696937561035,7.159549713134766,-19.283748626708984,-12.231985092163086,-21.447616577148438,-16.133481979370117
1971-07-01,-12.2646484375,4.131765365600586,-17.50202751159668,-8.528095245361328,-21.29737091064453,-20.50857925415039
1971-08-01,-14.835159301757812,15.877082824707031,-13.406190872192383,-3.075143814086914,-18.01972198486328,-17.19826889038086
1971-09-01,-10.18079948425293,11.727354049682617,-16.059993743896484,-4.949953079223633,-13.593997955322266,-19.18412971496582
1971-10-01,-11.681626319885254,6.878654479980469,-24.599517822265625,-3.718587875366211,-8.791023254394531,-9.640241622924805
1971-11-01,-23.95280647277832,3.545480728149414,-23.637617111206055,-5.554203987121582,-12.806839942932129,-4.1627960205078125
1971-12-01,-26.582115173339844,2.0936450958251953,-27.904930114746094,-11.248851776123047,-5.441518783569336,-7.419212341308594
1972-01-01,-22.855815887451172,6.194540977478027,-34.072845458984375,-10.720659255981445,-17.035703659057617,-12.528236389160156
1972-02-01,-32.372859954833984,3.344019889831543,-24.864238739013672,-3.401402473449707,-24.541458129882812,-15.265426635742188
1972-03-01,-25.6102237701416,6.157240867614746,-34.44440460205078,-2.998284339904785,-32.611000061035156,-11.557022094726562
1972-04-01,-30.642751693725586,10.808168411254883,-33.22930908203125,-2.5650386810302734,-21.230432510375977,-3.1015758514404297
1972-05-01,-16.75309181213379,6.601963996887207,-25.38642692565918,-12.370431900024414,-23.122652053833008,-8.296208381652832
1972-06-01,-20.328079223632812,-4.3037567138671875,-21.72393035888672,-14.219614028930664,-15.121967315673828,-15.253949165344238
1972-07-01,-13.751937866210938,-11.506811141967773,-14.998592376708984,-20.977947235107422,-20.015338897705078,-20.790016174316406
1972-08-01,-16.413095474243164,-14.380285263061523,-17.080177307128906,-23.428220748901367,-17.388612747192383,-14.691593170166016
1972-09-01,-13.777759552001953,-22.743919372558594,-21.855911254882812,-24.891496658325195,-18.996782302856445,-11.650269508361816
1972-10-01,-14.244001388549805,-19.82884407043457,-25.405075073242188,-23.82990074157715,-17.490468978881836,-8.178573608398438
1972-11-01,-26.96446990966797,-24.70069694519043,-37.87162780761719,-27.934249877929688,-13.257006645202637,0.7287702560424805
1972-12-01,-18.785900115966797,-27.55552101135254,-34.556297302246094,-35.67384338378906,-12.599966049194336,-6.547449111938477
1973-01-01,-35.85008239746094,-30.353431701660156,-28.496259689331055,-34.1251106262207,-16.62533950805664,-15.021419525146484
1973-02-01,-21.457807540893555,-20.962451934814453,-37.863346099853516,-27.691913604736328,-24.898191452026367,0.6976337432861328
1973-03-01,-18.848846435546875,-3.8194637298583984,-27.15833282470703,-17.276782989501953,-22.658756256103516,-13.912851333618164
1973-04-01,-32.72825622558594,6.6068115234375,-29.79755401611328,-10.652450561523438,-15.003900527954102,-23.999868392944336
1973-05-01,-21.92608070373535,10.62696647644043,-27.107362747192383,-8.032342910766602,-21.419580459594727,-17.588966369628906
1973-06-01,-11.058605194091797,12.597223281860352,-27.87667465209961,-7.393640518188477,-20.40020751953125,-8.473541259765625
1973-07-01,-14.468730926513672,11.783317565917969,-12.229293823242188,-5.466388702392578,-17.12706184387207,-22.200035095214844
1973-08-01,-13.834806442260742,11.60651969909668,-15.164770126342773,-5.424976348876953,-18.141658782958984,-13.423870086669922
1973-09-01,-15.481731414794922,15.053276062011719,-18.192628860473633,-0.9715900421142578,-14.409797668457031,-7.063938140869141
1973-10-01,-18.36623764038086,8.830320358276367,-27.416362762451172,-4.3817138671875,-13.298042297363281,-7.371343612670898
1973-11-01,-23.913860321044922,4.026523590087891,-30.269014358520508,-8.99596881866455,-15.319268226623535,-6.95881462097168
1973-12-01,-16.970972061157227,4.953516006469727,-27.17903709411621,-5.472759246826172,-19.79336166381836,-3.082012176513672
1974-01-01,-15.201447486877441,8.594266891479492,-34.64661407470703,-10.824600219726562,-20.745235443115234,-9.401263236999512
1974-02-01,-31.510665893554688,11.10072135925293,-33.178897857666016,-10.520540237426758,-21.282686233520508,-12.042491912841797
1974-03-01,-25.953731536865234,12.509267807006836,-34.260372161865234,-4.574075698852539,-23.621496200561523,-11.1303071975708
1974-04-01,-19.836336135864258,12.990837097167969,-30.486719131469727,-10.229625701904297,-23.39797019958496,-8.328006744384766
1974-05-01,-20.188060760498047,2.0363941192626953,-32.00374221801758,-16.04131507873535,-21.3188419342041,-10.431787490844727
1974-06-01,-14.373086929321289,0.2580413818359375,-25.204261779785156,-12.650615692138672,-20.069725036621094,-12.711429595947266
1974-07-01,-19.775524139404297,-7.276119232177734,-15.025585174560547,-18.44093894958496,-19.558570861816406,-24.545185089111328
1974-08-01,-11.260150909423828,-5.266021728515625,-17.42356300354004,-17.637229919433594,-19.5733642578125,-18.090856552124023
1974-09-01,-10.727630615234375,-9.580413818359375,-21.070661544799805,-18.490245819091797,-18.22398567199707,-0.6015491485595703
1974-10-01,-16.910768508911133,-18.7729434967041,-27.414871215820312,-19.469818115234375,-18.482030868530273,-7.284336090087891
1974-11-01,-17.679962158203125,-22.725744247436523,-30.361806869506836,-20.242298126220703,-18.694049835205078,0.0
1974-12-01,-31.63064956665039,-27.472396850585938,-40.08356475830078,-27.930953979492188,-17.7144775390625,-5.563510894775391
1975-01-01,-31.236801147460938,-22.28394889831543,-40.66785430908203,-37.136749267578125,-11.163352966308594,-6.12321662902832
1975-02-01,-29.531417846679688,-24.32343864440918,-39.146156311035156,-30.98819923400879,-21.340211868286133,-18.912776947021484
1975-03-01,-29.70401954650879,-17.682432174682617,-36.22309875488281,-30.06346321105957,-18.19072151184082,-9.771495819091797
1975-04-01,-35.21760559082031,-15.525768280029297,-31.936689376831055,-24.619544982910156,-13.795053482055664,-14.772045135498047
1975-05-01,-21.363964080810547,-8.848342895507812,-36.40361022949219,-24.78739356994629,-21.8421688079834,-7.473903656005859
1975-06-01,-18.710094451904297,-3.896881103515625,-25.995569229125977,-18.13213348388672,-17.087053298950195,-12.99540901184082
1975-07-01,-15.866212844848633,5.234899520874023,-13.622455596923828,-9.833251953125,-17.820192337036133,-27.305084228515625
1975-08-01,-16.038806915283203,11.657388687133789,-13.068246841430664,-4.367166519165039,-20.995019912719727,-19.362478256225586
1975-09-01,-11.204519271850586,15.570106506347656,-17.07913589477539,-4.069477081298828,-17.075969696044922,-9.133365631103516
1975-10-01,-15.308835983276367,9.975761413574219,-23.306861877441406,-3.1447391510009766,-11.936079025268555,-13.337434768676758
1975-11-01,-14.767293930053711,4.248407363891602,-25.67095947265625,-2.896137237548828,-13.120501518249512,-3.8161239624023438
1975-12-01,-23.99249839782715,1.7402172088623047,-23.30052947998047,-0.18368053436279297,-23.777149200439453,-9.364548683166504
1976-01-01,-26.171724319458008,3.572540283203125,-34.07370376586914,-12.658639907836914,-19.29912567138672,-8.557952880859375
1976-02-01,-23.324121475219727,8.500764846801758,-31.380840301513672,-1.3910045623779297,-23.6302433013916,-9.851401329040527
1976-03-01,-19.277259826660156,9.7235689163208,-35.83810806274414,-6.640485763549805,-19.357995986938477,-7.234228134155273
1976-04-01,-19.716259002685547,10.776494026184082,-32.59355926513672,-0.1547412872314453,-29.273311614990234,0.36835670471191406
1976-05-01,-23.875812530517578,13.21873950958252,-26.387020111083984,-8.044946670532227,-17.935035705566406,-10.692394256591797
1976-06-01,-11.49470329284668,13.243968963623047,-22.2459659576416,-4.982046127319336,-18.856761932373047,-13.005128860473633
1976-07-01,-16.653358459472656,10.606613159179688,-11.837825775146484,-4.803754806518555,-21.098852157592773,-22.82961654663086
1976-08-01,-8.256875991821289,10.448507308959961,-15.413734436035156,-7.032390594482422,-17.070491790771484,-20.584163665771484
1976-09-01,-12.99839973449707,0.4305896759033203,-19.847454071044922,-10.840410232543945,-16.08316421508789,-11.615804672241211
1976-10-01,-18.929088592529297,-2.3732833862304688,-24.669710159301758,-10.007827758789062,-10.916099548339844,1.0562877655029297
1976-11-01,-38.169342041015625,-11.66290283203125,-19.440412521362305,-11.476202011108398,-4.050226211547852,-6.1375732421875
1976-12-01,-29.044559478759766,-18.27142906188965,-30.894746780395508,-19.933231353759766,-9.886722564697266,-6.268768310546875
1977-01-01,-43.579811096191406,-19.455493927001953,-15.037891387939453,-14.342609405517578,-21.46703338623047,-15.690711975097656
1977-02-01,-39.01005554199219,-16.465606689453125,-14.929971694946289,-10.367298126220703,-14.07369613647461,-21.380342483520508
1977-03-01,-33.40357971191406,-17.976472854614258,-28.731218338012695,-28.05008888244629,-11.526102066040039,-15.303264617919922
1977-04-01,-20.255155563354492,-9.521636962890625,-34.1678581237793,-21.589101791381836,-21.790788650512695,-6.65913200378418
1977-05-01,-21.231733322143555,-11.198806762695312,-35.0931282043457,-18.15161895751953,-25.52903175354004,-5.498561859130859
1977-06-01,-26.880674362182617,-10.754745483398438,-22.27376937866211,-18.059621810913086,-17.785402297973633,-16.00916290283203
1977-07-01,-13.44387435913086,-17.815475463867188,-18.56560516357422,-21.343189239501953,-23.057510375976562,-21.60679817199707
1977-08-01,-7.06427001953125,-13.960472106933594,-17.261730194091797,-18.378070831298828,-20.711597442626953,-12.18423080444336
1977-09-01,-12.959123611450195,-21.352035522460938,-24.120777130126953,-22.60460662841797,-13.608407974243164,-13.999391555786133
1977-10-01,-19.45372200012207,-26.615297317504883,-28.280078887939453,-23.01504898071289,-14.261228561401367,-3.3702564239501953
1977-11-01,-19.336957931518555,-29.115127563476562,-26.052703857421875,-25.46180534362793,-13.69686508178711,-13.801244735717773
1977-12-01,-33.51680374145508,-21.873937606811523,-22.91597557067871,-25.254810333251953,-13.059965133666992,-13.419107437133789
1978-01-01,-27.359149932861328,-11.441871643066406,-35.88996887207031,-16.95281219482422,-18.85723876953125,4.188041687011719
1978-02-01,-41.424713134765625,-11.780248641967773,-7.0667877197265625,-8.479804992675781,-24.434494018554688,-28.362375259399414
1978-03-01,-30.62558364868164,-5.849313735961914,-16.39168357849121,-3.018178939819336,-19.3265438079834,-7.865968704223633
1978-04-01,-31.91107177734375,7.76054573059082,-17.986642837524414,-2.3754348754882812,-26.57357406616211,-19.051084518432617
1978-05-01,-25.670671463012695,12.215545654296875,-21.520038604736328,-6.413841247558594,-15.213319778442383,-11.875469207763672
1978-06-01,-22.34132194519043,17.451025009155273,-16.00569725036621,-1.795602798461914,-12.40938949584961,-16.966413497924805
1978-07-01,-14.43454360961914,11.64251708984375,-12.38388442993164,-3.898975372314453,-16.405288696289062,-27.505382537841797
1978-08-01,-10.277111053466797,17.888019561767578,-12.569225311279297,-0.2380523681640625,-17.641464233398438,-16.055009841918945
1978-09-01,-15.546594619750977,12.256355285644531,-15.461576461791992,-5.633367538452148,-12.064210891723633,-9.170160293579102
1978-10-01,-26.801424026489258,2.8124332427978516,-17.862516403198242,-4.754268646240234,-3.582704544067383,-14.43454360961914
1978-11-01,-15.67242431640625,2.082967758178711,-17.16025733947754,-8.379484176635742,-11.21742057800293,-6.022754669189453
1978-12-01,-25.005821228027344,-3.8275604248046875,-16.675647735595703,-9.562949180603027,-12.096519470214844,-12.689952850341797
1979-01-01,-29.480365753173828,4.803139686584473,-29.658756256103516,-16.88457489013672,-16.416301727294922,-13.139881134033203
1979-02-01,-43.916542053222656,10.565122604370117,-15.539220809936523,-7.1742353439331055,-20.9801025390625,-33.78401565551758
1979-03-01,-19.36567497253418,14.685922622680664,-31.81578254699707,-5.307090759277344,-29.938230514526367,-16.21858787536621
1979-04-01,-25.624177932739258,4.694619178771973,-23.927989959716797,-9.792101860046387,-22.86508560180664,-15.372722625732422
1979-05-01,-14.489693641662598,8.385796546936035,-29.72565269470215,-12.081435203552246,-24.324907302856445,-12.01453971862793
1979-06-01,-19.670425415039062,3.0400562286376953,-23.877445220947266,-8.286197662353516,-21.408235549926758,-17.668001174926758
1979-07-01,-20.273975372314453,-7.279781341552734,-16.049116134643555,-12.29252815246582,-19.093631744384766,-20.60251235961914
1979-08-01,-10.104284286499023,-10.541337966918945,-18.84239959716797,-16.68537139892578,-19.447437286376953,-18.573326110839844
1979-09-01,-8.785686492919922,-13.603693008422852,-25.157392501831055,-16.606584548950195,-19.156068801879883,-10.165233612060547
1979-10-01,-17.79882049560547,-26.272327423095703,-30.07648468017578,-24.623708724975586,-18.31317901611328,-4.77638053894043
1979-11-01,-12.92283821105957,-23.742168426513672,-26.81344223022461,-22.248153686523438,-14.342522621154785,-6.8278608322143555
1979-12-01,-27.353071212768555,-23.94434356689453,-26.55328941345215,-26.98291015625,-15.586791038513184,-8.192541122436523
1980-01-01,-26.566978454589844,-26.080781936645508,-30.17631721496582,-23.26826286315918,-29.889326095581055,-8.974393844604492
1980-02-01,-38.13949203491211,-20.20926856994629,-27.780780792236328,-16.849781036376953,-28.624874114990234,-22.994775772094727
1980-03-01,-33.71813201904297,-17.769840240478516,-32.966888427734375,-28.39190673828125,-17.1806640625,-11.037357330322266
1980-04-01,-30.191511154174805,-16.226839065551758,-31.020410537719727,-25.31265640258789,-23.636287689208984,-28.834209442138672
1980-05-01,-22.640256881713867,-1.9802436828613281,-33.19647979736328,-19.095067977905273,-23.097755432128906,-15.68662166595459
1980-06-01,-24.561410903930664,2.0258235931396484,-23.280078887939453,-10.721668243408203,-19.65216827392578,-14.022069931030273
1980-07-01,-16.162687301635742,2.4039764404296875,-14.295555114746094,-8.543909072875977,-19.621780395507812,-17.790098190307617
1980-08-01,-17.8154239654541,8.981145858764648,-10.645698547363281,0.5419082641601562,-13.542625427246094,-14.739547729492188
1980-09-01,-15.136272430419922,9.084127426147461,-17.114826202392578,1.3218498229980469,-13.220182418823242,-5.493354797363281
1980-10-01,-21.834993362426758,5.074686050415039,-19.81085777282715,0.2279033660888672,-5.432580947875977,-3.291963577270508
1980-11-01,-36.238590240478516,4.649263381958008,-12.070527076721191,-3.1147022247314453,-3.8136119842529297,-16.005687713623047
1980-12-01,-22.982959747314453,3.9486656188964844,-19.669050216674805,1.132772445678711,-20.194076538085938,-5.199611663818359
1981-01-01,-33.24573516845703,5.175434112548828,-25.26785659790039,-1.7122974395751953,-25.910198211669922,-0.9378166198730469
1981-02-01,-19.508811950683594,5.122209548950195,-28.65574836730957,-7.243770599365234,-23.107757568359375,-8.901010513305664
1981-03-01,-40.170169830322266,12.272381782531738,-8.779884338378906,5.5406494140625,-23.946470260620117,-36.90156936645508
1981-04-01,-22.847148895263672,7.631010055541992,-31.340730667114258,-2.828136444091797,-23.26008415222168,-15.564838409423828
1981-05-01,-16.59808921813965,7.396097183227539,-25.90285873413086,-9.39102554321289,-27.325183868408203,-15.961254119873047
1981-06-01,-19.908899307250977,6.063699722290039,-24.482364654541016,-10.539896011352539,-16.203510284423828,-19.73271369934082
1981-07-01,-15.878669738769531,6.122426986694336,-13.894752502441406,-9.332294464111328,-17.469839096069336,-24.410791397094727
1981-08-01,-22.13874053955078,2.099536895751953,-16.640302658081055,-6.856529235839844,-15.581356048583984,-19.2298526763916
1981-09-01,-22.377323150634766,1.5930023193359375,-16.381528854370117,-9.959957122802734,-10.32333755493164,-10.022354125976562
1981-10-01,-17.581790924072266,-5.091009140014648,-29.20081901550293,-11.185909271240234,-14.579301834106445,-6.595924377441406
1981-11-01,-25.344940185546875,-8.383468627929688,-25.460559844970703,-7.741125106811523,-18.771038055419922,-10.070070266723633
1981-12-01,-28.169403076171875,-19.272062301635742,-18.873811721801758,-18.899507522583008,-20.87791633605957,-6.023323059082031
1982-01-01,-32.03143310546875,-10.641016006469727,-34.70543670654297,-17.711841583251953,-21.490713119506836,-13.452522277832031
1982-02-01,-26.157682418823242,-7.740537643432617,-37.889007568359375,-21.438945770263672,-23.09543800354004,-13.620760917663574
1982-03-01,-27.445348739624023,-7.704950332641602,-41.68243408203125,-16.626388549804688,-23.842802047729492,-5.779926300048828
1982-04-01,-30.069204330444336,-10.453369140625,-39.66358947753906,-20.665700912475586,-27.487407684326172,-15.993879318237305
1982-05-01,-16.09255599975586,-12.509424209594727,-21.27394676208496,-21.07012176513672,-26.85166358947754,-18.316848754882812
1982-06-01,-20.08819580078125,-19.678924560546875,-28.951393127441406,-21.51498031616211,-16.518001556396484,-13.690319061279297
1982-07-01,-12.530452728271484,-20.424671173095703,-19.09333038330078,-25.381200790405273,-17.292863845825195,-14.675479888916016
1982-08-01,-15.993879318237305,-14.614007949829102,-14.762832641601562,-14.101205825805664,-17.482133865356445,-13.444433212280273
1982-09-01,-13.090165138244629,-12.198829650878906,-19.999221801757812,-12.818397521972656,-13.14840316772461,-10.992050170898438
1982-10-01,-18.69376564025879,-8.356870651245117,-23.837949752807617,-12.26030158996582,-6.465816497802734,-2.9554786682128906
1982-11-01,-13.348993301391602,-0.3154449462890625,-23.677799224853516,-13.499435424804688,-13.968558311462402,-5.10212516784668
1982-12-01,-16.05049705505371,-5.885074615478516,-26.059005737304688,-11.998239517211914,-13.080459594726562,0.2960319519042969
1983-01-01,-33.9510498046875,2.9722824096679688,-21.119966506958008,-9.357730865478516,-16.034385681152344,-3.274881362915039
1983-02-01,-32.87406921386719,-0.6507463455200195,-17.867862701416016,-1.918074607849121,-24.947980880737305,-12.759504318237305
1983-03-01,-31.07475471496582,-0.2049846649169922,-20.379743576049805,1.5650434494018555,-28.422964096069336,-8.802968978881836
1983-04-01,-23.35853385925293,5.965715408325195,-25.279861450195312,-3.2439699172973633,-23.947458267211914,-10.068670272827148
1983-05-01,-17.241519927978516,6.455400466918945,-26.400772094726562,-6.657133102416992,-22.006608963012695,-9.39189338684082
1983-06-01,-14.316415786743164,8.700475692749023,-28.115488052368164,-8.279117584228516,-16.859207153320312,-12.813190460205078
1983-07-01,-16.685129165649414,7.82359504699707,-14.065879821777344,-6.361043930053711,-19.0082950592041,-14.619010925292969
1983-08-01,-12.78065299987793,1.4739398956298828,-13.499731063842773,-7.008535385131836,-16.647714614868164,-21.398160934448242
1983-09-01,-12.835968017578125,12.33814811706543,-19.899816513061523,-6.801921844482422,-14.399385452270508,-9.372369766235352
