,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6
1970-01-01,-1.3243516e-05,3.6014637e-05,-2.6204798e-06,-1.0917953e-05,-7.749681e-06,4.04019e-06
1970-02-01,-8.681527e-06,5.4797398e-05,1.2284472e-06,6.0659404e-06,-4.1843596e-06,7.289491e-06
1970-03-01,-1.7319326e-05,2.2498829e-05,6.693408e-07,-9.2342816e-08,-1.06100415e-05,-4.484169e-06
1970-04-01,-1.5731137e-05,2.9402587e-05,-6.514492e-07,-6.4775086e-06,4.3237924e-06,-2.9202893e-06
1970-05-01,1.2689634e-06,2.517282e-05,3.2785065e-06,1.0177682e-06,-3.2606185e-06,-4.4193475e-06
1970-06-01,-6.4288906e-06,2.1955928e-05,5.4014927e-06,-1.8964238e-05,5.9524973e-06,-5.59428e-06
1970-07-01,-5.1081006e-06,2.7182365e-05,3.66745e-06,-2.1484273e-05,1.5141302e-05,-3.471294e-06
1970-08-01,-6.631468e-06,2.7222879e-05,-4.1646126e-07,-6.2911386e-06,1.13085825e-05,-7.231087e-06
1970-09-01,3.857349e-07,2.8932613e-05,7.8278026e-07,-1.0788306e-05,7.208462e-06,-3.1633826e-06
1970-10-01,-9.921285e-06,2.9669987e-05,7.945837e-06,-1.1217766e-05,3.7303835e-08,-5.3430886e-06
1970-11-01,-6.185801e-06,2.1161834e-05,2.8733557e-06,-7.729941e-07,-1.6562226e-06,1.0096664e-06
1970-12-01,-1.6233524e-05,2.3211893e-05,-2.3044631e-06,-5.1324096e-06,-1.2538556e-05,-5.9346094e-06
1971-01-01,-1.1791541e-05,1.9742707e-05,-1.4183242e-06,-1.0819713e-07,-2.7782044e-06,-1.658791e-06
1971-02-01,-1.079651e-05,2.4626659e-05,-1.716835e-06,2.3379253e-06,-1.19573815e-05,-5.145048e-07
1971-03-01,-1.36986855e-05,2.1707896e-05,-1.5841651e-06,2.528639e-06,-7.2475596e-06,3.7273276e-07
1971-04-01,-6.376904e-06,3.057198e-05,-1.2478267e-07,6.1190476e-06,-8.051877e-06,2.7856877e-06
1971-05-01,-6.5593267e-06,3.3839005e-05,-3.735404e-07,4.079233e-06,-8.37526e-06,-2.8113718e-06
1971-06-01,-8.740106e-06,1.9303236e-05,5.1986426e-06,-2.2181346e-05,4.5352863e-06,-1.4680772e-06
1971-07-01,-5.8628066e-06,2.5024672e-05,3.9382685e-06,-1.9022118e-05,6.0692983e-06,-4.9009395e-06
1971-08-01,-4.3619657e-06,4.2976724e-05,9.1171023e-07,-1.0896016e-05,1.1459058e-05,-4.1629573e-06
1971-09-01,-8.151383e-06,4.9104467e-05,3.863639e-06,-1.695742e-05,5.1240168e-06,-4.5112174e-06
1971-10-01,-5.062102e-07,2.9187227e-05,1.7160273e-06,-1.7582934e-06,-4.021993e-06,-2.5377376e-06
1971-11-01,1.7823622e-06,1.5886955e-05,5.928334e-06,-3.201094e-06,-5.1331153e-06,5.7640136e-08
1971-12-01,-1.4901023e-05,2.7089365e-05,-9.3739436e-07,3.2168682e-06,-7.5377757e-06,-3.8561557e-06
1972-01-01,-1.3549863e-05,2.310969e-05,-2.2603926e-06,5.551272e-06,-1.0705204e-05,2.8107024e-07
1972-02-01,-6.6210196e-06,3.4532914e-05,9.142095e-07,8.190829e-06,-6.017508e-07,1.7524508e-06
1972-03-01,-5.60443e-06,2.0398791e-05,2.769033e-06,8.565366e-06,-1.4191915e-05,-3.1343006e-06
1972-04-01,-4.0438827e-06,2.5900845e-05,-2.2871463e-06,9.320429e-07,-6.977716e-06,-3.9547085e-06
1972-05-01,-5.149639e-06,3.2419484e-05,-3.7881546e-07,8.250354e-07,-6.0413877e-06,-2.269313e-06
1972-06-01,-3.2056414e-06,3.834066e-05,6.344926e-06,-1.6269674e-05,3.8569633e-06,-3.3037359e-06
1972-07-01,-6.9598827e-06,2.5267705e-05,4.837879e-06,-1.8186925e-05,1.3942576e-05,-2.7597707e-06
1972-08-01,-7.3254923e-06,2.5232035e-05,5.7831276e-06,-1.3621197e-05,4.7576177e-06,-4.436246e-06
1972-09-01,-2.5546688e-06,3.61113e-05,3.1168165e-06,-1.0830045e-05,9.7663e-07,-2.8846189e-06
1972-10-01,-3.2859025e-06,3.76451e-05,6.1576575e-06,-2.099885e-06,-5.304173e-07,-2.4565816e-06
1972-11-01,-1.24886865e-05,3.4773686e-05,3.7024438e-07,7.0910755e-07,-7.4057534e-06,-1.18139e-06
1972-12-01,-1.1605858e-05,3.2633503e-05,-2.8132781e-06,6.139824e-06,-5.2477335e-06,-5.1139723e-06
1973-01-01,-1.4510573e-05,5.768961e-05,2.1060841e-06,4.0880477e-06,-9.465002e-07,-5.5651835e-06
1973-02-01,-1.4970676e-05,3.7808015e-05,-6.3681364e-07,9.972009e-06,-6.042981e-06,-1.2119417e-06
1973-03-01,-1.252861e-05,2.9950934e-05,-5.8372825e-07,7.4591626e-06,-1.0750147e-05,7.7002915e-07
1973-04-01,-1.4961828e-05,2.8774142e-05,2.8139257e-06,-8.989387e-06,-1.6720369e-06,-2.9373114e-06
1973-05-01,-7.63563e-06,1.6032933e-05,5.2736905e-06,-5.5474884e-06,-6.2199397e-06,2.2299573e-06
1973-06-01,-5.220114e-06,2.4297024e-05,5.9284466e-06,-1.41478085e-05,1.7521597e-06,-2.5634654e-07
1973-07-01,-8.175361e-06,2.0315394e-05,5.0878807e-06,-8.4762e-06,9.82378e-07,-1.990571e-06
1973-08-01,-3.415109e-06,3.6118035e-05,-6.9875387e-07,-6.5650165e-06,1.0343629e-05,-3.4504992e-06
1973-09-01,-7.237468e-06,4.7894806e-05,4.9020746e-06,-9.449483e-06,9.494215e-06,-3.600915e-06
1973-10-01,-6.556169e-06,3.2233733e-05,2.344983e-06,5.990383e-06,-8.137795e-07,-2.946159e-06
1973-11-01,-9.821102e-06,1.5156977e-05,-3.4482946e-07,-7.1666873e-06,-9.2636765e-06,-1.3800527e-06
1973-12-01,-2.1144442e-06,2.2651282e-05,1.0620133e-06,8.335119e-06,-1.266133e-05,-1.7693674e-06
1974-01-01,-1.0239644e-05,2.0160718e-05,1.7379643e-06,2.289869e-05,-1.1297685e-05,1.3341341e-06
1974-02-01,-1.52633e-05,1.9482282e-05,-3.054156e-07,-2.058041e-06,-7.558214e-06,-5.296759e-06
1974-03-01,-6.169037e-06,2.3116758e-05,-1.4119141e-06,-4.7798603e-06,-1.035005e-07,-9.577365e-06
1974-04-01,-7.089766e-06,1.33844405e-05,2.1821834e-06,1.624896e-06,-1.0368873e-05,-4.820242e-06
1974-05-01,-1.1211523e-06,2.914191e-05,4.87169e-06,1.0533397e-05,-4.844471e-06,-7.738563e-07
1974-06-01,-1.2767625e-05,1.6493937e-05,3.668276e-06,-1.7492443e-05,2.6829293e-06,-3.8429716e-06
1974-07-01,-1.5764046e-05,1.9118834e-05,1.996421e-06,-9.666204e-06,1.3416749e-05,-3.2129974e-06
1974-08-01,-6.362876e-06,2.6460475e-05,-2.760702e-06,-4.077192e-06,6.0831844e-06,-5.2563773e-06
1974-09-01,-5.8378937e-06,4.408364e-05,1.253371e-06,-1.13380665e-05,5.1786046e-06,-2.9141593e-06
1974-10-01,-5.7328944e-06,4.3146756e-05,6.842387e-06,-1.9772706e-06,1.253371e-06,-2.187262e-06
1974-11-01,-9.359297e-06,2.4893612e-05,3.644047e-06,2.9171497e-06,-6.8555455e-06,3.649402e-07
1974-12-01,-1.9568135e-05,2.4118257e-05,-4.1175736e-06,9.787691e-07,1.1564553e-06,1.549488e-07
1975-01-01,-1.6644084e-05,3.5346013e-05,1.4717807e-07,5.649352e-06,-7.0466813e-06,-3.9899205e-06
1975-02-01,-1.2917342e-05,3.1192165e-05,-8.91283e-07,-1.8041246e-06,-6.359958e-06,-6.3767075e-06
1975-03-01,-9.182229e-06,2.3931307e-05,1.1772645e-06,6.687813e-06,-1.034631e-05,-5.3801195e-06
1975-04-01,-1.4173547e-05,2.3194334e-05,2.3162247e-06,5.088248e-06,-3.5963094e-06,-4.809226e-07
1975-05-01,-6.1422143e-06,2.6569334e-05,3.2304888e-07,1.0799788e-05,-7.993021e-06,6.4951964e-06
1975-06-01,-6.6781977e-06,2.0053823e-05,2.977824e-06,-1.8134775e-05,4.652764e-06,-4.023419e-06
1975-07-01,-7.4319178e-06,2.8361519e-05,7.5336575e-06,-1.3821809e-05,9.258845e-06,-5.639733e-06
1975-08-01,-3.38694e-06,2.68792e-05,6.41145e-06,-1.4014426e-05,9.183474e-06,-4.685018e-06
1975-09-01,-9.666546e-07,3.792542e-05,4.409896e-06,-8.75512e-06,2.684712e-06,-3.5879348e-06
1975-10-01,-5.1456263e-06,4.2565e-05,5.4567354e-06,-7.1890536e-06,-1.3518911e-06,-2.6750931e-06
1975-11-01,-4.199286e-06,3.203801e-05,-8.731149e-08,3.974412e-06,-7.3314222e-06,-9.4153074e-07
1975-12-01,-1.148527e-05,2.861276e-05,3.7734208e-06,-1.5445075e-06,-7.3900446e-06,-2.8425857e-06
1976-01-01,-1.4005389e-05,3.2124997e-05,1.0981603e-07,9.6266085e-06,-1.03851635e-05,7.954659e-07
1976-02-01,-1.3292316e-05,1.870458e-05,1.2525634e-06,2.125519e-05,-1.5778925e-05,1.839362e-08
1976-03-01,-1.1674187e-05,1.595285e-05,2.1484739e-06,1.3639932e-05,-3.2270036e-06,-2.4672045e-07
1976-04-01,-6.4897176e-07,2.4089204e-05,9.691576e-07,1.0787633e-05,-7.807132e-06,1.8193605e-06
1976-05-01,-5.8873193e-06,2.5981593e-05,2.1484739e-06,-4.0406376e-06,-1.1710748e-05,-1.7734274e-06
1976-06-01,-5.6496283e-06,2.789226e-05,7.0120004e-06,-1.0513155e-05,2.7975548e-06,-4.1503445e-06
1976-07-01,-1.3301455e-05,1.901541e-05,9.544325e-06,-1.6903388e-05,2.0688392e-05,-5.0005474e-06
