,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6
1965-01-01,1010.1128,1018.9967,1015.6869,1022.0107,1017.46545,1020.36664
1965-02-01,1010.41797,1019.7483,1015.7656,1013.6682,1014.78705,1019.36694
1965-03-01,1011.6496,1019.50336,1016.3932,1022.66315,1015.5957,1017.9858
1965-04-01,1011.24585,1017.3557,1014.8205,1025.0396,1012.78076,1016.1768
1965-05-01,1011.3792,1018.70703,1014.178,1022.1707,1010.4397,1016.61334
1965-06-01,1013.8071,1020.2258,1016.19415,1023.67334,1011.2558,1015.8233
1965-07-01,1013.42944,1020.47955,1015.8568,1024.0796,1008.1891,1015.84314
1965-08-01,1012.85516,1018.74365,1014.6512,1021.1964,1008.7664,1015.7749
1965-09-01,1012.42725,1016.5198,1013.2087,1021.4959,1012.5315,1015.2701
1965-10-01,1011.4418,1015.8072,1012.9668,1018.6959,1013.7879,1018.85345
1965-11-01,1010.5277,1016.19604,1012.77515,1020.6364,1017.0215,1019.1573
1965-12-01,1010.573,1016.89557,1013.7731,1024.5856,1019.92694,1021.48413
1966-01-01,1010.6971,1017.31213,1014.2728,1016.8083,1018.47186,1022.65405
1966-02-01,1011.41125,1020.8365,1016.44275,1019.4852,1017.15375,1020.94727
1966-03-01,1010.7578,1018.4456,1014.67084,1019.46454,1014.17206,1020.22815
1966-04-01,1011.17096,1019.0696,1015.1247,1020.78827,1010.8342,1015.6116
1966-05-01,1011.69165,1019.3807,1014.9782,1022.21533,1010.4705,1016.15424
1966-06-01,1012.3401,1019.32874,1015.1027,1023.0265,1010.20264,1017.4148
1966-07-01,1012.9754,1018.6816,1014.7072,1024.0754,1008.1454,1015.017
1966-08-01,1012.97217,1018.6015,1014.74854,1021.37976,1008.25494,1016.17365
1966-09-01,1012.6793,1017.06305,1014.01807,1020.307,1011.022,1014.6421
1966-10-01,1011.24414,1014.7729,1012.51904,1016.8947,1013.262,1018.5808
1966-11-01,1009.6049,1013.98364,1011.661,1018.8148,1015.6623,1021.7015
1966-12-01,1009.13745,1017.585,1013.67883,1021.70276,1017.724,1020.50476
1967-01-01,1010.283,1020.8352,1016.2807,1019.45953,1020.07556,1021.8518
1967-02-01,1010.94916,1019.6272,1016.22705,1023.80945,1015.0828,1021.5856
1967-03-01,1010.99115,1019.4646,1015.894,1023.6636,1014.00604,1019.5103
1967-04-01,1011.54846,1019.00024,1015.2954,1019.9559,1011.46936,1017.1928
1967-05-01,1012.00555,1019.73096,1015.65094,1022.4482,1010.6168,1015.5609
1967-06-01,1012.5513,1017.8959,1014.80347,1023.7238,1010.14514,1014.63873
1967-07-01,1013.2971,1021.32935,1016.243,1023.2754,1007.7333,1017.39526
1967-08-01,1013.6788,1019.7723,1015.6647,1021.7785,1007.615,1017.1152
1967-09-01,1013.07367,1016.15234,1013.3885,1020.6191,1011.25604,1016.68494
1967-10-01,1012.1304,1015.1343,1012.80804,1021.9091,1013.65924,1017.9779
1967-11-01,1010.0218,1015.6132,1012.39594,1019.79694,1014.5792,1019.6794
1967-12-01,1011.04126,1018.8471,1015.3702,1020.89404,1018.33344,1019.17505
1968-01-01,1011.0257,1019.6021,1015.7472,1022.40576,1019.6679,1024.3279
1968-02-01,1010.76306,1015.57904,1014.52783,1018.1108,1015.04443,1021.32526
1968-03-01,1011.81287,1019.29297,1016.0828,1022.5818,1013.48944,1020.3907
1968-04-01,1011.25037,1017.4854,1014.81696,1020.47437,1010.9727,1016.5994
1968-05-01,1012.6329,1018.2646,1014.5879,1023.2258,1009.92584,1014.27954
1968-06-01,1013.48596,1019.19354,1015.50104,1022.355,1010.0525,1014.5636
1968-07-01,1014.1142,1020.707,1016.5666,1023.10065,1007.56647,1018.6203
1968-08-01,1013.5424,1018.68756,1015.3314,1021.9013,1008.3437,1018.0586
1968-09-01,1012.40466,1015.93896,1013.5174,1021.46625,1011.0672,1016.41486
1968-10-01,1011.37634,1015.68494,1012.93774,1018.3713,1013.59467,1017.59485
1968-11-01,1010.31085,1016.57947,1013.13025,1017.79663,1013.4079,1018.3505
1968-12-01,1010.53766,1017.6234,1014.364,1019.9084,1015.9941,1020.52734
1969-01-01,1009.3359,1017.3681,1013.70294,1012.6429,1015.1481,1019.6281
1969-02-01,1009.42944,1014.50037,1013.1295,1011.2545,1011.73065,1018.20294
1969-03-01,1010.8166,1016.4247,1013.9663,1015.6841,1011.1085,1018.1637
1969-04-01,1010.40845,1016.4441,1013.079,1024.5836,1013.6936,1015.07135
1969-05-01,1011.1728,1015.2579,1012.29156,1022.89453,1011.0131,1015.198
1969-06-01,1012.20795,1016.0909,1013.3267,1022.2556,1010.45337,1012.392
1969-07-01,1013.59436,1019.0229,1015.26416,1022.2693,1009.20544,1014.4168
1969-08-01,1012.1861,1016.736,1013.25,1020.46484,1007.1252,1013.78217
1969-09-01,1011.632,1014.3681,1011.84174,1021.6304,1010.59814,1016.2095
1969-10-01,1010.59686,1012.93304,1010.9794,1018.1306,1012.7545,1017.08545
1969-11-01,1010.00916,1015.21295,1011.7843,1016.41656,1015.04944,1020.5478
1969-12-01,1009.9392,1016.1683,1013.5507,1022.6793,1017.1947,1017.49664
1970-01-01,1010.77625,1018.2001,1015.26245,1016.17505,1017.1264,1022.51636
1970-02-01,1010.23315,1019.02545,1015.48706,1022.558,1015.7728,1022.3066
1970-03-01,1010.4994,1018.3808,1015.1454,1016.33905,1012.6183,1015.62964
1970-04-01,1010.87134,1018.2251,1014.99976,1022.68274,1012.9938,1013.954
1970-05-01,1011.24744,1017.474,1013.74603,1022.30896,1010.43396,1018.1175
1970-06-01,1012.5915,1019.32135,1015.2285,1024.4285,1010.8784,1015.3052
1970-07-01,1013.2903,1019.9114,1015.4864,1022.2098,1006.9687,1016.59875
1970-08-01,1011.81726,1017.7699,1013.7472,1020.931,1006.59845,1013.99384
1970-09-01,1011.39124,1016.4277,1013.21484,1020.2061,1009.08875,1016.44727
1970-10-01,1010.1832,1012.59564,1010.9741,1017.39795,1012.1993,1016.64453
1970-11-01,1009.27057,1015.1596,1012.1892,1020.07837,1014.52563,1019.48413
1970-12-01,1009.41907,1018.2732,1013.9843,1019.9755,1017.07587,1019.09076
1971-01-01,1009.7697,1018.4168,1015.1108,1021.04694,1017.62964,1019.5034
1971-02-01,1009.81384,1019.8137,1015.3123,1021.04376,1014.4888,1017.08374
1971-03-01,1010.0692,1017.35443,1014.6833,1021.5557,1011.6057,1017.5458
1971-04-01,1010.68744,1017.27124,1014.30505,1019.31396,1011.34656,1016.5987
1971-05-01,1011.42596,1016.9308,1014.14185,1023.8781,1010.82947,1014.8932
1971-06-01,1012.2047,1019.20905,1016.095,1023.82245,1009.835,1015.80505
1971-07-01,1012.4549,1019.90533,1015.576,1022.0197,1007.5549,1015.7936
1971-08-01,1012.2949,1017.5714,1014.22766,1022.47406,1006.9936,1016.01373
1971-09-01,1011.96796,1014.2871,1013.0847,1018.068,1010.53705,1015.02057
1971-10-01,1011.15906,1016.12,1012.9925,1017.5048,1014.6827,1016.43866
1971-11-01,1010.0494,1015.7379,1012.84467,1019.92065,1015.0295,1020.2605
1971-12-01,1009.91943,1019.4695,1014.6756,1020.1133,1017.53174,1019.2045
1972-01-01,1009.66626,1020.1286,1015.3189,1022.6502,1016.1014,1019.8236
1972-02-01,1010.6537,1018.62366,1015.4289,1023.5076,1015.8814,1019.95483
1972-03-01,1010.2618,1016.5895,1013.8547,1021.2129,1013.4328,1016.0133
1972-04-01,1010.76556,1018.0706,1014.5346,1021.6153,1010.8406,1015.65204
1972-05-01,1010.94995,1016.99634,1013.5822,1024.0852,1010.9112,1014.5515
1972-06-01,1012.2029,1016.6507,1014.15967,1023.53326,1010.68805,1012.9816
1972-07-01,1012.7079,1020.5479,1015.78955,1022.5959,1008.1957,1017.90063
1972-08-01,1011.7017,1018.21313,1014.37585,1020.9741,1007.72577,1016.5182
1972-09-01,1011.97485,1016.44135,1013.2609,1018.37494,1011.11115,1016.1464
1972-10-01,1011.0137,1014.4677,1012.2123,1016.5438,1012.636,1018.1763
1972-11-01,1010.0531,1016.42194,1013.21783,1021.63904,1015.7683,1018.38055
1972-12-01,1010.25867,1019.24365,1014.7115,1023.9789,1018.1875,1020.8035
1973-01-01,1011.81006,1019.2927,1015.82404,1023.1537,1021.139,1020.69525
1973-02-01,1011.32263,1018.1462,1015.41125,1024.9865,1016.3649,1022.19495
1973-03-01,1011.178,1018.3706,1014.85046,1020.36664,1013.92444,1012.37335
