,zgv500_cluster1,zgv500_cluster2,zgv500_cluster3,zgv500_cluster4,zgv500_cluster5,zgv500_cluster6
1970-08-01,0.009691382,-0.030907642,0.13895348,0.48273554,-0.4168604,-0.07779298
1970-09-01,0.042825438,-0.085126996,0.22748554,0.14589456,-0.32400647,-0.059326984
1970-10-01,0.020299505,-0.058148287,0.10372398,-0.053040672,0.056314778,-0.266644
1970-11-01,-0.12258287,-0.06928029,-0.028812218,1.1062582,-0.012179757,-0.1640987
1970-12-01,0.049504615,0.046361517,0.030514741,0.43310004,0.49373665,-0.34142476
1971-01-01,-0.17937198,0.18297091,0.07284286,-0.31570044,0.0729868,-0.07457037
1971-02-01,-0.25221473,-0.091557406,0.19060068,0.8215696,-0.13978346,-0.79680884
1971-03-01,0.090117835,0.08435955,0.030231237,0.63715917,0.05412836,-0.7658578
1971-04-01,-0.06722848,-0.060174562,-0.060318492,0.73433095,0.25322255,-0.16166496
1971-05-01,0.054848097,-0.02720809,-0.026344359,0.35917577,0.5578381,-0.647956
1971-06-01,-0.0021593808,-0.060750388,0.12452386,0.2237111,-0.286189,-0.37889802
1971-07-01,0.033542264,-0.11358304,0.08738265,0.23796293,-0.44828588,0.15734634
1971-08-01,0.08709474,-0.043331433,0.07385059,0.3467953,-0.6751641,-0.37011662
1971-09-01,0.063485585,-0.085511185,0.065501,0.22284737,-0.2848933,0.8682121
1971-10-01,-0.0892541,-0.11545452,0.042611647,-0.51824963,-0.6622079,0.8218576
1971-11-01,-0.20038986,-0.05139308,0.107104935,0.59785855,0.47808522,-0.93745595
1971-12-01,0.060174536,0.10192244,0.07759349,-0.48701078,1.1048794,-0.39905217
1972-01-01,0.025384236,-0.14507136,-0.014862227,-0.07470584,-0.006313181,0.023411322
1972-02-01,-0.13178739,-0.2905374,0.16256413,0.3431471,0.6339475,-0.64210206
1972-03-01,-0.021833086,-0.005655527,-0.00263052,0.12547426,0.09193554,-0.7353528
1972-04-01,0.30053315,-0.26857275,-0.030250598,-0.26462704,0.009995842,-0.53464663
1972-05-01,-0.024989605,-0.012100244,0.075626515,-0.30132228,0.6372356,-0.43468803
1972-06-01,-0.030908251,-0.00868063,0.05326737,-0.24621364,0.366953,0.04932165
1972-07-01,-0.062079526,-0.05839684,0.025647234,0.29645595,-0.342884,-0.07812548
1972-08-01,-0.04050951,-0.09719648,0.05155754,0.4603354,-0.4040429,-0.32986316
1972-09-01,-0.05839684,-0.08286035,0.093382314,0.39680904,0.17900462,-0.22464366
1972-10-01,-0.091672495,-0.111927226,-0.10193138,0.20346817,-0.42008886,0.17413826
1972-11-01,-0.008154536,-0.13639073,-0.08509626,-0.07733641,0.55490136,-0.67511463
1972-12-01,-0.12521124,0.27001953,-0.10653472,0.119950294,0.29934952,-0.3172368
1973-01-01,0.11759956,0.06191639,0.08047744,-0.26331773,-0.10139332,0.0030473352
1973-02-01,0.34490335,-0.24600334,0.0008310914,-0.3439337,-0.09252827,-0.7827504
1973-03-01,-0.01897661,-0.03698361,-0.057206858,-0.15610686,-0.030057859,-0.5832883
1973-04-01,0.21926984,-0.018561054,-0.027287532,0.2818788,-0.23547617,0.30570346
1973-05-01,0.080754474,-0.09045055,-0.06662591,0.44103298,-0.52067935,-0.16524887
1973-06-01,0.013990057,-0.11330559,0.045848586,0.405019,0.30224055,-0.20624939
1973-07-01,-0.04293977,-0.13616063,0.030334866,0.48009434,-0.4328606,-0.5708219
1973-08-01,-0.07105838,-0.15860012,0.07743009,-0.008310938,-0.2800781,-0.23893905
1973-09-01,0.029365266,-0.062470447,0.1592927,0.050281085,0.06316302,-0.34919724
1973-10-01,-0.034767352,0.011912322,0.13117406,0.5417336,-0.17397538,-0.22841187
1973-11-01,0.16760366,0.033936262,-0.052358817,0.27800035,-0.066902936,-0.2684428
1973-12-01,-0.085187,0.11870768,-0.033797763,-0.87832606,0.9829052,-0.5849505
1974-01-01,-0.31151336,0.21244653,0.017119218,-0.042096328,-0.105241016,-0.11351998
1974-02-01,-0.039711,0.05753181,-0.066512346,-0.47793454,0.18789034,-0.08643794
1974-03-01,0.31642464,-0.21062231,-0.08026381,0.534484,0.54809517,-0.66652644
1974-04-01,0.0449028,-0.034659386,0.034940016,0.086437985,0.37157097,-0.024415875
1974-05-01,0.026661014,0.037044834,0.0919105,0.20978045,-0.29060557,-0.3933207
1974-06-01,-0.075633205,0.003227389,0.04855118,0.339297,-0.06707354,-0.26310253
1974-07-01,0.097944304,-0.07675578,0.14845999,0.41478986,-0.84080553,0.2005192
1974-08-01,0.014172447,-0.13484882,0.07619449,0.115765095,-0.6028205,0.13905844
1974-09-01,-0.015014386,0.02750299,0.16487758,0.6242897,-0.40987864,-0.16922756
1974-10-01,0.07998319,-0.018803049,0.003928995,-0.35697752,0.0014032125,0.47849578
1974-11-01,0.3033747,0.035922267,0.02413528,1.0849646,-0.96204317,-0.10145235
1974-12-01,0.25327998,-0.05205927,0.02525785,-0.034238435,0.18859188,-0.03395779
1975-01-01,-0.043622304,-0.28025654,0.2722032,0.13073269,-0.5786332,-0.45568532
1975-02-01,0.24441917,-0.15153718,0.15153718,-0.019864941,-0.6155443,0.044561863
1975-03-01,-0.09838507,-0.15865096,0.0495281,-0.21381636,0.02979741,-0.55017793
1975-04-01,0.01919384,-0.052212525,-0.04536722,0.15690613,0.7705714,-0.4019963
1975-05-01,-0.028857827,0.10872026,-0.062145017,0.49353606,0.30898017,-0.67366266
1975-06-01,-0.01838851,-0.017717361,0.02053604,0.27005562,0.13475943,-0.19368306
1975-07-01,-0.01167736,-0.14442341,0.063755676,0.23139954,-0.5227965,0.011408949
1975-08-01,-0.025904942,-0.12241089,0.15985899,0.054225825,-0.29206812,-0.09449263
1975-09-01,0.052481007,-0.021072913,0.044696093,0.14764473,-0.42414308,-0.35985047
1975-10-01,0.026039172,0.00040266514,0.11623669,-0.08402328,-0.28133038,0.38280255
1975-11-01,-0.025636483,0.03194494,0.07341971,-0.40830478,0.17569724,0.26374722
1975-12-01,0.1760999,-0.101337954,-0.108720206,0.6686964,-0.12871942,-0.61755764
1976-01-01,0.07965431,0.0021455765,0.07415633,-0.62476367,0.42053208,0.7128662
1976-02-01,-0.014750814,-0.12042022,-0.043984223,-0.46719828,-0.07268133,0.54055005
1976-03-01,0.2582732,-0.12310219,-0.078447476,-0.07080388,-0.18706699,0.0068389894
1976-04-01,0.23574471,-0.05310292,-0.089711726,0.1956493,0.31151024,-0.21925059
1976-05-01,-0.17674145,-0.026685555,-0.0069731236,0.7175597,0.6250319,-0.4899949
1976-06-01,-0.012337041,-0.091455,-0.025344562,0.28562924,-0.15609035,0.12497954
1976-07-01,-0.03620652,-0.14415559,0.0088504795,0.58399785,-0.38083893,0.22568731
1976-08-01,0.059673715,-0.028428817,0.036742926,-0.10312152,-0.17942345,1.1348734
1976-09-01,0.011934752,0.049214054,0.048275344,0.21884832,-0.10298745,0.21536176
1976-10-01,-0.03285407,0.048409473,0.01783507,-0.008314133,0.33645245,-0.53867257
1976-11-01,0.19296737,0.063294366,-0.006839013,-0.38928717,-0.21053429,-0.021858025
1976-12-01,0.32264036,-0.1464353,-0.10982646,0.22595553,0.07965435,-0.44802228
1977-01-01,0.42328078,-0.15075564,-0.0013868958,-0.07905302,0.62549025,-0.7916404
1977-02-01,-0.102907695,-0.016365385,0.07197994,0.23951702,-0.07572456,-0.35046872
1977-03-01,-0.11053567,0.05908178,0.02829268,-0.30026302,0.26406503,-0.54560506
1977-04-01,-0.018723106,-0.13827357,-0.107345775,0.3157963,-0.109564826,-0.02801528
1977-05-01,0.1561645,-0.00332855,-0.022883773,0.3424247,0.29013872,-0.43923005
1977-06-01,0.021912962,-0.019139165,0.018861819,0.045767583,0.06989956,0.14645624
1977-07-01,0.008182687,-0.03647537,0.13064565,0.17169777,-0.028708745,-0.14382115
1977-08-01,0.030511716,-0.14659491,0.08057868,0.39346248,-0.052840758,-0.29083213
1977-09-01,0.053395517,-0.07447634,0.27779537,0.14118604,-0.4898518,0.27432814
1977-10-01,0.044519376,-0.07142516,0.1432664,0.61772364,0.5855477,-0.1391057
1977-11-01,-0.00374465,0.016504074,-0.022745108,-0.29208034,0.23604977,0.56807274
1977-12-01,0.5561455,-0.22107127,-0.036059283,0.483056,-0.089038745,0.33216164
1978-01-01,0.116169944,-0.04081645,0.007907468,0.13082199,0.011279762,-0.48444843
1978-02-01,0.030350734,-0.22047873,-0.057677984,-0.120588824,-0.031397283,-0.04628191
1978-03-01,0.109657906,-0.06965545,0.026745832,-0.16035862,0.07186489,-0.07593493
1978-04-01,0.11175106,-0.09581985,-0.053607948,0.034885883,0.67527413,-0.57991946
1978-05-01,0.06826003,-0.07814434,0.059073426,0.15268382,0.61747986,-0.29932076
1978-06-01,0.040932756,-0.19652373,0.014186931,-0.08140036,0.59282714,0.1501255
1978-07-01,-0.013954347,-0.20489636,0.046514474,-0.034304477,-0.2724586,0.77493143
1978-08-01,0.029304128,-0.031280994,0.06965546,0.56922114,-0.22047868,-0.18233679
