,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6
1981-06-01,2.0599587,-6.023479,0.46399617,-2.3078823,0.80116224,-7.3097258
1981-07-01,2.4373178,-4.1020665,1.5218587,-0.5235363,-0.13727461,-3.1899314
1981-08-01,2.758294,-2.7042394,2.184247,0.6528506,-0.38764453,-2.689936
1981-09-01,3.0116858,-2.7090547,2.4017637,0.41262564,-0.037135966,-4.3845825
1981-10-01,2.6998634,-4.11564,1.616381,-0.77127385,0.58953565,-9.362449
1981-11-01,2.237549,-5.6407466,0.45334715,-2.4768846,0.6890091,-12.414879
1981-12-01,1.750028,-7.1675515,-0.72858447,-4.248018,1.2714623,-15.784872
1982-01-01,1.1377605,-8.802652,-1.9643244,-5.5586276,1.4513364,-18.262129
1982-02-01,0.8165598,-9.430944,-2.588072,-6.2257185,1.8819212,-19.238491
1982-03-01,0.54572463,-9.789101,-2.661605,-6.398817,2.3016737,-19.341064
1982-04-01,0.66442364,-9.562582,-2.4177904,-6.1995316,1.773152,-17.735413
1982-05-01,1.2465101,-8.290052,-1.6732041,-4.8589764,1.4946555,-13.281117
1982-06-01,1.85501,-6.308831,0.114830524,-2.3448439,0.6645477,-9.406582
1982-07-01,2.1166177,-4.2068934,1.3501475,-0.34615976,-0.14130989,-3.8144677
1982-08-01,2.5048945,-2.6032195,1.8888274,0.58986044,-0.14418781,-2.60301
1982-09-01,2.6675875,-2.7102227,2.0428557,0.5179582,0.42657757,-4.3708086
1982-10-01,2.182467,-4.2116594,1.1942909,-0.81512785,0.5004521,-7.4785676
1982-11-01,1.7149413,-6.1559706,-0.01536512,-2.6739616,1.0078572,-10.68528
1982-12-01,0.9622112,-7.8316545,-1.3754982,-4.286942,1.2671247,-13.1111145
1983-01-01,0.5542893,-8.922287,-2.4521005,-5.477743,1.6957489,-15.309434
1983-02-01,0.48043796,-9.462364,-3.0102627,-6.368235,2.3742688,-17.636082
1983-03-01,0.7601721,-9.577381,-2.971404,-6.721497,2.391218,-18.228642
1983-04-01,1.0062681,-9.3861265,-2.7222488,-6.4550104,2.667856,-17.343906
1983-05-01,1.669647,-8.381575,-1.7470092,-5.046044,2.2315478,-13.658669
1983-06-01,2.132554,-6.6531854,-0.025076497,-2.9139025,1.4693605,-8.587734
1983-07-01,2.4514143,-4.122019,1.253466,-0.90219,0.85403776,-4.710027
1983-08-01,2.8081994,-2.7970362,2.084544,0.36174634,0.49517286,-2.364464
1983-09-01,2.8036864,-2.6216667,2.1860301,0.538711,0.044922702,-3.250114
1983-10-01,2.538822,-3.8447306,1.5152174,-0.7394229,0.238615,-7.418165
1983-11-01,2.2490513,-5.7681675,0.66429603,-2.4265835,0.50678533,-10.982542
1983-12-01,1.7973844,-7.4798207,-0.49413645,-4.086586,0.9254946,-14.403849
1984-01-01,0.92629933,-8.6630335,-2.0816214,-5.354554,1.2192922,-16.708221
1984-02-01,0.53365195,-9.45769,-2.8545492,-6.258979,1.7424242,-17.875748
1984-03-01,0.43726546,-9.804167,-3.0143292,-6.545866,2.3539608,-18.491901
1984-04-01,0.6249238,-9.323677,-2.673779,-6.2050643,2.2019463,-17.290663
1984-05-01,1.1562486,-8.211456,-1.603649,-4.833557,1.5196595,-13.632309
1984-06-01,1.6729505,-6.231299,-0.44552836,-2.950579,0.71834326,-7.1442366
1984-07-01,2.2271261,-3.908025,0.773133,-0.74489504,0.25502828,-3.2049813
1984-08-01,2.586556,-2.3977363,1.6818533,0.25723517,-0.016059667,-0.8237916
1984-09-01,2.510232,-2.4520955,1.7992496,0.18294713,0.18812752,-3.435908
1984-10-01,2.5587802,-3.5955055,1.3536319,-0.6434735,0.40859315,-6.5823846
1984-11-01,1.8281348,-5.750799,0.37536106,-2.286211,0.7038032,-9.693077
1984-12-01,1.2219262,-7.276543,-0.9869315,-3.7694838,0.85629034,-12.574444
1985-01-01,0.44267297,-8.497846,-2.0774171,-5.083956,1.0573242,-15.358416
1985-02-01,0.11313358,-9.449021,-2.8330255,-6.1692033,1.2576529,-17.88986
1985-03-01,-0.072257325,-9.673533,-2.922967,-6.255731,1.4629297,-17.462255
1985-04-01,0.30983794,-9.485907,-2.6008635,-5.8835053,1.8824568,-15.554937
1985-05-01,1.00903,-8.31882,-1.5356839,-4.6164145,1.1429126,-11.6081915
1985-06-01,1.6446093,-5.931003,0.35735375,-2.1372502,0.29839855,-7.36032
1985-07-01,2.3456347,-3.45698,1.4011266,-0.13607214,0.011251665,-3.0252085
1985-08-01,2.7173393,-2.1100357,2.2143762,0.814809,-0.33367744,-1.717606
1985-09-01,2.7323327,-2.1342685,2.2424903,0.7258999,-0.07237918,-2.5897937
1985-10-01,2.4675102,-3.7402928,1.5484308,-0.6739592,0.26752776,-5.9418864
1985-11-01,1.9923931,-5.7197175,0.41076,-2.4880164,0.39151832,-9.400502
1985-12-01,1.274331,-7.4262114,-0.77865547,-3.9450972,0.6406796,-12.914259
1986-01-01,0.50383085,-8.546302,-1.9955188,-5.2447786,1.0223321,-15.60293
1986-02-01,0.19314733,-9.404139,-2.7981575,-5.99177,1.6797434,-17.43339
1986-03-01,0.07173166,-9.741828,-3.040109,-6.165354,2.0124755,-17.475475
1986-04-01,0.3441977,-9.603855,-2.7781448,-5.891409,1.8008405,-15.669889
1986-05-01,1.1291867,-8.048192,-1.7393568,-4.7319865,1.3170635,-12.37598
1986-06-01,1.5464835,-6.0274715,-0.15443921,-2.3636932,0.7373952,-7.500812
1986-07-01,2.0584698,-3.6884675,1.1565834,-0.35151595,-0.0462239,-3.2374842
1986-08-01,2.4268146,-2.219821,1.9079784,0.88102394,-0.104676224,-2.0470812
1986-09-01,2.4664676,-2.9581163,2.2122104,0.33743206,0.2159324,-4.697121
1986-10-01,2.2612755,-4.477888,1.599326,-0.8861565,0.33305418,-7.4231453
1986-11-01,1.8919674,-5.9158955,0.3980041,-2.315572,0.420738,-10.443338
1986-12-01,1.263581,-7.3333592,-0.9041318,-3.8561018,0.84392375,-13.688154
1987-01-01,0.66486233,-8.4467745,-2.0528643,-5.1913786,1.2662859,-16.037428
1987-02-01,0.45126036,-9.384721,-2.7805305,-6.1796384,1.9264587,-18.1779
1987-03-01,0.45370317,-9.579423,-3.0055664,-6.5559077,2.1390052,-18.849108
1987-04-01,0.7991488,-9.277904,-2.594258,-5.9949546,2.2698615,-17.370087
1987-05-01,1.5265436,-8.162028,-1.4912591,-4.7692204,1.7562891,-13.801235
1987-06-01,2.2711372,-6.034835,0.23747236,-2.6304314,1.0550331,-8.292702
1987-07-01,2.3622153,-3.7121336,1.5564561,-0.30927885,0.46730015,-3.85167
1987-08-01,2.667738,-2.4484506,2.177336,0.41044706,0.4271824,-3.0057743
1987-09-01,2.8831532,-2.5169766,2.4684372,0.5881328,0.58356863,-4.6520195
1987-10-01,2.6979206,-4.1745977,1.5021498,-0.6702506,0.8061154,-9.631081
1987-11-01,2.25676,-6.358722,0.3197126,-2.56474,1.1276209,-12.7928505
1987-12-01,1.7480417,-7.681347,-0.8568423,-4.133916,1.2142614,-15.486447
1988-01-01,0.8608087,-9.06716,-2.2292001,-5.577767,1.3293257,-18.085293
1988-02-01,0.26615545,-9.990594,-3.1145344,-6.4951677,1.6867825,-20.100117
1988-03-01,0.3663744,-10.086981,-3.2011356,-6.8485084,1.7552675,-19.898842
1988-04-01,0.7238894,-9.355217,-2.5737157,-6.268109,1.7133293,-18.38377
1988-05-01,1.5282686,-8.020774,-1.3794484,-4.6408467,1.4224403,-14.445145
1988-06-01,2.1235728,-5.6961904,0.07638089,-2.4450228,0.5233856,-9.445821
1988-07-01,2.4296334,-3.4156477,1.1235468,-0.5695617,-0.050767977,-4.1601844
1988-08-01,2.5243468,-1.9499142,1.7929478,0.8912537,-0.17737493,-1.3530682
1988-09-01,2.4742346,-2.401814,1.9279585,0.68043256,-0.122709215,-4.071553
1988-10-01,2.3860052,-3.7236872,1.3959188,-0.38010523,0.21717262,-8.543605
1988-11-01,2.2140992,-5.6967635,0.5308638,-2.0409396,0.6641177,-11.685511
1988-12-01,1.457097,-7.248591,-0.7005995,-3.9315398,1.0295068,-14.4106455
1989-01-01,0.7961741,-8.336878,-1.854224,-5.3127623,1.3785555,-16.650843
1989-02-01,0.21528298,-8.932612,-2.612099,-5.9025073,1.6579654,-18.259132
1989-03-01,-0.03867118,-9.479901,-3.0731137,-6.136881,1.9653512,-18.456337
1989-04-01,0.35531262,-9.384028,-2.6063588,-5.700586,2.0562024,-17.326622
1989-05-01,1.0354599,-7.6608486,-1.5515854,-4.31135,1.611967,-13.046445
1989-06-01,1.6779104,-4.9686337,0.30335504,-1.6586143,0.79512066,-7.119495
1989-07-01,2.292703,-2.7559712,1.4458395,0.12360363,0.14319628,-3.8201966
1989-08-01,2.806797,-1.3586078,2.2596915,1.1540529,0.095189385,-1.5876105
1989-09-01,2.6735168,-2.340972,2.120806,0.75245845,-0.046451304,-2.4970658
1989-10-01,2.5481267,-3.9094195,1.5913568,-0.5551206,0.33519793,-7.7466555
1989-11-01,2.1106806,-5.846484,0.42000622,-2.265866,0.49318397,-10.512963
1989-12-01,1.5152318,-7.7172813,-0.5747636,-4.032352,0.5469993,-16.110195
