,zgu50_cluster1,zgu50_cluster2,zgu50_cluster3,zgu50_cluster4,zgu50_cluster5,zgu50_cluster6
1974-11-01,-0.007902196,0.10616871,-0.02217206,0.0809336,-0.03420566,0.040006373
1974-12-01,0.009904892,0.21206665,0.0010932491,0.037989214,-0.03948544,0.17470378
1975-01-01,0.018600639,0.22192383,-0.005669213,-0.009915632,-0.12126396,0.0584779
1975-02-01,0.03562241,0.24519788,-0.012586348,-0.061832685,-0.18057543,0.045255885
1975-03-01,0.027622506,0.09898012,-0.0043064207,0.011829833,-0.03285535,0.23881154
1975-04-01,-0.01916323,0.0047303475,-0.0092418,0.029950328,-0.075278684,0.03252533
1975-05-01,0.0028644467,0.015394182,0.008304878,-0.0023654494,0.021982744,-0.019089822
1975-06-01,-0.0064611644,0.0023599367,4.2390653e-05,-0.026418926,-0.007507465,-0.008516222
1975-07-01,-0.022000076,0.048308756,-0.00016835687,-0.012903517,0.0047142743,-0.0073542115
1975-08-01,-0.006216095,0.0148796,-0.014562569,-0.021594843,-0.033534516,0.023635134
1975-09-01,-0.014142042,-0.029968396,-0.018104855,-0.01600344,0.0054953983,-0.015472086
1975-10-01,-0.0013614267,-0.041445214,-0.027084671,-0.049331583,0.01546186,0.061545834
1975-11-01,-0.033013158,0.03685624,-0.03866449,0.028447252,-0.05900518,0.18361345
1975-12-01,-0.07200276,0.18558204,-0.01951956,0.13633141,-0.115938485,0.16015154
1976-01-01,-0.0054406943,0.24083197,-0.065964326,-0.008449645,-0.2794764,0.11092423
1976-02-01,0.04915235,0.19490802,-0.026052194,-0.03479394,-0.13741559,0.06865254
1976-03-01,0.025747847,0.22708192,-0.031941146,0.0072664763,-0.10458714,0.04155411
1976-04-01,-0.04084135,0.08654974,0.0010179277,0.084117435,0.052742746,0.008868715
1976-05-01,-0.0058316095,0.023790853,-0.025098167,0.02869617,-0.009899279,0.0129080545
1976-06-01,0.017076682,0.021635823,-0.014044847,-0.021885794,-0.0020648679,0.025071997
1976-07-01,0.02194938,0.037079945,-0.014884402,-0.015060506,-0.0075357747,0.0040787747
1976-08-01,0.0025959066,0.015666962,-0.012991656,-0.011892107,0.012001477,0.015324231
1976-09-01,0.0008978094,0.03329567,-0.021268286,0.008135648,0.034516163,0.00036286376
1976-10-01,-0.014245863,-0.041206937,-0.022455007,0.049691252,-0.024292534,0.06573341
1976-11-01,-0.00025959616,0.2885024,-0.03563008,0.004019771,-0.185058,0.19648041
1976-12-01,-0.0028797458,0.35259306,-0.060178433,0.08639784,-0.28650373,0.2208676
1977-01-01,0.01191006,0.08150152,-0.046538077,0.052196704,-0.19172087,0.14654309
1977-02-01,0.017657926,0.35976833,-0.057904538,-0.06510108,-0.23592496,0.043500487
1977-03-01,-0.027217397,0.046687692,0.002421486,-0.03786058,0.029989678,-0.0043180464
1977-04-01,-0.018130217,0.008671555,-0.006309494,0.019761197,-0.054766133,0.08547254
1977-05-01,-0.0056169713,0.07943883,0.003023927,0.0053255972,-0.021094209,0.031830437
1977-06-01,-0.003381578,0.041899003,0.010434256,0.00784412,-0.003580477,-0.020014156
1977-07-01,-0.012243467,0.00180953,0.0076888166,-0.010694379,-0.013589912,0.015914073
1977-08-01,-0.003325319,-0.016030818,-0.0028309557,-0.0011560824,-0.006727174,0.0038639402
1977-09-01,0.0015777983,0.02522216,0.0033932144,-0.027198987,-0.05769501,0.0500268
1977-10-01,-0.02953867,-0.04387904,-0.03170096,0.029053485,0.032085616,-0.076419115
1977-11-01,-0.04448887,0.02961622,-0.039353985,-0.014089014,0.08422111,0.10259028
1977-12-01,-0.017958261,0.20360188,-0.053842332,0.067195274,-0.15217295,0.013056787
1978-01-01,0.005976247,0.36007556,-0.03980897,0.06884336,-0.1876026,0.12121739
1978-02-01,0.06571588,0.30674288,-0.040224213,-0.06929873,-0.1910871,0.112348236
1978-03-01,0.029661663,0.17315932,-0.021425078,-0.012580386,-0.13565928,0.10126478
1978-04-01,-0.014867607,0.08544474,-0.049726654,0.06288781,-0.06021706,0.19934101
1978-05-01,-0.059635982,-0.006614846,0.0042978185,0.0283089,0.017436484,0.025970463
1978-06-01,0.0130308,-0.0065747844,-0.010073911,0.01163457,-0.013727629,0.045120426
1978-07-01,-0.004434365,0.009827436,0.0009600656,-0.009882885,-0.012860398,0.017815102
1978-08-01,0.0033488206,-0.013533862,-0.009189997,-0.012977226,0.010054753,0.020572212
1978-09-01,0.012206916,0.08961595,-0.004936577,-0.01418277,-0.0638646,0.07579206
1978-10-01,-0.0074844207,0.02894366,-0.013709441,0.02760756,-0.060997974,0.07353534
1978-11-01,0.0069539966,0.0834063,-0.027454576,0.055288136,-0.13568932,0.10205978
1978-12-01,-0.036203835,0.096842885,-0.02598004,0.0024915286,-0.06485341,0.027663548
1979-01-01,0.040284596,0.21203737,-0.06240384,0.0072236722,-0.12967747,0.172417
