,zgu200_cluster1,zgu200_cluster2,zgu200_cluster3,zgu200_cluster4,zgu200_cluster5,zgu200_cluster6,zgu200_cluster7
1965-01-01,-0.4293950031632962,0.2554164454340935,-0.09776460379362106,0.5841478705406189,-0.3626631498336792,-0.23932082371579277,0.5260798918164294
1965-02-01,-0.965427121390467,-0.530003234744072,0.21978908777236938,1.177685260772705,-0.0824608604113261,-0.07574240573578411,-1.48899231268012
1965-03-01,-0.8857281959575155,-0.20815052092075348,-0.04797307774424553,1.4579989228929793,-0.23293515046437582,-0.06531547858483262,-1.493985627008521
1965-04-01,-0.17080464116905045,-0.5584410205483437,-0.08112986385822296,0.18629308257784163,-0.08969319860140483,-0.03194310184982088,-1.7602951630302097
1965-05-01,-1.319900543793388,0.70621058344841,-0.030106203630566597,1.1603518043245589,0.08423834045728047,-0.2583442669775751,-0.7239131175953408
1965-06-01,-0.2608655749455742,-0.3395957872271538,0.07150045037269592,0.7092423949922835,0.3475154638290405,-0.4196564770407147,0.08611100847306459
1965-07-01,0.1901529891335446,0.3295072168111801,0.11393265426158905,0.33040851354599,0.4029534657796224,-0.11597754847672251,-1.404366804205853
1965-08-01,0.4238071972909181,-0.13669614680111408,0.2194039225578308,0.4458744185311454,0.38489874203999835,-0.4623910619152917,-0.9506289725718291
1965-09-01,-0.038810596679863724,-0.297139473259449,-0.010751193389296532,0.7896528925214495,0.28559104601542157,-0.7463875744077895,1.6171399665915447
1965-10-01,-1.5699175388916677,-0.32947927713394165,0.07086768746376038,1.6267878668648856,0.13794589042663574,-0.4857182502746582,2.5648223317187764
1965-11-01,-0.1974491807429687,0.23571515455842018,-0.05038054659962654,0.24055151002747674,0.10846983393033345,-0.476040898097886,1.2102330508439436
1965-12-01,0.2937272838924242,0.9437034279108047,-0.15601195394992828,1.9356979642595564,0.11089102427164714,-0.3482982930209902,-0.1964541233104208
1966-01-01,-0.7323416030925253,1.384052038192749,-0.046884868294000626,2.2600674629211426,-0.39639246463775635,-0.3127506830626064,-0.8610889315605164
1966-02-01,-0.1269260907302732,-0.26508327573537827,0.09334361553192139,0.6066092423030308,-0.033893282214800514,-0.4517081297106213,1.7083919566610584
1966-03-01,-0.4017358888750491,-0.14808288775384426,0.0267644003033638,0.5989540049007961,-0.05549861987431844,-0.08787708356976509,-0.9986415505409241
1966-04-01,-0.07068454895330512,0.14341349713504314,-0.023481158539652824,0.9013200657708305,-0.1956001321474711,-0.17122716332475346,-0.28198335481726605
1966-05-01,-0.26141730663569074,0.7111609727144241,-0.26586759090423584,0.6003449218613761,0.061309228340784706,-0.03259843991448482,-1.235858642536661
1966-06-01,-0.17468566479890243,0.5716811865568161,-0.06149519607424736,1.1731117112295968,0.4082869291305542,-0.016760998146815434,-2.73981845897177
1966-07-01,0.5851662677267323,0.48748884350061417,0.08976322412490845,-0.3949464218957084,0.38865288098653156,-0.018311743365807667,-0.26987172339273535
1966-08-01,0.4693455346252607,-0.5266022682189941,0.08078781515359879,-0.36047416073935373,0.47276902198791504,-0.21787811484601763,-0.9100933437762053
1966-09-01,-0.47092985199845355,0.07155362516641617,0.04240764304995537,0.7677316665649414,0.3368884325027466,-0.44781383540895253,-0.9556942011999047
1966-10-01,0.31536804593127704,-0.07671263534575701,0.12862494587898254,1.0218279702322823,-0.12887459993362427,-0.6348323076963425,2.5429621986720874
1966-11-01,1.6494833904763926,2.000642716884613,-0.4116714894771576,1.4409441607339042,0.003517026702562968,-0.6316083172957103,0.15975244991157364
1966-12-01,-0.17257834906163422,1.1756952852010727,-0.26949241757392883,1.6394804205213276,-0.05649728079636892,-0.28039150767856175,-0.3248892400575721
1967-01-01,-0.799333595711252,-0.1490939687937498,-0.022509997710585594,1.9443159443991527,-0.4047882556915283,-0.2574232096473376,0.48749139127524
1967-02-01,0.0755603384712468,-0.6941448897123337,0.004198185168206692,-0.056322504367147176,0.04348965982596079,-0.45535071856445736,2.0317374364189478
1967-03-01,-0.555983833644701,-1.4963656663894653,0.1393423080444336,0.7124230691364833,-0.18075754245122275,-0.38660090002748704,0.7914673375046771
1967-04-01,-0.16749293907828952,-0.7432495802640915,-0.05041928216814995,0.8155190093176706,-0.09776423374811809,-0.29262426412767834,0.5860634472059166
1967-05-01,-0.5939409136772156,-0.4434575140476227,-0.07310453057289124,0.8105037893567767,0.015524324029684067,-0.3909928931130303,2.171276315398838
1967-06-01,-0.565791130065918,0.21793311461806297,0.03514983505010605,0.7376480102539062,0.2272116740544637,0.0401278543803427,-0.9728975917982018
1967-07-01,0.18399318923120914,0.40827885270118713,0.22957748174667358,-0.004121541777359588,0.3461219867070516,-0.14907350349757406,-1.2507417927617612
1967-08-01,0.43094971257707343,0.06004806607961655,0.04826610907912254,-1.3060332196099418,0.3880355755488078,-0.16895805795987448,-0.8116773937059485
1967-09-01,-0.247879261555879,0.10145433247089386,-0.0072324140928685665,0.4311834488596235,0.3009675145149231,-0.28127870625919765,-0.21002247281696484
1967-10-01,-0.2750802299250727,0.4024467244744301,-0.06789679080247879,1.8714169093540738,-0.08043836057186127,-0.36378614604473114,1.5415913384893665
1967-11-01,0.014840739617205183,-0.3197334334254265,0.08369690924882889,1.4265739066260203,-0.16329099734624228,-0.47620166507032186,2.8732082118158755
1967-12-01,-0.20145038547723187,1.9008205831050873,-0.10733570903539658,0.5444773180144175,-0.01039595901966095,-0.005175760856622623,-2.9360690842504087
1968-01-01,-0.9034513779308485,-0.23702681064605713,0.09592831134796143,1.5547079699380058,-0.2831762433052063,-0.0836845590836472,-1.6428755677264668
