,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6,ssta20_cluster7
1974-07-01,2.0058594,-2.7012048,0.8303897,4.5517645,1.9339876,2.3553474,-0.47335988
1974-08-01,1.9861658,-0.86424327,0.28503907,6.9182644,1.3701285,2.3625007,-1.1737107
1974-09-01,1.8916789,-2.2494318,0.5657943,6.1013136,1.3907038,2.9556987,-0.67197704
1974-10-01,1.818318,-4.915116,1.2922966,3.9374485,1.6030967,2.890008,0.6492076
1974-11-01,1.7083818,-9.132477,1.2035792,1.0578241,0.80307025,1.931041,0.6940782
1974-12-01,1.5553089,-12.497614,0.4777333,-2.446271,-1.156876,0.4968457,-0.13634655
1975-01-01,1.4177461,-15.447436,-0.10597809,-5.739814,-2.4850636,-0.42051986,-0.65387243
1975-02-01,1.5505738,-16.993916,0.077178925,-7.31347,-3.048491,-0.19791216,-0.7889527
1975-03-01,1.7536458,-17.31601,0.4916392,-6.300899,-2.814131,0.59183204,-0.30511752
1975-04-01,2.123096,-14.2953825,1.5033499,-3.9590716,-1.068592,1.6363467,1.2723057
1975-05-01,2.1945584,-9.187402,2.2849543,0.33475733,1.483321,2.5027215,1.8571135
1975-06-01,2.000174,-3.1819801,1.8587388,1.6570463,1.9133463,2.6072135,0.99438745
1975-07-01,2.0793116,0.6625768,1.0289016,5.599782,2.1503117,2.4434752,-0.24496326
1975-08-01,1.8689655,1.1136025,0.33451647,6.5720325,1.3865589,2.2651207,-1.257072
1975-09-01,2.0648227,-1.6153988,0.88586956,6.8769884,1.6028866,2.76764,-0.3804332
1975-10-01,1.8627921,-6.1844907,1.0497401,3.4681451,1.4867728,2.74576,0.2777232
1975-11-01,1.6044781,-9.904652,1.0057629,0.6761192,0.43567947,1.7793989,0.48866966
1975-12-01,1.6012094,-12.757829,0.63775396,-2.9681797,-0.85163164,0.49867934,-0.15303102
1976-01-01,1.3340012,-14.735035,0.0038506966,-6.127341,-2.32392,-0.30808172,-0.73432153
1976-02-01,1.5347486,-17.545036,0.26519173,-7.1028643,-2.654261,0.13841194,-0.50446665
1976-03-01,1.8901166,-17.96218,0.991093,-7.240653,-1.9621931,0.8681762,0.39668018
1976-04-01,2.2855217,-15.26172,1.9300871,-4.4469876,-0.45934942,1.7214143,1.5655007
1976-05-01,2.196846,-10.88911,2.4711833,-0.6600405,1.3469055,2.4830725,2.0413332
1976-06-01,2.088854,-5.9226093,1.681971,2.1524801,2.4495592,2.7703273,0.94739175
1976-07-01,2.1033788,-2.4568853,0.9559929,4.401081,2.5223608,2.3377407,-0.41438335
1976-08-01,1.9674555,0.31237856,0.47929516,6.315029,1.5785517,1.8660641,-1.1587769
1976-09-01,1.8204792,-1.1787266,0.50121146,5.8694105,1.2750611,2.3063035,-1.1212449
1976-10-01,1.8142711,-5.751999,1.5373888,3.66969,1.5910447,2.1040764,0.4512997
1976-11-01,1.6233151,-9.969176,1.4282441,-0.3607474,0.42682537,1.5289717,0.5186833
1976-12-01,1.4798808,-14.087885,0.7513827,-3.5593946,-1.4395399,0.12632464,-0.45451358
1977-01-01,1.332748,-17.079483,0.07651546,-6.9494834,-2.4573066,-0.7611262,-0.8019469
1977-02-01,1.2752135,-18.049753,-0.044106603,-8.310401,-2.892022,-0.6684834,-1.1769005
1977-03-01,1.7583368,-17.70156,1.008151,-5.861058,-1.608551,0.5065063,-0.03112274
1977-04-01,2.4492443,-14.398817,1.9141829,-3.9366784,-0.39541978,1.8693635,1.4047254
1977-05-01,2.2018905,-9.877616,2.4431374,-0.6980293,1.3459946,2.594274,2.1458554
1977-06-01,1.9512098,-4.3983927,1.6186363,2.4685807,2.2861657,2.6938577,0.709288
1977-07-01,1.9357312,-2.2732449,0.66133016,3.9959395,2.1570141,2.2249336,-0.7297809
1977-08-01,2.1114368,-1.0933863,0.56303173,6.0904217,1.2306875,2.1375384,-0.87597746
1977-09-01,2.049385,-3.6727493,0.8595061,5.2590966,1.2000836,2.528202,-0.7750884
1977-10-01,1.9447252,-8.517778,1.6740161,3.2802794,1.9909455,2.6261697,0.9427821
1977-11-01,1.5649968,-11.337089,1.2990063,0.11801103,1.0783373,1.5663941,0.8521974
1977-12-01,1.3980439,-14.380189,0.8491714,-3.193348,-0.6489657,0.081364,0.17492473
1978-01-01,1.268885,-16.34945,0.035177533,-5.5293646,-2.247464,-0.63075745,-0.5750408
1978-02-01,1.4293739,-16.550602,-0.14930052,-6.0083528,-2.9823666,-0.39655256,-1.054558
1978-03-01,1.8514254,-15.984383,0.68498737,-6.0293465,-2.4444163,0.41377297,-0.032998115
1978-04-01,2.3566968,-13.40059,1.937278,-3.8555777,-0.33723202,1.5371344,1.7224797
1978-05-01,2.177864,-9.532746,2.335141,-0.6070211,1.4292407,2.4433897,1.7602272
1978-06-01,1.9440572,-4.8782115,1.3631549,2.342188,2.3154597,2.589328,0.29727003
1978-07-01,1.6582718,-0.17870232,0.32380635,5.099508,1.6131507,2.4470496,-1.2168785
1978-08-01,1.786056,-0.40590805,0.2805271,5.7541223,0.8053628,2.1956544,-1.1109061
1978-09-01,1.8951005,-2.6733274,0.833681,5.2768774,1.2839655,2.4930162,-0.39099163
1978-10-01,1.8177859,-5.8090506,1.413803,3.4557385,1.65389,2.3687997,0.7763203
1978-11-01,1.5979753,-10.554171,1.1867363,-0.41062278,-0.015107552,1.4149566,0.9349629
1978-12-01,1.5617173,-13.647821,0.63396674,-3.607785,-1.5597993,0.30686623,-0.2712066
1979-01-01,1.444617,-16.80428,0.21515818,-5.9423623,-2.574855,-0.6498097,-0.5406459
1979-02-01,1.5924546,-15.828716,0.048378058,-6.574342,-2.953956,-0.49134248,-0.8891246
1979-03-01,1.9556534,-16.672255,0.57970405,-5.8566747,-2.3791072,0.25591815,-0.10778859
