,r400_cluster1,r400_cluster2,r400_cluster3,r400_cluster4,r400_cluster5,r400_cluster6,r400_cluster7
1965-01-01,113.55108373305377,20.418390860924355,57.520726147819964,20.47385463008174,113.23608629631273,171.0046201138883,69.85256727351698
1965-02-01,128.33627439012713,16.96824660668006,43.219709396362305,21.525503087926793,94.29096453117602,141.90707851100612,109.71726705861646
1965-03-01,121.72412498324525,20.858427194448616,41.854928521549,24.89469316270616,63.27096187707149,149.02349935995565,106.7449170489644
1965-04-01,114.24335404938343,27.348097776755306,51.561047049129705,34.4394048055013,94.5807139078776,146.52432622136297,107.79525401980378
1965-05-01,116.94033005658318,22.010213900835087,32.368382285622985,59.78733580789448,182.06999807646778,111.66316882984059,147.46331503224928
1965-06-01,121.80679171693092,31.301603561792618,17.481555658228256,91.20314798237365,142.55595351710463,85.69227167077966,144.03107221736465
1965-07-01,118.01949295343137,64.70294365516075,28.8028829237994,88.82070470739293,148.56628649162522,69.2983730419262,126.61867363508358
1965-08-01,119.02113521800321,62.40149277907151,23.182009248172534,90.374755859375,170.85898428252247,69.72871213345914,170.81767237463663
1965-09-01,111.69896593280866,31.464258829752602,22.838952962089987,75.67889837571131,153.2221476236979,90.54771629539697,153.90282564384992
1965-10-01,104.64773739085477,17.251004928197617,43.07477333966423,50.35355179398148,183.7512969970703,137.38693031104836,148.5458906306777
1965-11-01,111.81746838139553,24.605663006122295,43.89534838059369,32.002500840175294,138.0690372351444,140.16951483649177,140.5676464701808
1965-12-01,101.73865673588772,17.12314532353328,28.408611522001376,34.504271142276714,134.48043592048413,127.25276431521854,154.4144918752271
1966-01-01,108.6995517506319,21.949027134821964,42.60175368365119,29.76380807382089,118.33872939601089,142.7789945860167,113.53205303813137
1966-02-01,117.95867471133961,24.987746507693558,46.661800496718456,20.663084807219327,92.80864253188624,165.68126162967167,110.26327443677326
1966-03-01,116.62093517827053,14.719687975369967,33.34257462445427,19.612510116012007,80.29184052438447,156.98517464302682,102.56274910860283
1966-04-01,119.58962982776119,24.50167827117137,50.43603111715878,30.156253296651958,126.16570212624289,154.8864003774282,119.5794748705487
1966-05-01,110.77939201803768,28.097179608467297,35.18705929026884,43.40815132046923,169.75939201586172,131.63730518237963,143.63374044728835
1966-06-01,111.71918382831647,62.09419935177534,31.173734103932098,90.80689983603395,174.1227814645478,61.87439995843011,126.97105407714844
1966-07-01,122.4294101490694,71.42861684163411,30.59610479018267,92.00905693901909,190.22934653542256,61.247655507680534,152.97516223996186
1966-08-01,120.20648881500843,67.88869515443459,24.455984900979434,92.5853399582851,150.35319472804213,57.318445154138516,164.98877946720566
