,vws_u500-200_cluster1,vws_u500-200_cluster2,vws_u500-200_cluster3,vws_u500-200_cluster4,vws_u500-200_cluster5,vws_u500-200_cluster6,vws_u500-200_cluster7,vws_u500-200_cluster8,vws_u500-200_cluster9,vws_u500-200_cluster10,vws_u500-200_cluster11
1965-01-01,9.750646432438183,73.86654100522318,90.97147698276163,22.0905576315837,33.10427904144805,83.54271894370609,64.49806959235156,58.024387288122185,182.7583854546748,17.188767623765553,32.77904196748014
1965-02-01,1.7404455904499283,120.86088883499265,83.55807646756884,-11.752838319217878,28.94935964788628,84.64232629685617,76.79145916202873,91.65640713330981,197.44801101441024,-18.826280165030663,12.151116252677888
1965-03-01,1.7241836862560578,89.40414338726185,68.64531781224504,26.453580688979265,30.66385240601609,61.208056232442395,68.77748555365311,70.51261370759781,167.55494755642886,-0.6969537696112234,20.976282727382806
1965-04-01,6.721158564447046,79.87756277505493,81.70407335048182,4.483362886344306,21.970703131866284,75.92776116100545,58.830836272072005,44.48405079157506,137.99886920056068,7.400660910895496,16.319078171577296
1965-05-01,-12.21231575456809,65.61099985185062,111.38462544724906,-44.67319580030275,8.19262746749892,55.451599968301494,36.24282424282578,65.11691713998884,133.630903060838,-40.669024931722674,2.4621383730105535
1965-06-01,-35.748631012564104,48.46372358028334,150.48182205450325,-86.63670053708003,-10.452911817529296,95.99841482362567,10.565663559049849,96.17560337345003,85.43589634667038,-87.46510560437011,-37.50856015969286
1965-07-01,-37.245163951371495,11.978671334226002,114.84700084278965,-97.1432182566332,-23.060347458857343,70.83013685348806,-14.318626394905754,68.25552419493053,35.791190876731974,-87.31088694682965,-50.711319628617396
1965-08-01,-22.787361441227237,23.81874298287301,110.23339117322317,-75.24141355795197,-19.20436806164757,70.23488937947607,-5.900463095017428,59.87322767971874,34.86351620266902,-71.6505466148685,-42.37013582730848
1965-09-01,-25.82882644842086,65.41691222832517,145.13261722515114,-32.903554161916595,-5.003798003892612,92.46808646706091,22.438836319966203,72.47278754413229,89.4062349128062,-51.67353613861459,-26.589221660009834
1965-10-01,-7.688762905475102,82.26454475776116,92.4273300930785,-2.5942475110694887,14.635362400047558,74.00089350709979,42.87011829971074,85.6531377079555,152.51766082563682,-26.65165808049238,6.091519615856027
1965-11-01,4.601182552508468,77.20238786210287,77.29256151271414,20.877228323827286,28.022438137760485,87.27000691520723,56.77185912539138,65.29354400291636,161.98658739895933,-5.030058191489455,21.66008202582318
1965-12-01,-3.2164052622817683,90.86489847365303,127.47950186073507,5.245618841947882,23.5238160930264,102.1600702609909,63.61296658578094,71.43987707044691,237.0257447642013,-22.726478169652786,11.968526998874191
1966-01-01,7.2483031346225175,68.20668501099685,104.51049347135873,31.650874685231514,35.076051737108344,70.52979531681211,68.64958856048783,62.35160860087412,201.5907225485313,14.784843825311873,34.14639030907351
1966-02-01,3.9826203161444687,109.75243111652289,102.69874015980427,-10.495241911464161,28.604067783965426,101.48635474679472,74.43501066973319,77.1130073888738,197.59062683571275,-4.774968016699932,11.811701384755507
