,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,w_cluster11
1969-06-01,0.0076191425,0.00802654,-0.08511913,0.007160783,-0.07391518,0.20491076,0.07087058,-0.07793844,-0.30461496,0.09455168,-0.025941849
1969-07-01,0.018008232,-0.011885941,-0.11516613,0.009707153,-0.033988297,-0.0010384917,0.06766218,-0.078804195,-0.08099407,-0.048757195,-0.16522747
1969-08-01,0.0034940243,-0.02665484,-0.08282739,0.020096242,-0.028640985,0.10697794,0.033286393,-0.05644715,0.07738924,-0.043155193,-0.34530574
1969-09-01,0.005276501,0.026869595,-0.09418416,0.004920006,-0.08084124,0.19233173,0.053453505,-0.016316593,0.1319322,0.06745851,-0.19440871
1969-10-01,0.016887844,0.07000482,0.016989708,0.028295517,-0.047382176,0.25624526,-0.019932449,0.10000092,0.079375446,0.30039907,0.059513867
1969-11-01,0.053046107,0.03089279,0.2821672,0.023253739,-0.11358744,0.16381258,-0.03495592,0.21840644,0.15892357,0.15011317,0.013679445
1969-12-01,0.037309647,0.040772676,0.37337762,0.044948697,-0.1205135,0.33319616,-0.12647194,0.2641899,0.20857751,0.60565615,0.15576607
1970-01-01,0.05250871,0.009084761,0.44404292,0.03611809,-0.16681147,0.40021482,-0.07686508,0.27488256,0.27124518,0.3441274,-0.2174204
1970-02-01,0.03822869,-0.008608162,0.56533366,0.02583462,-0.17435569,0.52406514,-0.09599495,0.21960345,0.30487967,0.44583917,-0.20444262
1970-03-01,0.04348266,0.014787793,0.59268135,0.029427111,-0.26151794,0.36680484,-0.036584496,0.20783809,0.23972127,0.19557881,-0.22658122
1970-04-01,0.042315125,0.021793127,0.24883714,0.03230107,0.025026321,0.36047313,-0.016062498,0.10109687,-0.15095973,0.12642378,0.018110812
1970-05-01,0.030280352,0.050263464,0.11807126,0.021074653,-0.06438124,0.28242674,0.044425666,0.00086700916,-0.2935807,0.17519152,-0.1053803
1970-06-01,0.00989306,0.020266294,-0.07003939,0.00549227,-0.08714849,0.40672615,0.08241606,0.013440609,-0.22788346,-0.0011088848,-0.10987085
1970-07-01,-0.0027703643,-0.004387021,-0.1079399,0.01680857,-0.07920015,0.10464442,0.059963107,-0.0932557,-0.10915238,-0.012559891,-0.15069032
1970-08-01,-0.006856799,-0.03308183,-0.0732277,0.013530433,-0.013233423,0.20500904,0.0707854,-0.031330526,-0.033979952,-0.0013334155,-0.24723786
1970-09-01,0.017841399,0.0054473877,-0.10695195,0.013979495,-0.079334855,-0.0152541995,0.06647444,-0.05239135,0.118026376,0.0233199,-0.094423234
1970-10-01,0.021074653,0.05583179,0.052598536,0.019637644,-0.09765649,0.3091008,-0.023965955,0.11699355,0.19584823,0.14501482,0.053406835
1970-11-01,0.019413114,0.11102104,0.24255034,0.023005605,-0.058408737,0.6784066,-0.014805138,0.13756043,0.06292689,0.22683328,-0.06658161
1970-12-01,0.012677252,0.056325734,0.4132375,0.015955389,-0.22720987,0.3144446,-0.118133545,0.2805407,0.33608925,0.36433503,-0.15414804
1971-01-01,0.05685997,0.0018859506,0.41079876,0.034823537,-0.1206007,0.5477892,0.013676107,0.22210938,0.27291936,0.14767227,-0.44614017
1971-02-01,0.042262614,0.027618468,0.43662483,0.033466756,-0.20177507,0.35292405,-0.08579165,0.24793544,0.6203081,0.5472278,-0.33488226
1971-03-01,0.054473817,0.050216258,0.30613768,0.035010695,-0.10960591,0.27713013,-0.04433894,0.17747518,0.012833953,0.41557097,-0.14970183
1971-04-01,-0.015799284,0.032624602,0.17761555,0.026401997,-0.12551332,0.3397303,-0.033905625,0.043619394,0.13695818,0.30169296,0.04156083
1971-05-01,0.016249359,0.03126782,-0.13360733,0.019243717,-0.03750813,0.4559476,0.060649633,0.0130211115,-0.38503724,0.06345683,0.016670465
1971-06-01,0.009980023,-0.022957563,-0.08382666,0.014144003,-0.030958056,-0.018045008,0.06107074,-0.027308702,-0.17360967,0.012506485,-0.13037908
1971-07-01,0.002213478,-0.03624493,-0.10548872,0.013676107,-0.030770898,0.20054087,0.066170454,-0.052105486,0.05419314,-0.079101205,-0.1900785
1971-08-01,-0.01210314,-0.012337089,-0.06263244,0.01592189,-0.039566755,0.095505476,0.062006414,-0.0744226,-0.053789794,-0.055240154,-0.24411672
1971-09-01,0.018120825,0.031876028,-0.031145215,0.012833953,-0.08686775,0.016249359,0.06584293,-0.062398493,0.15394163,-0.008547366,-0.12953693
1971-10-01,0.018214405,0.04408729,0.05260241,0.021910548,-0.118495345,0.13195205,0.008623183,0.054801345,0.19848225,0.22674122,-0.19489747
1971-11-01,0.036601424,0.050403416,0.24353752,0.027945995,-0.07390791,0.173358,-0.05449158,0.18678567,0.074404836,0.29673362,0.065983295
1971-12-01,0.039127886,0.04441476,0.27577332,0.039221466,-0.08527702,0.25584233,-0.13632095,0.24742079,0.26388958,0.511483,0.12479374
1972-01-01,-0.002778232,0.049161613,0.5228878,0.023782492,-0.27018362,0.23786092,-0.12664264,0.30752504,0.6554346,0.38879985,-0.29165822
1972-02-01,0.07192057,-0.007812977,0.6040599,0.041044414,-0.3208391,0.38854298,0.00045835972,0.29242086,0.39871517,0.27032974,-0.55901223
1972-03-01,0.014586449,-0.0083780885,0.35016605,0.02383387,-0.14724392,0.3551494,-0.093043625,0.16670692,0.5044443,0.2834817,-0.10285616
1972-04-01,0.01248008,-0.00020951033,0.11430472,0.029022694,-0.11164123,0.37020218,0.015973508,0.042893887,0.004516959,0.09853268,-0.15284377
1972-05-01,0.044281006,0.03472531,0.005595863,0.030974925,-0.030315101,-0.04521376,0.009603083,-0.058982193,0.03195107,0.2720765,-0.007967055
1972-06-01,0.0023592114,0.032978594,-0.08333379,0.0149460435,-0.057081282,0.25676683,0.054504573,-0.052200735,-0.2488631,0.037653685,-0.07321298
1972-07-01,-0.010124803,-0.00082600117,-0.12402254,0.009705842,-0.088368535,0.18114322,0.074540734,-0.09766734,-0.060985804,-0.009765208,-0.14719254
1972-08-01,0.004311502,-0.03899741,-0.021941006,0.022241235,-0.036582768,0.10562241,0.04006827,-0.07686055,0.0581522,-0.03365445,-0.14251745
1972-09-01,0.016230404,0.036266565,-0.09181064,0.021008253,-0.061550915,0.24813586,0.045770884,-0.046035767,-0.06201327,-0.0063744783,-0.23375893
1972-10-01,0.038321555,0.049778104,0.14512956,0.006982982,-0.080354035,0.23724443,0.012017667,0.11569184,-0.098386586,0.031642854,0.0054417253
1972-11-01,0.032978594,0.054247677,0.17538929,0.008421481,-0.011306465,0.4386847,-0.027283967,0.18756509,0.09688872,0.2856394,-0.10167456
1972-12-01,0.03333819,-0.03314072,0.37682953,0.03318405,-0.21552092,0.17066282,-0.092324376,0.37338743,0.41114783,0.28918427,-0.41644746
1973-01-01,0.048068523,0.0039428473,0.4525123,0.030756533,-0.25867206,0.22357619,-0.047445893,0.3492871,0.53966916,0.42490265,-0.7396268
1973-02-01,0.03951198,0.017225325,0.44007552,0.034338295,-0.18559355,0.5808598,-0.08127391,0.35560498,0.5113133,0.36266905,-0.20867622
1973-03-01,0.045680642,0.030408263,0.45216405,0.032646894,-0.24056405,0.11179453,-0.14798474,0.25690675,0.23511755,0.38455778,-0.33961052
1973-04-01,0.049361944,0.032497644,0.25869766,0.032149434,-0.09778994,0.3626193,-0.07147372,0.102143586,-0.032521784,0.72368366,-0.1521635
